Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,69.890,69.895,69.650,69.810,11720,0
2015-02-03,16:55:00,69.78,69.78,69.45,69.59,13200,0
2015-02-03,17:00:00,69.59,69.68,69.3,69.335,26297,0
2015-02-03,17:05:00,69.3,69.51,69.19,69.48,18489,0
2015-02-03,17:10:00,69.49,69.69,69.44,69.67,18752,0
2015-02-03,17:15:00,69.77,69.92,69.67,69.88,10950,0
2015-02-03,17:20:00,69.9,70.24,69.9,70.18,16914,0
2015-02-03,17:25:00,70.15,70.18,70.04,70.12,18800,0
2015-02-03,17:30:00,70.14,70.41,70.01,70.268,22938,0
2015-02-03,17:35:00,70.26,70.26,70.0,70.19,23066,0
2015-02-03,17:40:00,70.14,70.19,69.9101,69.9101,14085,0
2015-02-03,17:45:00,69.9999,70.42,69.98,70.29,10614,0
2015-02-03,17:50:00,70.29,70.3,70.09,70.25,8861,0
2015-02-03,17:55:00,70.27,70.375,70.07,70.15,19282,0
2015-02-03,18:00:00,70.16,70.34,70.0,70.0,28338,0
2015-02-03,18:05:00,70.13,70.14,70.0,70.12,9999,0
2015-02-03,18:10:00,70.1,70.1,69.9,69.94,9100,0
2015-02-03,18:15:00,69.94,70.0,69.78,69.78,4796,0
2015-02-03,18:20:00,69.7469,69.78,69.49,69.52,10872,0
2015-02-03,18:25:00,69.58,69.63,69.53,69.54,10779,0
2015-02-03,18:30:00,69.51,69.54,69.4,69.44,9328,0
2015-02-03,18:35:00,69.45,69.46,69.37,69.41,9934,0
2015-02-03,18:40:00,69.54,69.76,69.47,69.7,13149,0
2015-02-03,18:45:00,69.7,69.72,69.34,69.38,31210,0
2015-02-03,18:50:00,69.57,69.73,69.47,69.48,7525,0
2015-02-03,18:55:00,69.47,69.62,69.47,69.62,4800,0
2015-02-03,19:00:00,69.64,69.66,69.52,69.57,7800,0
2015-02-03,19:05:00,69.57,69.59,69.525,69.58,6100,0
2015-02-03,19:10:00,69.63,69.66,69.52,69.52,10300,0
2015-02-03,19:15:00,69.59,69.87,69.51,69.8403,13229,0
2015-02-03,19:20:00,69.84,70.09,69.84,69.94,6442,0
2015-02-03,19:25:00,69.95,70.09,69.89,69.97,5300,0
2015-02-03,19:30:00,70.08,70.2499,70.05,70.16,3500,0
2015-02-03,19:35:00,70.26,70.72,70.26,70.62,10810,0
2015-02-03,19:40:00,70.64,70.64,70.3,70.41,11460,0
2015-02-03,19:45:00,70.48,70.8,70.42,70.78,10121,0
2015-02-03,19:50:00,70.79,70.84,70.66,70.71,8150,0
2015-02-03,19:55:00,70.78,70.87,70.65,70.83,8571,0
2015-02-03,20:00:00,70.78,70.8,70.7,70.7,6572,0
2015-02-03,20:05:00,70.6901,70.76,70.65,70.76,15967,0
2015-02-03,20:10:00,70.7,70.79,70.61,70.63,10000,0
2015-02-03,20:15:00,70.62,70.7,70.55,70.665,10374,0
2015-02-03,20:20:00,70.74,70.87,70.65,70.82,14800,0
2015-02-03,20:25:00,70.77,70.8299,70.7,70.78,8850,0
2015-02-03,20:30:00,70.78,71.01,70.72,71.01,8550,0
2015-02-03,20:35:00,70.99,70.99,70.88,70.91,12173,0
2015-02-03,20:40:00,70.91,71.01,70.75,71.01,12900,0
2015-02-03,20:45:00,71.02,71.12,70.97,71.09,8986,0
2015-02-03,20:50:00,71.07,71.095,70.77,70.8,26790,0
2015-02-03,20:55:00,70.78,70.93,70.76,70.9,36478,0
2015-02-03,21:00:00,70.82,70.84,70.63,70.78,11260,0
2015-02-03,21:05:00,70.81,70.89,70.73,70.89,9700,0
2015-02-03,21:10:00,70.895,70.93,70.64,70.64,32845,0
2015-02-03,21:15:00,70.63,70.649,70.46,70.46,6350,0
2015-02-03,21:20:00,70.51,70.51,70.39,70.45,13200,0
2015-02-03,21:25:00,70.43,70.49,70.4001,70.41,12010,0
2015-02-03,21:30:00,70.43,70.47,70.36,70.36,29778,0
2015-02-03,21:35:00,70.36,70.39,70.21,70.28,14500,0
2015-02-03,21:40:00,70.339,70.339,70.08,70.27,17905,0
