Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-10,20:45:00,12.650,12.650,12.650,12.650,100,0
2014-12-10,21:10:00,12.68,12.68,12.68,12.68,611,0
2014-12-10,21:20:00,12.7,12.7,12.7,12.7,100,0
2014-12-10,21:25:00,12.68,12.68,12.68,12.68,700,0
2014-12-10,21:40:00,12.69,12.69,12.67,12.68,2452,0
2014-12-10,22:00:00,12.55,12.92,12.55,12.92,1524,0
2014-12-11,15:35:00,12.54,12.54,12.54,12.54,300,0
2014-12-11,15:50:00,12.86,12.86,12.86,12.86,600,0
2014-12-11,17:10:00,12.52,12.55,12.52,12.55,200,0
2014-12-11,17:40:00,12.789,12.789,12.789,12.789,650,0
2014-12-11,18:45:00,12.77,12.77,12.76,12.76,900,0
2014-12-11,18:55:00,12.78,12.78,12.78,12.78,200,0
2014-12-11,19:00:00,12.79,12.79,12.79,12.79,300,0
2014-12-11,19:20:00,12.8999,12.8999,12.8999,12.8999,180,0
2014-12-11,19:45:00,12.85,12.85,12.85,12.85,200,0
2014-12-11,20:30:00,12.7,12.7,12.578,12.578,1173,0
2014-12-11,20:40:00,12.65,12.65,12.65,12.65,100,0
2014-12-11,20:50:00,12.66,12.66,12.66,12.66,100,0
2014-12-11,21:05:00,12.67,12.67,12.67,12.67,100,0
2014-12-11,21:10:00,12.73,12.73,12.73,12.73,440,0
2014-12-11,21:20:00,12.75,12.75,12.75,12.75,100,0
2014-12-11,21:55:00,12.78,12.78,12.78,12.78,300,0
2014-12-11,22:00:00,12.83,12.83,12.83,12.83,429,0
2014-12-12,16:20:00,12.7549,12.7549,12.7549,12.7549,167,0
2014-12-12,16:50:00,12.7,12.7,12.7,12.7,2000,0
2014-12-12,18:00:00,12.79,12.79,12.79,12.79,100,0
2014-12-12,18:05:00,12.79,12.79,12.79,12.79,100,0
2014-12-12,19:00:00,12.7508,12.7508,12.7508,12.7508,200,0
2014-12-12,19:15:00,12.79,12.79,12.79,12.79,1200,0
2014-12-12,20:30:00,12.81,12.81,12.81,12.81,300,0
2014-12-12,21:00:00,12.81,12.81,12.81,12.81,100,0
2014-12-12,21:35:00,12.802,12.802,12.802,12.802,399,0
2014-12-15,15:45:00,12.848,12.848,12.848,12.848,200,0
2014-12-15,16:05:00,12.8,12.8,12.79,12.79,1254,0
2014-12-15,16:15:00,12.79,12.79,12.79,12.79,200,0
2014-12-15,16:20:00,12.79,12.79,12.79,12.79,300,0
2014-12-15,16:50:00,12.78,12.79,12.78,12.79,200,0
2014-12-15,17:10:00,12.7999,12.7999,12.7999,12.7999,520,0
2014-12-15,18:00:00,12.79,12.79,12.79,12.79,500,0
2014-12-15,18:05:00,12.81,12.81,12.81,12.81,842,0
2014-12-15,18:45:00,12.85,12.85,12.85,12.85,100,0
2014-12-15,20:00:00,12.82,12.82,12.7702,12.7702,610,0
2014-12-15,20:15:00,12.79,12.79,12.79,12.79,200,0
2014-12-15,20:35:00,12.77,12.77,12.77,12.77,100,0
2014-12-15,20:40:00,12.8,12.8,12.75,12.8,2822,0
2014-12-15,20:50:00,12.79,12.8,12.79,12.8,890,0
2014-12-15,21:30:00,12.78,12.8,12.78,12.8,3985,0
2014-12-15,21:45:00,12.8,12.8,12.8,12.8,200,0
2014-12-15,21:50:00,12.79,12.79,12.79,12.79,300,0
2014-12-15,22:00:00,12.79,12.79,12.79,12.79,100,0
2014-12-16,15:50:00,12.721,12.721,12.721,12.721,200,0
2014-12-16,16:20:00,12.7201,12.7201,12.7201,12.7201,340,0
2014-12-16,16:30:00,12.77,12.77,12.77,12.77,100,0
2014-12-16,16:35:00,12.76,12.8,12.76,12.76,2300,0
2014-12-16,16:55:00,12.77,12.79,12.77,12.79,1100,0
2014-12-16,17:00:00,12.77,12.77,12.75,12.75,2760,0
2014-12-16,17:35:00,12.78,12.7902,12.72,12.72,3139,0
2014-12-16,18:05:00,12.7899,12.7899,12.75,12.75,650,0
2014-12-16,18:20:00,12.75,12.79,12.75,12.79,1795,0
2014-12-16,18:25:00,12.79,12.79,12.78,12.79,900,0
2014-12-16,18:30:00,12.76,12.79,12.72,12.79,2561,0
2014-12-16,18:50:00,12.79,12.79,12.78,12.79,700,0
2014-12-16,19:50:00,12.72,12.72,12.72,12.72,203,0
2014-12-16,20:00:00,12.78,12.78,12.78,12.78,100,0
2014-12-16,20:05:00,12.8,12.8,12.8,12.8,200,0
2014-12-16,20:20:00,12.72,12.7201,12.72,12.7201,2800,0
2014-12-16,20:55:00,12.79,12.79,12.77,12.77,1200,0
2014-12-16,21:00:00,12.7665,12.83,12.7665,12.83,300,0
2014-12-16,21:20:00,12.86,12.86,12.84,12.84,1110,0
2014-12-16,21:35:00,12.86,12.86,12.86,12.86,662,0
2014-12-16,21:40:00,12.86,12.86,12.86,12.86,4876,0
2014-12-17,15:40:00,12.82,12.82,12.82,12.82,100,0
2014-12-17,15:45:00,12.84,12.84,12.84,12.84,200,0
2014-12-17,16:10:00,12.84,12.84,12.84,12.84,200,0
2014-12-17,16:15:00,12.85,12.85,12.83,12.83,4023,0
2014-12-17,17:35:00,12.89,12.9,12.88,12.9,3300,0
2014-12-17,17:45:00,12.84,12.85,12.83,12.83,2404,0
