Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-05-13,21:55:00,1.1900,1.1900,1.1900,1.1900,100,0
2013-05-14,15:35:00,1.01,1.01,1.01,1.01,1000,0
2013-05-14,16:05:00,1.13,1.15,1.13,1.15,500,0
2013-05-14,16:10:00,1.12,1.14,1.12,1.14,700,0
2013-05-14,17:40:00,1.06,1.0675,1.05,1.0675,1100,0
2013-05-14,18:15:00,1.1,1.1,1.1,1.1,1500,0
2013-05-14,18:30:00,1.1,1.1,1.1,1.1,2000,0
2013-05-14,19:05:00,1.15,1.15,1.15,1.15,200,0
2013-05-14,21:35:00,1.11,1.11,1.07,1.07,1800,0
2013-05-14,22:00:00,1.05,1.062,1.05,1.062,1000,0
2013-05-15,15:35:00,1.1,1.1,1.1,1.1,100,0
2013-05-15,17:45:00,1.14,1.2,1.14,1.2,3000,0
2013-05-15,19:15:00,1.1999,1.2174,1.1999,1.2174,1800,0
2013-05-15,21:10:00,1.17,1.17,1.17,1.17,400,0
2013-05-15,21:15:00,1.209,1.209,1.209,1.209,300,0
2013-05-17,15:40:00,1.2,1.2,1.1,1.1,6400,0
2013-05-17,15:50:00,1.12,1.12,1.1,1.1,3900,0
2013-05-17,16:35:00,1.18,1.18,1.18,1.18,200,0
2013-05-17,17:15:00,1.18,1.18,1.18,1.18,1000,0
2013-05-17,21:00:00,1.2,1.2,1.2,1.2,100,0
2013-05-17,21:45:00,1.1999,1.1999,1.1999,1.1999,500,0
2013-05-17,22:00:00,1.15,1.15,1.15,1.15,200,0
2013-05-20,19:25:00,1.08,1.0801,1.0325,1.0325,2100,0
2013-05-20,19:50:00,1.06,1.15,1.0366,1.0366,1500,0
2013-05-20,19:55:00,1.05,1.05,1.05,1.05,800,0
2013-05-20,20:55:00,1.08,1.08,1.08,1.08,200,0
2013-05-20,21:20:00,1.03,1.0597,1.03,1.0597,1000,0
2013-05-20,21:45:00,1.01,1.011,1.0,1.0,400,0
2013-05-20,21:55:00,1.06,1.07,1.06,1.07,1600,0
2013-05-21,20:35:00,1.07,1.07,1.07,1.07,500,0
2013-05-22,20:05:00,1.09,1.09,1.09,1.09,200,0
2013-05-23,16:35:00,1.0,1.0,1.0,1.0,2000,0
2013-05-23,21:45:00,1.07,1.07,1.07,1.07,200,0
2013-05-24,16:15:00,1.03,1.03,1.0,1.0,1300,0
2013-05-24,16:30:00,1.01,1.011,1.01,1.011,1600,0
2013-05-24,16:55:00,1.11,1.11,1.11,1.11,200,0
2013-05-30,18:00:00,1.05,1.05,1.0001,1.0001,2100,0
2013-05-30,18:20:00,1.0001,1.0001,1.0,1.0,11500,0
2013-05-30,18:25:00,1.0,1.0,1.0,1.0,40300,0
2013-05-30,19:50:00,0.9828,0.9828,0.9828,0.9828,1000,0
2013-05-30,20:00:00,0.99,1.03,0.99,1.03,4400,0
2013-05-30,20:05:00,1.15,1.15,1.15,1.15,100,0
2013-05-30,20:30:00,1.1,1.1,0.9786,0.9786,1000,0
2013-05-30,20:40:00,1.05,1.05,1.05,1.05,100,0
2013-05-30,20:55:00,1.0101,1.0101,1.0101,1.0101,155,0
2013-05-30,21:20:00,1.05,1.05,1.05,1.05,100,0
2013-05-30,22:00:00,1.06,1.06,1.06,1.06,2900,0
2013-05-31,18:20:00,1.0,1.0,1.0,1.0,200,0
2013-05-31,19:20:00,1.05,1.05,1.05,1.05,100,0
2013-05-31,19:25:00,1.02,1.02,1.02,1.02,200,0
2013-05-31,21:15:00,1.0,1.0,1.0,1.0,200,0
2013-05-31,21:30:00,1.07,1.07,1.07,1.07,200,0
2013-06-03,15:35:00,0.9,0.9,0.9,0.9,2840,0
2013-06-03,16:45:00,1.0,1.01,1.0,1.01,300,0
2013-06-03,18:10:00,1.029,1.029,1.029,1.029,100,0
2013-06-03,20:15:00,1.0,1.0,0.95,0.9636,500,0
2013-06-03,20:30:00,1.0,1.05,0.97,1.0,1100,0
2013-06-04,16:55:00,1.06,1.06,1.06,1.06,900,0
2013-06-04,20:25:00,1.01,1.01,1.01,1.01,200,0
2013-06-04,21:55:00,1.06,1.06,1.06,1.06,100,0
2013-06-07,16:15:00,0.88,0.88,0.85,0.85,1085,0
