Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,20:05:00,2.890,2.890,2.890,2.890,3045,0
2015-02-02,20:10:00,2.9,2.9,2.89,2.89,1400,0
2015-02-02,20:15:00,2.885,2.8899,2.88,2.88,1500,0
2015-02-02,20:20:00,2.89,2.9,2.89,2.895,15000,0
2015-02-02,20:25:00,2.8999,2.8999,2.89,2.89,2100,0
2015-02-02,20:30:00,2.885,2.8867,2.885,2.8867,3100,0
2015-02-02,20:35:00,2.89,2.895,2.885,2.89,4000,0
2015-02-02,20:40:00,2.88,2.88,2.8799,2.8799,17703,0
2015-02-02,20:45:00,2.87,2.88,2.87,2.88,700,0
2015-02-02,20:50:00,2.879,2.88,2.875,2.88,12200,0
2015-02-02,20:55:00,2.87,2.8807,2.87,2.8807,8765,0
2015-02-02,21:00:00,2.88,2.88,2.87,2.87,1200,0
2015-02-02,21:05:00,2.87,2.87,2.87,2.87,600,0
2015-02-02,21:10:00,2.871,2.875,2.87,2.875,700,0
2015-02-02,21:15:00,2.875,2.9,2.875,2.8999,13960,0
2015-02-02,21:20:00,2.9,2.9,2.89,2.89,4900,0
2015-02-02,21:25:00,2.89,2.89,2.88,2.885,21200,0
2015-02-02,21:30:00,2.885,2.885,2.88,2.88,2800,0
2015-02-02,21:35:00,2.885,2.89,2.88,2.88,18640,0
2015-02-02,21:40:00,2.88,2.887,2.88,2.885,30204,0
2015-02-02,21:45:00,2.89,2.9,2.885,2.9,5924,0
2015-02-02,21:50:00,2.9,2.9,2.89,2.89,3345,0
2015-02-02,21:55:00,2.9,2.92,2.89,2.89,20019,0
2015-02-02,22:00:00,2.895,2.9,2.89,2.9,56548,0
2015-02-03,15:35:00,2.9,2.94,2.9,2.94,20765,0
2015-02-03,15:40:00,2.93,2.98,2.93,2.98,22898,0
2015-02-03,15:45:00,2.99,2.99,2.96,2.96,3200,0
2015-02-03,15:50:00,2.965,2.97,2.94,2.94,3600,0
2015-02-03,15:55:00,2.946,2.95,2.93,2.93,19400,0
2015-02-03,16:00:00,2.94,2.95,2.94,2.95,10800,0
2015-02-03,16:05:00,2.96,2.96,2.95,2.96,23950,0
2015-02-03,16:10:00,2.95,2.96,2.95,2.95,5942,0
2015-02-03,16:15:00,2.95,2.95,2.93,2.93,5800,0
2015-02-03,16:20:00,2.93,2.9301,2.91,2.92,20169,0
2015-02-03,16:25:00,2.92,2.94,2.91,2.91,4000,0
2015-02-03,16:30:00,2.92,2.92,2.91,2.9199,15000,0
2015-02-03,16:35:00,2.91,2.9108,2.9,2.9,4780,0
2015-02-03,16:40:00,2.905,2.91,2.9,2.905,6500,0
2015-02-03,16:45:00,2.9099,2.91,2.9,2.905,21340,0
2015-02-03,16:50:00,2.91,2.91,2.9,2.9,4200,0
2015-02-03,16:55:00,2.91,2.91,2.89,2.91,29830,0
2015-02-03,17:00:00,2.91,2.91,2.9,2.91,1600,0
2015-02-03,17:05:00,2.9,2.91,2.9,2.91,1600,0
2015-02-03,17:10:00,2.9,2.91,2.9,2.905,16000,0
2015-02-03,17:15:00,2.92,2.93,2.91,2.93,10140,0
2015-02-03,17:20:00,2.93,2.94,2.93,2.94,400,0
2015-02-03,17:25:00,2.94,2.94,2.93,2.933,2825,0
2015-02-03,17:30:00,2.94,2.94,2.93,2.94,1700,0
2015-02-03,17:35:00,2.93,2.94,2.93,2.9399,7480,0
2015-02-03,17:40:00,2.93,2.93,2.92,2.93,1300,0
2015-02-03,17:45:00,2.93,2.93,2.925,2.93,2920,0
2015-02-03,17:50:00,2.93,2.93,2.92,2.9299,3770,0
2015-02-03,17:55:00,2.925,2.93,2.92,2.92,2700,0
2015-02-03,18:00:00,2.925,2.925,2.91,2.91,22945,0
2015-02-03,18:05:00,2.915,2.915,2.9,2.9,3800,0
2015-02-03,18:10:00,2.9,2.91,2.9,2.9,6500,0
2015-02-03,18:15:00,2.897,2.9099,2.897,2.9099,3100,0
2015-02-03,18:20:00,2.91,2.91,2.905,2.91,2800,0
2015-02-03,18:25:00,2.91,2.91,2.9,2.9,3060,0
2015-02-03,18:30:00,2.8999,2.91,2.8999,2.905,6938,0
2015-02-03,18:35:00,2.91,2.91,2.89,2.89,12446,0
2015-02-03,18:40:00,2.89,2.91,2.8899,2.91,8200,0
2015-02-03,18:45:00,2.91,2.91,2.905,2.91,8800,0
2015-02-03,18:50:00,2.91,2.93,2.905,2.92,28310,0
2015-02-03,18:55:00,2.93,2.93,2.91,2.91,9800,0
2015-02-03,19:00:00,2.92,2.92,2.92,2.92,100,0
2015-02-03,19:05:00,2.915,2.93,2.915,2.92,3661,0
2015-02-03,19:10:00,2.915,2.925,2.915,2.92,1000,0
2015-02-03,19:15:00,2.91,2.92,2.91,2.92,2300,0
2015-02-03,19:20:00,2.92,2.92,2.92,2.92,100,0
2015-02-03,19:25:00,2.92,2.92,2.92,2.92,2300,0
2015-02-03,19:30:00,2.92,2.93,2.915,2.9299,5143,0
2015-02-03,19:35:00,2.9201,2.95,2.9201,2.945,20224,0
2015-02-03,19:40:00,2.95,2.95,2.93,2.93,3250,0
2015-02-03,19:45:00,2.93,2.93,2.92,2.93,8800,0
2015-02-03,19:50:00,2.93,2.94,2.93,2.94,3100,0
2015-02-03,19:55:00,2.95,2.95,2.95,2.95,1300,0
