Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,130.99,131.45,130.98,131.25,29630,0
2015-02-03,16:55:00,131.265,131.32,130.895,131.18,16500,0
2015-02-03,17:00:00,131.3,131.38,131.115,131.38,7300,0
2015-02-03,17:05:00,131.245,131.77,131.14,131.71,7898,0
2015-02-03,17:10:00,131.66,132.23,131.53,132.07,8347,0
2015-02-03,17:15:00,132.06,132.3,131.85,132.02,15150,0
2015-02-03,17:20:00,132.1,132.29,132.03,132.1,6600,0
2015-02-03,17:25:00,132.125,132.125,131.49,131.53,14310,0
2015-02-03,17:30:00,131.51,131.72,131.32,131.41,14500,0
2015-02-03,17:35:00,131.3,131.45,130.88,131.0,35993,0
2015-02-03,17:40:00,130.97,131.12,130.87,130.875,28374,0
2015-02-03,17:45:00,130.985,131.49,130.86,131.39,57199,0
2015-02-03,17:50:00,131.28,131.32,131.04,131.3005,14580,0
2015-02-03,17:55:00,131.27,131.52,130.95,131.02,24248,0
2015-02-03,18:00:00,131.04,131.06,130.65,130.65,6356,0
2015-02-03,18:05:00,130.65,130.84,130.65,130.84,6380,0
2015-02-03,18:10:00,130.88,139.36,130.805,139.36,208072,0
2015-02-03,18:15:00,140.0,141.83,136.18,139.44,518593,0
2015-02-03,18:20:00,139.336,140.69,139.0,139.09,357004,0
2015-02-03,18:25:00,139.08,139.09,137.68,138.2,207612,0
2015-02-03,18:30:00,138.2,138.39,137.2,138.1,185442,0
2015-02-03,18:35:00,138.14,138.84,137.61,138.58,144238,0
2015-02-03,18:40:00,138.57,139.42,138.3,139.03,65544,0
2015-02-03,18:45:00,138.93,139.0,138.69,138.7905,28946,0
2015-02-03,18:50:00,138.7805,139.66,138.78,139.09,59734,0
2015-02-03,18:55:00,139.02,141.25,138.84,141.19,134603,0
2015-02-03,19:00:00,141.28,141.76,140.15,140.57,70248,0
2015-02-03,19:05:00,140.58,142.0,140.28,141.195,129865,0
2015-02-03,19:10:00,141.2203,142.01,140.79,141.93,140427,0
2015-02-03,19:15:00,141.98,142.7,141.4,141.84,183436,0
2015-02-03,19:20:00,142.0,142.16,141.18,141.18,62871,0
2015-02-03,19:25:00,141.29,141.8,141.22,141.56,40548,0
2015-02-03,19:30:00,141.56,142.03,141.45,141.61,82150,0
2015-02-03,19:35:00,141.6675,141.88,141.42,141.67,141727,0
2015-02-03,19:40:00,141.66,141.71,141.35,141.3797,71193,0
2015-02-03,19:45:00,141.36,141.53,141.35,141.44,39576,0
2015-02-03,19:50:00,141.48,141.52,140.46,140.93,61237,0
2015-02-03,19:55:00,140.925,141.28,140.86,141.11,61206,0
2015-02-03,20:00:00,141.11,142.84,141.04,141.825,101355,0
2015-02-03,20:05:00,141.83,142.0,141.44,141.6,48666,0
2015-02-03,20:10:00,141.59,142.29,141.59,142.06,60416,0
2015-02-03,20:15:00,142.03,142.56,142.0,142.33,23122,0
2015-02-03,20:20:00,142.33,143.74,142.31,143.55,83276,0
2015-02-03,20:25:00,143.55,144.91,143.01,143.18,114017,0
2015-02-03,20:30:00,143.18,143.22,142.57,143.095,40853,0
2015-02-03,20:35:00,143.08,143.18,141.93,142.06,76354,0
2015-02-03,20:40:00,142.07,142.1,141.13,141.83,49500,0
2015-02-03,20:45:00,141.585,141.66,140.8,141.21,60691,0
2015-02-03,20:50:00,141.1375,141.8595,141.095,141.7,34700,0
2015-02-03,20:55:00,141.62,141.73,141.03,141.15,62538,0
2015-02-03,21:00:00,141.19,141.29,140.65,140.75,54469,0
2015-02-03,21:05:00,140.67,140.94,140.5,140.65,59850,0
2015-02-03,21:10:00,140.61,141.05,140.6,140.62,30976,0
2015-02-03,21:15:00,140.672,141.12,140.6,141.01,54287,0
2015-02-03,21:20:00,141.065,141.12,140.97,140.99,46601,0
2015-02-03,21:25:00,141.01,141.46,141.0,141.02,75650,0
2015-02-03,21:30:00,141.02,141.66,140.68,141.62,66068,0
2015-02-03,21:35:00,141.55,142.47,141.44,142.22,98996,0
2015-02-03,21:40:00,142.21,142.85,142.08,142.45,85222,0
2015-02-03,21:45:00,142.36,142.44,141.65,142.14,181408,0
2015-02-03,21:50:00,142.03,142.23,141.61,141.9,88461,0
2015-02-03,21:55:00,141.86,141.9,140.89,140.94,76300,0
2015-02-03,22:00:00,140.93,141.04,140.41,140.47,246690,0
2015-02-04,15:35:00,140.36,140.7499,138.3,138.85,56585,0
2015-02-04,15:40:00,138.83,141.39,138.7,140.985,47794,0
2015-02-04,15:45:00,140.82,140.82,140.1,140.44,30042,0
2015-02-04,15:50:00,140.615,141.298,140.465,141.0,10640,0
2015-02-04,15:55:00,141.0,141.17,140.05,140.5,39496,0
2015-02-04,16:00:00,140.365,140.52,139.89,139.89,4882,0
2015-02-04,16:05:00,140.09,140.52,140.007,140.23,15574,0
