Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:55:00,3.52,3.53,3.51,3.51,76066,0
2015-02-02,22:00:00,3.51,3.52,3.51,3.515,108243,0
2015-02-03,15:35:00,3.54,3.54,3.5,3.54,13500,0
2015-02-03,15:40:00,3.54,3.55,3.54,3.55,4000,0
2015-02-03,15:45:00,3.54,3.54,3.51,3.53,6225,0
2015-02-03,15:50:00,3.53,3.53,3.51,3.53,12909,0
2015-02-03,15:55:00,3.51,3.55,3.51,3.5201,112030,0
2015-02-03,16:05:00,3.533,3.58,3.53,3.5601,50728,0
2015-02-03,16:10:00,3.57,3.57,3.55,3.56,57490,0
2015-02-03,16:15:00,3.56,3.5632,3.56,3.56,12358,0
2015-02-03,16:20:00,3.5501,3.58,3.55,3.58,34984,0
2015-02-03,16:25:00,3.57,3.5701,3.56,3.57,11300,0
2015-02-03,16:30:00,3.57,3.57,3.56,3.57,7800,0
2015-02-03,16:35:00,3.58,3.58,3.56,3.56,29144,0
2015-02-03,16:40:00,3.55,3.5501,3.53,3.54,30715,0
2015-02-03,16:45:00,3.54,3.54,3.53,3.54,15080,0
2015-02-03,16:50:00,3.55,3.55,3.51,3.515,90679,0
2015-02-03,16:55:00,3.51,3.52,3.4965,3.5,76604,0
2015-02-03,17:00:00,3.4901,3.4999,3.48,3.48,15017,0
2015-02-03,17:05:00,3.48,3.48,3.48,3.48,3640,0
2015-02-03,17:10:00,3.48,3.48,3.44,3.46,48918,0
2015-02-03,17:15:00,3.46,3.464,3.46,3.464,3300,0
2015-02-03,17:20:00,3.46,3.476,3.4599,3.476,3600,0
2015-02-03,17:25:00,3.47,3.48,3.47,3.48,9100,0
2015-02-03,17:30:00,3.479,3.48,3.47,3.47,5800,0
2015-02-03,17:35:00,3.47,3.47,3.47,3.47,4100,0
2015-02-03,17:40:00,3.47,3.48,3.47,3.48,21831,0
2015-02-03,17:45:00,3.48,3.5,3.48,3.499,49636,0
2015-02-03,17:50:00,3.49,3.4918,3.49,3.4918,2500,0
2015-02-03,17:55:00,3.49,3.5,3.48,3.48,4300,0
2015-02-03,18:00:00,3.4799,3.49,3.46,3.49,25850,0
2015-02-03,18:05:00,3.48,3.49,3.48,3.49,3656,0
2015-02-03,18:10:00,3.48,3.51,3.48,3.49,6382,0
2015-02-03,18:15:00,3.49,3.495,3.47,3.4801,16500,0
2015-02-03,18:20:00,3.48,3.4822,3.48,3.48,1050,0
2015-02-03,18:25:00,3.48,3.48,3.48,3.48,500,0
2015-02-03,18:30:00,3.487,3.49,3.48,3.49,16800,0
2015-02-03,18:35:00,3.49,3.49,3.49,3.49,1700,0
2015-02-03,18:40:00,3.49,3.49,3.49,3.49,600,0
2015-02-03,18:45:00,3.49,3.49,3.49,3.49,400,0
2015-02-03,18:50:00,3.495,3.5,3.48,3.4899,4000,0
2015-02-03,18:55:00,3.485,3.5001,3.48,3.5,20460,0
2015-02-03,19:00:00,3.49,3.49,3.49,3.49,300,0
2015-02-03,19:05:00,3.49,3.49,3.49,3.49,500,0
2015-02-03,19:10:00,3.49,3.49,3.49,3.49,2200,0
2015-02-03,19:15:00,3.49,3.5,3.48,3.5,18800,0
2015-02-03,19:20:00,3.5,3.51,3.5,3.51,1000,0
2015-02-03,19:25:00,3.5,3.5,3.5,3.5,5700,0
2015-02-03,19:35:00,3.505,3.52,3.5,3.52,8200,0
2015-02-03,19:40:00,3.51,3.51,3.51,3.51,3740,0
2015-02-03,19:45:00,3.51,3.515,3.51,3.515,5058,0
2015-02-03,19:50:00,3.515,3.52,3.515,3.52,717,0
2015-02-03,19:55:00,3.51,3.53,3.51,3.53,12094,0
2015-02-03,20:00:00,3.53,3.54,3.53,3.54,6115,0
2015-02-03,20:05:00,3.539,3.54,3.535,3.54,2317,0
2015-02-03,20:10:00,3.549,3.55,3.54,3.54,19293,0
2015-02-03,20:15:00,3.53,3.535,3.53,3.535,7496,0
2015-02-03,20:20:00,3.54,3.545,3.52,3.525,21590,0
2015-02-03,20:25:00,3.525,3.53,3.52,3.52,3200,0
2015-02-03,20:30:00,3.525,3.53,3.52,3.53,3300,0
2015-02-03,20:35:00,3.53,3.55,3.53,3.55,12958,0
2015-02-03,20:40:00,3.55,3.55,3.54,3.55,4350,0
2015-02-03,20:45:00,3.55,3.56,3.54,3.56,23035,0
2015-02-03,20:50:00,3.56,3.57,3.56,3.565,4450,0
2015-02-03,20:55:00,3.565,3.57,3.56,3.56,6000,0
2015-02-03,21:00:00,3.56,3.57,3.55,3.56,17045,0
2015-02-03,21:05:00,3.56,3.57,3.56,3.57,45268,0
2015-02-03,21:10:00,3.57,3.57,3.565,3.57,4500,0
2015-02-03,21:15:00,3.565,3.57,3.55,3.555,7600,0
2015-02-03,21:20:00,3.555,3.56,3.55,3.555,1100,0
2015-02-03,21:25:00,3.55,3.56,3.55,3.56,1100,0
2015-02-03,21:30:00,3.5533,3.56,3.53,3.535,23976,0
2015-02-03,21:35:00,3.535,3.535,3.53,3.53,500,0
2015-02-03,21:40:00,3.5364,3.54,3.53,3.5382,9520,0
2015-02-03,21:45:00,3.5316,3.54,3.53,3.5316,3000,0
2015-02-03,21:50:00,3.53,3.54,3.53,3.54,2809,0
2015-02-03,21:55:00,3.54,3.55,3.53,3.53,41467,0
2015-02-03,22:00:00,3.53,3.54,3.53,3.54,156442,0
2015-02-04,15:35:00,3.5,3.51,3.47,3.48,61286,0
2015-02-04,15:40:00,3.47,3.49,3.46,3.47,38375,0
2015-02-04,15:45:00,3.4773,3.4784,3.4773,3.4784,28500,0
2015-02-04,15:50:00,3.475,3.48,3.47,3.4799,57210,0
2015-02-04,15:55:00,3.47,3.49,3.47,3.49,27843,0
2015-02-04,16:00:00,3.49,3.49,3.48,3.48,300,0
2015-02-04,16:05:00,3.49,3.5,3.48,3.48,19726,0
2015-02-04,16:10:00,3.485,3.53,3.485,3.505,20359,0
2015-02-04,16:15:00,3.51,3.5201,3.505,3.52,5030,0
2015-02-04,16:20:00,3.52,3.52,3.51,3.51,4546,0
2015-02-04,16:25:00,3.51,3.51,3.49,3.49,3400,0
2015-02-04,16:30:00,3.49,3.495,3.48,3.48,3500,0
2015-02-04,16:35:00,3.48,3.49,3.47,3.48,7370,0
2015-02-04,16:40:00,3.48,3.48,3.47,3.47,13652,0
2015-02-04,16:45:00,3.47,3.48,3.47,3.475,13100,0
2015-02-04,16:50:00,3.48,3.4899,3.48,3.4899,20800,0
2015-02-04,16:55:00,3.48,3.49,3.48,3.48,22100,0
2015-02-04,17:00:00,3.48,3.485,3.48,3.48,4200,0
2015-02-04,17:05:00,3.48,3.49,3.47,3.49,23100,0
2015-02-04,17:10:00,3.49,3.55,3.485,3.5462,32280,0
2015-02-04,17:15:00,3.5499,3.5499,3.54,3.54,1699,0
2015-02-04,17:20:00,3.54,3.55,3.54,3.54,3174,0
2015-02-04,17:25:00,3.54,3.545,3.54,3.54,16210,0
2015-02-04,17:30:00,3.54,3.54,3.53,3.53,2900,0
2015-02-04,17:35:00,3.53,3.531,3.53,3.53,2184,0
2015-02-04,17:40:00,3.53,3.5399,3.52,3.52,9363,0
2015-02-04,17:45:00,3.52,3.54,3.52,3.531,6100,0
2015-02-04,17:50:00,3.53,3.53,3.53,3.53,200,0
2015-02-04,17:55:00,3.53,3.5399,3.53,3.53,3000,0
2015-02-04,18:00:00,3.53,3.536,3.53,3.53,3600,0
2015-02-04,18:05:00,3.53,3.54,3.53,3.53,7200,0
2015-02-04,18:10:00,3.53,3.53,3.52,3.52,14900,0
2015-02-04,18:15:00,3.52,3.525,3.52,3.52,2000,0
2015-02-04,18:20:00,3.52,3.53,3.52,3.525,7919,0
2015-02-04,18:25:00,3.53,3.53,3.525,3.525,5400,0
2015-02-04,18:30:00,3.535,3.535,3.535,3.535,700,0
2015-02-04,18:35:00,3.535,3.535,3.53,3.53,400,0
2015-02-04,18:40:00,3.53,3.535,3.515,3.52,6089,0
2015-02-04,18:45:00,3.52,3.54,3.52,3.54,5848,0
2015-02-04,18:50:00,3.541,3.541,3.54,3.54,500,0
2015-02-04,18:55:00,3.54,3.5401,3.54,3.54,7580,0
2015-02-04,19:00:00,3.531,3.54,3.53,3.54,5300,0
2015-02-04,19:05:00,3.53,3.53,3.53,3.53,500,0
2015-02-04,19:10:00,3.54,3.55,3.535,3.545,5364,0
2015-02-04,19:15:00,3.55,3.55,3.5401,3.5401,3200,0
2015-02-04,19:20:00,3.54,3.55,3.54,3.54,300,0
2015-02-04,19:25:00,3.54,3.55,3.54,3.55,24840,0
2015-02-04,19:30:00,3.553,3.553,3.553,3.553,32500,0
2015-02-04,19:35:00,3.55,3.55,3.55,3.55,300,0
2015-02-04,19:40:00,3.55,3.56,3.55,3.55,4820,0
2015-02-04,19:45:00,3.555,3.555,3.54,3.54,13264,0
2015-02-04,19:50:00,3.55,3.57,3.55,3.5601,10087,0
2015-02-04,19:55:00,3.5601,3.5601,3.5601,3.5601,2500,0
