Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-21,20:50:00,18.430,18.440,18.430,18.440,200,0
2015-01-21,20:55:00,18.45,18.46,18.45,18.46,2000,0
2015-01-21,21:00:00,18.47,18.47,18.47,18.47,400,0
2015-01-21,21:10:00,18.47,18.47,18.4,18.4,1700,0
2015-01-21,21:25:00,18.4303,18.46,18.4303,18.46,300,0
2015-01-21,21:35:00,18.42,18.44,18.4,18.4,44500,0
2015-01-21,21:55:00,18.36,18.39,18.24,18.39,5756,0
2015-01-21,22:00:00,18.33,18.33,18.24,18.25,4018,0
2015-01-22,15:35:00,18.35,18.35,18.29,18.29,500,0
2015-01-22,15:40:00,18.2,18.2,18.15,18.2,1480,0
2015-01-22,15:45:00,18.15,18.15,18.15,18.15,300,0
2015-01-22,15:55:00,18.0101,18.02,18.01,18.01,1200,0
2015-01-22,16:00:00,17.94,17.95,17.93,17.93,2900,0
2015-01-22,16:05:00,17.88,17.8901,17.88,17.8901,3000,0
2015-01-22,16:10:00,17.97,18.131,17.92,17.92,3618,0
2015-01-22,16:15:00,17.901,17.937,17.9,17.937,2050,0
2015-01-22,16:25:00,17.99,18.1,17.99,18.1,4200,0
2015-01-22,17:00:00,18.39,18.39,18.34,18.39,1600,0
2015-01-22,18:00:00,18.25,18.25,18.11,18.24,3000,0
2015-01-22,18:05:00,18.24,18.33,18.15,18.22,2100,0
2015-01-22,18:35:00,18.3,18.3,18.3,18.3,300,0
2015-01-22,18:50:00,18.35,18.4,18.35,18.4,6866,0
2015-01-22,19:00:00,18.38,18.39,18.38,18.39,300,0
2015-01-22,19:30:00,18.38,18.38,18.29,18.29,418,0
2015-01-22,19:45:00,18.29,18.29,18.29,18.29,200,0
2015-01-22,20:10:00,18.36,18.37,18.36,18.36,300,0
2015-01-22,20:30:00,18.44,18.44,18.44,18.44,100,0
2015-01-22,20:35:00,18.44,18.45,18.44,18.45,600,0
2015-01-22,20:45:00,18.45,18.45,18.45,18.45,100,0
2015-01-22,20:55:00,18.44,18.45,18.44,18.45,400,0
2015-01-22,21:05:00,18.45,18.45,18.44,18.45,2702,0
2015-01-22,21:25:00,18.5,18.5,18.46,18.46,500,0
2015-01-22,21:30:00,18.5,18.5,18.5,18.5,600,0
2015-01-22,21:40:00,18.46,18.46,18.46,18.46,300,0
2015-01-22,21:45:00,18.46,18.46,18.46,18.46,400,0
2015-01-22,21:50:00,18.49,18.5,18.49,18.5,1700,0
2015-01-22,21:55:00,18.49,18.49,18.49,18.49,1500,0
2015-01-22,22:00:00,18.4,18.4,18.4,18.4,300,0
2015-01-23,15:35:00,18.2,18.2,17.88,17.88,14211,0
2015-01-23,15:40:00,17.87,17.87,17.59,17.6,4250,0
2015-01-23,15:45:00,17.67,17.67,17.55,17.55,1725,0
2015-01-23,15:50:00,17.68,17.77,17.68,17.76,1323,0
2015-01-23,16:00:00,17.8188,17.8188,17.76,17.76,1200,0
2015-01-23,16:05:00,17.76,17.76,17.76,17.76,526,0
2015-01-23,16:10:00,17.76,17.76,17.6,17.6,4102,0
2015-01-23,16:15:00,17.55,17.55,17.39,17.3901,4150,0
2015-01-23,16:20:00,17.4,17.53,17.4,17.52,530,0
2015-01-23,16:35:00,17.6,17.6,17.6,17.6,500,0
2015-01-23,16:40:00,17.6899,17.6899,17.6899,17.6899,500,0
2015-01-23,16:55:00,17.68,17.68,17.68,17.68,100,0
2015-01-23,17:15:00,17.6899,17.6899,17.57,17.57,4700,0
2015-01-23,17:30:00,17.59,17.59,17.58,17.58,1410,0
2015-01-23,17:40:00,17.56,17.56,17.48,17.48,2464,0
2015-01-23,17:45:00,17.56,17.56,17.56,17.56,293,0
2015-01-23,17:50:00,17.4973,17.5028,17.45,17.5028,3249,0
2015-01-23,18:05:00,17.45,17.45,17.45,17.45,100,0
2015-01-23,18:10:00,17.53,17.56,17.45,17.4501,921,0
2015-01-23,18:30:00,17.5,17.5,17.5,17.5,100,0
2015-01-23,18:40:00,17.5599,17.5599,17.5599,17.5599,100,0
2015-01-23,18:45:00,17.5599,17.5599,17.5599,17.5599,600,0
2015-01-23,18:50:00,17.56,17.56,17.56,17.56,200,0
2015-01-23,18:55:00,17.559,17.56,17.559,17.56,500,0
2015-01-23,19:00:00,17.68,17.69,17.61,17.61,3074,0
2015-01-23,19:10:00,17.62,17.62,17.62,17.62,100,0
2015-01-23,19:15:00,17.62,17.62,17.62,17.62,100,0
2015-01-23,19:35:00,17.61,17.61,17.61,17.61,100,0
2015-01-23,19:45:00,17.66,17.66,17.62,17.62,700,0
2015-01-23,20:05:00,17.6355,17.6355,17.6355,17.6355,500,0
2015-01-23,20:10:00,17.645,17.645,17.6,17.6,1900,0
2015-01-23,20:15:00,17.57,17.59,17.57,17.59,400,0
2015-01-23,20:25:00,17.55,17.55,17.5,17.5,500,0
2015-01-23,20:30:00,17.46,17.46,17.46,17.46,300,0
2015-01-23,20:35:00,17.46,17.476,17.46,17.46,876,0
2015-01-23,20:40:00,17.46,17.4601,17.43,17.43,1200,0
2015-01-23,20:45:00,17.43,17.43,17.43,17.43,300,0
2015-01-23,20:50:00,17.43,17.43,17.41,17.41,500,0
2015-01-23,20:55:00,17.4101,17.4101,17.39,17.39,4900,0
2015-01-23,21:00:00,17.31,17.31,17.22,17.24,1150,0
2015-01-23,21:05:00,17.27,17.319,17.22,17.22,1600,0
2015-01-23,21:10:00,17.26,17.3,17.244,17.251,4400,0
2015-01-23,21:15:00,17.2993,17.3,17.2435,17.2435,400,0
2015-01-23,21:30:00,17.3,17.3,17.258,17.258,2800,0
2015-01-23,21:35:00,17.29,17.3,17.29,17.3,200,0
2015-01-23,21:40:00,17.2401,17.43,17.2401,17.43,2129,0
2015-01-23,21:50:00,17.27,17.2701,17.27,17.27,1180,0
2015-01-23,21:55:00,17.35,17.35,17.35,17.35,858,0
2015-01-23,22:00:00,17.3099,17.38,17.23,17.38,9128,0
2015-01-26,15:35:00,17.33,17.33,16.71,16.93,23213,0
2015-01-26,15:45:00,16.99,17.09,16.99,17.07,400,0
2015-01-26,15:50:00,17.07,17.09,17.02,17.04,6661,0
2015-01-26,15:55:00,17.07,17.07,17.028,17.04,900,0
2015-01-26,16:00:00,17.07,17.1,17.06,17.0713,1600,0
2015-01-26,16:05:00,17.06,17.06,17.06,17.06,100,0
2015-01-26,16:10:00,17.04,17.04,17.01,17.019,900,0
2015-01-26,16:15:00,17.05,17.05,17.05,17.05,400,0
2015-01-26,16:25:00,17.03,17.06,17.03,17.05,2100,0
2015-01-26,16:30:00,17.073,17.0999,17.02,17.02,500,0
2015-01-26,16:35:00,17.066,17.07,17.0,17.0,1372,0
2015-01-26,16:40:00,16.92,16.9816,16.92,16.93,410,0
2015-01-26,16:45:00,16.99,17.07,16.99,17.049,1150,0
2015-01-26,16:50:00,17.07,17.07,17.021,17.021,300,0
2015-01-26,16:55:00,17.011,17.011,16.93,16.93,500,0
2015-01-26,17:00:00,16.95,16.95,16.95,16.95,200,0
2015-01-26,17:05:00,16.95,16.95,16.93,16.93,300,0
2015-01-26,17:10:00,16.95,16.95,16.89,16.89,1050,0
2015-01-26,17:15:00,16.79,16.8,16.501,16.501,6260,0
2015-01-26,17:20:00,16.51,16.906,16.51,16.7501,1963,0
2015-01-26,17:25:00,16.9,16.9,16.9,16.9,255,0
2015-01-26,17:30:00,16.77,16.77,16.77,16.77,100,0
