Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,12.390,12.400,12.340,12.360,8330,0
2015-02-03,16:55:00,12.36,12.36,12.3,12.334,18743,0
2015-02-03,17:00:00,12.34,12.34,12.3,12.3,4159,0
2015-02-03,17:05:00,12.3,12.315,12.29,12.31,13263,0
2015-02-03,17:10:00,12.3,12.345,12.3,12.345,9242,0
2015-02-03,17:15:00,12.33,12.34,12.32,12.335,3900,0
2015-02-03,17:20:00,12.34,12.36,12.32,12.36,7400,0
2015-02-03,17:25:00,12.37,12.3799,12.35,12.35,3322,0
2015-02-03,17:30:00,12.3432,12.36,12.34,12.34,8712,0
2015-02-03,17:35:00,12.3499,12.37,12.34,12.3661,3400,0
2015-02-03,17:40:00,12.36,12.36,12.3336,12.3599,8516,0
2015-02-03,17:45:00,12.3599,12.36,12.3301,12.36,4040,0
2015-02-03,17:50:00,12.36,12.37,12.33,12.35,3650,0
2015-02-03,17:55:00,12.3501,12.38,12.3501,12.36,7309,0
2015-02-03,18:00:00,12.3661,12.37,12.34,12.35,3964,0
2015-02-03,18:05:00,12.36,12.36,12.321,12.33,17400,0
2015-02-03,18:10:00,12.33,12.36,12.32,12.36,3100,0
2015-02-03,18:15:00,12.35,12.37,12.33,12.355,10325,0
2015-02-03,18:20:00,12.348,12.3599,12.34,12.34,840,0
2015-02-03,18:25:00,12.35,12.35,12.33,12.35,3039,0
2015-02-03,18:30:00,12.3386,12.37,12.3386,12.35,1998,0
2015-02-03,18:35:00,12.35,12.36,12.325,12.34,11200,0
2015-02-03,18:40:00,12.34,12.35,12.31,12.34,5192,0
2015-02-03,18:45:00,12.3423,12.37,12.31,12.34,17597,0
2015-02-03,18:50:00,12.35,12.36,12.32,12.34,10000,0
2015-02-03,18:55:00,12.34,12.4,12.34,12.4,20847,0
2015-02-03,19:00:00,12.395,12.42,12.39,12.4,6790,0
2015-02-03,19:05:00,12.405,12.42,12.4,12.42,11680,0
2015-02-03,19:10:00,12.4049,12.4094,12.4,12.401,7200,0
2015-02-03,19:15:00,12.4,12.4,12.365,12.4,5916,0
2015-02-03,19:20:00,12.4,12.4,12.36,12.37,13025,0
2015-02-03,19:25:00,12.37,12.405,12.365,12.39,15767,0
2015-02-03,19:30:00,12.39,12.39,12.35,12.37,8700,0
2015-02-03,19:35:00,12.38,12.39,12.375,12.39,3400,0
