Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,17:15:00,22.29,22.32,22.29,22.32,800,0
2015-02-02,17:20:00,22.3,22.31,22.27,22.31,1100,0
2015-02-02,17:25:00,22.32,22.33,22.3,22.3,600,0
2015-02-02,17:30:00,22.3,22.3799,22.3,22.36,1500,0
2015-02-02,17:35:00,22.38,22.44,22.36,22.44,700,0
2015-02-02,17:40:00,22.43,22.43,22.43,22.43,100,0
2015-02-02,17:45:00,22.43,22.43,22.43,22.43,200,0
2015-02-02,17:50:00,22.4,22.43,22.4,22.4,1500,0
2015-02-02,17:55:00,22.4,22.4,22.38,22.38,900,0
2015-02-02,18:00:00,22.38,22.38,22.35,22.36,1500,0
2015-02-02,18:05:00,22.37,22.37,22.3,22.33,1200,0
2015-02-02,18:10:00,22.32,22.33,22.32,22.33,300,0
2015-02-02,18:15:00,22.33,22.36,22.32,22.32,1700,0
2015-02-02,18:20:00,22.33,22.37,22.31,22.37,1700,0
2015-02-02,18:25:00,22.38,22.38,22.31,22.31,700,0
2015-02-02,18:35:00,22.355,22.38,22.355,22.36,600,0
2015-02-02,18:40:00,22.375,22.42,22.375,22.42,700,0
2015-02-02,18:45:00,22.42,22.43,22.38,22.39,2600,0
2015-02-02,18:50:00,22.375,22.375,22.34,22.34,600,0
2015-02-02,18:55:00,22.34,22.34,22.32,22.34,860,0
2015-02-02,19:00:00,22.3676,22.45,22.358,22.4,4585,0
2015-02-02,19:05:00,22.39,22.395,22.37,22.385,1300,0
2015-02-02,19:10:00,22.4,22.4,22.4,22.4,300,0
2015-02-02,19:15:00,22.42,22.46,22.4,22.4,3060,0
2015-02-02,19:20:00,22.41,22.45,22.41,22.43,5900,0
2015-02-02,19:25:00,22.42,22.48,22.42,22.48,900,0
2015-02-02,19:30:00,22.46,22.46,22.45,22.45,600,0
2015-02-02,19:35:00,22.47,22.49,22.47,22.49,400,0
2015-02-02,19:40:00,22.39,22.39,22.35,22.35,300,0
2015-02-02,19:45:00,22.38,22.38,22.29,22.305,1200,0
2015-02-02,19:50:00,22.31,22.31,22.31,22.31,200,0
2015-02-02,19:55:00,22.33,22.38,22.31,22.31,2200,0
2015-02-02,20:00:00,22.3135,22.3135,22.23,22.23,2068,0
2015-02-02,20:05:00,22.285,22.31,22.285,22.29,1100,0
2015-02-02,20:10:00,22.33,22.35,22.3075,22.32,971,0
2015-02-02,20:15:00,22.32,22.34,22.28,22.34,2308,0
2015-02-02,20:20:00,22.34,22.37,22.3,22.37,1800,0
2015-02-02,20:25:00,22.41,22.41,22.37,22.37,400,0
2015-02-02,20:30:00,22.39,22.42,22.39,22.42,1600,0
2015-02-02,20:35:00,22.4308,22.47,22.39,22.45,2675,0
2015-02-02,20:40:00,22.43,22.43,22.43,22.43,300,0
2015-02-02,20:45:00,22.41,22.44,22.41,22.43,400,0
2015-02-02,20:50:00,22.42,22.42,22.27,22.33,4700,0
2015-02-02,20:55:00,22.33,22.39,22.33,22.39,1548,0
2015-02-02,21:00:00,22.385,22.385,22.385,22.385,300,0
2015-02-02,21:05:00,22.37,22.4,22.37,22.39,900,0
2015-02-02,21:10:00,22.4,22.4,22.4,22.4,300,0
2015-02-02,21:15:00,22.41,22.51,22.41,22.49,3100,0
2015-02-02,21:20:00,22.48,22.49,22.46,22.49,800,0
2015-02-02,21:25:00,22.49,22.56,22.49,22.5,3425,0
2015-02-02,21:30:00,22.51,22.51,22.44,22.46,3600,0
2015-02-02,21:35:00,22.46,22.5499,22.46,22.49,2900,0
2015-02-02,21:40:00,22.47,22.56,22.45,22.56,7734,0
2015-02-02,21:45:00,22.58,22.63,22.56,22.63,2400,0
2015-02-02,21:50:00,22.63,22.63,22.6,22.61,3500,0
2015-02-02,21:55:00,22.62,22.66,22.61,22.65,7205,0
2015-02-02,22:00:00,22.66,22.74,22.66,22.72,16581,0
2015-02-03,15:35:00,22.9999,22.9999,22.81,22.81,1633,0
2015-02-03,15:40:00,23.0,23.0,22.95,22.95,3400,0
2015-02-03,15:45:00,23.01,23.19,23.01,23.19,2300,0
2015-02-03,15:50:00,23.2,23.2999,23.1,23.1,6133,0
2015-02-03,15:55:00,23.11,23.13,23.11,23.13,500,0
2015-02-03,16:00:00,23.15,23.21,23.15,23.21,500,0
2015-02-03,16:05:00,23.27,23.27,23.27,23.27,300,0
2015-02-03,16:10:00,23.24,23.26,23.16,23.17,6100,0
2015-02-03,16:15:00,23.13,23.15,23.1,23.11,1900,0
2015-02-03,16:20:00,23.09,23.13,23.09,23.13,700,0
2015-02-03,16:25:00,23.16,23.23,23.16,23.23,400,0
2015-02-03,16:30:00,23.24,23.28,23.21,23.25,1357,0
2015-02-03,16:35:00,23.28,23.31,23.25,23.28,2400,0
2015-02-03,16:40:00,23.3,23.32,23.27,23.29,1400,0
2015-02-03,16:45:00,23.32,23.32,23.27,23.27,1200,0
2015-02-03,16:50:00,23.25,23.25,23.19,23.23,2000,0
2015-02-03,17:00:00,23.2,23.2,23.17,23.17,500,0
2015-02-03,17:05:00,23.16,23.24,23.16,23.24,1000,0
2015-02-03,17:10:00,23.17,23.26,23.15,23.26,2176,0
