Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,20:00:00,1.75,1.75,1.75,1.75,100,0
2015-01-29,20:05:00,1.75,1.75,1.74,1.74,4200,0
2015-01-29,20:10:00,1.75,1.75,1.75,1.75,200,0
2015-01-29,20:15:00,1.7499,1.75,1.74,1.74,900,0
2015-01-29,20:20:00,1.75,1.75,1.75,1.75,100,0
2015-01-29,20:25:00,1.75,1.75,1.74,1.75,700,0
2015-01-29,20:30:00,1.75,1.75,1.75,1.75,100,0
2015-01-29,20:35:00,1.75,1.75,1.74,1.75,600,0
2015-01-29,20:40:00,1.75,1.75,1.74,1.74,15100,0
2015-01-29,20:45:00,1.75,1.755,1.74,1.75,12796,0
2015-01-29,20:50:00,1.75,1.76,1.75,1.75,1200,0
2015-01-29,20:55:00,1.75,1.75,1.75,1.75,100,0
2015-01-29,21:00:00,1.76,1.76,1.76,1.76,100,0
2015-01-29,21:05:00,1.75,1.76,1.75,1.75,400,0
2015-01-29,21:10:00,1.76,1.77,1.76,1.77,1900,0
2015-01-29,21:15:00,1.77,1.78,1.76,1.78,1600,0
2015-01-29,21:20:00,1.76,1.76,1.74,1.75,15000,0
2015-01-29,21:25:00,1.74,1.75,1.74,1.75,600,0
2015-01-29,21:30:00,1.75,1.75,1.7459,1.75,2000,0
2015-01-29,21:35:00,1.75,1.75,1.75,1.75,798,0
2015-01-29,21:40:00,1.76,1.76,1.75,1.75,400,0
2015-01-29,21:45:00,1.75,1.75,1.75,1.75,4900,0
2015-01-29,21:50:00,1.75,1.76,1.74,1.76,16424,0
2015-01-29,21:55:00,1.75,1.76,1.75,1.76,5600,0
2015-01-29,22:00:00,1.76,1.765,1.75,1.75,23700,0
2015-01-30,15:35:00,1.72,1.765,1.72,1.765,3802,0
2015-01-30,15:40:00,1.79,1.79,1.75,1.75,3000,0
2015-01-30,15:45:00,1.75,1.76,1.75,1.75,8452,0
2015-01-30,15:50:00,1.77,1.77,1.75,1.76,5900,0
2015-01-30,15:55:00,1.77,1.77,1.77,1.77,300,0
2015-01-30,16:00:00,1.77,1.77,1.77,1.77,300,0
2015-01-30,16:05:00,1.78,1.78,1.78,1.78,200,0
2015-01-30,16:10:00,1.77,1.78,1.76,1.76,1400,0
2015-01-30,16:15:00,1.78,1.78,1.76,1.76,300,0
2015-01-30,16:20:00,1.76,1.76,1.7405,1.76,33586,0
2015-01-30,16:25:00,1.7501,1.76,1.7501,1.76,1200,0
2015-01-30,16:30:00,1.75,1.76,1.75,1.75,21200,0
2015-01-30,16:35:00,1.75,1.75,1.75,1.75,200,0
2015-01-30,16:40:00,1.75,1.77,1.75,1.755,15600,0
2015-01-30,16:45:00,1.75,1.75,1.75,1.75,300,0
2015-01-30,16:50:00,1.76,1.76,1.75,1.75,1300,0
2015-01-30,16:55:00,1.75,1.75,1.75,1.75,300,0
2015-01-30,17:00:00,1.75,1.75,1.75,1.75,400,0
2015-01-30,17:05:00,1.75,1.76,1.75,1.75,700,0
2015-01-30,17:10:00,1.75,1.753,1.75,1.753,1100,0
2015-01-30,17:15:00,1.75,1.76,1.74,1.75,9982,0
2015-01-30,17:25:00,1.745,1.745,1.745,1.745,100,0
2015-01-30,17:30:00,1.75,1.75,1.72,1.745,31456,0
2015-01-30,17:35:00,1.75,1.75,1.75,1.75,100,0
2015-01-30,17:40:00,1.74,1.75,1.74,1.75,300,0
2015-01-30,17:45:00,1.745,1.75,1.745,1.75,220,0
2015-01-30,17:50:00,1.75,1.75,1.74,1.74,600,0
2015-01-30,17:55:00,1.75,1.75,1.74,1.75,17800,0
2015-01-30,18:00:00,1.74,1.75,1.73,1.75,500,0
2015-01-30,18:05:00,1.75,1.75,1.75,1.75,700,0
2015-01-30,18:10:00,1.745,1.745,1.745,1.745,100,0
2015-01-30,18:15:00,1.745,1.75,1.745,1.75,10600,0
2015-01-30,18:20:00,1.745,1.75,1.745,1.75,500,0
2015-01-30,18:25:00,1.745,1.75,1.745,1.745,400,0
2015-01-30,18:30:00,1.745,1.745,1.745,1.745,100,0
2015-01-30,18:35:00,1.745,1.745,1.745,1.745,100,0
2015-01-30,18:45:00,1.745,1.76,1.745,1.75,7000,0
2015-01-30,18:50:00,1.75,1.755,1.75,1.755,300,0
2015-01-30,18:55:00,1.75,1.76,1.75,1.76,300,0
2015-01-30,19:00:00,1.75,1.75,1.75,1.75,400,0
2015-01-30,19:05:00,1.75,1.75,1.75,1.75,100,0
2015-01-30,19:10:00,1.76,1.76,1.75,1.76,5200,0
2015-01-30,19:15:00,1.75,1.755,1.75,1.755,1200,0
2015-01-30,19:20:00,1.75,1.75,1.75,1.75,100,0
2015-01-30,19:25:00,1.76,1.76,1.76,1.76,100,0
2015-01-30,19:30:00,1.75,1.75,1.75,1.75,23456,0
2015-01-30,19:35:00,1.76,1.76,1.75,1.76,2400,0
2015-01-30,19:40:00,1.76,1.76,1.75,1.75,500,0
2015-01-30,19:50:00,1.76,1.76,1.75,1.75,300,0
2015-01-30,20:05:00,1.75,1.76,1.75,1.75,2000,0
2015-01-30,20:10:00,1.75,1.75,1.75,1.75,200,0
2015-01-30,20:15:00,1.75,1.76,1.75,1.75,28100,0
2015-01-30,20:30:00,1.74,1.74,1.74,1.74,600,0
2015-01-30,20:35:00,1.75,1.75,1.75,1.75,300,0
2015-01-30,20:40:00,1.75,1.75,1.75,1.75,300,0
2015-01-30,20:45:00,1.75,1.75,1.75,1.75,200,0
2015-01-30,20:55:00,1.7401,1.75,1.74,1.74,1200,0
2015-01-30,21:00:00,1.75,1.75,1.7061,1.73,20209,0
2015-01-30,21:05:00,1.73,1.74,1.73,1.73,700,0
2015-01-30,21:15:00,1.74,1.74,1.735,1.735,600,0
2015-01-30,21:20:00,1.72,1.72,1.71,1.71,4500,0
2015-01-30,21:30:00,1.72,1.72,1.7117,1.7117,1800,0
2015-01-30,21:35:00,1.72,1.72,1.72,1.72,200,0
2015-01-30,21:40:00,1.72,1.72,1.715,1.715,300,0
2015-01-30,21:45:00,1.7184,1.72,1.71,1.7184,2700,0
2015-01-30,21:50:00,1.71,1.72,1.71,1.71,6800,0
2015-01-30,21:55:00,1.715,1.715,1.71,1.71,500,0
2015-01-30,22:00:00,1.71,1.73,1.69,1.69,9043,0
2015-02-02,15:45:00,1.71,1.71,1.65,1.71,77957,0
2015-02-02,15:50:00,1.71,1.71,1.71,1.71,100,0
2015-02-02,15:55:00,1.71,1.71,1.709,1.71,1200,0
2015-02-02,16:05:00,1.71,1.71,1.71,1.71,300,0
2015-02-02,16:10:00,1.71,1.71,1.71,1.71,500,0
2015-02-02,16:25:00,1.7,1.7,1.7,1.7,2600,0
2015-02-02,16:30:00,1.705,1.705,1.705,1.705,200,0
2015-02-02,16:35:00,1.7,1.7,1.7,1.7,200,0
2015-02-02,16:45:00,1.71,1.72,1.71,1.71,700,0
2015-02-02,16:50:00,1.7,1.72,1.7,1.71,900,0
2015-02-02,16:55:00,1.71,1.71,1.71,1.71,200,0
2015-02-02,17:00:00,1.71,1.71,1.71,1.71,2200,0
2015-02-02,17:05:00,1.705,1.71,1.705,1.705,900,0
2015-02-02,17:10:00,1.705,1.71,1.7,1.705,7500,0
2015-02-02,17:15:00,1.71,1.72,1.7,1.71,42100,0
2015-02-02,17:20:00,1.71,1.72,1.7,1.71,1312,0
2015-02-02,17:25:00,1.71,1.72,1.7,1.7,13900,0
2015-02-02,17:30:00,1.71,1.71,1.7,1.705,2700,0
2015-02-02,17:35:00,1.705,1.71,1.705,1.705,1500,0
2015-02-02,17:40:00,1.705,1.705,1.705,1.705,700,0
2015-02-02,17:45:00,1.705,1.705,1.705,1.705,300,0
2015-02-02,17:50:00,1.705,1.705,1.705,1.705,500,0
2015-02-02,17:55:00,1.705,1.705,1.7022,1.705,3900,0
2015-02-02,18:00:00,1.7,1.7,1.68,1.695,3453,0
2015-02-02,18:10:00,1.695,1.7,1.695,1.7,1300,0
2015-02-02,18:15:00,1.69,1.695,1.69,1.695,200,0
2015-02-02,18:20:00,1.695,1.695,1.695,1.695,200,0
2015-02-02,18:25:00,1.695,1.72,1.695,1.715,4700,0
2015-02-02,18:30:00,1.715,1.715,1.68,1.69,38000,0
2015-02-02,18:35:00,1.71,1.71,1.7,1.7,200,0
2015-02-02,18:40:00,1.7099,1.7099,1.7,1.7098,3500,0
2015-02-02,18:45:00,1.7,1.71,1.695,1.695,10800,0
2015-02-02,18:50:00,1.695,1.7,1.695,1.695,11500,0
2015-02-02,18:55:00,1.695,1.71,1.69,1.7099,9300,0
2015-02-02,19:00:00,1.6964,1.7,1.6964,1.7,1300,0
2015-02-02,19:05:00,1.7,1.7,1.7,1.7,300,0
2015-02-02,19:10:00,1.7,1.7,1.7,1.7,100,0
2015-02-02,19:15:00,1.7,1.705,1.7,1.705,3041,0
2015-02-02,19:20:00,1.705,1.705,1.705,1.705,500,0
