Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,15:35:00,56.480,56.990,56.480,56.850,2938,0
2015-02-03,15:40:00,56.785,57.03,56.67,57.02,3300,0
2015-02-03,15:45:00,57.03,57.08,56.86,56.96,6000,0
2015-02-03,15:50:00,56.98,57.15,56.87,57.14,11572,0
2015-02-03,15:55:00,57.15,57.25,57.05,57.14,5675,0
2015-02-03,16:00:00,57.2,57.2,57.09,57.1,1800,0
2015-02-03,16:05:00,57.13,57.13,57.05,57.1,2900,0
2015-02-03,16:10:00,57.07,57.1,56.85,56.91,3800,0
2015-02-03,16:15:00,57.01,57.02,56.86,56.88,3600,0
2015-02-03,16:20:00,56.86,56.87,56.7001,56.74,4100,0
2015-02-03,16:25:00,56.7,56.83,56.65,56.66,4100,0
2015-02-03,16:30:00,56.65,56.915,56.65,56.86,2700,0
2015-02-03,16:35:00,56.94,57.005,56.925,56.95,1500,0
2015-02-03,16:40:00,57.03,57.03,56.94,56.96,5000,0
2015-02-03,16:45:00,56.99,57.11,56.8901,56.8901,3800,0
2015-02-03,16:50:00,56.9,56.9,56.71,56.73,6500,0
2015-02-03,16:55:00,56.78,56.87,56.76,56.83,4400,0
2015-02-03,17:00:00,56.91,56.91,56.572,56.6,5982,0
2015-02-03,17:05:00,56.49,56.59,56.47,56.5,3200,0
2015-02-03,17:10:00,56.47,56.48,56.37,56.45,4400,0
2015-02-03,17:15:00,56.38,56.39,56.29,56.34,5000,0
2015-02-03,17:20:00,56.35,56.45,56.35,56.45,4200,0
2015-02-03,17:25:00,56.47,56.47,56.38,56.44,3300,0
2015-02-03,17:30:00,56.42,56.57,56.34,56.34,5500,0
2015-02-03,17:35:00,56.34,56.57,56.34,56.57,800,0
2015-02-03,17:40:00,56.64,56.71,56.6,56.71,1200,0
2015-02-03,17:45:00,56.82,56.87,56.8,56.8,700,0
2015-02-03,17:50:00,56.87,56.9,56.77,56.9,2591,0
2015-02-03,17:55:00,56.88,56.92,56.8,56.8,3200,0
2015-02-03,18:00:00,56.85,56.92,56.85,56.865,1400,0
2015-02-03,18:05:00,56.84,56.84,56.77,56.84,400,0
2015-02-03,18:10:00,56.9,56.9,56.83,56.87,2000,0
2015-02-03,18:15:00,56.9,56.94,56.83,56.93,1500,0
2015-02-03,18:20:00,56.9,56.9,56.8,56.8,1600,0
2015-02-03,18:25:00,56.86,56.88,56.86,56.88,2900,0
2015-02-03,18:30:00,56.84,56.98,56.84,56.9668,1900,0
2015-02-03,18:35:00,56.9,56.94,56.9,56.91,500,0
2015-02-03,18:40:00,56.91,56.98,56.91,56.91,1500,0
2015-02-03,18:45:00,56.97,57.09,56.97,57.03,3700,0
2015-02-03,18:50:00,57.1,57.15,57.1,57.11,2700,0
2015-02-03,18:55:00,57.07,57.155,57.07,57.155,2900,0
2015-02-03,19:00:00,57.24,57.24,57.14,57.14,3500,0
2015-02-03,19:05:00,57.15,57.15,57.12,57.12,500,0
2015-02-03,19:10:00,57.16,57.16,57.13,57.15,2300,0
2015-02-03,19:15:00,57.13,57.14,57.04,57.1,4800,0
2015-02-03,19:20:00,57.07,57.07,56.93,56.93,4300,0
2015-02-03,19:25:00,56.99,57.06,56.92,56.98,3900,0
2015-02-03,19:30:00,57.0,57.0,56.97,56.98,700,0
2015-02-03,19:35:00,57.03,57.1,57.03,57.1,3300,0
2015-02-03,19:40:00,57.12,57.12,57.09,57.09,800,0
2015-02-03,19:45:00,57.1,57.1,56.99,57.02,3500,0
2015-02-03,19:50:00,56.99,57.01,56.97,56.97,3100,0
2015-02-03,19:55:00,56.98,56.98,56.91,56.97,1400,0
2015-02-03,20:00:00,57.02,57.02,56.99,57.02,1400,0
2015-02-03,20:05:00,57.06,57.13,57.06,57.06,4000,0
2015-02-03,20:10:00,57.02,57.2,57.02,57.15,3300,0
2015-02-03,20:15:00,57.195,57.28,57.195,57.26,3900,0
2015-02-03,20:20:00,57.3143,57.38,57.31,57.37,3640,0
2015-02-03,20:25:00,57.41,57.555,57.41,57.54,10760,0
2015-02-03,20:30:00,57.54,57.6,57.52,57.6,6026,0
2015-02-03,20:35:00,57.63,57.7,57.58,57.69,4900,0
2015-02-03,20:40:00,57.69,57.8,57.69,57.8,8000,0
2015-02-03,20:45:00,57.79,57.79,57.7,57.72,1400,0
2015-02-03,20:50:00,57.71,57.71,57.6455,57.66,3293,0
2015-02-03,20:55:00,57.65,57.675,57.65,57.65,2600,0
2015-02-03,21:00:00,57.69,57.71,57.69,57.7,4100,0
2015-02-03,21:05:00,57.73,57.73,57.67,57.68,4120,0
2015-02-03,21:10:00,57.69,57.75,57.69,57.75,3600,0
2015-02-03,21:15:00,57.75,57.77,57.7,57.77,3800,0
2015-02-03,21:20:00,57.78,57.78,57.74,57.75,3800,0
2015-02-03,21:25:00,57.74,57.88,57.74,57.88,2100,0
2015-02-03,21:30:00,57.905,58.03,57.9,58.03,6562,0
2015-02-03,21:35:00,58.05,58.14,58.05,58.14,11000,0
2015-02-03,21:40:00,58.14,58.15,58.08,58.08,5300,0
2015-02-03,21:45:00,58.08,58.08,57.89,57.89,7065,0
2015-02-03,21:50:00,57.84,57.98,57.82,57.94,8300,0
2015-02-03,21:55:00,57.96,58.12,57.95,58.09,12982,0
2015-02-03,22:00:00,58.08,58.13,58.03,58.12,105805,0
2015-02-04,15:35:00,57.65,58.12,57.65,57.89,2497,0
2015-02-04,15:40:00,58.03,58.29,58.03,58.12,2000,0
2015-02-04,15:45:00,58.11,58.36,57.99,58.36,2052,0
2015-02-04,15:50:00,58.27,58.27,57.91,58.035,3000,0
2015-02-04,15:55:00,58.1,58.29,58.05,58.17,3100,0
2015-02-04,16:00:00,58.17,58.22,58.17,58.22,600,0
2015-02-04,16:05:00,58.31,58.34,58.16,58.16,3100,0
2015-02-04,16:10:00,58.286,58.32,58.11,58.11,1700,0
2015-02-04,16:15:00,58.07,58.195,58.02,58.04,1600,0
2015-02-04,16:20:00,57.99,58.12,57.97,58.12,2100,0
2015-02-04,16:25:00,58.11,58.15,57.97,58.15,6048,0
2015-02-04,16:30:00,58.14,58.16,57.97,57.97,6100,0
2015-02-04,16:35:00,57.98,58.04,57.98,57.98,1000,0
2015-02-04,16:40:00,57.98,58.0,57.88,57.995,4000,0
2015-02-04,16:45:00,58.01,58.13,58.0,58.12,2927,0
2015-02-04,16:50:00,58.165,58.24,58.1,58.22,5167,0
2015-02-04,16:55:00,58.15,58.18,58.15,58.18,1000,0
2015-02-04,17:00:00,58.16,58.22,58.14,58.22,900,0
2015-02-04,17:05:00,58.17,58.17,58.1,58.1,2300,0
2015-02-04,17:10:00,58.18,58.18,58.18,58.18,200,0
2015-02-04,17:15:00,58.25,58.29,58.25,58.29,1600,0
2015-02-04,17:20:00,58.32,58.35,58.28,58.28,2400,0
2015-02-04,17:25:00,58.24,58.33,58.24,58.32,3900,0
2015-02-04,17:30:00,58.32,58.32,58.29,58.29,2500,0
2015-02-04,17:35:00,58.33,58.39,58.33,58.39,1100,0
2015-02-04,17:40:00,58.41,58.41,58.37,58.37,800,0
2015-02-04,17:45:00,58.39,58.39,58.37,58.37,400,0
2015-02-04,17:50:00,58.35,58.41,58.26,58.26,6400,0
2015-02-04,17:55:00,58.24,58.26,58.11,58.11,4000,0
2015-02-04,18:00:00,58.08,58.2,58.07,58.2,1100,0
2015-02-04,18:05:00,58.21,58.21,58.02,58.15,6550,0
2015-02-04,18:10:00,58.15,58.15,58.1,58.12,2400,0
2015-02-04,18:15:00,58.13,58.13,58.1,58.1,1100,0
2015-02-04,18:20:00,58.06,58.12,58.06,58.06,2060,0
2015-02-04,18:25:00,58.06,58.06,58.035,58.04,600,0
2015-02-04,18:30:00,58.035,58.035,57.91,57.91,1700,0
2015-02-04,18:35:00,57.92,58.0,57.92,57.98,700,0
2015-02-04,18:40:00,58.03,58.04,58.0,58.0,1900,0
2015-02-04,18:45:00,58.03,58.09,57.98,57.98,2100,0
2015-02-04,18:50:00,58.03,58.08,58.03,58.075,700,0
2015-02-04,18:55:00,58.1,58.2,58.1,58.19,4400,0
2015-02-04,19:00:00,58.25,58.25,58.15,58.15,1700,0
2015-02-04,19:05:00,58.15,58.15,58.15,58.15,300,0
2015-02-04,19:10:00,58.13,58.18,58.13,58.18,500,0
2015-02-04,19:15:00,58.18,58.18,58.16,58.16,1000,0
2015-02-04,19:20:00,58.19,58.19,58.19,58.19,100,0
2015-02-04,19:25:00,58.19,58.19,58.16,58.16,1300,0
2015-02-04,19:30:00,58.21,58.25,58.21,58.25,900,0
2015-02-04,19:35:00,58.32,58.32,58.29,58.31,1800,0
2015-02-04,19:40:00,58.35,58.38,58.33,58.34,2000,0
2015-02-04,19:45:00,58.37,58.41,58.37,58.41,800,0
2015-02-04,19:50:00,58.4,58.4,58.36,58.36,1200,0
2015-02-04,19:55:00,58.38,58.38,58.36,58.37,1300,0
2015-02-04,20:00:00,58.37,58.37,58.3,58.3,3014,0
2015-02-04,20:05:00,58.315,58.39,58.315,58.39,800,0
2015-02-04,20:10:00,58.4,58.4,58.2,58.2,2200,0
2015-02-04,20:15:00,58.21,58.21,58.11,58.11,800,0
2015-02-04,20:20:00,58.11,58.11,57.96,57.96,3100,0
2015-02-04,20:25:00,57.97,58.08,57.92,58.08,3700,0
2015-02-04,20:30:00,58.1,58.1,57.98,58.07,3000,0
2015-02-04,20:35:00,58.015,58.015,57.89,57.89,600,0
2015-02-04,20:40:00,57.92,58.03,57.92,57.99,1500,0
2015-02-04,20:45:00,57.99,58.01,57.96,57.98,1500,0
2015-02-04,20:50:00,57.98,58.08,57.98,58.08,1200,0
2015-02-04,20:55:00,58.11,58.12,58.09,58.12,1900,0
2015-02-04,21:00:00,58.14,58.15,58.08,58.08,2900,0
2015-02-04,21:05:00,58.08,58.14,58.03,58.11,1924,0
2015-02-04,21:10:00,58.15,58.15,58.05,58.05,1700,0
2015-02-04,21:15:00,58.07,58.09,58.05,58.09,1200,0
2015-02-04,21:20:00,58.16,58.29,58.15,58.25,2850,0
2015-02-04,21:25:00,58.25,58.31,58.21,58.31,3100,0
2015-02-04,21:30:00,58.28,58.3,58.28,58.3,300,0
2015-02-04,21:35:00,58.37,58.41,58.36,58.39,6100,0
2015-02-04,21:40:00,58.44,58.44,58.12,58.16,5000,0
2015-02-04,21:45:00,58.15,58.16,57.96,57.96,6700,0
2015-02-04,21:50:00,57.92,57.935,57.71,57.84,9600,0
2015-02-04,21:55:00,57.89,57.96,57.775,57.82,22889,0
2015-02-04,22:00:00,57.84,57.93,57.75,57.8,28827,0
2015-02-05,15:35:00,57.89,57.89,57.312,57.312,2545,0
2015-02-05,15:40:00,57.68,58.02,57.57,57.99,2300,0
2015-02-05,15:45:00,57.98,58.16,57.96,58.09,2100,0
2015-02-05,15:50:00,57.97,58.06,57.87,57.94,1700,0
2015-02-05,15:55:00,57.97,58.09,57.92,58.09,1500,0
2015-02-05,16:00:00,58.1,58.1,57.9,58.08,4700,0
2015-02-05,16:05:00,58.1,58.1,57.63,57.63,5000,0
2015-02-05,16:10:00,57.74,57.8,57.68,57.68,2000,0
2015-02-05,16:15:00,57.61,57.65,57.43,57.506,4200,0
2015-02-05,16:20:00,57.52,57.57,57.47,57.52,2400,0
2015-02-05,16:25:00,57.45,57.58,57.38,57.53,8700,0
2015-02-05,16:30:00,57.53,57.55,57.44,57.52,9370,0
2015-02-05,16:35:00,57.5,57.55,57.46,57.54,3900,0
2015-02-05,16:40:00,57.55,57.68,57.55,57.68,1300,0
2015-02-05,16:45:00,57.68,57.72,57.59,57.6,3500,0
2015-02-05,16:50:00,57.58,57.66,57.525,57.64,2900,0
2015-02-05,16:55:00,57.62,57.62,57.62,57.62,300,0
2015-02-05,17:00:00,57.62,57.64,57.58,57.58,5100,0
2015-02-05,17:05:00,57.53,57.5575,57.53,57.545,3100,0
2015-02-05,17:10:00,57.565,57.65,57.56,57.64,3700,0
2015-02-05,17:15:00,57.635,57.68,57.63,57.63,1417,0
2015-02-05,17:20:00,57.66,57.66,57.47,57.47,2000,0
2015-02-05,17:25:00,57.49,57.49,57.47,57.47,1800,0
2015-02-05,17:30:00,57.47,57.55,57.4,57.41,13637,0
2015-02-05,17:35:00,57.44,57.44,57.25,57.25,4600,0
2015-02-05,17:40:00,57.292,57.31,57.26,57.3,800,0
2015-02-05,17:45:00,57.26,57.28,57.15,57.1925,7500,0
2015-02-05,17:50:00,57.24,57.3,57.22,57.3,2200,0
2015-02-05,17:55:00,57.28,57.305,57.23,57.26,2900,0
2015-02-05,18:00:00,57.22,57.29,57.22,57.25,1700,0
2015-02-05,18:05:00,57.27,57.28,57.26,57.28,1600,0
2015-02-05,18:10:00,57.28,57.36,57.27,57.32,6300,0
2015-02-05,18:15:00,57.29,57.36,57.28,57.32,4100,0
2015-02-05,18:20:00,57.34,57.38,57.31,57.31,2200,0
2015-02-05,18:25:00,57.313,57.313,57.25,57.25,1480,0
2015-02-05,18:30:00,57.25,57.25,57.21,57.22,1000,0
2015-02-05,18:35:00,57.26,57.26,57.19,57.21,7522,0
2015-02-05,18:40:00,57.21,57.23,57.21,57.23,800,0
2015-02-05,18:45:00,57.26,57.27,57.26,57.27,800,0
2015-02-05,18:50:00,57.27,57.29,57.27,57.27,2412,0
2015-02-05,18:55:00,57.265,57.27,57.26,57.26,600,0
2015-02-05,19:00:00,57.29,57.29,57.17,57.23,3448,0
2015-02-05,19:05:00,57.27,57.27,57.22,57.25,1300,0
2015-02-05,19:10:00,57.25,57.29,57.25,57.27,1780,0
2015-02-05,19:15:00,57.29,57.37,57.29,57.35,3600,0
2015-02-05,19:20:00,57.39,57.44,57.39,57.44,2000,0
2015-02-05,19:25:00,57.44,57.53,57.4375,57.53,3900,0
2015-02-05,19:30:00,57.53,57.56,57.53,57.55,1400,0
2015-02-05,19:35:00,57.535,57.59,57.535,57.59,3100,0
2015-02-05,19:40:00,57.61,57.61,57.59,57.595,600,0
2015-02-05,19:45:00,57.63,57.64,57.58,57.6,1600,0
2015-02-05,19:50:00,57.62,57.72,57.62,57.69,2100,0
2015-02-05,19:55:00,57.69,57.69,57.63,57.63,2400,0
2015-02-05,20:00:00,57.63,57.635,57.555,57.555,1100,0
2015-02-05,20:05:00,57.52,57.55,57.38,57.38,2900,0
2015-02-05,20:10:00,57.43,57.49,57.39,57.49,5156,0
2015-02-05,20:15:00,57.49,57.58,57.49,57.58,1911,0
2015-02-05,20:20:00,57.54,57.56,57.5,57.56,1500,0
2015-02-05,20:25:00,57.58,57.59,57.54,57.54,1600,0
2015-02-05,20:30:00,57.54,57.54,57.44,57.45,1898,0
2015-02-05,20:35:00,57.47,57.47,57.41,57.42,3800,0
2015-02-05,20:40:00,57.4,57.4,57.31,57.37,6312,0
2015-02-05,20:45:00,57.37,57.37,57.36,57.37,1700,0
2015-02-05,20:50:00,57.34,57.34,57.214,57.25,3700,0
2015-02-05,20:55:00,57.27,57.32,57.245,57.32,5000,0
