Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-16,21:40:00,14.790,14.790,14.790,14.790,100,0
2015-01-16,21:45:00,14.716,14.716,14.716,14.716,500,0
2015-01-16,21:50:00,14.805,14.805,14.66,14.68,1600,0
2015-01-16,21:55:00,14.614,14.623,14.614,14.623,500,0
2015-01-16,22:00:00,14.623,14.8099,14.6,14.61,1900,0
2015-01-20,15:35:00,14.65,14.8099,14.49,14.5,11767,0
2015-01-20,15:40:00,14.203,14.47,14.203,14.47,600,0
2015-01-20,15:45:00,14.2481,14.7899,14.0806,14.7899,2347,0
2015-01-20,15:50:00,14.1674,14.1674,14.1674,14.1674,1200,0
2015-01-20,15:55:00,14.44,14.44,14.44,14.44,200,0
2015-01-20,16:00:00,14.44,14.505,14.44,14.44,3000,0
2015-01-20,16:05:00,14.6728,14.7499,14.21,14.595,10084,0
2015-01-20,16:10:00,14.7899,14.7899,14.101,14.6,870,0
2015-01-20,16:15:00,14.6999,14.6999,14.6999,14.6999,200,0
2015-01-20,16:20:00,14.65,14.65,14.495,14.5,800,0
2015-01-20,16:25:00,14.7509,14.7509,14.635,14.635,400,0
2015-01-20,16:30:00,14.528,14.5999,14.528,14.5999,600,0
2015-01-20,16:40:00,14.6,14.6,14.6,14.6,333,0
2015-01-20,16:45:00,14.78,15.0004,14.6442,14.65,3266,0
2015-01-20,16:50:00,15.01,15.01,14.7501,14.9995,3600,0
2015-01-20,16:55:00,14.9,14.9348,14.75,14.9348,1000,0
2015-01-20,17:05:00,14.9,14.9,14.9,14.9,500,0
2015-01-20,17:10:00,14.91,15.0499,14.8905,14.92,2200,0
2015-01-20,17:15:00,14.85,15.0499,14.85,15.0499,200,0
2015-01-20,17:20:00,15.05,15.05,15.05,15.05,100,0
2015-01-20,17:25:00,15.0,15.0,15.0,15.0,500,0
2015-01-20,17:30:00,14.8632,14.8632,14.8308,14.8308,1033,0
2015-01-20,17:35:00,14.91,14.91,14.91,14.91,100,0
2015-01-20,17:40:00,14.83,15.0,14.829,14.9799,1767,0
2015-01-20,17:45:00,14.864,14.864,14.864,14.864,500,0
2015-01-20,17:50:00,14.8142,14.8142,14.8142,14.8142,28400,0
2015-01-20,17:55:00,14.82,14.97,14.8175,14.97,28700,0
2015-01-20,18:10:00,14.9421,14.9421,14.85,14.85,1300,0
2015-01-20,18:15:00,14.93,14.93,14.93,14.93,100,0
2015-01-20,18:20:00,14.8975,14.94,14.8975,14.91,1000,0
2015-01-20,18:45:00,14.94,15.0109,14.905,15.0109,3033,0
2015-01-20,18:50:00,14.95,14.95,14.86,14.86,800,0
2015-01-20,18:55:00,14.91,14.91,14.9,14.9,700,0
2015-01-20,19:05:00,14.91,14.91,14.8983,14.9,1034,0
2015-01-20,19:10:00,14.91,14.965,14.91,14.92,300,0
2015-01-20,19:15:00,14.85,14.88,14.85,14.88,700,0
2015-01-20,19:35:00,14.81,14.82,14.81,14.82,200,0
2015-01-20,19:40:00,14.83,15.05,14.83,15.05,300,0
2015-01-20,20:00:00,14.85,14.85,14.75,14.75,800,0
2015-01-20,20:05:00,14.8684,14.8684,14.8684,14.8684,200,0
2015-01-20,20:25:00,14.7,14.7,14.61,14.61,1000,0
2015-01-20,20:30:00,14.7399,14.7399,14.5,14.69,1500,0
2015-01-20,20:35:00,14.45,14.9899,14.3601,14.9899,1950,0
2015-01-20,20:40:00,14.729,14.73,14.729,14.73,1000,0
2015-01-20,20:45:00,14.5989,14.73,14.5989,14.6851,4000,0
2015-01-20,20:55:00,14.71,14.74,14.6401,14.7399,2640,0
2015-01-20,21:00:00,14.82,14.82,14.82,14.82,100,0
2015-01-20,21:10:00,14.668,14.71,14.5,14.71,1297,0
2015-01-20,21:15:00,14.5001,14.571,14.49,14.49,2900,0
2015-01-20,21:20:00,14.4867,14.4867,14.4867,14.4867,410,0
2015-01-20,21:35:00,14.45,14.45,14.4,14.44,1100,0
2015-01-20,21:45:00,14.35,14.43,14.35,14.43,429,0
2015-01-20,21:55:00,14.44,14.44,14.25,14.416,1200,0
2015-01-20,22:00:00,14.3,14.403,14.251,14.403,1300,0
2015-01-21,15:35:00,14.75,14.75,14.75,14.75,200,0
2015-01-21,15:45:00,14.48,14.72,14.479,14.72,3390,0
2015-01-21,15:50:00,14.7199,14.7199,14.09,14.09,3912,0
2015-01-21,15:55:00,14.11,14.24,13.5,14.165,13842,0
2015-01-21,16:10:00,13.925,14.19,13.925,14.19,400,0
2015-01-21,16:25:00,13.74,14.19,13.67,13.934,3581,0
2015-01-21,16:30:00,13.97,13.97,13.66,13.93,3400,0
2015-01-21,16:35:00,13.979,14.0,13.65,13.9965,1900,0
2015-01-21,16:45:00,13.65,13.65,13.65,13.65,440,0
2015-01-21,16:50:00,13.65,13.8,13.36,13.732,3965,0
2015-01-21,16:55:00,13.58,13.8,13.58,13.8,650,0
2015-01-21,17:00:00,13.78,13.7899,13.78,13.7899,360,0
2015-01-21,17:05:00,13.525,13.77,13.525,13.77,1100,0
2015-01-21,17:10:00,13.7999,13.8,13.61,13.75,1800,0
2015-01-21,17:15:00,13.8,13.82,13.8,13.8,1900,0
2015-01-21,17:20:00,13.791,13.8299,13.79,13.8299,1425,0
2015-01-21,17:25:00,13.621,13.79,13.6201,13.6201,1590,0
2015-01-21,17:30:00,13.7,13.78,13.7,13.77,1850,0
2015-01-21,17:45:00,13.6425,13.6425,13.6425,13.6425,1000,0
2015-01-21,17:50:00,13.76,13.76,13.76,13.76,100,0
2015-01-21,17:55:00,13.764,13.9699,13.764,13.86,5200,0
2015-01-21,18:00:00,13.77,13.77,13.75,13.75,1850,0
2015-01-21,18:05:00,13.7683,13.77,13.7,13.77,400,0
2015-01-21,18:10:00,13.7,13.76,13.7,13.76,825,0
2015-01-21,18:25:00,13.7,13.7,13.7,13.7,1200,0
2015-01-21,18:30:00,13.6416,13.73,13.6416,13.725,550,0
2015-01-21,18:40:00,13.6624,13.7399,13.6624,13.7399,600,0
2015-01-21,18:45:00,13.62,13.65,13.61,13.61,500,0
2015-01-21,18:50:00,13.609,13.609,13.6,13.6,600,0
2015-01-21,18:55:00,13.695,13.695,13.3592,13.499,5050,0
2015-01-21,19:00:00,13.49,13.66,13.2,13.46,8038,0
2015-01-21,19:05:00,13.07,13.23,12.99,13.05,2100,0
2015-01-21,19:10:00,13.2,13.66,13.17,13.5,2100,0
2015-01-21,19:15:00,13.578,13.6,13.55,13.6,1500,0
2015-01-21,19:20:00,13.586,13.586,13.456,13.456,670,0
2015-01-21,19:25:00,13.468,13.468,13.45,13.45,200,0
2015-01-21,19:30:00,13.42,13.565,13.37,13.565,400,0
2015-01-21,19:35:00,13.4,13.4,13.4,13.4,1230,0
2015-01-21,19:50:00,13.484,13.6905,13.4743,13.6905,2200,0
2015-01-21,19:55:00,13.5479,13.5769,13.5479,13.5769,1000,0
2015-01-21,20:05:00,13.45,13.65,13.45,13.65,500,0
2015-01-21,20:10:00,13.65,13.6723,13.65,13.65,900,0
2015-01-21,20:15:00,13.55,13.55,13.5001,13.5001,5000,0
2015-01-21,20:20:00,13.51,13.51,13.5,13.5,1285,0
2015-01-21,20:25:00,13.6799,13.6799,13.6799,13.6799,100,0
2015-01-21,20:30:00,13.635,13.635,13.635,13.635,200,0
2015-01-21,20:35:00,13.67,13.68,13.64,13.64,1500,0
2015-01-21,20:45:00,13.72,13.72,13.679,13.679,600,0
2015-01-21,20:50:00,13.75,13.7595,13.64,13.66,1000,0
2015-01-21,20:55:00,13.66,13.71,13.64,13.66,1000,0
2015-01-21,21:00:00,13.65,13.65,13.6,13.6299,1300,0
2015-01-21,21:05:00,13.62,13.63,13.62,13.6299,1200,0
2015-01-21,21:10:00,13.62,13.62,13.62,13.62,600,0
2015-01-21,21:15:00,13.6,13.6,13.52,13.52,350,0
2015-01-21,21:20:00,13.63,13.63,13.63,13.63,100,0
2015-01-21,21:25:00,13.63,13.63,13.63,13.63,300,0
2015-01-21,21:30:00,13.61,13.672,13.51,13.528,5000,0
2015-01-21,21:35:00,13.5,13.5,13.21,13.38,12400,0
2015-01-21,21:40:00,13.39,13.39,13.22,13.225,2423,0
2015-01-21,21:45:00,13.3,13.3799,12.8205,12.83,22303,0
2015-01-21,21:50:00,12.89,13.38,12.89,13.38,4350,0
2015-01-21,21:55:00,13.3169,13.3699,12.96,13.275,4300,0
2015-01-21,22:00:00,13.015,13.2899,12.96,13.23,6734,0
2015-01-22,15:35:00,13.7989,13.7989,13.7989,13.7989,100,0
2015-01-22,15:40:00,13.5,13.5,13.5,13.5,200,0
2015-01-22,15:45:00,13.4599,13.46,13.4599,13.46,1400,0
2015-01-22,15:55:00,13.0,13.006,12.7001,12.85,1900,0
2015-01-22,16:00:00,12.74,13.4099,12.7001,13.4099,3616,0
2015-01-22,16:05:00,12.8852,13.2764,12.8852,13.2764,550,0
2015-01-22,16:15:00,13.0,13.1999,13.0,13.1999,1550,0
2015-01-22,16:20:00,13.04,13.17,13.04,13.17,300,0
2015-01-22,16:25:00,12.801,13.16,12.801,13.16,200,0
2015-01-22,16:30:00,13.05,13.1,12.85,12.85,1125,0
2015-01-22,16:35:00,12.8,12.98,12.8,12.98,4200,0
2015-01-22,16:40:00,13.0499,13.0499,12.8301,12.981,400,0
2015-01-22,16:45:00,12.9765,13.18,12.9765,13.18,1150,0
2015-01-22,16:50:00,13.16,13.16,13.16,13.16,200,0
2015-01-22,16:55:00,13.01,13.1106,12.92,13.1106,2700,0
2015-01-22,17:15:00,13.08,13.08,12.8,12.801,2699,0
2015-01-22,17:20:00,12.8001,12.98,12.8001,12.98,500,0
2015-01-22,17:30:00,12.8,13.0,12.8,12.9999,1050,0
2015-01-22,17:40:00,12.83,13.184,12.8,13.184,363,0
2015-01-22,17:50:00,12.9829,13.01,12.8001,13.01,1100,0
2015-01-22,17:55:00,12.8,12.96,12.8,12.96,200,0
