Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-05-05,15:50:00,7.7559,7.7559,7.7559,7.7559,12378,0
2014-05-05,18:30:00,7.7559,7.7559,7.7559,7.7559,953,0
2014-05-05,18:35:00,7.5717,7.5717,7.5717,7.5717,178,0
2014-05-06,16:20:00,7.5523,7.5523,7.5523,7.5523,206,0
2014-05-06,18:35:00,7.5717,7.5717,7.5717,7.5717,216,0
2014-05-07,20:40:00,7.6512,7.6686,7.6492,7.6493,1031,0
2014-05-07,22:00:00,7.6589,7.6589,7.6589,7.6589,103,0
2014-05-08,16:50:00,7.7559,7.7559,7.6298,7.6977,3063,0
2014-05-13,15:35:00,7.5231,7.6298,7.5231,7.6298,1134,0
2014-05-13,15:45:00,7.6298,7.6298,7.6298,7.6298,1031,0
2014-05-13,16:10:00,7.5426,7.5426,7.5426,7.5426,1066,0
2014-05-13,17:20:00,7.5427,7.5427,7.5427,7.5427,413,0
2014-05-13,17:25:00,7.562,7.5814,7.562,7.5814,413,0
2014-05-13,17:40:00,7.562,7.562,7.5426,7.5426,3198,0
2014-05-13,17:45:00,7.5426,7.5426,7.368,7.368,2889,0
2014-05-13,17:50:00,7.3486,7.3583,7.3486,7.3583,773,0
2014-05-13,17:55:00,7.4068,7.4165,7.2712,7.2712,8045,0
2014-05-13,18:00:00,7.2712,7.465,7.2712,7.465,4229,0
2014-05-13,19:35:00,7.4553,7.465,7.4456,7.465,1238,0
2014-05-13,19:40:00,7.4844,7.4844,7.2517,7.2809,4503,0
2014-05-13,19:50:00,7.5523,7.5523,7.5523,7.5523,2658,0
2014-05-13,21:50:00,7.3583,7.3583,7.3293,7.3293,464,0
2014-05-14,17:10:00,7.4165,7.4165,7.4165,7.4165,103,0
2014-05-14,21:40:00,7.6589,7.6589,7.6589,7.6589,103,0
2014-05-15,20:55:00,7.2809,7.3021,7.2042,7.3021,1238,0
2014-05-15,21:50:00,7.4165,7.4165,7.4165,7.4165,103,0
2014-05-16,15:35:00,7.3777,7.3777,7.3777,7.3777,103,0
2014-05-16,16:45:00,7.368,7.3777,7.3486,7.3486,1649,0
2014-05-19,15:35:00,7.3971,7.3971,7.3971,7.3971,103,0
2014-05-19,21:25:00,7.4359,7.4359,7.4359,7.4359,103,0
2014-05-19,22:00:00,7.3777,7.4699,7.368,7.4649,6188,0
2014-05-20,15:35:00,7.5426,7.5426,7.5426,7.5426,928,0
2014-05-20,18:50:00,7.4844,7.4844,7.4844,7.4844,103,0
2014-05-20,19:55:00,7.4879,7.4879,7.4879,7.4879,928,0
2014-05-20,20:05:00,7.4844,7.494,7.4844,7.4845,1754,0
2014-05-21,16:55:00,7.4892,7.4892,7.4844,7.4844,2476,0
2014-05-21,19:55:00,7.5037,7.5378,7.2809,7.2906,6964,0
2014-05-21,21:05:00,7.465,7.465,7.465,7.465,280,0
2014-05-21,21:30:00,7.4068,7.4068,7.3099,7.3099,1166,0
2014-05-22,18:00:00,7.5814,7.5814,7.5625,7.5625,309,0
2014-05-22,18:05:00,7.5667,7.5667,7.4699,7.5667,1238,0
2014-05-22,18:15:00,7.4796,7.499,7.4796,7.499,206,0
2014-05-22,19:00:00,7.4359,7.4359,7.4359,7.4359,103,0
2014-05-22,21:55:00,7.4456,7.4756,7.2712,7.3187,4745,0
2014-05-23,19:55:00,7.562,7.562,7.562,7.562,206,0
2014-05-27,18:15:00,7.4844,7.5911,7.465,7.5523,928,0
2014-05-27,18:20:00,7.6783,7.6783,7.6783,7.6783,825,0
2014-05-27,18:40:00,7.707,7.707,7.707,7.707,1031,0
