Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-27,17:20:00,1.4700,1.4700,1.4400,1.4600,14978,0
2015-01-27,17:25:00,1.46,1.46,1.46,1.46,800,0
2015-01-27,17:30:00,1.47,1.48,1.47,1.48,4600,0
2015-01-27,17:35:00,1.4785,1.4785,1.4785,1.4785,300,0
2015-01-27,17:40:00,1.47,1.4701,1.47,1.4701,1400,0
2015-01-27,17:50:00,1.47,1.48,1.44,1.45,14682,0
2015-01-27,17:55:00,1.45,1.45,1.43,1.43,1820,0
2015-01-27,18:00:00,1.44,1.445,1.44,1.445,500,0
2015-01-27,18:05:00,1.445,1.4499,1.445,1.4499,645,0
2015-01-27,18:10:00,1.44,1.45,1.43,1.45,13500,0
2015-01-27,18:15:00,1.436,1.45,1.436,1.45,2000,0
2015-01-27,18:20:00,1.447,1.447,1.4301,1.4301,935,0
2015-01-27,18:30:00,1.46,1.47,1.4587,1.4587,775,0
2015-01-27,18:35:00,1.45,1.45,1.45,1.45,100,0
2015-01-27,18:40:00,1.45,1.4501,1.45,1.4501,1000,0
2015-01-27,18:50:00,1.45,1.45,1.4301,1.4301,2720,0
2015-01-27,18:55:00,1.45,1.45,1.4301,1.444,16992,0
2015-01-27,19:05:00,1.45,1.45,1.45,1.45,2000,0
2015-01-27,19:15:00,1.44,1.45,1.44,1.45,200,0
2015-01-27,19:25:00,1.44,1.44,1.44,1.44,1000,0
2015-01-27,19:30:00,1.43,1.43,1.42,1.4201,5500,0
2015-01-27,19:40:00,1.4299,1.4299,1.4299,1.4299,500,0
2015-01-27,19:45:00,1.43,1.44,1.43,1.44,200,0
2015-01-27,20:00:00,1.44,1.48,1.44,1.48,20100,0
2015-01-27,20:05:00,1.4614,1.4614,1.4614,1.4614,5000,0
2015-01-27,20:10:00,1.464,1.464,1.464,1.464,200,0
2015-01-27,20:20:00,1.46,1.46,1.459,1.46,1300,0
2015-01-27,20:25:00,1.46,1.46,1.46,1.46,500,0
2015-01-27,20:30:00,1.464,1.469,1.458,1.458,5000,0
2015-01-27,20:35:00,1.47,1.47,1.47,1.47,800,0
2015-01-27,21:00:00,1.47,1.47,1.47,1.47,800,0
2015-01-27,21:15:00,1.47,1.47,1.47,1.47,1100,0
2015-01-27,21:20:00,1.47,1.47,1.47,1.47,300,0
2015-01-27,21:25:00,1.47,1.47,1.47,1.47,3300,0
2015-01-27,21:35:00,1.4684,1.4684,1.466,1.466,389,0
2015-01-27,21:40:00,1.47,1.47,1.47,1.47,100,0
2015-01-27,21:45:00,1.4684,1.47,1.4684,1.47,1600,0
2015-01-27,21:55:00,1.4684,1.47,1.4684,1.47,900,0
2015-01-27,22:00:00,1.47,1.47,1.44,1.46,11401,0
2015-01-28,15:40:00,1.46,1.46,1.45,1.45,3700,0
2015-01-28,15:45:00,1.442,1.442,1.4356,1.4356,600,0
2015-01-28,15:50:00,1.442,1.442,1.442,1.442,200,0
2015-01-28,16:15:00,1.4597,1.4597,1.4569,1.4569,8300,0
