Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,16:45:00,8.7300,8.7700,8.7300,8.7700,1300,0
2015-01-29,16:50:00,8.77,8.77,8.73,8.73,200,0
2015-01-29,16:55:00,8.74,8.78,8.73,8.75,5900,0
2015-01-29,17:00:00,8.7201,8.8,8.7201,8.8,3616,0
2015-01-29,17:05:00,8.82,8.82,8.78,8.8,1800,0
2015-01-29,17:10:00,8.75,8.8,8.72,8.8,2250,0
2015-01-29,17:20:00,8.751,8.79,8.727,8.79,3400,0
2015-01-29,17:25:00,8.7,8.7,8.7,8.7,200,0
2015-01-29,17:30:00,8.7499,8.76,8.7499,8.76,2100,0
2015-01-29,17:35:00,8.79,8.79,8.79,8.79,100,0
2015-01-29,17:50:00,8.7375,8.78,8.72,8.72,1535,0
2015-01-29,18:00:00,8.76,8.79,8.74,8.79,6600,0
2015-01-29,18:05:00,8.73,8.73,8.73,8.73,100,0
2015-01-29,18:10:00,8.72,8.76,8.72,8.72,500,0
2015-01-29,18:15:00,8.71,8.75,8.62,8.63,10549,0
2015-01-29,18:20:00,8.61,8.62,8.58,8.61,1400,0
2015-01-29,18:25:00,8.59,8.6,8.59,8.6,700,0
2015-01-29,18:30:00,8.6,8.61,8.59,8.6,2000,0
2015-01-29,18:35:00,8.6,8.61,8.58,8.61,2400,0
2015-01-29,18:40:00,8.6,8.61,8.58,8.6,1096,0
2015-01-29,18:45:00,8.6,8.6,8.58,8.6,400,0
2015-01-29,18:50:00,8.6,8.6,8.58,8.6,400,0
2015-01-29,18:55:00,8.6,8.6,8.5841,8.6,1000,0
2015-01-29,19:00:00,8.58,8.62,8.58,8.58,3700,0
2015-01-29,19:05:00,8.584,8.62,8.58,8.6,1913,0
2015-01-29,19:10:00,8.58,8.6199,8.58,8.6199,1133,0
2015-01-29,19:15:00,8.58,8.61,8.57,8.6,2454,0
2015-01-29,19:20:00,8.57,8.6,8.57,8.6,700,0
2015-01-29,19:25:00,8.6,8.63,8.57,8.57,3019,0
2015-01-29,19:30:00,8.5904,8.61,8.49,8.58,14320,0
2015-01-29,19:35:00,8.52,8.56,8.4762,8.55,3650,0
2015-01-29,19:40:00,8.5,8.54,8.45,8.49,3700,0
