Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-11,21:35:00,6.1800,6.2300,6.1500,6.2300,2100,0
2014-11-11,21:50:00,6.21,6.21,6.18,6.18,800,0
2014-11-11,21:55:00,6.2,6.2,6.2,6.2,800,0
2014-11-12,15:45:00,6.25,6.25,6.25,6.25,400,0
2014-11-12,15:50:00,6.25,6.25,6.25,6.25,1800,0
2014-11-12,15:55:00,6.25,6.25,6.2,6.2,5100,0
2014-11-12,16:00:00,6.24,6.34,6.2399,6.34,2778,0
2014-11-12,16:20:00,6.31,6.31,6.25,6.25,2242,0
2014-11-12,16:25:00,6.3,6.3,6.25,6.25,1400,0
2014-11-12,16:30:00,6.26,6.26,6.25,6.25,879,0
2014-11-12,16:35:00,6.22,6.22,6.2,6.2,300,0
2014-11-12,16:40:00,6.18,6.18,6.02,6.02,10700,0
2014-11-12,16:45:00,6.02,6.18,6.02,6.15,3400,0
2014-11-12,16:55:00,6.05,6.19,6.05,6.19,3300,0
2014-11-12,17:00:00,6.1001,6.1001,6.1001,6.1001,826,0
2014-11-12,17:05:00,6.15,6.2148,6.15,6.2148,600,0
2014-11-12,17:50:00,6.21,6.21,6.21,6.21,200,0
2014-11-12,17:55:00,6.21,6.22,6.21,6.2167,1800,0
2014-11-12,18:30:00,6.22,6.22,6.22,6.22,1400,0
2014-11-12,18:45:00,6.2246,6.2246,6.2246,6.2246,128,0
2014-11-12,18:50:00,6.25,6.25,6.25,6.25,2000,0
2014-11-12,18:55:00,6.28,6.34,6.2799,6.34,8800,0
2014-11-12,19:25:00,6.35,6.35,6.35,6.35,389,0
2014-11-12,19:30:00,6.35,6.35,6.35,6.35,200,0
2014-11-12,19:35:00,6.35,6.35,6.35,6.35,200,0
2014-11-12,20:25:00,6.35,6.35,6.35,6.35,2000,0
2014-11-12,20:50:00,6.31,6.31,6.31,6.31,200,0
2014-11-12,21:00:00,6.24,6.24,6.24,6.24,100,0
2014-11-12,21:20:00,6.29,6.29,6.28,6.28,2100,0
2014-11-12,21:25:00,6.28,6.28,6.28,6.28,600,0
2014-11-12,21:30:00,6.28,6.3,6.28,6.3,1000,0
2014-11-12,21:40:00,6.2999,6.2999,6.2999,6.2999,425,0
2014-11-12,21:45:00,6.3,6.3,6.3,6.3,900,0
2014-11-12,21:50:00,6.29,6.3,6.29,6.295,600,0
2014-11-12,21:55:00,6.3,6.35,6.27,6.28,2735,0
2014-11-12,22:00:00,6.3,6.33,6.29,6.3,1200,0
2014-11-13,15:35:00,6.05,6.05,5.46,5.5,29101,0
2014-11-13,15:40:00,5.65,5.65,5.4956,5.55,8900,0
2014-11-13,15:45:00,5.55,5.55,5.55,5.55,400,0
2014-11-13,15:55:00,5.4801,5.51,5.4801,5.51,500,0
2014-11-13,16:00:00,5.5,5.65,5.5,5.55,5300,0
2014-11-13,16:05:00,5.48,5.5499,5.48,5.48,10100,0
2014-11-13,16:10:00,5.47,5.48,5.47,5.48,700,0
2014-11-13,16:15:00,5.48,5.48,5.47,5.47,2300,0
2014-11-13,16:20:00,5.48,5.48,5.47,5.47,500,0
2014-11-13,16:25:00,5.48,5.55,5.4799,5.55,2100,0
2014-11-13,16:30:00,5.5001,5.5001,5.5,5.5,1200,0
2014-11-13,16:35:00,5.55,5.65,5.55,5.65,3900,0
2014-11-13,16:40:00,5.51,5.55,5.51,5.55,2100,0
2014-11-13,16:45:00,5.57,5.649,5.57,5.642,9400,0
2014-11-13,16:50:00,5.642,5.7,5.64,5.7,1700,0
2014-11-13,16:55:00,5.6984,5.75,5.6984,5.75,7400,0
2014-11-13,17:00:00,5.75,5.75,5.75,5.75,7300,0
2014-11-13,17:05:00,5.74,5.75,5.74,5.75,4900,0
2014-11-13,17:10:00,5.79,5.8,5.7,5.7,8000,0
2014-11-13,17:15:00,5.7,5.7,5.69,5.7,4656,0
2014-11-13,17:25:00,5.65,5.65,5.65,5.65,1300,0
2014-11-13,17:40:00,5.6,5.6,5.6,5.6,1553,0
2014-11-13,17:45:00,5.6,5.6,5.6,5.6,100,0
2014-11-13,17:50:00,5.55,5.59,5.47,5.59,15850,0
2014-11-13,18:00:00,5.59,5.6,5.59,5.6,2000,0
2014-11-13,18:10:00,5.6,5.64,5.6,5.64,944,0
2014-11-13,18:15:00,5.6,5.6,5.6,5.6,1947,0
2014-11-13,18:20:00,5.5999,5.6,5.5999,5.6,3153,0
2014-11-13,18:25:00,5.61,5.61,5.61,5.61,200,0
2014-11-13,18:50:00,5.65,5.65,5.65,5.65,1700,0
2014-11-13,18:55:00,5.69,5.7,5.69,5.69,1700,0
2014-11-13,19:05:00,5.63,5.63,5.6,5.6,4200,0
2014-11-13,19:10:00,5.62,5.62,5.6,5.6,700,0
2014-11-13,19:35:00,5.6599,5.6599,5.6599,5.6599,1000,0
2014-11-13,19:45:00,5.59,5.6,5.59,5.6,4353,0
2014-11-13,19:55:00,5.6,5.6,5.58,5.58,1300,0
2014-11-13,20:10:00,5.59,5.59,5.59,5.59,200,0
2014-11-13,20:20:00,5.64,5.64,5.64,5.64,1653,0
2014-11-13,20:25:00,5.65,5.7,5.65,5.695,4800,0
2014-11-13,20:35:00,5.7,5.7,5.7,5.7,700,0
2014-11-13,20:40:00,5.66,5.7,5.66,5.7,1000,0
2014-11-13,20:50:00,5.7,5.7,5.7,5.7,2600,0
2014-11-13,21:05:00,5.69,5.7004,5.69,5.7004,400,0
2014-11-13,21:15:00,5.6739,5.6739,5.65,5.65,1000,0
2014-11-13,21:20:00,5.6836,5.6836,5.6836,5.6836,100,0
2014-11-13,21:25:00,5.67,5.67,5.67,5.67,200,0
2014-11-13,21:30:00,5.686,5.69,5.685,5.685,3300,0
2014-11-13,21:35:00,5.7,5.75,5.7,5.7,5510,0
2014-11-13,21:45:00,5.7,5.7,5.68,5.7,4300,0
2014-11-13,21:50:00,5.71,5.71,5.7,5.7,340,0
2014-11-13,21:55:00,5.7,5.7,5.7,5.7,2660,0
2014-11-13,22:00:00,5.7101,5.7336,5.7,5.7336,4747,0
2014-11-14,15:35:00,5.86,5.95,5.858,5.88,1800,0
2014-11-14,15:40:00,5.88,5.88,5.66,5.675,1570,0
2014-11-14,15:45:00,5.65,5.65,5.65,5.65,300,0
2014-11-14,15:50:00,5.66,5.66,5.66,5.66,200,0
2014-11-14,15:55:00,5.66,5.66,5.66,5.66,200,0
2014-11-14,16:00:00,5.66,5.66,5.66,5.66,200,0
2014-11-14,16:05:00,5.66,5.66,5.66,5.66,200,0
2014-11-14,16:10:00,5.66,5.67,5.66,5.67,200,0
2014-11-14,16:15:00,5.7,5.7,5.7,5.7,400,0
2014-11-14,16:20:00,5.7,5.7,5.7,5.7,200,0
2014-11-14,16:25:00,5.7,5.7,5.7,5.7,200,0
2014-11-14,16:30:00,5.82,5.8399,5.715,5.715,2300,0
2014-11-14,16:35:00,5.81,5.81,5.715,5.715,300,0
2014-11-14,16:40:00,5.7,5.72,5.68,5.68,4700,0
2014-11-14,16:45:00,5.68,5.68,5.68,5.68,2900,0
2014-11-14,16:50:00,5.6801,5.6801,5.6801,5.6801,1653,0
2014-11-14,17:00:00,5.82,5.85,5.82,5.85,5500,0
2014-11-14,17:05:00,5.84,5.86,5.69,5.69,2700,0
2014-11-14,17:40:00,5.73,5.75,5.73,5.75,8000,0
2014-11-14,17:50:00,5.71,5.754,5.701,5.754,5000,0
2014-11-14,18:25:00,5.8,5.88,5.73,5.8699,3100,0
2014-11-14,18:30:00,5.795,5.88,5.795,5.88,2500,0
2014-11-14,19:00:00,5.88,5.88,5.8799,5.8799,4100,0
2014-11-14,20:00:00,5.88,5.88,5.88,5.88,100,0
2014-11-14,21:00:00,5.85,5.85,5.85,5.85,1200,0
2014-11-14,21:25:00,5.91,5.91,5.91,5.91,130,0
2014-11-14,21:30:00,5.94,6.04,5.94,5.9999,9000,0
2014-11-14,21:40:00,6.0399,6.0399,6.0399,6.0399,100,0
2014-11-14,21:45:00,5.94,5.96,5.94,5.96,2800,0
2014-11-14,21:50:00,5.96,5.96,5.96,5.96,100,0
2014-11-14,22:00:00,5.95,5.95,5.95,5.95,100,0
2014-11-17,15:35:00,6.025,6.025,5.7,6.025,1600,0
2014-11-17,15:40:00,5.73,5.74,5.67,5.7,3900,0
2014-11-17,16:00:00,5.77,5.77,5.77,5.77,700,0
2014-11-17,16:15:00,5.79,5.92,5.6,5.92,8764,0
2014-11-17,16:20:00,5.815,5.815,5.815,5.815,200,0
2014-11-17,16:30:00,5.83,5.92,5.82,5.92,2509,0
2014-11-17,16:35:00,5.94,5.94,5.94,5.94,100,0
2014-11-17,16:50:00,5.82,5.82,5.6,5.65,7762,0
2014-11-17,16:55:00,5.7588,5.7588,5.7588,5.7588,200,0
2014-11-17,17:00:00,5.82,5.82,5.75,5.75,1300,0
2014-11-17,17:20:00,5.66,5.85,5.65,5.85,3600,0
2014-11-17,17:55:00,5.76,5.76,5.76,5.76,200,0
2014-11-17,18:30:00,5.66,5.6601,5.66,5.6601,500,0
2014-11-17,18:55:00,5.71,5.71,5.66,5.66,300,0
2014-11-17,20:00:00,5.69,5.69,5.69,5.69,700,0
2014-11-17,20:50:00,5.65,5.65,5.65,5.65,800,0
2014-11-17,21:50:00,5.6512,5.6512,5.6,5.64,1300,0
2014-11-17,22:00:00,5.57,5.57,5.55,5.55,1400,0
2014-11-18,16:35:00,5.86,5.86,5.86,5.86,200,0
2014-11-18,17:25:00,5.7,5.7,5.7,5.7,400,0
2014-11-18,17:35:00,5.63,5.68,5.63,5.68,600,0
2014-11-18,18:40:00,5.58,5.58,5.58,5.58,100,0
2014-11-18,18:50:00,5.5701,5.725,5.5701,5.725,800,0
2014-11-18,19:05:00,5.73,5.74,5.73,5.74,2150,0
2014-11-18,19:10:00,5.74,5.75,5.72,5.74,4900,0
2014-11-18,19:45:00,5.61,5.61,5.61,5.61,100,0
2014-11-18,20:10:00,5.67,5.67,5.67,5.67,100,0
