Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,50.70,50.75,50.59,50.63,11576,0
2015-02-03,16:55:00,50.63,50.67,50.58,50.65,6400,0
2015-02-03,17:00:00,50.65,50.66,50.45,50.45,7650,0
2015-02-03,17:05:00,50.47,50.56,50.46,50.56,7399,0
2015-02-03,17:10:00,50.52,50.56,50.46,50.51,28782,0
2015-02-03,17:15:00,50.51,50.63,50.48,50.59,10887,0
2015-02-03,17:20:00,50.62,50.74,50.62,50.74,2981,0
2015-02-03,17:25:00,50.75,50.79,50.64,50.64,6500,0
2015-02-03,17:30:00,50.64,50.66,50.57,50.57,3513,0
2015-02-03,17:35:00,50.56,50.56,50.531,50.54,5447,0
2015-02-03,17:40:00,50.54,50.66,50.5,50.66,5737,0
2015-02-03,17:45:00,50.6419,50.68,50.59,50.68,7326,0
2015-02-03,17:50:00,50.68,50.68,50.56,50.56,5500,0
2015-02-03,17:55:00,50.55,50.55,50.41,50.4136,7011,0
2015-02-03,18:00:00,50.39,50.42,50.35,50.41,5400,0
2015-02-03,18:05:00,50.4,50.42,50.37,50.4,4320,0
2015-02-03,18:10:00,50.41,50.45,50.4,50.45,8763,0
2015-02-03,18:15:00,50.46,50.53,50.44,50.53,9442,0
2015-02-03,18:20:00,50.52,50.52,50.44,50.44,6800,0
2015-02-03,18:25:00,50.445,50.47,50.445,50.46,3200,0
2015-02-03,18:30:00,50.46,50.46,50.41,50.42,5700,0
2015-02-03,18:35:00,50.42,50.42,50.36,50.36,6411,0
2015-02-03,18:40:00,50.37,50.45,50.35,50.41,9720,0
2015-02-03,18:45:00,50.428,50.52,50.428,50.52,5101,0
2015-02-03,18:50:00,50.54,50.56,50.49,50.51,3707,0
2015-02-03,18:55:00,50.49,50.49,50.41,50.44,2900,0
2015-02-03,19:00:00,50.47,50.52,50.43,50.43,3584,0
2015-02-03,19:05:00,50.43,50.52,50.43,50.5,2600,0
2015-02-03,19:10:00,50.5,50.51,50.49,50.51,2200,0
2015-02-03,19:15:00,50.49,50.58,50.48,50.56,5100,0
