Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,95.53,95.84,95.45,95.61,53710,0
2015-02-03,16:55:00,95.61,96.1199,95.49,96.04,17600,0
2015-02-03,17:00:00,96.04,96.12,95.89,95.97,12700,0
2015-02-03,17:05:00,95.98,96.2,95.96,95.99,22400,0
2015-02-03,17:10:00,95.94,96.27,95.72,96.0,21529,0
2015-02-03,17:15:00,95.94,96.39,95.7103,96.26,13252,0
2015-02-03,17:20:00,96.33,96.3839,96.15,96.3301,6966,0
2015-02-03,17:25:00,96.4,96.58,96.1644,96.58,8721,0
2015-02-03,17:30:00,96.58,96.8,96.42,96.5601,24242,0
2015-02-03,17:35:00,96.57,96.78,96.442,96.53,44000,0
2015-02-03,17:40:00,96.57,96.94,96.39,96.94,26791,0
2015-02-03,17:45:00,96.87,97.5,96.81,97.41,20527,0
2015-02-03,17:50:00,97.48,97.48,97.02,97.4,13000,0
2015-02-03,17:55:00,97.57,97.7,97.37,97.51,11750,0
2015-02-03,18:00:00,97.5,97.95,97.46,97.79,14295,0
2015-02-03,18:05:00,97.74,97.75,97.47,97.55,17024,0
2015-02-03,18:10:00,97.55,97.95,97.55,97.78,13500,0
2015-02-03,18:15:00,97.691,98.1,97.691,98.0501,13920,0
2015-02-03,18:20:00,98.22,98.42,98.14,98.3325,18711,0
2015-02-03,18:25:00,98.39,98.66,98.39,98.55,15231,0
2015-02-03,18:30:00,98.64,99.1095,98.4701,98.99,22232,0
2015-02-03,18:35:00,98.99,98.99,98.68,98.778,21104,0
2015-02-03,18:40:00,98.808,98.9176,98.5801,98.75,16795,0
2015-02-03,18:45:00,98.857,99.17,98.82,99.05,8780,0
2015-02-03,18:50:00,99.17,99.2199,98.92,99.2199,10000,0
2015-02-03,18:55:00,99.11,99.3182,99.0101,99.23,14154,0
2015-02-03,19:00:00,99.33,99.83,99.33,99.81,41469,0
2015-02-03,19:05:00,99.82,100.26,99.7,100.26,30085,0
2015-02-03,19:10:00,100.269,100.5,99.99,100.225,19922,0
2015-02-03,19:15:00,100.2602,100.4,100.09,100.24,13650,0
2015-02-03,19:20:00,100.232,100.31,99.64,99.813,15457,0
2015-02-03,19:25:00,100.0199,100.3,99.89,100.05,18911,0
2015-02-03,19:30:00,100.21,100.225,99.78,99.852,7590,0
2015-02-03,19:35:00,99.9301,100.29,99.76,100.12,27884,0
2015-02-03,19:40:00,100.2099,100.3,100.05,100.11,9387,0
2015-02-03,19:45:00,100.12,100.6,100.06,100.6,18477,0
2015-02-03,19:50:00,100.59,101.06,100.56,101.02,28152,0
2015-02-03,19:55:00,101.11,101.5,100.9341,101.5,18427,0
2015-02-03,20:00:00,101.3001,101.5,101.07,101.07,16021,0
2015-02-03,20:05:00,101.23,101.7,101.23,101.37,23749,0
2015-02-03,20:10:00,101.36,101.5,101.12,101.41,17025,0
2015-02-03,20:15:00,101.47,101.64,101.39,101.6,13810,0
2015-02-03,20:20:00,101.57,101.75,101.42,101.42,24936,0
2015-02-03,20:25:00,101.2727,101.54,101.0,101.0,17709,0
2015-02-03,20:30:00,100.98,101.1,100.81,101.04,16896,0
2015-02-03,20:35:00,101.0,101.51,101.0,101.38,12310,0
2015-02-03,20:40:00,101.47,101.47,101.14,101.455,11410,0
2015-02-03,20:45:00,101.45,101.64,101.43,101.575,36200,0
2015-02-03,20:50:00,101.59,101.74,101.53,101.67,14952,0
2015-02-03,20:55:00,101.67,101.76,101.595,101.595,23508,0
2015-02-03,21:00:00,101.61,102.3075,101.6,102.3075,37149,0
2015-02-03,21:05:00,102.29,102.9,102.27,102.8,39913,0
2015-02-03,21:10:00,102.82,103.62,102.8,103.55,46055,0
2015-02-03,21:15:00,103.62,103.62,103.06,103.4799,36243,0
2015-02-03,21:20:00,103.3337,103.68,103.31,103.6,37850,0
2015-02-03,21:25:00,103.58,103.86,103.54,103.75,36313,0
2015-02-03,21:30:00,103.72,103.76,103.41,103.58,31832,0
2015-02-03,21:35:00,103.59,104.2,103.52,103.53,57084,0
