Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,92.94,93.02,92.80,92.88,56319,0
2015-02-03,16:55:00,92.86,92.99,92.72,92.96,48087,0
2015-02-03,17:00:00,92.96,93.08,92.85,92.85,32042,0
2015-02-03,17:05:00,92.85,92.85,92.64,92.71,41604,0
2015-02-03,17:10:00,92.73,92.86,92.59,92.84,48730,0
2015-02-03,17:15:00,92.82,93.04,92.73,92.98,46298,0
2015-02-03,17:20:00,93.0,93.21,92.92,93.12,30735,0
2015-02-03,17:25:00,93.17,93.35,93.1,93.23,33733,0
2015-02-03,17:30:00,93.24,93.48,93.22,93.39,31967,0
2015-02-03,17:35:00,93.39,93.39,93.15,93.15,43879,0
2015-02-03,17:40:00,93.14,93.27,93.08,93.24,15454,0
2015-02-03,17:45:00,93.24,93.39,93.08,93.39,26458,0
2015-02-03,17:50:00,93.39,93.48,93.34,93.48,26356,0
2015-02-03,17:55:00,93.49,93.53,93.31,93.38,40835,0
2015-02-03,18:00:00,93.38,93.39,93.17,93.25,20299,0
2015-02-03,18:05:00,93.27,93.41,93.22,93.4,36734,0
2015-02-03,18:10:00,93.41,93.42,93.29,93.31,23149,0
2015-02-03,18:15:00,93.33,93.53,93.32,93.52,34660,0
2015-02-03,18:20:00,93.5,93.53,93.35,93.38,18560,0
2015-02-03,18:25:00,93.39,93.45,93.2,93.21,12515,0
2015-02-03,18:30:00,93.2,93.26,93.14,93.15,13597,0
2015-02-03,18:35:00,93.16,93.16,92.7,92.76,24674,0
2015-02-03,18:40:00,92.73,92.86,92.72,92.8,12768,0
2015-02-03,18:45:00,92.82,92.87,92.72,92.86,15501,0
2015-02-03,18:50:00,92.86,92.89,92.69,92.75,19931,0
2015-02-03,18:55:00,92.75,92.8,92.67,92.7,49686,0
2015-02-03,19:00:00,92.65,92.77,92.61,92.65,14103,0
2015-02-03,19:05:00,92.66,92.81,92.64,92.76,20127,0
2015-02-03,19:10:00,92.74,92.94,92.74,92.94,11800,0
2015-02-03,19:15:00,92.92,92.99,92.88,92.97,21042,0
2015-02-03,19:20:00,92.94,93.18,92.92,93.11,24516,0
2015-02-03,19:25:00,93.12,93.22,93.11,93.18,13700,0
2015-02-03,19:30:00,93.18,93.37,93.14,93.36,27218,0
2015-02-03,19:35:00,93.33,93.44,93.29,93.31,16401,0
2015-02-03,19:40:00,93.31,93.4,93.25,93.25,20506,0
2015-02-03,19:45:00,93.24,93.54,93.24,93.54,41813,0
2015-02-03,19:50:00,93.54,93.75,93.51,93.61,40765,0
2015-02-03,19:55:00,93.56,93.62,93.43,93.62,17657,0
2015-02-03,20:00:00,93.66,93.74,93.57,93.62,20478,0
2015-02-03,20:05:00,93.63,93.74,93.54,93.55,17862,0
2015-02-03,20:10:00,93.58,93.64,93.44,93.45,18920,0
2015-02-03,20:15:00,93.46,93.56,93.45,93.56,20695,0
2015-02-03,20:20:00,93.56,93.74,93.55,93.72,27793,0
2015-02-03,20:25:00,93.74,93.84,93.49,93.49,29827,0
2015-02-03,20:30:00,93.48,93.49,93.3,93.31,16050,0
2015-02-03,20:35:00,93.34,93.43,93.27,93.41,15925,0
2015-02-03,20:40:00,93.4,93.42,93.26,93.36,24894,0
2015-02-03,20:45:00,93.35,93.48,93.33,93.47,20928,0
2015-02-03,20:50:00,93.47,93.68,93.42,93.61,24773,0
2015-02-03,20:55:00,93.62,93.77,93.59,93.7,22407,0
2015-02-03,21:00:00,93.69,93.74,93.64,93.74,26820,0
2015-02-03,21:05:00,93.75,93.88,93.75,93.84,29887,0
2015-02-03,21:10:00,93.83,93.84,93.71,93.79,25887,0
2015-02-03,21:15:00,93.77,93.78,93.65,93.76,28832,0
2015-02-03,21:20:00,93.76,93.8,93.72,93.78,49133,0
2015-02-03,21:25:00,93.77,93.9,93.77,93.9,40122,0
2015-02-03,21:30:00,93.9,93.95,93.81,93.87,38753,0
2015-02-03,21:35:00,93.89,93.95,93.87,93.87,52484,0
2015-02-03,21:40:00,93.89,94.02,93.89,94.02,49564,0
2015-02-03,21:45:00,94.02,94.07,93.95,93.96,61107,0
2015-02-03,21:50:00,93.96,94.08,93.96,93.99,58515,0
2015-02-03,21:55:00,94.0,94.13,93.99,94.13,66888,0
2015-02-03,22:00:00,94.13,94.27,94.06,94.18,255734,0
2015-02-04,15:35:00,94.09,94.09,93.0,93.46,51442,0
2015-02-04,15:40:00,93.56,94.02,93.56,93.92,47569,0
2015-02-04,15:45:00,93.94,94.01,93.64,93.81,37886,0
2015-02-04,15:50:00,93.82,93.94,93.71,93.86,40974,0
2015-02-04,15:55:00,93.89,94.06,93.88,94.01,32631,0
2015-02-04,16:00:00,94.01,94.48,94.01,94.29,47624,0
2015-02-04,16:05:00,94.35,94.52,94.26,94.42,60782,0
2015-02-04,16:10:00,94.46,94.5,94.36,94.47,63938,0
2015-02-04,16:15:00,94.5,94.5,94.28,94.44,36631,0
2015-02-04,16:20:00,94.45,94.82,94.41,94.81,62532,0
2015-02-04,16:25:00,94.85,94.99,94.77,94.99,47790,0
2015-02-04,16:30:00,94.96,95.24,94.96,95.06,66322,0
2015-02-04,16:35:00,95.06,95.23,94.89,94.95,33713,0
2015-02-04,16:40:00,94.96,95.0,94.79,94.96,22958,0
2015-02-04,16:45:00,94.97,95.38,94.9,95.36,39103,0
2015-02-04,16:50:00,95.35,95.57,95.2,95.38,36901,0
2015-02-04,16:55:00,95.37,95.46,95.34,95.4,25255,0
2015-02-04,17:00:00,95.41,95.43,95.11,95.13,28214,0
2015-02-04,17:05:00,95.12,95.2,94.96,95.18,36344,0
2015-02-04,17:10:00,95.19,95.25,95.15,95.23,37101,0
2015-02-04,17:15:00,95.24,95.24,94.87,94.9,52468,0
2015-02-04,17:20:00,94.91,94.92,94.52,94.59,41806,0
2015-02-04,17:25:00,94.61,94.75,94.52,94.75,19483,0
2015-02-04,17:30:00,94.78,94.99,94.77,94.98,24571,0
2015-02-04,17:35:00,95.01,95.16,94.95,95.16,37445,0
2015-02-04,17:40:00,95.18,95.19,94.97,95.0,30862,0
2015-02-04,17:45:00,94.98,95.09,94.9,94.97,34320,0
2015-02-04,17:50:00,94.98,94.98,94.79,94.96,26395,0
2015-02-04,17:55:00,94.95,95.07,94.88,95.04,39681,0
2015-02-04,18:00:00,95.04,95.31,95.02,95.31,26955,0
2015-02-04,18:05:00,95.31,95.31,94.88,95.0,26555,0
2015-02-04,18:10:00,94.98,95.32,94.98,95.27,33555,0
2015-02-04,18:15:00,95.3,95.3,94.98,95.07,17020,0
2015-02-04,18:20:00,95.07,95.07,94.92,94.98,19885,0
2015-02-04,18:25:00,94.97,95.04,94.82,95.03,55532,0
2015-02-04,18:30:00,95.06,95.11,94.93,94.93,48043,0
2015-02-04,18:35:00,94.9,95.03,94.83,95.01,17110,0
2015-02-04,18:40:00,95.01,95.27,95.0,95.26,61525,0
