Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,19:05:00,7.71,7.71,7.71,7.71,200,0
2015-01-30,19:10:00,7.72,7.72,7.71,7.72,300,0
2015-01-30,19:15:00,7.71,7.72,7.71,7.71,1400,0
2015-01-30,19:20:00,7.71,7.71,7.7,7.7,400,0
2015-01-30,19:25:00,7.7,7.7,7.7,7.7,400,0
2015-01-30,19:30:00,7.7,7.79,7.7,7.79,3100,0
2015-01-30,19:35:00,7.79,7.83,7.79,7.83,1200,0
2015-01-30,19:40:00,7.83,7.83,7.8,7.8,2000,0
2015-01-30,19:45:00,7.8,7.8,7.8,7.8,700,0
2015-01-30,19:50:00,7.81,7.81,7.8,7.81,600,0
2015-01-30,19:55:00,7.81,7.82,7.81,7.82,1100,0
2015-01-30,20:00:00,7.83,7.83,7.8,7.8,2400,0
2015-01-30,20:05:00,7.81,7.81,7.81,7.81,100,0
2015-01-30,20:10:00,7.8,7.81,7.79,7.81,2200,0
2015-01-30,20:15:00,7.8,7.81,7.8,7.81,200,0
2015-01-30,20:20:00,7.81,7.83,7.81,7.83,1300,0
2015-01-30,20:25:00,7.85,7.85,7.85,7.85,1436,0
2015-01-30,20:30:00,7.85,7.85,7.83,7.84,1400,0
2015-01-30,20:35:00,7.85,7.86,7.84,7.84,700,0
2015-01-30,20:40:00,7.84,7.86,7.84,7.85,400,0
2015-01-30,20:45:00,7.86,7.86,7.82,7.82,2100,0
2015-01-30,20:50:00,7.8,7.8,7.8,7.8,2782,0
2015-01-30,20:55:00,7.8,7.8,7.79,7.8,3800,0
2015-01-30,21:00:00,7.8,7.8,7.8,7.8,300,0
2015-01-30,21:05:00,7.79,7.81,7.79,7.8,2200,0
2015-01-30,21:10:00,7.79,7.8,7.79,7.8,1700,0
2015-01-30,21:15:00,7.81,7.81,7.8,7.8,1300,0
2015-01-30,21:20:00,7.8,7.8,7.79,7.79,4370,0
2015-01-30,21:25:00,7.79,7.8,7.79,7.79,2300,0
2015-01-30,21:30:00,7.79,7.82,7.79,7.82,5350,0
2015-01-30,21:35:00,7.82,7.82,7.8,7.8,1200,0
2015-01-30,21:40:00,7.81,7.81,7.8,7.8,2200,0
2015-01-30,21:45:00,7.8,7.8,7.78,7.8,7100,0
2015-01-30,21:50:00,7.8,7.82,7.8,7.8,3570,0
2015-01-30,21:55:00,7.8,7.81,7.8,7.8,4400,0
2015-01-30,22:00:00,7.8,7.8,7.75,7.76,27395,0
2015-02-02,15:35:00,7.8,7.81,7.8,7.81,900,0
2015-02-02,15:40:00,7.8,7.81,7.8,7.8,500,0
2015-02-02,15:45:00,7.81,7.81,7.74,7.74,200,0
2015-02-02,15:50:00,7.79,7.81,7.79,7.81,300,0
2015-02-02,15:55:00,7.79,7.79,7.73,7.75,5951,0
2015-02-02,16:00:00,7.75,7.75,7.75,7.75,400,0
2015-02-02,16:05:00,7.78,7.78,7.78,7.78,300,0
2015-02-02,16:10:00,7.8,7.82,7.78,7.82,400,0
2015-02-02,16:15:00,7.79,7.79,7.79,7.79,700,0
2015-02-02,16:20:00,7.8,7.82,7.79,7.81,1100,0
2015-02-02,16:25:00,7.81,7.83,7.81,7.83,1000,0
2015-02-02,16:30:00,7.83,7.84,7.8,7.84,1200,0
2015-02-02,16:35:00,7.84,7.84,7.82,7.82,1000,0
2015-02-02,16:40:00,7.81,7.84,7.81,7.84,740,0
2015-02-02,16:45:00,7.85,7.87,7.85,7.87,300,0
2015-02-02,16:50:00,7.85,7.86,7.85,7.85,400,0
2015-02-02,16:55:00,7.87,7.87,7.87,7.87,800,0
2015-02-02,17:00:00,7.88,7.88,7.88,7.88,100,0
2015-02-02,17:05:00,7.86,7.9,7.82,7.82,9600,0
2015-02-02,17:10:00,7.8,7.84,7.8,7.84,600,0
2015-02-02,17:15:00,7.84,7.84,7.82,7.82,1500,0
2015-02-02,17:20:00,7.82,7.83,7.81,7.82,1331,0
2015-02-02,17:25:00,7.81,7.82,7.81,7.82,600,0
2015-02-02,17:30:00,7.82,7.82,7.8,7.81,1100,0
2015-02-02,17:35:00,7.81,7.83,7.81,7.83,1100,0
2015-02-02,17:40:00,7.81,7.84,7.81,7.84,400,0
2015-02-02,17:45:00,7.84,7.85,7.84,7.85,2400,0
2015-02-02,17:50:00,7.85,7.86,7.85,7.86,2000,0
2015-02-02,17:55:00,7.87,7.87,7.85,7.85,1800,0
2015-02-02,18:00:00,7.85,7.85,7.85,7.85,800,0
2015-02-02,18:05:00,7.85,7.85,7.85,7.85,300,0
2015-02-02,18:15:00,7.84,7.84,7.84,7.84,1800,0
2015-02-02,18:20:00,7.85,7.85,7.85,7.85,100,0
2015-02-02,18:25:00,7.85,7.85,7.85,7.85,700,0
2015-02-02,18:30:00,7.86,7.87,7.86,7.87,500,0
2015-02-02,18:35:00,7.87,7.87,7.87,7.87,1000,0
2015-02-02,18:40:00,7.87,7.88,7.87,7.87,1800,0
2015-02-02,18:45:00,7.88,7.88,7.85,7.87,2000,0
2015-02-02,18:50:00,7.88,7.88,7.88,7.88,300,0
2015-02-02,18:55:00,7.89,7.89,7.88,7.88,495,0
2015-02-02,19:00:00,7.88,7.89,7.88,7.88,500,0
2015-02-02,19:05:00,7.87,7.88,7.87,7.88,800,0
2015-02-02,19:10:00,7.88,7.88,7.87,7.88,700,0
2015-02-02,19:15:00,7.88,7.88,7.87,7.87,1000,0
2015-02-02,19:20:00,7.88,7.89,7.87,7.89,1200,0
2015-02-02,19:25:00,7.88,7.89,7.87,7.87,2500,0
2015-02-02,19:30:00,7.88,7.89,7.84,7.88,1800,0
2015-02-02,19:35:00,7.88,7.88,7.85,7.87,1000,0
2015-02-02,19:40:00,7.87,7.87,7.84,7.84,2400,0
2015-02-02,19:45:00,7.86,7.86,7.84,7.85,800,0
2015-02-02,19:50:00,7.85,7.86,7.84,7.85,600,0
2015-02-02,19:55:00,7.86,7.89,7.85,7.87,18200,0
2015-02-02,20:00:00,7.88,7.88,7.87,7.87,500,0
2015-02-02,20:05:00,7.87,7.89,7.85,7.89,12739,0
2015-02-02,20:10:00,7.88,7.88,7.88,7.88,700,0
2015-02-02,20:15:00,7.89,7.89,7.88,7.88,700,0
2015-02-02,20:20:00,7.88,7.88,7.88,7.88,100,0
2015-02-02,20:25:00,7.89,7.9,7.86,7.88,3500,0
2015-02-02,20:30:00,7.88,7.9,7.88,7.89,1500,0
2015-02-02,20:35:00,7.88,7.88,7.85,7.86,4600,0
2015-02-02,20:40:00,7.86,7.86,7.84,7.85,5100,0
2015-02-02,20:45:00,7.86,7.88,7.85,7.86,1100,0
2015-02-02,20:50:00,7.87,7.87,7.86,7.86,1000,0
2015-02-02,20:55:00,7.87,7.87,7.85,7.86,1700,0
2015-02-02,21:00:00,7.86,7.87,7.86,7.86,4600,0
2015-02-02,21:05:00,7.87,7.88,7.85,7.86,3300,0
2015-02-02,21:10:00,7.86,7.95,7.85,7.86,10300,0
2015-02-02,21:15:00,7.86,7.89,7.86,7.87,1680,0
2015-02-02,21:20:00,7.87,7.88,7.84,7.87,28106,0
2015-02-02,21:25:00,7.87,7.87,7.86,7.86,1300,0
2015-02-02,21:30:00,7.86,7.87,7.86,7.87,800,0
2015-02-02,21:35:00,7.87,7.87,7.86,7.86,500,0
2015-02-02,21:40:00,7.87,7.87,7.86,7.87,3600,0
2015-02-02,21:45:00,7.87,7.89,7.85,7.86,9900,0
2015-02-02,21:50:00,7.88,7.88,7.85,7.86,6900,0
2015-02-02,21:55:00,7.85,7.89,7.85,7.89,5200,0
2015-02-02,22:00:00,7.88,7.96,7.88,7.95,105413,0
2015-02-03,15:35:00,8.0,8.01,7.94,8.01,3217,0
2015-02-03,15:40:00,8.01,8.05,8.01,8.05,6900,0
2015-02-03,15:45:00,8.05,8.12,8.05,8.11,500,0
2015-02-03,15:50:00,8.13,8.15,8.13,8.14,400,0
2015-02-03,15:55:00,8.16,8.17,8.16,8.17,400,0
2015-02-03,16:00:00,8.18,8.18,8.14,8.16,1500,0
2015-02-03,16:05:00,8.2,8.2,8.2,8.2,200,0
2015-02-03,16:10:00,8.22,8.22,8.18,8.18,2300,0
2015-02-03,16:15:00,8.15,8.15,8.14,8.15,1600,0
2015-02-03,16:20:00,8.15,8.16,8.15,8.15,700,0
2015-02-03,16:25:00,8.15,8.15,8.14,8.14,200,0
2015-02-03,16:30:00,8.14,8.17,8.14,8.17,500,0
2015-02-03,16:35:00,8.16,8.16,8.14,8.14,1500,0
2015-02-03,16:40:00,8.14,8.14,8.13,8.13,800,0
2015-02-03,16:45:00,8.13,8.13,8.13,8.13,300,0
