Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:35:00,109.82,109.82,109.73,109.78,5402,0
2015-02-03,16:40:00,109.84,109.9,109.69,109.71,8928,0
2015-02-03,16:45:00,109.73,109.77,109.64,109.75,8704,0
2015-02-03,16:50:00,109.82,109.94,109.76,109.94,7101,0
2015-02-03,16:55:00,109.86,109.88,109.72,109.72,4400,0
2015-02-03,17:00:00,109.76,109.76,109.46,109.52,6958,0
2015-02-03,17:05:00,109.47,109.63,109.47,109.5,7804,0
2015-02-03,17:10:00,109.49,109.59,109.46,109.52,9508,0
2015-02-03,17:15:00,109.52,109.69,109.47,109.63,7901,0
2015-02-03,17:20:00,109.57,109.7,109.5,109.69,6611,0
2015-02-03,17:25:00,109.68,109.84,109.67,109.84,5900,0
2015-02-03,17:30:00,109.88,109.96,109.84,109.92,9004,0
2015-02-03,17:35:00,109.95,110.29,109.94,110.17,10002,0
2015-02-03,17:40:00,110.12,110.36,110.08,110.36,9404,0
2015-02-03,17:45:00,110.31,110.31,110.24,110.24,6702,0
2015-02-03,17:50:00,110.24,110.27,110.01,110.14,8411,0
2015-02-03,17:55:00,110.18,110.19,109.86,109.86,6128,0
2015-02-03,18:00:00,109.89,109.98,109.85,109.95,6042,0
2015-02-03,18:05:00,109.88,110.07,109.82,110.07,5802,0
2015-02-03,18:10:00,110.17,110.17,110.01,110.08,13611,0
2015-02-03,18:15:00,110.05,110.24,110.05,110.23,5700,0
2015-02-03,18:20:00,110.18,110.18,109.99,109.99,4901,0
2015-02-03,18:25:00,110.03,110.14,109.97,109.97,6017,0
2015-02-03,18:30:00,110,110.13,109.95,110.13,3900,0
2015-02-03,18:35:00,110.11,110.12,109.84,109.89,5800,0
2015-02-03,18:40:00,109.85,109.86,109.69,109.79,9021,0
2015-02-03,18:45:00,109.83,109.85,109.7,109.85,5500,0
2015-02-03,18:50:00,109.92,109.96,109.73,109.77,4601,0
2015-02-03,18:55:00,109.83,109.94,109.71,109.94,6153,0
2015-02-03,19:00:00,109.99,110.06,109.9,109.92,5079,0
2015-02-03,19:05:00,109.89,109.99,109.89,109.94,4100,0
2015-02-03,19:10:00,109.9,109.96,109.82,109.94,3800,0
2015-02-03,19:15:00,109.93,110.02,109.8,109.97,8504,0
