Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,62.62,62.64,62.25,62.53,61117,0
2015-02-03,16:55:00,62.59,62.59,62.31,62.35,21834,0
2015-02-03,17:00:00,62.38,62.38,61.84,61.99,32206,0
2015-02-03,17:05:00,62.0,62.06,61.8,62.01,33339,0
2015-02-03,17:10:00,62.0,62.4,61.98,62.35,43574,0
2015-02-03,17:15:00,62.36,62.77,62.16,62.21,85555,0
2015-02-03,17:20:00,62.22,62.69,62.17,62.56,43429,0
2015-02-03,17:25:00,62.6,62.74,62.49,62.7,29858,0
2015-02-03,17:30:00,62.73,62.85,62.43,62.61,35285,0
2015-02-03,17:35:00,62.6,62.63,62.53,62.59,21316,0
2015-02-03,17:40:00,62.61,62.84,62.54,62.84,22792,0
2015-02-03,17:45:00,62.84,63.19,62.84,63.13,35708,0
2015-02-03,17:50:00,63.11,63.13,62.88,63.02,24531,0
2015-02-03,17:55:00,63.01,63.05,62.86,62.86,16195,0
2015-02-03,18:00:00,62.89,62.89,62.68,62.68,24582,0
2015-02-03,18:05:00,62.64,62.74,62.57,62.63,14250,0
2015-02-03,18:10:00,62.69,62.76,62.69,62.7,15600,0
2015-02-03,18:15:00,62.7,62.73,62.61,62.7,12134,0
2015-02-03,18:20:00,62.7,62.71,62.64,62.66,10826,0
2015-02-03,18:25:00,62.67,62.76,62.64,62.67,16700,0
2015-02-03,18:30:00,62.68,62.69,62.55,62.69,10575,0
2015-02-03,18:35:00,62.7,62.74,62.61,62.71,14469,0
2015-02-03,18:40:00,62.7,62.71,62.6,62.67,10453,0
2015-02-03,18:45:00,62.68,62.83,62.66,62.83,16965,0
2015-02-03,18:50:00,62.84,62.85,62.7,62.76,20334,0
2015-02-03,18:55:00,62.79,62.83,62.75,62.76,19116,0
2015-02-03,19:00:00,62.77,62.8,62.6,62.63,11700,0
2015-02-03,19:05:00,62.63,62.66,62.34,62.66,25133,0
2015-02-03,19:10:00,62.62,62.64,62.46,62.51,11799,0
2015-02-03,19:15:00,62.51,62.59,62.41,62.53,15135,0
2015-02-03,19:20:00,62.5,62.51,62.16,62.22,22498,0
2015-02-03,19:25:00,62.22,62.38,62.18,62.21,40346,0
2015-02-03,19:30:00,62.26,62.27,62.15,62.2,11710,0
2015-02-03,19:35:00,62.23,62.33,62.21,62.32,13040,0
2015-02-03,19:40:00,62.31,62.31,62.21,62.26,23332,0
2015-02-03,19:45:00,62.23,62.31,62.19,62.3,12150,0
2015-02-03,19:50:00,62.3,62.31,62.23,62.23,25740,0
2015-02-03,19:55:00,62.25,62.29,62.2,62.29,18809,0
2015-02-03,20:00:00,62.28,62.3,62.21,62.24,14390,0
2015-02-03,20:05:00,62.24,62.46,62.24,62.41,55935,0
2015-02-03,20:10:00,62.39,62.43,62.35,62.43,21746,0
2015-02-03,20:15:00,62.42,62.49,62.4,62.44,24999,0
2015-02-03,20:20:00,62.44,62.6,62.44,62.55,23778,0
2015-02-03,20:25:00,62.56,62.98,62.56,62.93,36082,0
2015-02-03,20:30:00,62.92,62.94,62.73,62.91,20157,0
2015-02-03,20:35:00,62.93,62.94,62.67,62.76,22013,0
2015-02-03,20:40:00,62.77,62.8,62.64,62.64,15349,0
2015-02-03,20:45:00,62.64,62.69,62.55,62.69,10765,0
2015-02-03,20:50:00,62.69,62.97,62.69,62.79,37766,0
2015-02-03,20:55:00,62.83,62.87,62.78,62.8,14760,0
2015-02-03,21:00:00,62.8,62.98,62.78,62.86,39225,0
2015-02-03,21:05:00,62.85,62.86,62.75,62.8,17433,0
2015-02-03,21:10:00,62.8,62.92,62.8,62.86,35605,0
2015-02-03,21:15:00,62.86,62.89,62.74,62.84,23300,0
2015-02-03,21:20:00,62.83,62.97,62.82,62.92,26665,0
2015-02-03,21:25:00,62.92,63.08,62.92,63.02,27624,0
2015-02-03,21:30:00,63.02,63.04,62.97,63.0,44764,0
2015-02-03,21:35:00,63.01,63.04,62.87,62.91,57290,0
2015-02-03,21:40:00,62.9,63.07,62.87,63.06,57272,0
2015-02-03,21:45:00,63.06,63.09,63.02,63.05,84398,0
2015-02-03,21:50:00,63.05,63.13,62.98,63.1,99422,0
2015-02-03,21:55:00,63.1,63.12,63.08,63.11,78867,0
2015-02-03,22:00:00,63.11,63.2,63.08,63.17,637610,0
2015-02-04,15:35:00,62.91,63.2,62.84,62.86,66060,0
2015-02-04,15:40:00,62.86,62.9,62.55,62.67,67689,0
2015-02-04,15:45:00,62.71,62.71,62.16,62.33,43691,0
2015-02-04,15:50:00,62.25,62.25,62.0,62.08,13508,0
2015-02-04,15:55:00,62.1,62.32,62.08,62.32,31827,0
2015-02-04,16:00:00,62.35,62.8,62.35,62.8,44491,0
2015-02-04,16:05:00,62.8,62.9,62.39,62.39,44971,0
2015-02-04,16:10:00,62.43,62.45,62.28,62.28,28135,0
2015-02-04,16:15:00,62.32,62.52,62.31,62.4,11400,0
2015-02-04,16:20:00,62.41,62.44,62.33,62.33,18184,0
2015-02-04,16:25:00,62.32,62.42,62.23,62.41,10750,0
2015-02-04,16:30:00,62.44,62.51,62.35,62.45,12308,0
2015-02-04,16:35:00,62.45,62.51,62.37,62.42,29977,0
2015-02-04,16:40:00,62.41,62.49,62.36,62.45,13590,0
2015-02-04,16:45:00,62.42,62.49,62.38,62.47,9000,0
2015-02-04,16:50:00,62.46,62.46,62.35,62.37,9180,0
2015-02-04,16:55:00,62.37,62.4,62.28,62.4,12822,0
2015-02-04,17:00:00,62.41,62.45,62.33,62.33,16808,0
2015-02-04,17:05:00,62.31,62.43,62.28,62.43,6400,0
2015-02-04,17:10:00,62.47,62.57,62.43,62.56,23837,0
2015-02-04,17:15:00,62.56,62.79,62.53,62.76,24067,0
