Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,25.33,25.37,25.28,25.32,21111,0
2015-02-03,16:55:00,25.32,25.45,25.23,25.45,58547,0
2015-02-03,17:00:00,25.41,25.42,25.2,25.22,18204,0
2015-02-03,17:05:00,25.21,25.23,25.16,25.22,24051,0
2015-02-03,17:10:00,25.21,25.32,25.17,25.31,16660,0
2015-02-03,17:15:00,25.3,25.37,25.27,25.35,14500,0
2015-02-03,17:20:00,25.36,25.41,25.32,25.36,23227,0
2015-02-03,17:25:00,25.37,25.37,25.31,25.34,25835,0
2015-02-03,17:30:00,25.34,25.35,25.3,25.34,41741,0
2015-02-03,17:35:00,25.34,25.47,25.31,25.42,101579,0
2015-02-03,17:40:00,25.41,25.45,25.39,25.42,19164,0
2015-02-03,17:45:00,25.44,25.57,25.43,25.53,24705,0
2015-02-03,17:50:00,25.52,25.55,25.44,25.49,42041,0
2015-02-03,17:55:00,25.47,25.5,25.4,25.41,23955,0
2015-02-03,18:00:00,25.4,25.41,25.36,25.38,13381,0
2015-02-03,18:05:00,25.38,25.4,25.32,25.39,18636,0
2015-02-03,18:10:00,25.4,25.46,25.38,25.45,11017,0
2015-02-03,18:15:00,25.46,25.53,25.42,25.5,18402,0
2015-02-03,18:20:00,25.51,25.51,25.46,25.48,12151,0
2015-02-03,18:25:00,25.48,25.52,25.47,25.48,21940,0
2015-02-03,18:30:00,25.48,25.54,25.45,25.54,10672,0
2015-02-03,18:35:00,25.55,25.58,25.51,25.54,20000,0
2015-02-03,18:40:00,25.55,25.56,25.5,25.55,14415,0
2015-02-03,18:45:00,25.55,25.55,25.52,25.55,14900,0
2015-02-03,18:50:00,25.56,25.58,25.53,25.54,11130,0
2015-02-03,18:55:00,25.55,25.6,25.53,25.58,20775,0
2015-02-03,19:00:00,25.58,25.58,25.52,25.58,12511,0
2015-02-03,19:05:00,25.58,25.59,25.53,25.59,11190,0
2015-02-03,19:10:00,25.59,25.59,25.55,25.56,22214,0
2015-02-03,19:15:00,25.55,25.57,25.51,25.56,29572,0
2015-02-03,19:20:00,25.56,25.56,25.54,25.55,11616,0
2015-02-03,19:25:00,25.55,25.55,25.51,25.52,63715,0
2015-02-03,19:30:00,25.52,25.56,25.52,25.53,17120,0
2015-02-03,19:35:00,25.55,25.69,25.53,25.66,18964,0
2015-02-03,19:40:00,25.66,25.68,25.59,25.59,21363,0
2015-02-03,19:45:00,25.59,25.68,25.59,25.66,31826,0
2015-02-03,19:50:00,25.66,25.76,25.65,25.76,24206,0
2015-02-03,19:55:00,25.76,25.76,25.69,25.69,28114,0
2015-02-03,20:00:00,25.7,25.73,25.68,25.69,35671,0
2015-02-03,20:05:00,25.69,25.72,25.67,25.69,89024,0
2015-02-03,20:10:00,25.69,25.69,25.65,25.69,61831,0
2015-02-03,20:15:00,25.69,25.71,25.67,25.67,33791,0
2015-02-03,20:20:00,25.68,25.68,25.59,25.61,40994,0
2015-02-03,20:25:00,25.6,25.6,25.53,25.55,26397,0
2015-02-03,20:30:00,25.55,25.56,25.5,25.53,28487,0
2015-02-03,20:35:00,25.53,25.59,25.51,25.55,30268,0
2015-02-03,20:40:00,25.55,25.56,25.53,25.56,31977,0
2015-02-03,20:45:00,25.56,25.58,25.55,25.57,23586,0
2015-02-03,20:50:00,25.57,25.59,25.51,25.53,33206,0
2015-02-03,20:55:00,25.53,25.55,25.51,25.53,17153,0
2015-02-03,21:00:00,25.53,25.57,25.53,25.55,33373,0
2015-02-03,21:05:00,25.55,25.57,25.49,25.51,59218,0
2015-02-03,21:10:00,25.51,25.56,25.48,25.5,55273,0
2015-02-03,21:15:00,25.5,25.5,25.39,25.45,53826,0
2015-02-03,21:20:00,25.46,25.46,25.41,25.41,31260,0
2015-02-03,21:25:00,25.42,25.46,25.42,25.46,42062,0
2015-02-03,21:30:00,25.45,25.46,25.38,25.42,60620,0
2015-02-03,21:35:00,25.42,25.46,25.41,25.41,44209,0
2015-02-03,21:40:00,25.41,25.45,25.41,25.45,40095,0
2015-02-03,21:45:00,25.45,25.53,25.44,25.49,78318,0
2015-02-03,21:50:00,25.5,25.73,25.5,25.71,141553,0
2015-02-03,21:55:00,25.71,25.82,25.7,25.81,137942,0
2015-02-03,22:00:00,25.81,25.89,25.78,25.78,1048687,0
2015-02-04,15:35:00,25.64,25.72,25.57,25.62,113207,0
2015-02-04,15:40:00,25.61,25.85,25.6,25.83,94859,0
2015-02-04,15:45:00,25.83,26.02,25.8,25.89,191327,0
2015-02-04,15:50:00,25.91,25.93,25.76,25.86,39491,0
2015-02-04,15:55:00,25.88,25.89,25.73,25.83,48943,0
2015-02-04,16:00:00,25.88,25.88,25.8,25.86,69316,0
2015-02-04,16:05:00,25.87,26.06,25.86,26.0,46400,0
2015-02-04,16:10:00,26.02,26.09,25.94,25.97,24839,0
2015-02-04,16:15:00,25.97,26.07,25.85,25.89,31210,0
2015-02-04,16:20:00,25.87,25.88,25.78,25.83,16204,0
2015-02-04,16:25:00,25.84,25.85,25.66,25.66,41981,0
2015-02-04,16:30:00,25.67,25.67,25.57,25.58,22185,0
2015-02-04,16:35:00,25.57,25.62,25.52,25.62,20547,0
2015-02-04,16:40:00,25.61,25.63,25.58,25.62,20600,0
2015-02-04,16:45:00,25.63,25.65,25.62,25.62,21540,0
2015-02-04,16:50:00,25.61,25.61,25.58,25.58,17222,0
2015-02-04,16:55:00,25.6,25.62,25.58,25.62,32271,0
2015-02-04,17:00:00,25.62,25.66,25.59,25.6,13717,0
2015-02-04,17:05:00,25.59,25.61,25.52,25.61,9939,0
2015-02-04,17:10:00,25.59,25.61,25.58,25.59,9623,0
2015-02-04,17:15:00,25.58,25.59,25.54,25.55,19640,0
2015-02-04,17:20:00,25.55,25.56,25.47,25.48,14700,0
2015-02-04,17:25:00,25.47,25.48,25.42,25.46,20182,0
2015-02-04,17:30:00,25.47,25.51,25.47,25.5,8632,0
2015-02-04,17:35:00,25.5,25.62,25.49,25.59,18337,0
2015-02-04,17:40:00,25.6,25.6,25.53,25.54,6995,0
2015-02-04,17:45:00,25.54,25.57,25.52,25.56,10800,0
2015-02-04,17:50:00,25.55,25.55,25.45,25.47,42134,0
2015-02-04,17:55:00,25.46,25.47,25.43,25.43,9300,0
2015-02-04,18:00:00,25.42,25.42,25.35,25.39,18600,0
2015-02-04,18:05:00,25.39,25.39,25.33,25.37,18597,0
2015-02-04,18:10:00,25.38,25.4,25.37,25.4,13432,0
2015-02-04,18:15:00,25.4,25.42,25.37,25.39,24756,0
2015-02-04,18:20:00,25.39,25.39,25.35,25.36,14520,0
2015-02-04,18:25:00,25.35,25.39,25.35,25.39,16473,0
2015-02-04,18:30:00,25.39,25.39,25.33,25.34,20414,0
2015-02-04,18:35:00,25.34,25.34,25.29,25.31,17988,0
2015-02-04,18:40:00,25.3,25.31,25.26,25.29,24897,0
2015-02-04,18:45:00,25.28,25.29,25.23,25.27,85584,0
2015-02-04,18:50:00,25.27,25.34,25.27,25.34,21695,0
2015-02-04,18:55:00,25.34,25.43,25.33,25.43,13575,0
2015-02-04,19:00:00,25.42,25.42,25.38,25.39,14469,0
2015-02-04,19:05:00,25.4,25.4,25.37,25.39,10742,0
