Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-26,18:20:00,27.29,27.29,27.29,27.29,600,0
2014-12-26,18:20:00,27.29,27.29,27.29,27.29,600,0
2014-12-26,20:35:00,26.92,26.92,26.92,26.92,100,0
2014-12-29,16:45:00,27.25,27.25,27.25,27.25,370,0
2014-12-30,15:55:00,26.76,26.76,26.76,26.76,268,0
2014-12-30,18:25:00,26.81,26.86,26.81,26.86,631,0
2014-12-31,17:00:00,27.0,27.0,27.0,27.0,386,0
2014-12-31,20:10:00,26.67,26.67,26.67,26.67,100,0
2015-01-02,15:35:00,26.67,26.67,26.67,26.67,500,0
2015-01-02,21:10:00,26.9,26.9,26.9,26.9,100,0
2015-01-05,15:35:00,26.82,26.82,26.82,26.82,200,0
2015-01-05,16:45:00,26.9,26.99,26.9,26.99,452,0
2015-01-06,15:35:00,26.78,26.78,26.78,26.78,400,0
2015-01-06,16:55:00,26.95,26.99,26.95,26.99,4157,0
2015-01-06,18:30:00,26.84,26.84,26.84,26.84,400,0
2015-01-06,19:00:00,26.84,26.84,26.84,26.84,200,0
2015-01-06,21:05:00,26.99,26.99,26.99,26.99,200,0
2015-01-07,20:15:00,26.99,26.99,26.99,26.99,800,0
2015-01-07,22:00:00,26.97,27.07,26.95,27.07,500,0
2015-01-13,19:00:00,26.91,26.91,26.91,26.91,179,0
2015-01-13,19:30:00,26.99,26.99,26.99,26.99,300,0
2015-01-13,20:25:00,26.97,26.97,26.97,26.97,800,0
2015-01-13,21:25:00,26.95,26.95,26.95,26.95,1380,0
2015-01-13,21:55:00,26.91,26.91,26.91,26.91,351,0
2015-01-14,17:35:00,26.91,26.91,26.91,26.91,100,0
2015-01-14,19:15:00,26.91,26.91,26.91,26.91,360,0
2015-01-15,18:05:00,26.93,26.99,26.93,26.99,500,0
2015-01-15,18:10:00,26.99,26.99,26.93,26.93,200,0
2015-01-15,18:15:00,26.91,26.91,26.91,26.91,800,0
2015-01-15,19:15:00,27.08,27.09,27.08,27.09,600,0
2015-01-15,21:40:00,27.08,27.08,27.08,27.08,200,0
2015-01-16,20:55:00,27.02,27.02,27.02,27.02,1700,0
2015-01-20,18:25:00,26.9,26.94,26.9,26.9,1474,0
2015-01-20,18:35:00,26.9,26.9,26.82,26.82,3100,0
2015-01-20,21:50:00,26.94,26.99,26.94,26.99,2000,0
2015-01-21,22:00:00,26.86,26.86,26.86,26.86,200,0
2015-01-23,18:20:00,26.88,26.88,26.88,26.88,422,0
2015-01-23,20:15:00,26.96,26.96,26.96,26.96,300,0
2015-01-23,20:45:00,26.88,26.88,26.87,26.87,2682,0
2015-01-23,21:55:00,26.98,26.99,26.98,26.99,700,0
2015-01-23,22:00:00,26.99,26.99,26.99,26.99,300,0
2015-01-26,16:50:00,26.99,26.99,26.99,26.99,600,0
2015-01-26,17:00:00,26.93,26.93,26.93,26.93,525,0
2015-01-26,18:05:00,26.99,26.99,26.99,26.99,200,0
2015-01-26,20:05:00,27.05,27.05,27.05,27.05,250,0
2015-01-26,20:40:00,26.99,26.99,26.99,26.99,479,0
2015-01-26,21:10:00,26.93,26.93,26.93,26.93,1170,0
2015-01-28,18:30:00,27.09,27.09,27.09,27.09,200,0
2015-01-28,18:40:00,26.93,26.93,26.93,26.93,131,0
2015-01-28,21:00:00,27.09,27.09,27.09,27.09,300,0
2015-01-28,21:30:00,27.08,27.08,27.08,27.08,100,0
2015-01-29,18:05:00,27.12,27.12,26.96,26.96,326,0
2015-01-29,18:15:00,26.96,26.96,26.96,26.96,330,0
2015-01-29,18:20:00,26.93,26.93,26.93,26.93,375,0
2015-01-30,17:00:00,26.9,26.9,26.9,26.9,800,0
2015-01-30,19:55:00,26.99,26.99,26.99,26.99,200,0
2015-02-02,18:20:00,26.97,26.97,26.97,26.97,200,0
2015-02-03,15:55:00,26.96,26.97,26.96,26.97,200,0
2015-02-03,19:25:00,26.95,26.95,26.95,26.95,100,0
2015-02-03,21:30:00,26.96,26.96,26.95,26.95,1000,0
2015-02-03,21:50:00,26.95,26.95,26.95,26.95,2800,0
2015-02-03,21:55:00,27.03,27.03,27.03,27.03,400,0
2015-02-04,16:30:00,26.99,26.99,26.99,26.99,150,0
2015-02-04,19:10:00,27.07,27.08,27.07,27.08,250,0
2015-02-05,15:40:00,27.08,27.08,27.08,27.08,500,0
2015-02-05,15:45:00,27.08,27.08,27.08,27.08,1200,0
2015-02-05,15:55:00,27.08,27.08,27.08,27.08,200,0
2015-02-05,16:20:00,27.08,27.08,27.08,27.08,100,0
2015-02-05,17:05:00,27.08,27.08,27.08,27.08,400,0
2015-02-05,20:50:00,27.08,27.08,27.08,27.08,200,0
2015-02-06,17:45:00,27.08,27.08,27.08,27.08,4000,0
2015-02-06,18:35:00,27.01,27.01,27.01,27.01,700,0
2015-02-06,21:10:00,27.08,27.08,27.08,27.08,700,0
2015-02-09,18:40:00,27.09,27.09,27.07,27.07,669,0
2015-02-09,19:15:00,27.1,27.1,27.1,27.1,925,0
2015-02-09,19:20:00,27.1,27.1,27.1,27.1,1625,0
2015-02-10,18:05:00,27.07,27.07,27.07,27.07,125,0
2015-02-10,18:40:00,27.06,27.1,27.06,27.1,1024,0
2015-02-11,22:00:00,27.1,27.1,27.1,27.1,1000,0
2015-02-12,17:35:00,27.15,27.16,27.15,27.16,400,0
2015-02-12,18:30:00,27.25,27.25,27.25,27.25,800,0
2015-02-12,19:50:00,27.19,27.19,27.19,27.19,1000,0
2015-02-12,21:30:00,27.19,27.19,27.12,27.12,1000,0
2015-02-13,16:15:00,27.25,27.25,27.25,27.25,1300,0
2015-02-18,20:45:00,27.1,27.1,27.1,27.1,440,0
2015-02-19,20:40:00,27.44,27.44,27.44,27.44,1000,0
2015-02-20,19:05:00,27.21,27.21,27.21,27.21,139,0
2015-02-20,20:40:00,27.3,27.3,27.3,27.3,300,0
2015-02-23,15:35:00,27.1,27.1,27.1,27.1,2000,0
2015-02-23,16:25:00,27.25,27.25,27.25,27.25,500,0
2015-02-23,16:35:00,27.33,27.33,27.33,27.33,300,0
2015-02-23,19:00:00,27.33,27.33,27.33,27.33,100,0
2015-02-23,19:20:00,27.12,27.12,27.12,27.12,800,0
2015-02-23,19:35:00,27.33,27.33,27.33,27.33,100,0
2015-02-23,20:45:00,27.48,27.48,27.48,27.48,100,0
2015-02-23,21:35:00,27.49,27.49,27.49,27.49,573,0
2015-02-23,21:45:00,27.45,27.49,27.45,27.49,337,0
