Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,52.21,52.25,52.15,52.25,7008,0
2015-02-03,16:55:00,52.26,52.32,52.17,52.18,8700,0
2015-02-03,17:00:00,52.16,52.19,52.08,52.11,5206,0
2015-02-03,17:05:00,52.11,52.13,52.01,52.03,10342,0
2015-02-03,17:10:00,52.01,52.27,51.97,52.22,6600,0
2015-02-03,17:15:00,52.21,52.37,52.21,52.37,9846,0
2015-02-03,17:20:00,52.37,52.42,52.34,52.36,4052,0
2015-02-03,17:25:00,52.39,52.41,52.3,52.36,5200,0
2015-02-03,17:30:00,52.36,52.4,52.35,52.39,4235,0
2015-02-03,17:35:00,52.39,52.42,52.23,52.23,12100,0
2015-02-03,17:40:00,52.24,52.3,52.23,52.28,3772,0
2015-02-03,17:45:00,52.33,52.33,52.28,52.32,3150,0
2015-02-03,17:50:00,52.33,52.33,52.24,52.25,7412,0
2015-02-03,17:55:00,52.22,52.23,52.17,52.22,4031,0
2015-02-03,18:00:00,52.23,52.24,52.18,52.23,1900,0
2015-02-03,18:05:00,52.25,52.27,52.2,52.21,7500,0
2015-02-03,18:10:00,52.24,52.28,52.23,52.28,5930,0
2015-02-03,18:15:00,52.28,52.32,52.27,52.3,2900,0
2015-02-03,18:20:00,52.31,52.31,52.25,52.26,2700,0
2015-02-03,18:25:00,52.26,52.27,52.2,52.2,4000,0
2015-02-03,18:30:00,52.18,52.22,52.16,52.21,5221,0
2015-02-03,18:35:00,52.18,52.19,52.15,52.19,3600,0
2015-02-03,18:40:00,52.19,52.23,52.17,52.2,3400,0
2015-02-03,18:45:00,52.22,52.28,52.22,52.27,2700,0
2015-02-03,18:50:00,52.27,52.36,52.27,52.36,3500,0
2015-02-03,18:55:00,52.35,52.35,52.29,52.32,3426,0
2015-02-03,19:00:00,52.33,52.37,52.31,52.32,3600,0
2015-02-03,19:05:00,52.32,52.39,52.32,52.36,4100,0
2015-02-03,19:10:00,52.36,52.41,52.36,52.41,5700,0
2015-02-03,19:15:00,52.39,52.41,52.34,52.38,7702,0
2015-02-03,19:20:00,52.39,52.39,52.22,52.29,15738,0
2015-02-03,19:25:00,52.25,52.28,52.18,52.23,22184,0
2015-02-03,19:30:00,52.25,52.28,52.17,52.27,5700,0
2015-02-03,19:35:00,52.26,52.35,52.26,52.27,5600,0
2015-02-03,19:40:00,52.26,52.26,52.1,52.13,6096,0
2015-02-03,19:45:00,52.14,52.14,52.04,52.13,9415,0
2015-02-03,19:50:00,52.14,52.2,52.12,52.14,8610,0
2015-02-03,19:55:00,52.17,52.18,52.05,52.08,9650,0
2015-02-03,20:00:00,52.11,52.12,52.06,52.09,9800,0
2015-02-03,20:05:00,52.11,52.14,52.08,52.11,4500,0
2015-02-03,20:10:00,52.1,52.14,52.0,52.01,9118,0
2015-02-03,20:15:00,52.01,52.01,51.92,51.92,4810,0
2015-02-03,20:20:00,51.9,52.0,51.9,51.97,7804,0
2015-02-03,20:25:00,51.99,52.1,51.99,52.07,4700,0
2015-02-03,20:30:00,52.06,52.09,52.01,52.02,4400,0
2015-02-03,20:35:00,52.02,52.02,51.97,52.01,5778,0
2015-02-03,20:40:00,52.0,52.0,51.9,51.95,7696,0
2015-02-03,20:45:00,51.94,51.94,51.86,51.87,12800,0
2015-02-03,20:50:00,51.86,51.87,51.78,51.83,12800,0
2015-02-03,20:55:00,51.84,51.9,51.84,51.88,4700,0
2015-02-03,21:00:00,51.88,51.96,51.88,51.96,2931,0
2015-02-03,21:05:00,51.97,51.99,51.95,51.99,7754,0
2015-02-03,21:10:00,51.99,52.01,51.95,51.98,6535,0
2015-02-03,21:15:00,52.0,52.01,51.94,51.97,8258,0
2015-02-03,21:20:00,51.97,51.97,51.9,51.93,5420,0
2015-02-03,21:25:00,51.93,52.06,51.93,52.06,13861,0
2015-02-03,21:30:00,52.08,52.11,52.01,52.03,6600,0
2015-02-03,21:35:00,52.02,52.04,51.96,51.96,8691,0
2015-02-03,21:40:00,51.95,52.03,51.95,52.02,13714,0
2015-02-03,21:45:00,52.01,52.03,51.97,52.0,16862,0
2015-02-03,21:50:00,52.0,52.02,51.98,51.98,20070,0
2015-02-03,21:55:00,51.98,52.03,51.98,51.99,16972,0
2015-02-03,22:00:00,52.0,52.12,51.99,52.09,54213,0
2015-02-04,15:35:00,51.73,51.91,51.71,51.73,11262,0
2015-02-04,15:40:00,51.74,51.75,51.5,51.53,15604,0
2015-02-04,15:45:00,51.53,51.54,51.32,51.32,17091,0
2015-02-04,15:50:00,51.36,51.57,51.36,51.54,5976,0
2015-02-04,15:55:00,51.54,51.56,51.43,51.43,8718,0
2015-02-04,16:00:00,51.43,51.48,51.42,51.43,5812,0
2015-02-04,16:05:00,51.43,51.44,51.31,51.32,18220,0
2015-02-04,16:10:00,51.31,51.35,51.25,51.28,12400,0
2015-02-04,16:15:00,51.3,51.32,51.17,51.23,11310,0
2015-02-04,16:20:00,51.23,51.25,51.19,51.21,11630,0
2015-02-04,16:25:00,51.24,51.24,51.15,51.17,10992,0
2015-02-04,16:30:00,51.18,51.2,51.16,51.17,7600,0
2015-02-04,16:35:00,51.15,51.17,51.05,51.12,36100,0
2015-02-04,16:40:00,51.1,51.12,51.03,51.12,5630,0
2015-02-04,16:45:00,51.13,51.17,51.07,51.16,18073,0
2015-02-04,16:50:00,51.16,51.19,51.1,51.12,6700,0
2015-02-04,16:55:00,51.11,51.15,51.1,51.15,10114,0
2015-02-04,17:00:00,51.15,51.21,51.12,51.2,8100,0
2015-02-04,17:05:00,51.18,51.27,51.15,51.24,10564,0
2015-02-04,17:10:00,51.23,51.26,51.2,51.24,4690,0
2015-02-04,17:15:00,51.23,51.34,51.18,51.34,4100,0
2015-02-04,17:20:00,51.34,51.45,51.33,51.36,7200,0
2015-02-04,17:25:00,51.37,51.38,51.34,51.36,8214,0
2015-02-04,17:30:00,51.38,51.43,51.37,51.42,4100,0
2015-02-04,17:35:00,51.47,51.52,51.45,51.52,3300,0
2015-02-04,17:40:00,51.51,51.65,51.51,51.63,7700,0
2015-02-04,17:45:00,51.61,51.64,51.56,51.58,6182,0
2015-02-04,17:50:00,51.59,51.72,51.59,51.63,10489,0
2015-02-04,17:55:00,51.6,51.6,51.51,51.59,7096,0
2015-02-04,18:00:00,51.61,51.7,51.61,51.65,4800,0
2015-02-04,18:05:00,51.68,51.78,51.65,51.78,5300,0
2015-02-04,18:10:00,51.75,51.75,51.7,51.75,4650,0
2015-02-04,18:15:00,51.74,51.79,51.73,51.73,6420,0
2015-02-04,18:20:00,51.74,51.75,51.69,51.69,4366,0
2015-02-04,18:25:00,51.71,51.71,51.69,51.69,1600,0
2015-02-04,18:30:00,51.69,51.69,51.58,51.58,5084,0
2015-02-04,18:35:00,51.58,51.63,51.54,51.58,7300,0
2015-02-04,18:40:00,51.57,51.57,51.48,51.52,9250,0
2015-02-04,18:45:00,51.5,51.5,51.38,51.42,4250,0
2015-02-04,18:50:00,51.44,51.44,51.37,51.37,2500,0
2015-02-04,18:55:00,51.38,51.46,51.36,51.41,4754,0
2015-02-04,19:00:00,51.43,51.5,51.43,51.46,9548,0
2015-02-04,19:05:00,51.47,51.5,51.47,51.49,3300,0
2015-02-04,19:10:00,51.47,51.5,51.46,51.5,5370,0
2015-02-04,19:15:00,51.5,51.52,51.49,51.51,4500,0
2015-02-04,19:20:00,51.49,51.51,51.49,51.5,2000,0
2015-02-04,19:25:00,51.49,51.5,51.47,51.48,4616,0
2015-02-04,19:30:00,51.51,51.6,51.49,51.54,8410,0
2015-02-04,19:35:00,51.58,51.58,51.51,51.55,4200,0
2015-02-04,19:40:00,51.54,51.57,51.53,51.54,2547,0
2015-02-04,19:45:00,51.56,51.58,51.47,51.48,19939,0
2015-02-04,19:50:00,51.47,51.48,51.41,51.43,6300,0
2015-02-04,19:55:00,51.41,51.41,51.38,51.39,3251,0
2015-02-04,20:00:00,51.39,51.4,51.32,51.4,6437,0
2015-02-04,20:05:00,51.37,51.45,51.37,51.43,5500,0
2015-02-04,20:10:00,51.43,51.43,51.34,51.34,3381,0
2015-02-04,20:15:00,51.34,51.38,51.32,51.32,4500,0
2015-02-04,20:20:00,51.32,51.37,51.32,51.34,2200,0
2015-02-04,20:25:00,51.35,51.49,51.35,51.49,5600,0
2015-02-04,20:30:00,51.49,51.57,51.49,51.51,7682,0
