Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-28,16:30:00,96.27,96.27,96.25,96.25,500,0
2014-11-28,16:40:00,96.21,96.21,96.21,96.21,300,0
2014-11-28,17:00:00,96.25,96.4,96.25,96.4,790,0
2014-11-28,17:15:00,96.32,96.32,96.32,96.32,600,0
2014-11-28,18:00:00,96.25,96.26,96.25,96.26,500,0
2014-11-28,18:15:00,96.24,96.24,96.24,96.24,500,0
2014-11-28,18:20:00,96.05,96.05,96.0,96.0,600,0
2014-11-28,18:35:00,96.01,96.01,96.01,96.01,100,0
2014-11-28,18:40:00,96.05,96.1,96.05,96.1,1150,0
2014-11-28,18:45:00,96.09,96.09,96.09,96.09,500,0
2014-11-28,18:50:00,96.08,96.1,96.08,96.1,1100,0
2014-11-28,18:55:00,96.19,96.19,96.09,96.09,3000,0
2014-11-28,19:00:00,96.27,96.27,96.27,96.27,100,0
2014-11-28,19:10:00,96.59,96.59,96.59,96.59,173,0
2014-12-01,15:40:00,96.44,96.45,96.44,96.45,200,0
2014-12-01,15:55:00,96.26,96.26,96.26,96.26,100,0
2014-12-01,16:00:00,96.07,96.07,96.07,96.07,100,0
2014-12-01,16:10:00,96.13,96.13,96.13,96.13,200,0
2014-12-01,16:45:00,95.92,95.92,95.92,95.92,300,0
2014-12-01,17:00:00,96.28,96.28,96.28,96.28,100,0
2014-12-01,17:05:00,96.45,96.45,96.45,96.45,400,0
2014-12-01,18:55:00,95.52,95.52,95.52,95.52,1862,0
2014-12-01,20:05:00,95.66,95.71,95.66,95.71,1244,0
2014-12-01,20:40:00,95.24,95.24,95.24,95.24,750,0
2014-12-01,21:00:00,95.24,95.24,95.24,95.24,100,0
2014-12-01,22:00:00,95.13,95.13,95.13,95.13,200,0
2014-12-02,15:40:00,95.21,95.21,95.21,95.21,200,0
2014-12-02,16:35:00,95.25,95.25,95.25,95.25,400,0
2014-12-02,16:40:00,95.25,95.25,95.25,95.25,300,0
2014-12-02,17:10:00,95.25,95.25,95.25,95.25,200,0
2014-12-02,17:25:00,95.25,95.25,95.25,95.25,300,0
2014-12-02,17:30:00,95.25,95.25,95.25,95.25,727,0
2014-12-02,17:55:00,95.24,95.24,95.24,95.24,100,0
2014-12-02,18:35:00,95.11,95.11,95.1,95.1,200,0
2014-12-02,18:45:00,95.12,95.12,95.12,95.12,100,0
2014-12-02,19:00:00,95.3,95.3,95.3,95.3,250,0
2014-12-02,19:15:00,95.35,95.35,95.35,95.35,310,0
2014-12-02,19:25:00,95.49,95.49,95.49,95.49,100,0
2014-12-02,19:55:00,95.75,95.75,95.42,95.42,800,0
2014-12-02,21:00:00,96.04,96.04,96.04,96.04,1400,0
2014-12-02,21:30:00,95.69,95.69,95.69,95.69,100,0
2014-12-02,21:40:00,95.75,95.75,95.75,95.75,500,0
2014-12-02,21:50:00,95.77,95.77,95.77,95.77,650,0
2014-12-03,15:35:00,93.71,93.71,93.71,93.71,600,0
2014-12-03,15:55:00,93.42,93.56,93.42,93.42,1100,0
2014-12-03,16:05:00,93.41,93.41,93.41,93.41,200,0
2014-12-03,16:10:00,93.4,93.4,93.4,93.4,586,0
2014-12-03,16:15:00,93.4,93.4,93.4,93.4,500,0
2014-12-03,16:25:00,93.4,93.4,93.4,93.4,600,0
2014-12-03,16:30:00,93.37,93.38,93.37,93.38,1100,0
2014-12-03,16:50:00,93.38,93.38,93.38,93.38,500,0
2014-12-03,17:00:00,92.85,93.29,92.84,92.84,2900,0
2014-12-03,17:05:00,93.11,93.11,93.11,93.11,100,0
2014-12-03,17:10:00,93.25,93.25,93.25,93.25,400,0
2014-12-03,17:40:00,93.33,93.33,93.08,93.23,2200,0
2014-12-03,17:45:00,93.28,93.3,93.23,93.3,1100,0
2014-12-03,17:50:00,93.36,93.36,93.1,93.1,1705,0
2014-12-03,17:55:00,93.19,93.25,92.99,92.99,2800,0
2014-12-03,18:00:00,92.84,93.49,92.84,93.27,1500,0
2014-12-03,18:05:00,93.32,93.5,93.32,93.49,1400,0
2014-12-03,18:10:00,93.5,93.5,93.47,93.48,1848,0
2014-12-03,18:15:00,93.16,93.5,93.15,93.5,3300,0
2014-12-03,19:45:00,92.82,92.82,92.82,92.82,2050,0
2014-12-03,20:15:00,92.35,92.35,92.04,92.04,400,0
2014-12-03,20:20:00,92.44,92.44,92.44,92.44,400,0
2014-12-03,20:40:00,92.07,92.07,91.75,91.75,900,0
2014-12-03,21:00:00,91.68,92.0,91.68,92.0,633,0
2014-12-03,21:05:00,91.88,92.33,91.68,92.13,7471,0
2014-12-03,21:10:00,92.01,92.26,91.5,91.91,13848,0
2014-12-03,21:20:00,91.89,92.03,91.29,91.68,8438,0
2014-12-03,21:35:00,91.45,91.45,91.45,91.45,400,0
2014-12-03,21:55:00,91.8,91.8,91.8,91.8,800,0
2014-12-03,22:00:00,91.39,91.39,91.39,91.39,216,0
2014-12-04,15:45:00,91.88,91.88,91.66,91.66,500,0
2014-12-04,16:00:00,90.57,91.07,90.57,91.06,500,0
2014-12-04,16:10:00,91.31,91.31,91.31,91.31,1750,0
2014-12-04,17:05:00,91.5,91.5,91.5,91.5,100,0
2014-12-04,17:20:00,91.5,91.5,91.5,91.5,900,0
2014-12-04,17:35:00,91.38,91.38,91.38,91.38,100,0
2014-12-04,17:50:00,91.27,91.27,91.27,91.27,200,0
2014-12-04,18:00:00,90.85,90.85,90.85,90.85,216,0
2014-12-04,18:10:00,91.21,91.21,91.21,91.21,200,0
2014-12-04,18:30:00,91.13,91.13,90.8,91.13,300,0
2014-12-04,18:40:00,91.09,91.09,91.09,91.09,200,0
2014-12-04,19:10:00,91.0,91.0,91.0,91.0,1000,0
2014-12-04,20:30:00,91.09,91.09,91.09,91.09,100,0
2014-12-04,20:40:00,90.82,90.82,90.82,90.82,800,0
2014-12-04,21:30:00,90.68,90.68,90.68,90.68,200,0
2014-12-04,21:40:00,90.68,90.72,90.68,90.72,600,0
2014-12-04,22:00:00,90.66,90.8,90.66,90.8,243,0
2014-12-05,15:40:00,90.0,90.0,90.0,90.0,800,0
2014-12-05,15:50:00,90.29,90.29,90.29,90.29,200,0
2014-12-05,15:55:00,90.53,90.69,90.53,90.69,200,0
2014-12-05,16:15:00,91.15,91.15,91.15,91.15,100,0
2014-12-05,16:20:00,90.68,91.18,90.63,91.18,500,0
2014-12-05,16:30:00,91.4,91.4,91.4,91.4,100,0
2014-12-05,16:45:00,91.12,91.12,91.12,91.12,100,0
2014-12-05,16:50:00,90.96,90.96,90.96,90.96,300,0
2014-12-05,16:55:00,90.9,90.9,90.9,90.9,300,0
2014-12-05,17:00:00,90.83,90.83,90.83,90.83,100,0
2014-12-05,17:05:00,90.99,91.0,90.99,91.0,450,0
2014-12-05,17:10:00,91.07,91.07,91.07,91.07,100,0
2014-12-05,17:15:00,91.05,91.05,91.02,91.02,900,0
2014-12-05,17:25:00,90.92,91.13,90.9,91.12,600,0
2014-12-05,17:35:00,90.94,90.94,90.94,90.94,100,0
2014-12-05,17:45:00,90.94,90.94,90.94,90.94,100,0
2014-12-05,17:55:00,91.12,91.12,91.12,91.12,200,0
2014-12-05,18:10:00,91.21,91.21,91.21,91.21,100,0
2014-12-05,18:25:00,91.29,91.29,91.29,91.29,100,0
2014-12-05,18:40:00,91.39,91.39,91.39,91.39,100,0
2014-12-05,18:55:00,91.4,91.4,91.4,91.4,200,0
2014-12-05,19:20:00,91.34,91.34,91.34,91.34,100,0
2014-12-05,19:25:00,91.33,91.33,91.33,91.33,200,0
2014-12-05,20:05:00,91.07,91.12,91.07,91.12,400,0
2014-12-05,20:10:00,91.4,91.4,91.4,91.4,200,0
2014-12-05,21:25:00,91.26,91.26,91.26,91.26,700,0
2014-12-05,22:00:00,91.54,91.54,91.54,91.54,293,0
2014-12-08,15:50:00,90.89,90.89,90.55,90.89,800,0
2014-12-08,16:05:00,91.18,91.18,91.18,91.18,600,0
2014-12-08,16:25:00,91.25,91.25,91.25,91.25,100,0
2014-12-08,16:35:00,90.96,90.96,90.91,90.91,200,0
2014-12-08,17:15:00,90.88,90.88,90.88,90.88,400,0
2014-12-08,17:25:00,91.2,91.2,91.2,91.2,200,0
2014-12-08,17:45:00,91.02,91.02,91.02,91.02,300,0
2014-12-08,17:55:00,90.94,90.94,90.94,90.94,132,0
2014-12-08,18:05:00,91.11,91.11,91.11,91.11,200,0
2014-12-08,18:15:00,90.8,90.8,90.75,90.75,600,0
2014-12-08,19:00:00,90.53,90.6,90.43,90.44,800,0
2014-12-08,19:25:00,90.71,90.71,90.71,90.71,100,0
2014-12-08,19:30:00,90.46,90.46,90.46,90.46,100,0
2014-12-08,19:55:00,90.29,90.29,90.22,90.22,456,0
2014-12-08,20:25:00,90.38,90.38,90.38,90.38,300,0
2014-12-08,20:30:00,90.67,90.67,90.67,90.67,100,0
2014-12-08,20:50:00,90.72,90.72,90.72,90.72,300,0
2014-12-08,21:10:00,90.66,90.66,90.66,90.66,300,0
2014-12-08,22:00:00,91.25,91.25,91.25,91.25,131,0
2014-12-09,15:35:00,89.68,89.68,89.63,89.63,300,0
2014-12-09,15:50:00,89.63,89.63,89.56,89.56,500,0
2014-12-09,16:05:00,89.43,89.43,89.1,89.1,408,0
2014-12-09,16:20:00,89.4,89.4,89.4,89.4,100,0
2014-12-09,16:35:00,89.0,89.0,88.99,88.99,300,0
2014-12-09,16:50:00,89.23,89.23,89.23,89.23,200,0
2014-12-09,16:55:00,88.92,88.92,88.87,88.87,400,0
2014-12-09,17:15:00,89.23,89.23,88.89,88.89,500,0
2014-12-09,17:25:00,89.16,89.16,89.16,89.16,200,0
2014-12-09,17:45:00,89.27,89.27,89.27,89.27,100,0
2014-12-09,17:50:00,89.08,89.08,89.08,89.08,150,0
2014-12-09,17:55:00,89.07,89.07,89.07,89.07,200,0
2014-12-09,18:05:00,89.01,89.01,89.0,89.0,400,0
2014-12-09,18:50:00,89.79,89.79,89.2,89.2,200,0
2014-12-09,18:55:00,89.21,89.45,89.21,89.45,718,0
2014-12-09,19:05:00,89.42,89.42,89.42,89.42,100,0
2014-12-09,19:10:00,89.5,89.5,89.5,89.5,100,0
2014-12-09,19:20:00,89.5,89.5,89.5,89.5,100,0
2014-12-09,19:25:00,89.95,89.95,89.95,89.95,400,0
2014-12-09,19:50:00,89.99,89.99,89.74,89.74,500,0
2014-12-09,20:45:00,89.71,89.71,89.7,89.7,200,0
2014-12-09,20:50:00,89.89,89.89,89.89,89.89,100,0
2014-12-09,20:55:00,89.79,89.79,89.77,89.77,595,0
2014-12-09,21:00:00,89.89,89.89,89.89,89.89,150,0
2014-12-09,21:05:00,89.74,89.74,89.74,89.74,200,0
2014-12-09,21:25:00,89.99,89.99,89.99,89.99,100,0
2014-12-09,21:35:00,89.85,89.85,89.85,89.85,200,0
2014-12-09,22:00:00,89.98,89.98,89.86,89.9,1323,0
2014-12-10,17:35:00,89.1,89.1,89.1,89.1,489,0
2014-12-10,18:25:00,89.0,89.0,89.0,89.0,100,0
2014-12-10,19:05:00,88.71,88.71,88.71,88.71,536,0
2014-12-10,19:45:00,88.98,88.98,88.98,88.98,300,0
2014-12-10,19:55:00,88.66,88.67,88.66,88.66,500,0
2014-12-10,20:10:00,88.75,88.75,88.75,88.75,200,0
2014-12-10,20:15:00,88.79,88.79,88.79,88.79,200,0
2014-12-10,20:30:00,88.37,88.37,88.37,88.37,236,0
2014-12-10,20:40:00,88.35,88.35,88.35,88.35,300,0
2014-12-10,20:50:00,87.93,87.93,87.93,87.93,300,0
2014-12-10,21:00:00,88.31,88.31,88.28,88.28,300,0
2014-12-10,21:05:00,88.08,88.08,88.08,88.08,100,0
2014-12-10,21:15:00,88.48,88.48,88.48,88.48,200,0
2014-12-10,21:30:00,88.55,88.58,88.55,88.58,600,0
2014-12-10,21:40:00,88.53,88.53,88.53,88.53,100,0
2014-12-10,21:45:00,88.37,88.37,88.37,88.37,112,0
2014-12-10,21:50:00,88.27,88.27,88.2,88.2,900,0
2014-12-10,22:00:00,88.0,88.3,87.83,88.3,458,0
2014-12-11,15:40:00,87.98,87.98,87.98,87.98,100,0
2014-12-11,15:45:00,88.42,88.42,88.42,88.42,200,0
2014-12-11,15:50:00,88.54,88.54,88.54,88.54,100,0
2014-12-11,16:05:00,88.88,88.88,88.88,88.88,1100,0
2014-12-11,16:15:00,89.19,89.19,89.19,89.19,400,0
2014-12-11,16:25:00,89.27,89.27,89.27,89.27,290,0
2014-12-11,16:30:00,89.43,89.43,89.25,89.25,300,0
2014-12-11,16:40:00,89.65,89.65,89.65,89.65,300,0
2014-12-11,17:00:00,89.35,89.37,89.35,89.37,370,0
2014-12-11,17:05:00,89.38,89.38,89.38,89.38,100,0
2014-12-11,17:10:00,89.13,89.13,89.13,89.13,100,0
2014-12-11,17:20:00,89.22,89.31,89.2,89.31,500,0
2014-12-11,17:40:00,89.96,89.96,89.96,89.96,100,0
2014-12-11,18:05:00,89.61,89.61,89.61,89.61,100,0
2014-12-11,18:10:00,89.54,89.54,89.54,89.54,100,0
2014-12-11,18:30:00,89.61,89.61,89.61,89.61,300,0
2014-12-11,18:50:00,89.61,89.61,89.61,89.61,100,0
2014-12-11,19:00:00,89.62,90.15,89.62,90.15,200,0
2014-12-11,19:25:00,89.87,89.87,89.87,89.87,100,0
2014-12-11,19:35:00,89.74,89.74,89.74,89.74,100,0
2014-12-11,19:50:00,89.74,89.74,89.74,89.74,300,0
2014-12-11,19:55:00,89.74,89.74,89.74,89.74,100,0
2014-12-11,20:00:00,89.78,89.78,89.78,89.78,900,0
2014-12-11,20:15:00,90.05,90.05,90.05,90.05,100,0
2014-12-11,20:25:00,89.99,89.99,89.99,89.99,230,0
2014-12-11,20:30:00,89.99,89.99,89.99,89.99,100,0
2014-12-11,20:40:00,89.59,89.59,89.59,89.59,100,0
2014-12-11,20:45:00,89.41,89.41,89.41,89.41,100,0
2014-12-11,21:00:00,89.47,89.47,89.47,89.47,100,0
2014-12-11,21:15:00,89.42,89.42,89.42,89.42,200,0
2014-12-11,21:20:00,89.4,89.4,89.35,89.35,700,0
2014-12-11,21:35:00,89.59,89.59,89.59,89.59,200,0
2014-12-11,21:40:00,89.14,89.14,89.14,89.14,300,0
2014-12-11,21:55:00,89.11,89.11,88.83,88.83,300,0
2014-12-11,22:00:00,88.88,89.18,88.81,89.04,1306,0
2014-12-12,15:35:00,88.4,88.4,88.4,88.4,400,0
2014-12-12,16:45:00,88.2,88.2,88.2,88.2,300,0
2014-12-12,17:05:00,87.99,87.99,87.9,87.9,300,0
2014-12-12,17:10:00,87.73,87.73,87.73,87.73,200,0
2014-12-12,17:50:00,87.78,87.78,87.78,87.78,700,0
2014-12-12,18:15:00,87.73,87.73,87.73,87.73,300,0
2014-12-12,18:30:00,87.8,87.8,87.8,87.8,150,0
2014-12-12,18:40:00,87.75,87.75,87.75,87.75,100,0
2014-12-12,19:20:00,87.61,87.61,87.61,87.61,100,0
2014-12-12,19:30:00,87.77,87.77,87.77,87.77,100,0
2014-12-12,19:35:00,87.87,87.88,87.87,87.88,200,0
2014-12-12,20:05:00,87.7,87.7,87.7,87.7,200,0
2014-12-12,20:25:00,87.7,87.7,87.7,87.7,100,0
2014-12-12,20:30:00,87.51,87.51,87.51,87.51,100,0
2014-12-12,20:40:00,87.21,87.21,87.21,87.21,300,0
2014-12-12,21:10:00,87.24,87.24,87.21,87.21,300,0
2014-12-12,21:35:00,87.26,87.26,87.01,87.01,300,0
2014-12-12,21:45:00,87.08,87.08,87.0,87.0,300,0
2014-12-12,21:50:00,87.0,87.0,87.0,87.0,1246,0
2014-12-12,21:55:00,87.0,87.0,87.0,87.0,1963,0
2014-12-12,22:00:00,86.59,86.68,86.58,86.58,601,0
2014-12-15,15:40:00,86.87,87.04,86.87,87.04,1312,0
2014-12-15,16:00:00,87.04,87.04,86.78,86.78,400,0
2014-12-15,16:05:00,86.74,86.74,86.74,86.74,100,0
2014-12-15,16:15:00,86.89,86.89,86.79,86.79,200,0
2014-12-15,16:20:00,86.88,86.88,86.88,86.88,200,0
2014-12-15,16:45:00,86.88,86.88,86.88,86.88,300,0
2014-12-15,16:55:00,86.92,86.92,86.92,86.92,300,0
2014-12-15,17:05:00,87.11,87.11,87.11,87.11,800,0
2014-12-15,17:10:00,86.92,86.92,86.92,86.92,300,0
2014-12-15,17:15:00,86.73,86.74,86.72,86.74,1100,0
2014-12-15,17:20:00,86.58,86.58,86.58,86.58,400,0
2014-12-15,17:30:00,86.85,86.85,86.85,86.85,400,0
2014-12-15,17:45:00,86.44,86.44,86.44,86.44,100,0
2014-12-15,18:10:00,86.34,86.47,86.34,86.47,1100,0
2014-12-15,18:25:00,86.56,86.67,86.56,86.67,1000,0
2014-12-15,18:30:00,86.51,86.51,86.51,86.51,700,0
2014-12-15,18:55:00,86.59,86.67,86.52,86.67,1100,0
2014-12-15,19:10:00,86.51,86.51,86.51,86.51,100,0
2014-12-15,19:55:00,86.4,86.4,86.4,86.4,200,0
2014-12-15,20:00:00,86.4,86.4,86.4,86.4,200,0
2014-12-15,20:30:00,86.64,86.99,86.64,86.99,800,0
2014-12-15,20:40:00,86.65,86.65,86.65,86.65,100,0
2014-12-15,20:45:00,86.65,86.65,86.65,86.65,100,0
2014-12-15,21:20:00,86.59,86.59,86.59,86.59,100,0
2014-12-15,21:30:00,86.63,86.63,86.63,86.63,100,0
2014-12-15,21:55:00,86.4,86.64,86.4,86.64,300,0
2014-12-15,22:00:00,86.45,86.45,86.07,86.07,1030,0
