Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,61.69,61.72,61.61,61.68,48007,0
2015-02-03,16:55:00,61.69,61.78,61.59,61.64,71332,0
2015-02-03,17:00:00,61.67,61.78,61.5,61.56,73324,0
2015-02-03,17:05:00,61.53,61.62,61.32,61.32,82825,0
2015-02-03,17:10:00,61.31,61.54,61.28,61.48,152511,0
2015-02-03,17:15:00,61.49,61.53,61.32,61.34,94625,0
2015-02-03,17:20:00,61.36,61.56,61.33,61.45,89148,0
2015-02-03,17:25:00,61.46,61.61,61.41,61.6,51829,0
2015-02-03,17:30:00,61.61,61.61,61.5,61.53,53847,0
2015-02-03,17:35:00,61.54,61.6,61.49,61.51,81455,0
2015-02-03,17:40:00,61.51,61.51,61.36,61.44,121351,0
2015-02-03,17:45:00,61.44,61.65,61.44,61.6,52047,0
2015-02-03,17:50:00,61.62,61.63,61.39,61.61,80296,0
2015-02-03,17:55:00,61.6,61.64,61.45,61.49,47553,0
2015-02-03,18:00:00,61.48,61.51,61.39,61.39,536280,0
2015-02-03,18:05:00,61.39,61.4,61.3,61.34,110074,0
2015-02-03,18:10:00,61.35,61.4,61.28,61.34,41183,0
2015-02-03,18:15:00,61.34,61.41,61.28,61.34,47500,0
2015-02-03,18:20:00,61.32,61.52,61.31,61.51,39440,0
2015-02-03,18:25:00,61.52,61.55,61.35,61.35,27018,0
2015-02-03,18:30:00,61.37,61.58,61.35,61.57,63587,0
2015-02-03,18:35:00,61.57,61.62,61.46,61.6,64544,0
2015-02-03,18:40:00,61.6,61.66,61.55,61.57,79952,0
2015-02-03,18:45:00,61.58,61.78,61.56,61.78,38138,0
2015-02-03,18:50:00,61.79,61.91,61.75,61.78,63302,0
2015-02-03,18:55:00,61.79,61.96,61.73,61.94,41000,0
2015-02-03,19:00:00,61.95,62.05,61.84,61.85,120949,0
2015-02-03,19:05:00,61.85,62.03,61.81,61.96,98981,0
2015-02-03,19:10:00,61.95,62.02,61.92,61.97,61550,0
2015-02-03,19:15:00,61.97,62.12,61.91,62.03,77924,0
2015-02-03,19:20:00,62.05,62.07,61.9,61.91,83322,0
2015-02-03,19:25:00,61.93,62.01,61.87,62.0,251946,0
2015-02-03,19:30:00,62.0,62.02,61.9,62.0,149741,0
2015-02-03,19:35:00,62.0,62.03,61.87,61.87,133413,0
2015-02-03,19:40:00,61.88,61.94,61.67,61.67,76878,0
2015-02-03,19:45:00,61.71,61.89,61.7,61.83,98111,0
2015-02-03,19:50:00,61.86,61.94,61.81,61.92,59800,0
2015-02-03,19:55:00,61.93,61.94,61.78,61.92,90984,0
2015-02-03,20:00:00,61.91,61.96,61.78,61.9,76440,0
2015-02-03,20:05:00,61.91,62.01,61.9,61.93,115743,0
2015-02-03,20:10:00,61.92,61.92,61.69,61.72,92169,0
2015-02-03,20:15:00,61.72,61.82,61.57,61.69,211926,0
2015-02-03,20:20:00,61.69,61.81,61.62,61.65,188639,0
2015-02-03,20:25:00,61.66,61.75,61.53,61.58,182242,0
2015-02-03,20:30:00,61.56,61.59,61.44,61.54,51943,0
2015-02-03,20:35:00,61.55,61.62,61.34,61.35,36811,0
2015-02-03,20:40:00,61.35,61.52,61.26,61.49,65907,0
2015-02-03,20:45:00,61.49,61.56,61.44,61.52,61859,0
2015-02-03,20:50:00,61.51,61.52,61.39,61.39,51320,0
2015-02-03,20:55:00,61.38,61.39,61.28,61.32,58994,0
2015-02-03,21:00:00,61.33,61.54,61.3,61.52,28727,0
2015-02-03,21:05:00,61.53,61.71,61.53,61.71,37510,0
2015-02-03,21:10:00,61.71,61.71,61.64,61.69,37456,0
2015-02-03,21:15:00,61.69,61.7,61.56,61.6,70009,0
2015-02-03,21:20:00,61.59,61.63,61.46,61.49,163262,0
2015-02-03,21:25:00,61.5,61.72,61.5,61.72,55026,0
2015-02-03,21:30:00,61.71,61.72,61.51,61.68,68574,0
2015-02-03,21:35:00,61.68,61.71,61.56,61.57,76719,0
2015-02-03,21:40:00,61.58,61.61,61.48,61.5,88620,0
2015-02-03,21:45:00,61.49,61.52,61.42,61.5,126270,0
2015-02-03,21:50:00,61.51,61.61,61.5,61.6,123771,0
2015-02-03,21:55:00,61.61,61.67,61.59,61.67,119853,0
2015-02-03,22:00:00,61.66,61.77,61.66,61.77,536688,0
2015-02-04,15:35:00,60.61,60.72,60.45,60.62,85199,0
2015-02-04,15:40:00,60.67,60.75,60.38,60.55,62441,0
2015-02-04,15:45:00,60.59,60.89,60.43,60.81,98694,0
2015-02-04,15:50:00,60.8,60.8,60.28,60.38,94770,0
2015-02-04,15:55:00,60.45,60.57,60.21,60.47,68296,0
2015-02-04,16:00:00,60.44,60.72,60.35,60.58,68070,0
2015-02-04,16:05:00,60.62,60.93,60.62,60.86,65368,0
2015-02-04,16:10:00,60.83,61.1,60.71,60.81,114827,0
2015-02-04,16:15:00,60.82,61.02,60.81,60.9,56977,0
2015-02-04,16:20:00,60.9,60.97,60.83,60.93,62810,0
2015-02-04,16:25:00,60.93,61.21,60.91,61.11,83276,0
2015-02-04,16:30:00,61.1,61.12,60.98,61.05,62180,0
2015-02-04,16:35:00,61.04,61.16,60.47,61.16,105098,0
2015-02-04,16:40:00,61.18,61.2,60.88,61.15,88416,0
2015-02-04,16:45:00,61.15,61.4,61.08,61.39,52064,0
2015-02-04,16:50:00,61.42,61.48,61.3,61.4,54252,0
2015-02-04,16:55:00,61.41,61.42,61.16,61.18,35800,0
2015-02-04,17:00:00,61.17,61.28,61.08,61.17,55176,0
2015-02-04,17:05:00,61.15,61.18,60.94,61.04,58474,0
2015-02-04,17:10:00,61.03,61.23,60.99,61.21,62604,0
2015-02-04,17:15:00,61.2,61.22,61.0,61.13,28999,0
2015-02-04,17:20:00,61.13,61.26,60.97,60.98,54740,0
2015-02-04,17:25:00,61.0,61.08,60.94,61.01,34323,0
2015-02-04,17:30:00,61.04,61.05,60.91,60.98,31498,0
2015-02-04,17:35:00,61.0,61.19,60.99,61.12,74011,0
