Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,15:50:00,78.94,79.00,78.61,78.79,10244,0
2015-02-02,15:55:00,78.93,78.97,78.93,78.97,400,0
2015-02-02,16:00:00,78.56,79.05,78.56,78.63,10357,0
2015-02-02,16:05:00,78.58,78.79,78.58,78.79,6200,0
2015-02-02,16:10:00,78.55,78.55,78.55,78.55,700,0
2015-02-02,16:15:00,78.65,78.65,78.25,78.32,7300,0
2015-02-02,16:20:00,78.29,78.29,78.29,78.29,100,0
2015-02-02,16:25:00,78.27,78.27,77.81,77.81,4776,0
2015-02-02,16:30:00,78.1,78.75,77.99,78.74,5895,0
2015-02-02,16:35:00,78.69,78.69,78.69,78.69,200,0
2015-02-02,16:40:00,78.24,78.24,78.24,78.24,384,0
2015-02-02,16:45:00,78.34,78.34,78.34,78.34,896,0
2015-02-02,16:55:00,77.95,78.2,77.95,78.2,350,0
2015-02-02,17:05:00,77.83,77.83,77.83,77.83,1500,0
2015-02-02,17:10:00,77.99,78.04,77.99,78.04,1300,0
2015-02-02,17:15:00,78.39,78.39,78.39,78.39,580,0
2015-02-02,17:20:00,78.15,78.19,78.15,78.19,400,0
2015-02-02,17:25:00,78.32,78.32,78.14,78.2,600,0
2015-02-02,17:30:00,78.44,78.45,78.44,78.45,800,0
2015-02-02,17:35:00,78.5,78.52,78.4,78.4,1658,0
2015-02-02,17:40:00,78.47,78.72,78.47,78.72,913,0
2015-02-02,17:45:00,78.72,78.72,78.35,78.72,1550,0
2015-02-02,17:50:00,78.67,78.9,78.67,78.78,2275,0
2015-02-02,17:55:00,78.8,78.88,78.51,78.59,1160,0
2015-02-02,18:00:00,78.51,78.9,78.51,78.9,982,0
2015-02-02,18:05:00,78.9,78.9,78.27,78.58,6001,0
2015-02-02,18:10:00,78.75,78.79,78.75,78.78,500,0
2015-02-02,18:15:00,78.75,78.76,78.34,78.34,1200,0
2015-02-02,18:20:00,78.63,78.63,78.36,78.36,400,0
2015-02-02,18:25:00,78.63,78.63,78.5,78.63,1200,0
2015-02-02,18:30:00,78.63,78.76,78.58,78.74,1900,0
2015-02-02,18:35:00,78.51,78.53,78.36,78.47,3076,0
2015-02-02,18:40:00,78.45,78.69,78.45,78.67,1050,0
2015-02-02,18:45:00,78.67,78.67,78.67,78.67,400,0
2015-02-02,18:50:00,78.62,78.62,78.49,78.49,200,0
2015-02-02,18:55:00,78.49,78.49,78.33,78.49,400,0
2015-02-02,19:00:00,78.46,78.49,78.46,78.49,500,0
2015-02-02,19:05:00,78.17,78.5,78.17,78.5,700,0
2015-02-02,19:10:00,78.69,78.69,78.68,78.68,500,0
2015-02-02,19:15:00,78.38,78.68,78.33,78.33,400,0
2015-02-02,19:20:00,78.68,78.68,78.34,78.62,1100,0
2015-02-02,19:25:00,78.65,78.65,78.41,78.6,400,0
2015-02-02,19:30:00,78.64,78.64,78.5,78.55,900,0
2015-02-02,19:35:00,78.6,78.6,78.12,78.52,2000,0
2015-02-02,19:40:00,78.45,78.47,78.45,78.47,300,0
2015-02-02,19:45:00,78.47,78.63,78.47,78.54,6649,0
2015-02-02,19:50:00,78.48,78.54,78.48,78.53,400,0
2015-02-02,19:55:00,78.63,78.63,78.59,78.63,1300,0
2015-02-02,20:00:00,78.49,78.6,78.49,78.6,800,0
2015-02-02,20:05:00,78.52,78.6,78.41,78.55,940,0
2015-02-02,20:25:00,78.59,78.59,78.46,78.5,500,0
2015-02-02,20:30:00,78.57,78.8,78.57,78.8,2800,0
2015-02-02,20:35:00,78.6,78.6,78.6,78.6,100,0
2015-02-02,20:40:00,78.66,78.75,78.66,78.75,2526,0
2015-02-02,20:45:00,78.75,78.8,78.75,78.8,3000,0
2015-02-02,20:50:00,78.8,78.8,78.6,78.6,7292,0
2015-02-02,20:55:00,78.64,78.7,78.52,78.61,700,0
2015-02-02,21:05:00,78.68,78.68,78.58,78.61,400,0
2015-02-02,21:10:00,78.69,78.69,78.57,78.57,400,0
2015-02-02,21:15:00,78.58,78.8,78.58,78.71,10426,0
2015-02-02,21:20:00,78.73,78.73,78.5,78.55,4650,0
2015-02-02,21:25:00,78.69,78.72,78.62,78.72,815,0
2015-02-02,21:30:00,78.63,78.8,78.63,78.78,3772,0
2015-02-02,21:35:00,78.8,78.8,78.77,78.79,1400,0
2015-02-02,21:40:00,78.66,78.8,78.66,78.72,1000,0
2015-02-02,21:45:00,78.8,78.81,78.76,78.8,3952,0
2015-02-02,21:50:00,78.79,78.8,78.76,78.76,2600,0
2015-02-02,21:55:00,78.77,78.77,78.77,78.77,1000,0
2015-02-02,22:00:00,78.72,78.74,78.67,78.67,12279,0
2015-02-03,15:35:00,79.2,79.75,79.0,79.75,26343,0
2015-02-03,15:40:00,79.85,79.95,79.5,79.51,16432,0
2015-02-03,15:45:00,79.89,79.89,79.59,79.79,1712,0
2015-02-03,15:50:00,79.46,80.02,79.41,80.0,18402,0
2015-02-03,15:55:00,80.02,80.5,80.02,80.25,7656,0
2015-02-03,16:00:00,80.49,80.5,80.38,80.5,3527,0
2015-02-03,16:05:00,80.31,80.6,80.31,80.6,2300,0
2015-02-03,16:10:00,80.55,80.55,80.45,80.5,2000,0
2015-02-03,16:15:00,80.43,80.7,80.43,80.67,5080,0
2015-02-03,16:20:00,80.67,80.67,80.53,80.6,2100,0
2015-02-03,16:25:00,80.53,80.69,80.53,80.69,1500,0
2015-02-03,16:30:00,80.7,80.7,80.42,80.55,4200,0
2015-02-03,16:35:00,80.5,80.69,80.48,80.62,5027,0
2015-02-03,16:40:00,80.5,80.69,80.5,80.69,2150,0
2015-02-03,16:45:00,80.69,80.69,80.68,80.69,1100,0
