Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,48.86,48.90,48.71,48.73,506005,0
2015-02-03,16:55:00,48.72,48.73,48.54,48.58,658762,0
2015-02-03,17:00:00,48.58,48.67,48.48,48.5,425345,0
2015-02-03,17:05:00,48.5,48.6,48.49,48.5,191152,0
2015-02-03,17:10:00,48.49,48.61,48.48,48.54,257867,0
2015-02-03,17:15:00,48.54,48.59,48.48,48.53,155045,0
2015-02-03,17:20:00,48.54,48.55,48.47,48.52,151180,0
2015-02-03,17:25:00,48.52,48.6,48.46,48.59,326482,0
2015-02-03,17:30:00,48.6,48.65,48.53,48.55,173722,0
2015-02-03,17:35:00,48.56,48.68,48.52,48.63,194048,0
2015-02-03,17:40:00,48.62,48.66,48.57,48.63,167366,0
2015-02-03,17:45:00,48.62,48.65,48.52,48.64,135640,0
2015-02-03,17:50:00,48.64,48.69,48.57,48.69,229541,0
2015-02-03,17:55:00,48.68,48.76,48.6,48.63,419699,0
2015-02-03,18:00:00,48.63,48.65,48.58,48.61,138084,0
2015-02-03,18:05:00,48.6,48.62,48.55,48.62,243057,0
2015-02-03,18:10:00,48.62,48.68,48.6,48.63,127117,0
2015-02-03,18:15:00,48.63,48.82,48.63,48.81,336605,0
2015-02-03,18:20:00,48.82,48.82,48.73,48.76,365612,0
2015-02-03,18:25:00,48.77,48.84,48.76,48.78,264795,0
2015-02-03,18:30:00,48.78,48.86,48.77,48.79,189394,0
2015-02-03,18:35:00,48.79,48.8,48.74,48.78,128651,0
2015-02-03,18:40:00,48.77,48.85,48.74,48.79,149690,0
2015-02-03,18:45:00,48.8,48.84,48.76,48.84,133518,0
2015-02-03,18:50:00,48.85,48.87,48.79,48.81,117847,0
2015-02-03,18:55:00,48.81,48.82,48.75,48.78,118542,0
2015-02-03,19:00:00,48.79,48.86,48.76,48.79,174493,0
2015-02-03,19:05:00,48.8,48.92,48.8,48.88,248051,0
2015-02-03,19:10:00,48.87,48.9,48.82,48.86,171218,0
2015-02-03,19:15:00,48.86,48.93,48.81,48.88,149349,0
2015-02-03,19:20:00,48.88,48.88,48.82,48.85,136984,0
2015-02-03,19:25:00,48.85,48.93,48.85,48.89,257922,0
2015-02-03,19:30:00,48.89,48.93,48.84,48.93,246513,0
2015-02-03,19:35:00,48.92,49.0,48.92,48.96,379048,0
2015-02-03,19:40:00,48.97,49.0,48.91,48.92,229995,0
2015-02-03,19:45:00,48.92,48.99,48.91,48.99,247446,0
2015-02-03,19:50:00,48.98,49.08,48.97,49.02,414240,0
2015-02-03,19:55:00,49.03,49.1,49.0,49.1,332818,0
2015-02-03,20:00:00,49.09,49.19,49.09,49.17,353722,0
2015-02-03,20:05:00,49.17,49.22,49.1,49.11,399467,0
2015-02-03,20:10:00,49.12,49.14,49.01,49.02,418091,0
2015-02-03,20:15:00,49.02,49.04,48.9,48.92,387410,0
2015-02-03,20:20:00,48.91,48.97,48.89,48.9,215631,0
2015-02-03,20:25:00,48.89,48.94,48.85,48.86,302440,0
2015-02-03,20:30:00,48.86,48.89,48.8,48.81,314169,0
2015-02-03,20:35:00,48.81,48.85,48.78,48.78,158429,0
2015-02-03,20:40:00,48.78,48.82,48.73,48.82,195105,0
2015-02-03,20:45:00,48.82,48.85,48.79,48.84,133367,0
2015-02-03,20:50:00,48.84,48.85,48.77,48.79,164476,0
2015-02-03,20:55:00,48.79,48.82,48.77,48.8,199146,0
2015-02-03,21:00:00,48.81,48.87,48.8,48.87,182263,0
2015-02-03,21:05:00,48.87,48.93,48.87,48.91,228135,0
2015-02-03,21:10:00,48.91,48.92,48.87,48.92,239465,0
2015-02-03,21:15:00,48.92,48.93,48.86,48.92,265872,0
2015-02-03,21:20:00,48.92,48.94,48.87,48.89,251411,0
2015-02-03,21:25:00,48.88,48.93,48.87,48.9,208394,0
2015-02-03,21:30:00,48.9,48.9,48.8,48.83,191462,0
2015-02-03,21:35:00,48.83,48.87,48.78,48.79,242269,0
