Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-19,17:35:00,56.37,56.37,56.37,56.37,100,0
2014-09-19,17:45:00,56.29,56.29,56.29,56.29,100,0
2014-09-19,17:55:00,56.34,56.34,56.34,56.34,100,0
2014-09-19,18:00:00,56.35,56.35,56.35,56.35,100,0
2014-09-19,18:05:00,56.25,56.25,56.25,56.25,100,0
2014-09-19,18:15:00,56.15,56.15,56.15,56.15,100,0
2014-09-19,18:30:00,56.23,56.23,56.23,56.23,100,0
2014-09-19,18:45:00,56.18,56.18,56.18,56.18,100,0
2014-09-19,18:55:00,56.07,56.07,56.07,56.07,100,0
2014-09-19,19:05:00,56.0,56.0,55.96,55.96,358,0
2014-09-19,19:20:00,56.04,56.04,56.04,56.04,300,0
2014-09-19,19:30:00,56.13,56.13,56.13,56.13,100,0
2014-09-19,19:40:00,56.2,56.2,56.2,56.2,200,0
2014-09-19,19:50:00,56.12,56.12,56.12,56.12,100,0
2014-09-19,20:00:00,55.96,55.96,55.96,55.96,200,0
2014-09-19,20:15:00,56.01,56.01,56.01,56.01,200,0
2014-09-19,20:20:00,56.07,56.07,56.07,56.07,100,0
2014-09-19,20:30:00,56.19,56.19,56.19,56.19,100,0
2014-09-19,20:40:00,56.31,56.31,56.31,56.31,100,0
2014-09-19,20:50:00,56.38,56.38,56.38,56.38,100,0
2014-09-19,21:00:00,56.29,56.29,56.29,56.29,100,0
2014-09-19,21:05:00,56.29,56.29,56.29,56.29,200,0
2014-09-19,21:15:00,56.32,56.32,56.32,56.32,100,0
2014-09-19,21:25:00,56.35,56.35,56.3,56.3,200,0
2014-09-19,21:30:00,56.29,56.29,56.29,56.29,100,0
2014-09-19,21:35:00,56.27,56.39,56.27,56.29,400,0
2014-09-19,21:40:00,56.26,56.26,56.26,56.26,100,0
2014-09-19,21:45:00,56.39,56.49,56.26,56.27,400,0
2014-09-19,21:50:00,56.48,56.48,56.19,56.24,2900,0
2014-09-19,21:55:00,56.35,56.45,56.06,56.23,5300,0
2014-09-19,22:00:00,56.22,56.26,55.7,55.7,30400,0
2014-09-22,15:35:00,55.89,56.1,55.78,55.8,6109,0
2014-09-22,15:40:00,55.7,55.7,55.65,55.65,1346,0
2014-09-22,15:45:00,55.74,55.74,55.74,55.74,100,0
2014-09-22,15:50:00,55.8,55.81,55.8,55.81,300,0
2014-09-22,15:55:00,55.79,55.79,55.76,55.79,800,0
2014-09-22,16:00:00,55.74,55.78,55.69,55.78,1000,0
2014-09-22,16:05:00,55.69,55.71,55.69,55.7,900,0
2014-09-22,16:10:00,55.75,55.75,55.75,55.75,300,0
2014-09-22,16:35:00,55.48,55.48,55.36,55.36,1408,0
2014-09-22,16:50:00,55.33,55.44,55.33,55.37,800,0
2014-09-22,17:05:00,55.12,55.34,55.12,55.34,400,0
2014-09-22,17:10:00,55.34,55.34,55.32,55.32,500,0
2014-09-22,17:30:00,55.3,55.3,55.3,55.3,100,0
