Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,86.32,86.48,86.28,86.44,78731,0
2015-02-03,16:55:00,86.45,86.51,86.44,86.46,56796,0
2015-02-03,17:00:00,86.46,86.47,86.35,86.36,51607,0
2015-02-03,17:05:00,86.35,86.45,86.3,86.39,51211,0
2015-02-03,17:10:00,86.38,86.55,86.29,86.55,36352,0
2015-02-03,17:15:00,86.55,86.67,86.46,86.66,40710,0
2015-02-03,17:20:00,86.67,86.81,86.67,86.76,48726,0
2015-02-03,17:25:00,86.76,86.84,86.74,86.77,68533,0
2015-02-03,17:30:00,86.78,86.8,86.68,86.72,46249,0
2015-02-03,17:35:00,86.72,86.86,86.71,86.81,47943,0
2015-02-03,17:40:00,86.83,86.86,86.74,86.85,42243,0
2015-02-03,17:45:00,86.85,86.92,86.76,86.92,31982,0
2015-02-03,17:50:00,86.93,86.95,86.84,86.93,51223,0
2015-02-03,17:55:00,86.92,86.98,86.82,86.85,46527,0
2015-02-03,18:00:00,86.85,86.89,86.73,86.74,39310,0
2015-02-03,18:05:00,86.73,86.78,86.73,86.77,48920,0
2015-02-03,18:10:00,86.78,86.92,86.77,86.92,32919,0
2015-02-03,18:15:00,86.91,87.05,86.86,87.04,43083,0
2015-02-03,18:20:00,87.03,87.1,87.01,87.05,44392,0
2015-02-03,18:25:00,87.05,87.07,86.96,86.99,46541,0
2015-02-03,18:30:00,87.0,87.03,86.95,86.96,50863,0
2015-02-03,18:35:00,86.96,86.96,86.87,86.93,34761,0
2015-02-03,18:40:00,86.93,86.95,86.87,86.93,44396,0
2015-02-03,18:45:00,86.93,87.03,86.93,87.03,41480,0
2015-02-03,18:50:00,87.04,87.06,86.99,87.06,49622,0
2015-02-03,18:55:00,87.07,87.15,87.07,87.14,36103,0
2015-02-03,19:00:00,87.16,87.18,87.02,87.03,28552,0
2015-02-03,19:05:00,87.03,87.06,87.0,87.02,39032,0
2015-02-03,19:10:00,87.02,87.16,87.02,87.16,24851,0
2015-02-03,19:15:00,87.15,87.31,87.09,87.29,40445,0
2015-02-03,19:20:00,87.3,87.3,87.25,87.27,30030,0
2015-02-03,19:25:00,87.28,87.38,87.27,87.37,34874,0
2015-02-03,19:30:00,87.38,87.41,87.32,87.32,33931,0
2015-02-03,19:35:00,87.34,87.44,87.34,87.44,34961,0
2015-02-03,19:40:00,87.44,87.55,87.44,87.55,59495,0
2015-02-03,19:45:00,87.54,87.58,87.48,87.49,59027,0
2015-02-03,19:50:00,87.5,87.52,87.47,87.51,40581,0
2015-02-03,19:55:00,87.51,87.69,87.51,87.68,36948,0
2015-02-03,20:00:00,87.67,87.76,87.64,87.75,69115,0
2015-02-03,20:05:00,87.76,87.84,87.74,87.8,58763,0
2015-02-03,20:10:00,87.8,87.83,87.67,87.74,45129,0
2015-02-03,20:15:00,87.73,87.74,87.5,87.51,41350,0
2015-02-03,20:20:00,87.51,87.52,87.43,87.44,46786,0
2015-02-03,20:25:00,87.46,87.49,87.32,87.32,91106,0
2015-02-03,20:30:00,87.32,87.33,87.16,87.16,39624,0
2015-02-03,20:35:00,87.16,87.19,87.08,87.12,39703,0
2015-02-03,20:40:00,87.12,87.12,86.99,87.03,47490,0
2015-02-03,20:45:00,87.03,87.05,86.92,87.0,41581,0
2015-02-03,20:50:00,87.0,87.04,86.98,87.0,41577,0
2015-02-03,20:55:00,87.0,87.02,86.96,86.96,41068,0
2015-02-03,21:00:00,86.97,86.99,86.92,86.99,33824,0
2015-02-03,21:05:00,87.0,87.02,86.93,87.02,42272,0
2015-02-03,21:10:00,87.02,87.03,86.94,86.99,44267,0
2015-02-03,21:15:00,87.0,87.0,86.83,86.88,48546,0
2015-02-03,21:20:00,86.88,86.91,86.81,86.82,43650,0
2015-02-03,21:25:00,86.82,86.92,86.82,86.91,45812,0
2015-02-03,21:30:00,86.91,86.97,86.83,86.89,73937,0
2015-02-03,21:35:00,86.9,86.94,86.85,86.9,63214,0
2015-02-03,21:40:00,86.86,87.04,86.86,87.04,72492,0
2015-02-03,21:45:00,87.03,87.19,87.03,87.17,83204,0
2015-02-03,21:50:00,87.18,87.24,87.12,87.14,52273,0
2015-02-03,21:55:00,87.13,87.25,87.12,87.24,58056,0
2015-02-03,22:00:00,87.23,87.26,87.18,87.24,223190,0
2015-02-04,15:35:00,86.78,86.84,86.66,86.84,37196,0
2015-02-04,15:40:00,86.79,86.98,86.75,86.91,15086,0
2015-02-04,15:45:00,86.89,87.11,86.85,87.07,30906,0
2015-02-04,15:50:00,87.13,87.4,87.13,87.37,18191,0
2015-02-04,15:55:00,87.39,87.4,87.24,87.36,14000,0
2015-02-04,16:00:00,87.37,87.37,87.23,87.29,8776,0
2015-02-04,16:05:00,87.29,87.41,87.27,87.3,49736,0
2015-02-04,16:10:00,87.28,87.41,87.24,87.32,42340,0
2015-02-04,16:15:00,87.32,87.34,87.2,87.22,20019,0
2015-02-04,16:20:00,87.21,87.23,87.19,87.21,19050,0
2015-02-04,16:25:00,87.21,87.23,87.12,87.17,26873,0
2015-02-04,16:30:00,87.19,87.28,87.16,87.21,21000,0
2015-02-04,16:35:00,87.19,87.29,87.16,87.28,42972,0
2015-02-04,16:40:00,87.28,87.28,87.18,87.2,20390,0
2015-02-04,16:45:00,87.21,87.26,87.15,87.22,37744,0
2015-02-04,16:50:00,87.21,87.25,87.18,87.2,43427,0
2015-02-04,16:55:00,87.2,87.2,87.07,87.11,26518,0
2015-02-04,17:00:00,87.1,87.1,86.96,86.98,24883,0
2015-02-04,17:05:00,86.98,87.11,86.92,87.1,25080,0
2015-02-04,17:10:00,87.1,87.17,87.05,87.17,19604,0
2015-02-04,17:15:00,87.17,87.39,87.13,87.39,20823,0
2015-02-04,17:20:00,87.41,87.47,87.35,87.4,32366,0
2015-02-04,17:25:00,87.4,87.5,87.36,87.43,40526,0
2015-02-04,17:30:00,87.45,87.49,87.31,87.35,31160,0
2015-02-04,17:35:00,87.36,87.36,87.25,87.35,14584,0
2015-02-04,17:40:00,87.37,87.37,87.31,87.35,16983,0
2015-02-04,17:45:00,87.33,87.33,87.23,87.23,9841,0
2015-02-04,17:50:00,87.23,87.24,87.17,87.17,15982,0
2015-02-04,17:55:00,87.17,87.22,87.11,87.13,12616,0
2015-02-04,18:00:00,87.14,87.32,87.13,87.29,19356,0
2015-02-04,18:05:00,87.28,87.28,87.2,87.24,10368,0
2015-02-04,18:10:00,87.25,87.32,87.25,87.31,14728,0
2015-02-04,18:15:00,87.31,87.33,87.29,87.32,67751,0
2015-02-04,18:20:00,87.32,87.34,87.24,87.27,31591,0
2015-02-04,18:25:00,87.28,87.28,87.15,87.18,37842,0
2015-02-04,18:30:00,87.19,87.2,86.99,86.99,17565,0
2015-02-04,18:35:00,86.98,87.06,86.98,87.05,156304,0
2015-02-04,18:40:00,87.05,87.05,86.88,86.95,18602,0
2015-02-04,18:45:00,86.94,86.95,86.82,86.85,19222,0
2015-02-04,18:50:00,86.86,86.88,86.81,86.82,14920,0
2015-02-04,18:55:00,86.83,86.89,86.83,86.86,17184,0
2015-02-04,19:00:00,86.87,86.93,86.87,86.87,16059,0
2015-02-04,19:05:00,86.87,86.88,86.79,86.81,24777,0
2015-02-04,19:10:00,86.81,86.81,86.75,86.79,38876,0
2015-02-04,19:15:00,86.79,86.81,86.72,86.75,14991,0
2015-02-04,19:20:00,86.75,86.81,86.74,86.74,12903,0
2015-02-04,19:25:00,86.74,86.78,86.71,86.74,10320,0
2015-02-04,19:30:00,86.75,86.84,86.75,86.82,9546,0
2015-02-04,19:35:00,86.84,86.94,86.84,86.87,13400,0
2015-02-04,19:40:00,86.88,86.91,86.83,86.88,9162,0
2015-02-04,19:45:00,86.86,86.9,86.83,86.9,6853,0
2015-02-04,19:50:00,86.9,86.91,86.87,86.88,11200,0
2015-02-04,19:55:00,86.86,86.86,86.81,86.83,20202,0
2015-02-04,20:00:00,86.84,86.84,86.74,86.75,17149,0
2015-02-04,20:05:00,86.75,86.89,86.75,86.89,20202,0
2015-02-04,20:10:00,86.89,86.9,86.79,86.8,25480,0
2015-02-04,20:15:00,86.81,86.82,86.65,86.65,18225,0
2015-02-04,20:20:00,86.66,86.71,86.58,86.61,23868,0
2015-02-04,20:25:00,86.62,86.74,86.62,86.72,12262,0
2015-02-04,20:30:00,86.7,86.78,86.7,86.75,23102,0
2015-02-04,20:35:00,86.74,86.76,86.65,86.65,25285,0
2015-02-04,20:40:00,86.66,86.69,86.6,86.65,70528,0
2015-02-04,20:45:00,86.66,86.66,86.53,86.57,65866,0
2015-02-04,20:50:00,86.56,86.64,86.53,86.6,50538,0
2015-02-04,20:55:00,86.62,86.62,86.53,86.55,70556,0
2015-02-04,21:00:00,86.56,86.59,86.43,86.46,71269,0
2015-02-04,21:05:00,86.46,86.46,86.36,86.43,84002,0
2015-02-04,21:10:00,86.44,86.45,86.3,86.32,87925,0
2015-02-04,21:15:00,86.32,86.32,86.26,86.3,84240,0
2015-02-04,21:20:00,86.3,86.33,86.27,86.3,93897,0
2015-02-04,21:25:00,86.29,86.3,86.22,86.23,85010,0
2015-02-04,21:30:00,86.24,86.31,86.21,86.24,98638,0
2015-02-04,21:35:00,86.26,86.44,86.24,86.43,205934,0
2015-02-04,21:40:00,86.42,86.42,86.19,86.2,94693,0
2015-02-04,21:45:00,86.2,86.27,86.03,86.05,120752,0
2015-02-04,21:50:00,86.07,86.21,85.92,86.17,148285,0
2015-02-04,21:55:00,86.17,86.18,86.04,86.16,109024,0
2015-02-04,22:00:00,86.16,86.27,86.15,86.27,296800,0
2015-02-05,15:35:00,86.53,86.99,86.53,86.73,56326,0
2015-02-05,15:40:00,86.75,86.78,86.62,86.69,42136,0
2015-02-05,15:45:00,86.72,86.87,86.7,86.81,31563,0
2015-02-05,15:50:00,86.79,87.06,86.79,87.05,52456,0
2015-02-05,15:55:00,87.07,87.07,86.73,86.78,38200,0
2015-02-05,16:00:00,86.77,86.96,86.77,86.95,20122,0
2015-02-05,16:05:00,86.95,87.07,86.94,86.98,33341,0
2015-02-05,16:10:00,86.99,87.0,86.82,86.82,53946,0
2015-02-05,16:15:00,86.82,86.91,86.78,86.91,54892,0
2015-02-05,16:20:00,86.91,87.05,86.9,86.97,65981,0
2015-02-05,16:25:00,86.97,87.01,86.96,87.0,53440,0
2015-02-05,16:30:00,87.0,87.03,86.98,87.03,53024,0
2015-02-05,16:35:00,87.02,87.17,87.0,87.14,52137,0
2015-02-05,16:40:00,87.14,87.18,87.07,87.11,45135,0
2015-02-05,16:45:00,87.11,87.12,86.94,86.99,52856,0
2015-02-05,16:50:00,86.99,87.02,86.92,87.0,48312,0
2015-02-05,16:55:00,87.0,87.09,87.0,87.06,34934,0
2015-02-05,17:00:00,87.07,87.1,87.05,87.05,36409,0
2015-02-05,17:05:00,87.05,87.08,87.02,87.07,42490,0
2015-02-05,17:10:00,87.08,87.14,87.03,87.07,85975,0
2015-02-05,17:15:00,87.08,87.09,87.02,87.02,107386,0
2015-02-05,17:20:00,87.02,87.04,86.9,86.93,50741,0
2015-02-05,17:25:00,86.92,86.97,86.88,86.91,84029,0
2015-02-05,17:30:00,86.9,87.04,86.85,86.88,140779,0
2015-02-05,17:35:00,86.88,86.92,86.76,86.81,123641,0
2015-02-05,17:40:00,86.81,86.85,86.68,86.71,31281,0
2015-02-05,17:45:00,86.69,86.71,86.59,86.59,44705,0
2015-02-05,17:50:00,86.59,86.66,86.58,86.65,53461,0
2015-02-05,17:55:00,86.65,86.66,86.6,86.61,34341,0
2015-02-05,18:00:00,86.62,86.84,86.62,86.78,74085,0
2015-02-05,18:05:00,86.8,86.8,86.67,86.72,78775,0
2015-02-05,18:10:00,86.71,86.82,86.7,86.77,70772,0
2015-02-05,18:15:00,86.77,86.77,86.63,86.69,37334,0
2015-02-05,18:20:00,86.68,86.69,86.44,86.44,58691,0
2015-02-05,18:25:00,86.44,86.48,86.36,86.37,70526,0
2015-02-05,18:30:00,86.37,86.37,86.21,86.28,72083,0
2015-02-05,18:35:00,86.29,86.52,86.29,86.48,60740,0
2015-02-05,18:40:00,86.48,86.49,86.38,86.38,29739,0
2015-02-05,18:45:00,86.38,86.5,86.38,86.41,61868,0
2015-02-05,18:50:00,86.42,86.62,86.41,86.55,67614,0
2015-02-05,18:55:00,86.56,86.77,86.55,86.68,80258,0
