Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,43.49,43.54,43.47,43.54,62789,0
2015-02-03,16:55:00,43.527,43.587,43.497,43.547,46216,0
2015-02-03,17:00:00,43.557,43.567,43.458,43.458,55094,0
2015-02-03,17:05:00,43.448,43.547,43.448,43.537,41390,0
2015-02-03,17:10:00,43.527,43.646,43.497,43.607,81405,0
2015-02-03,17:15:00,43.607,43.617,43.507,43.517,285120,0
2015-02-03,17:20:00,43.517,43.567,43.507,43.537,72917,0
2015-02-03,17:25:00,43.547,43.557,43.487,43.497,67053,0
2015-02-03,17:30:00,43.507,43.627,43.497,43.547,74765,0
2015-02-03,17:35:00,43.547,43.557,43.497,43.507,40950,0
2015-02-03,17:40:00,43.497,43.497,43.418,43.458,44179,0
2015-02-03,17:45:00,43.448,43.487,43.438,43.468,44131,0
2015-02-03,17:50:00,43.468,43.477,43.388,43.388,44029,0
2015-02-03,17:55:00,43.398,43.418,43.338,43.368,38581,0
2015-02-03,18:00:00,43.378,43.408,43.338,43.378,30730,0
2015-02-03,18:05:00,43.368,43.378,43.308,43.338,54516,0
2015-02-03,18:10:00,43.338,43.398,43.328,43.348,34484,0
2015-02-03,18:15:00,43.358,43.408,43.348,43.398,38087,0
2015-02-03,18:20:00,43.398,43.428,43.378,43.418,17100,0
2015-02-03,18:25:00,43.428,43.458,43.378,43.378,23581,0
2015-02-03,18:30:00,43.388,43.428,43.378,43.408,25511,0
2015-02-03,18:35:00,43.398,43.398,43.348,43.378,21127,0
2015-02-03,18:40:00,43.378,43.408,43.348,43.368,45162,0
2015-02-03,18:45:00,43.368,43.428,43.348,43.428,60778,0
2015-02-03,18:50:00,43.438,43.477,43.438,43.458,23436,0
2015-02-03,18:55:00,43.458,43.458,43.418,43.448,36094,0
2015-02-03,19:00:00,43.428,43.458,43.388,43.398,28671,0
2015-02-03,19:05:00,43.408,43.438,43.398,43.428,24453,0
2015-02-03,19:10:00,43.428,43.468,43.418,43.458,26679,0
2015-02-03,19:15:00,43.448,43.468,43.398,43.408,41786,0
2015-02-03,19:20:00,43.418,43.418,43.338,43.368,33732,0
