Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,20.92,21.03,20.89,20.93,341583,0
2015-02-03,16:55:00,20.94,20.95,20.87,20.91,107870,0
2015-02-03,17:00:00,20.92,20.93,20.86,20.89,132136,0
2015-02-03,17:05:00,20.89,20.9,20.76,20.76,176865,0
2015-02-03,17:10:00,20.76,20.89,20.74,20.88,269960,0
2015-02-03,17:15:00,20.88,20.89,20.8,20.85,291154,0
2015-02-03,17:20:00,20.85,20.92,20.83,20.91,109336,0
2015-02-03,17:25:00,20.91,20.96,20.88,20.95,203023,0
2015-02-03,17:30:00,20.95,20.96,20.83,20.84,278799,0
2015-02-03,17:35:00,20.84,20.89,20.82,20.85,180575,0
2015-02-03,17:40:00,20.85,20.86,20.74,20.78,364940,0
2015-02-03,17:45:00,20.78,20.92,20.78,20.84,165488,0
2015-02-03,17:50:00,20.86,20.87,20.78,20.84,114531,0
2015-02-03,17:55:00,20.84,20.9,20.79,20.79,186477,0
2015-02-03,18:00:00,20.8,20.88,20.8,20.84,96023,0
2015-02-03,18:05:00,20.83,20.85,20.69,20.72,140577,0
2015-02-03,18:10:00,20.72,20.75,20.67,20.69,154689,0
2015-02-03,18:15:00,20.7,20.76,20.67,20.67,133673,0
2015-02-03,18:20:00,20.68,20.76,20.67,20.74,223774,0
2015-02-03,18:25:00,20.74,20.8,20.7,20.7,97921,0
2015-02-03,18:30:00,20.7,20.79,20.7,20.77,76450,0
2015-02-03,18:35:00,20.77,20.77,20.7,20.74,81152,0
2015-02-03,18:40:00,20.73,20.84,20.72,20.84,165940,0
2015-02-03,18:45:00,20.84,20.91,20.81,20.91,77226,0
2015-02-03,18:50:00,20.92,20.97,20.87,20.96,271988,0
2015-02-03,18:55:00,20.98,21.08,20.92,21.06,214820,0
2015-02-03,19:00:00,21.06,21.1,21.01,21.01,145789,0
2015-02-03,19:05:00,21.01,21.1,20.97,21.09,131155,0
2015-02-03,19:10:00,21.09,21.14,21.08,21.11,221878,0
2015-02-03,19:15:00,21.11,21.23,21.09,21.23,241323,0
2015-02-03,19:20:00,21.23,21.24,21.18,21.18,139063,0
2015-02-03,19:25:00,21.18,21.31,21.18,21.31,198373,0
2015-02-03,19:30:00,21.31,21.4,21.31,21.39,292190,0
2015-02-03,19:35:00,21.39,21.39,21.22,21.22,169927,0
2015-02-03,19:40:00,21.23,21.26,21.19,21.21,110077,0
2015-02-03,19:45:00,21.21,21.33,21.21,21.31,87954,0
2015-02-03,19:50:00,21.31,21.37,21.29,21.36,179515,0
2015-02-03,19:55:00,21.35,21.42,21.32,21.39,130573,0
2015-02-03,20:00:00,21.38,21.48,21.36,21.47,154598,0
2015-02-03,20:05:00,21.47,21.49,21.44,21.45,186029,0
2015-02-03,20:10:00,21.45,21.46,21.32,21.35,191983,0
2015-02-03,20:15:00,21.35,21.4,21.33,21.35,102998,0
2015-02-03,20:20:00,21.35,21.4,21.33,21.33,122267,0
2015-02-03,20:25:00,21.33,21.35,21.21,21.22,177718,0
2015-02-03,20:30:00,21.21,21.24,21.12,21.17,219609,0
2015-02-03,20:35:00,21.16,21.21,20.89,20.91,389491,0
2015-02-03,20:40:00,20.92,21.03,20.86,21.02,292422,0
2015-02-03,20:45:00,21.02,21.03,20.94,20.99,411710,0
2015-02-03,20:50:00,20.99,21.0,20.91,20.91,157316,0
2015-02-03,20:55:00,20.92,20.92,20.82,20.88,245177,0
2015-02-03,21:00:00,20.88,21.01,20.86,20.96,140107,0
2015-02-03,21:05:00,20.97,21.04,20.97,21.02,186480,0
2015-02-03,21:10:00,21.02,21.03,20.99,21.0,194654,0
2015-02-03,21:15:00,21.01,21.01,20.94,20.99,105362,0
2015-02-03,21:20:00,21.0,21.02,20.97,21.01,143923,0
2015-02-03,21:25:00,21.01,21.07,20.98,20.99,223559,0
2015-02-03,21:30:00,20.98,20.99,20.92,20.95,309751,0
2015-02-03,21:35:00,20.95,20.96,20.91,20.91,219676,0
2015-02-03,21:40:00,20.91,20.92,20.85,20.88,312838,0
2015-02-03,21:45:00,20.87,20.96,20.87,20.96,236731,0
2015-02-03,21:50:00,20.96,21.04,20.96,21.02,296766,0
2015-02-03,21:55:00,21.01,21.02,20.99,20.99,216639,0
2015-02-03,22:00:00,20.99,21.04,20.98,21.01,1230125,0
2015-02-04,15:35:00,20.59,20.6,20.42,20.47,164816,0
2015-02-04,15:40:00,20.48,20.64,20.36,20.64,236728,0
2015-02-04,15:45:00,20.64,20.89,20.47,20.87,329470,0
2015-02-04,15:50:00,20.87,20.87,20.74,20.81,463430,0
2015-02-04,15:55:00,20.81,20.89,20.79,20.85,164682,0
2015-02-04,16:00:00,20.86,20.86,20.73,20.75,510344,0
2015-02-04,16:05:00,20.75,20.77,20.72,20.75,531324,0
2015-02-04,16:10:00,20.75,20.77,20.57,20.59,447220,0
2015-02-04,16:15:00,20.57,20.69,20.49,20.52,323053,0
2015-02-04,16:20:00,20.51,20.58,20.42,20.48,220087,0
2015-02-04,16:25:00,20.48,20.55,20.42,20.5,283349,0
2015-02-04,16:30:00,20.51,20.53,20.4,20.53,165149,0
2015-02-04,16:35:00,20.52,20.54,20.2,20.54,462254,0
2015-02-04,16:40:00,20.54,20.63,20.41,20.63,178718,0
2015-02-04,16:45:00,20.65,20.76,20.65,20.75,283888,0
2015-02-04,16:50:00,20.75,20.77,20.7,20.72,395368,0
2015-02-04,16:55:00,20.74,20.8,20.65,20.71,541264,0
2015-02-04,17:00:00,20.71,20.79,20.7,20.71,224834,0
2015-02-04,17:05:00,20.7,20.73,20.62,20.66,242560,0
2015-02-04,17:10:00,20.65,20.69,20.52,20.68,145065,0
2015-02-04,17:15:00,20.68,20.69,20.59,20.66,101561,0
2015-02-04,17:20:00,20.66,20.75,20.64,20.66,171440,0
2015-02-04,17:25:00,20.66,20.69,20.61,20.65,165924,0
2015-02-04,17:30:00,20.66,20.67,20.58,20.63,96184,0
2015-02-04,17:35:00,20.64,20.71,20.64,20.68,73332,0
2015-02-04,17:40:00,20.69,20.73,20.65,20.71,67912,0
2015-02-04,17:45:00,20.7,20.72,20.64,20.67,40267,0
2015-02-04,17:50:00,20.68,20.7,20.6,20.68,75417,0
2015-02-04,17:55:00,20.68,20.75,20.63,20.68,113804,0
2015-02-04,18:00:00,20.68,20.69,20.62,20.63,85619,0
2015-02-04,18:05:00,20.63,20.67,20.58,20.63,78278,0
2015-02-04,18:10:00,20.64,20.69,20.63,20.67,93796,0
2015-02-04,18:15:00,20.68,20.68,20.59,20.61,60725,0
2015-02-04,18:20:00,20.62,20.73,20.62,20.71,56894,0
2015-02-04,18:25:00,20.72,20.82,20.71,20.78,210578,0
2015-02-04,18:30:00,20.79,20.79,20.57,20.57,156302,0
