Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-20,16:00:00,17.17,17.17,17.17,17.17,200,0
2015-01-20,16:05:00,17.17,17.17,17.09,17.09,2575,0
2015-01-20,16:10:00,17.08,17.08,17.05,17.05,300,0
2015-01-20,16:15:00,17.05,17.08,17.05,17.07,800,0
2015-01-20,16:35:00,17.09,17.09,17.08,17.08,1300,0
2015-01-20,16:40:00,17.09,17.09,17.01,17.02,3307,0
2015-01-20,16:45:00,17.01,17.01,17.01,17.01,200,0
2015-01-20,16:50:00,16.99,17.0,16.98,16.98,1500,0
2015-01-20,16:55:00,16.99,17.0,16.99,17.0,1100,0
2015-01-20,17:05:00,16.99,17.0,16.99,17.0,500,0
2015-01-20,17:10:00,16.99,16.99,16.99,16.99,300,0
2015-01-20,17:15:00,16.99,17.0,16.99,17.0,500,0
2015-01-20,17:20:00,16.99,16.99,16.98,16.99,3436,0
2015-01-20,17:25:00,16.99,17.0,16.99,17.0,800,0
2015-01-20,17:30:00,16.99,17.0,16.99,17.0,300,0
2015-01-20,17:35:00,16.97,17.0,16.97,16.98,3400,0
2015-01-20,17:40:00,16.99,17.04,16.98,17.04,2300,0
2015-01-20,17:45:00,16.98,16.98,16.97,16.97,1100,0
2015-01-20,17:50:00,16.98,16.98,16.98,16.98,100,0
2015-01-20,17:55:00,16.97,16.97,16.95,16.95,2800,0
2015-01-20,18:00:00,16.96,16.98,16.96,16.98,400,0
2015-01-20,18:05:00,16.96,16.96,16.96,16.96,1200,0
2015-01-20,18:10:00,16.96,16.96,16.96,16.96,300,0
2015-01-20,18:15:00,16.95,16.96,16.95,16.96,825,0
2015-01-20,18:20:00,16.9,16.9,16.9,16.9,1000,0
2015-01-20,18:40:00,16.91,16.91,16.91,16.91,200,0
2015-01-20,18:45:00,16.94,16.94,16.94,16.94,100,0
2015-01-20,18:50:00,16.94,16.94,16.94,16.94,100,0
2015-01-20,19:00:00,16.95,16.95,16.91,16.93,700,0
2015-01-20,19:05:00,16.91,16.91,16.9,16.9,600,0
2015-01-20,19:10:00,16.9,16.9,16.89,16.9,2985,0
2015-01-20,19:20:00,16.89,16.89,16.89,16.89,400,0
2015-01-20,19:30:00,16.89,16.9,16.89,16.9,1700,0
2015-01-20,19:35:00,16.89,16.89,16.88,16.88,400,0
2015-01-20,19:40:00,16.87,16.87,16.87,16.87,242,0
2015-01-20,19:45:00,16.87,16.87,16.85,16.85,300,0
2015-01-20,19:55:00,16.87,16.87,16.85,16.86,800,0
2015-01-20,20:05:00,16.84,16.84,16.84,16.84,230,0
2015-01-20,20:15:00,16.89,16.9,16.89,16.9,700,0
2015-01-20,20:20:00,16.9,16.9,16.89,16.89,1000,0
2015-01-20,20:30:00,16.89,16.89,16.89,16.89,100,0
2015-01-20,20:40:00,16.9,16.9,16.9,16.9,1000,0
2015-01-20,20:50:00,16.9,16.9,16.89,16.9,800,0
2015-01-20,20:55:00,16.9,16.9,16.89,16.9,1604,0
2015-01-20,21:10:00,16.89,16.9,16.89,16.9,300,0
2015-01-20,21:20:00,16.9,16.9,16.9,16.9,100,0
2015-01-20,21:40:00,16.88,16.88,16.88,16.88,100,0
2015-01-20,21:45:00,16.88,16.9,16.88,16.88,1900,0
2015-01-20,21:50:00,16.88,16.9,16.88,16.88,1114,0
2015-01-20,21:55:00,16.88,16.89,16.86,16.89,2100,0
2015-01-20,22:00:00,16.9,16.93,16.88,16.9,3783,0
2015-01-21,15:35:00,16.94,16.94,16.93,16.93,1100,0
2015-01-21,15:40:00,16.97,16.97,16.97,16.97,100,0
2015-01-21,15:45:00,16.95,16.95,16.95,16.95,1300,0
2015-01-21,15:55:00,16.96,16.99,16.95,16.95,450,0
2015-01-21,16:00:00,16.95,16.95,16.94,16.94,400,0
2015-01-21,16:05:00,16.93,16.93,16.93,16.93,100,0
2015-01-21,16:10:00,16.94,16.94,16.94,16.94,100,0
2015-01-21,16:15:00,16.95,16.95,16.95,16.95,300,0
2015-01-21,16:20:00,16.97,16.97,16.97,16.97,100,0
2015-01-21,16:25:00,16.98,16.98,16.98,16.98,200,0
2015-01-21,16:30:00,16.98,16.98,16.95,16.95,200,0
2015-01-21,16:35:00,16.95,16.95,16.95,16.95,702,0
2015-01-21,16:40:00,16.98,17.0,16.95,16.95,2900,0
2015-01-21,16:45:00,16.98,16.98,16.95,16.95,1700,0
2015-01-21,16:50:00,16.95,16.95,16.95,16.95,300,0
2015-01-21,16:55:00,16.94,16.95,16.93,16.95,1000,0
2015-01-21,17:00:00,16.96,16.96,16.96,16.96,100,0
2015-01-21,17:05:00,16.95,16.95,16.95,16.95,100,0
2015-01-21,17:10:00,16.95,16.95,16.9,16.9,500,0
2015-01-21,17:15:00,16.91,16.94,16.91,16.94,300,0
2015-01-21,17:25:00,16.93,16.93,16.91,16.92,300,0
2015-01-21,17:30:00,16.94,16.94,16.91,16.94,300,0
2015-01-21,17:40:00,16.95,16.95,16.94,16.94,1000,0
2015-01-21,17:45:00,16.91,16.94,16.9,16.94,800,0
2015-01-21,17:50:00,16.94,16.94,16.9,16.9,386,0
2015-01-21,17:55:00,16.95,16.95,16.92,16.95,1300,0
2015-01-21,18:00:00,16.95,16.95,16.95,16.95,200,0
2015-01-21,18:05:00,16.91,16.91,16.91,16.91,150,0
2015-01-21,18:10:00,16.95,16.95,16.95,16.95,200,0
2015-01-21,18:15:00,16.95,16.98,16.92,16.95,2821,0
2015-01-21,18:20:00,16.96,16.96,16.95,16.95,500,0
2015-01-21,18:25:00,16.96,16.96,16.95,16.95,600,0
2015-01-21,18:30:00,16.95,16.95,16.95,16.95,200,0
2015-01-21,18:40:00,16.96,16.96,16.95,16.95,400,0
2015-01-21,18:45:00,16.99,16.99,16.95,16.95,700,0
2015-01-21,18:55:00,16.96,16.96,16.96,16.96,100,0
2015-01-21,19:00:00,16.95,16.96,16.95,16.96,400,0
2015-01-21,19:05:00,16.98,16.98,16.98,16.98,3000,0
2015-01-21,19:10:00,16.99,16.99,16.99,16.99,300,0
2015-01-21,19:15:00,17.0,17.0,17.0,17.0,300,0
2015-01-21,19:20:00,16.99,16.99,16.99,16.99,100,0
2015-01-21,19:25:00,16.99,16.99,16.99,16.99,300,0
2015-01-21,19:35:00,16.99,17.0,16.99,17.0,2200,0
2015-01-21,19:40:00,16.99,16.99,16.99,16.99,100,0
2015-01-21,19:45:00,16.99,17.0,16.99,17.0,400,0
2015-01-21,19:50:00,17.0,17.0,17.0,17.0,900,0
2015-01-21,19:55:00,16.99,17.0,16.99,17.0,400,0
2015-01-21,20:00:00,17.0,17.0,16.99,17.0,2400,0
2015-01-21,20:05:00,17.0,17.0,17.0,17.0,600,0
2015-01-21,20:10:00,17.0,17.0,17.0,17.0,300,0
2015-01-21,20:15:00,17.0,17.0,17.0,17.0,2200,0
2015-01-21,20:20:00,17.0,17.0,17.0,17.0,200,0
2015-01-21,20:25:00,17.0,17.0,17.0,17.0,300,0
2015-01-21,20:35:00,17.0,17.0,17.0,17.0,200,0
2015-01-21,20:50:00,17.0,17.0,17.0,17.0,623,0
2015-01-21,20:55:00,17.0,17.0,16.99,16.99,300,0
2015-01-21,21:00:00,17.0,17.0,16.99,16.99,300,0
2015-01-21,21:05:00,16.99,17.0,16.93,16.99,5537,0
2015-01-21,21:15:00,16.98,16.98,16.94,16.96,1303,0
2015-01-21,21:20:00,16.97,16.97,16.97,16.97,200,0
2015-01-21,21:25:00,16.97,16.97,16.97,16.97,300,0
2015-01-21,21:35:00,16.97,16.97,16.97,16.97,600,0
2015-01-21,21:40:00,16.99,16.99,16.97,16.99,1970,0
