Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,43.79,43.85,43.71,43.74,36094,0
2015-02-03,16:55:00,43.74,43.75,43.56,43.58,111769,0
2015-02-03,17:00:00,43.58,43.62,43.4,43.42,37932,0
2015-02-03,17:05:00,43.4,43.57,43.39,43.47,31070,0
2015-02-03,17:10:00,43.46,43.63,43.43,43.58,48780,0
2015-02-03,17:15:00,43.6,43.66,43.53,43.61,32316,0
2015-02-03,17:20:00,43.61,43.62,43.52,43.61,26842,0
2015-02-03,17:25:00,43.63,43.77,43.63,43.76,40523,0
2015-02-03,17:30:00,43.78,43.9,43.78,43.8,44880,0
2015-02-03,17:35:00,43.8,43.85,43.76,43.77,63132,0
2015-02-03,17:40:00,43.74,43.76,43.69,43.7,27396,0
2015-02-03,17:45:00,43.7,43.75,43.59,43.7,32878,0
2015-02-03,17:50:00,43.72,43.73,43.57,43.64,35956,0
2015-02-03,17:55:00,43.64,43.66,43.49,43.51,36244,0
2015-02-03,18:00:00,43.52,43.54,43.47,43.47,84059,0
2015-02-03,18:05:00,43.46,43.49,43.39,43.47,34628,0
2015-02-03,18:10:00,43.5,43.5,43.45,43.48,19710,0
2015-02-03,18:15:00,43.47,43.55,43.42,43.53,35586,0
2015-02-03,18:20:00,43.52,43.55,43.46,43.48,14101,0
2015-02-03,18:25:00,43.48,43.53,43.45,43.46,16395,0
2015-02-03,18:30:00,43.46,43.52,43.44,43.44,20545,0
2015-02-03,18:35:00,43.43,43.45,43.38,43.42,16953,0
2015-02-03,18:40:00,43.42,43.5,43.4,43.45,21886,0
2015-02-03,18:45:00,43.46,43.56,43.46,43.56,23479,0
2015-02-03,18:50:00,43.56,43.58,43.52,43.56,32718,0
2015-02-03,18:55:00,43.55,43.62,43.54,43.61,31472,0
2015-02-03,19:00:00,43.62,43.69,43.54,43.58,44213,0
2015-02-03,19:05:00,43.57,43.67,43.57,43.64,19751,0
2015-02-03,19:10:00,43.63,43.65,43.57,43.65,26917,0
2015-02-03,19:15:00,43.64,43.76,43.59,43.72,65387,0
2015-02-03,19:20:00,43.71,43.74,43.65,43.72,26144,0
2015-02-03,19:25:00,43.73,43.91,43.73,43.84,59524,0
2015-02-03,19:30:00,43.83,43.86,43.72,43.73,27208,0
2015-02-03,19:35:00,43.75,43.79,43.68,43.71,34513,0
2015-02-03,19:40:00,43.72,43.8,43.71,43.71,27530,0
2015-02-03,19:45:00,43.7,43.79,43.7,43.78,17694,0
2015-02-03,19:50:00,43.77,43.79,43.73,43.74,18547,0
2015-02-03,19:55:00,43.74,43.79,43.67,43.77,30102,0
2015-02-03,20:00:00,43.76,43.92,43.75,43.92,36865,0
2015-02-03,20:05:00,43.91,44.02,43.89,43.98,51277,0
2015-02-03,20:10:00,43.98,43.98,43.88,43.91,29392,0
2015-02-03,20:15:00,43.91,43.95,43.88,43.91,33536,0
2015-02-03,20:20:00,43.91,43.93,43.81,43.81,16546,0
2015-02-03,20:25:00,43.81,43.84,43.78,43.78,23453,0
2015-02-03,20:30:00,43.79,43.79,43.72,43.72,18480,0
2015-02-03,20:35:00,43.74,43.76,43.7,43.72,20639,0
2015-02-03,20:40:00,43.71,43.71,43.64,43.71,28011,0
2015-02-03,20:45:00,43.7,43.76,43.68,43.76,36911,0
2015-02-03,20:50:00,43.76,43.79,43.72,43.76,35546,0
2015-02-03,20:55:00,43.75,43.76,43.73,43.75,22334,0
2015-02-03,21:00:00,43.76,43.84,43.76,43.84,24601,0
2015-02-03,21:05:00,43.85,43.88,43.81,43.86,22453,0
2015-02-03,21:10:00,43.86,43.89,43.81,43.89,32879,0
2015-02-03,21:15:00,43.89,43.92,43.87,43.92,48418,0
2015-02-03,21:20:00,43.92,43.92,43.88,43.88,32519,0
2015-02-03,21:25:00,43.88,43.92,43.88,43.9,48131,0
2015-02-03,21:30:00,43.9,43.92,43.89,43.9,90780,0
2015-02-03,21:35:00,43.9,43.92,43.87,43.88,74287,0
2015-02-03,21:40:00,43.87,43.94,43.85,43.91,67909,0
2015-02-03,21:45:00,43.91,44.01,43.91,44.01,67211,0
2015-02-03,21:50:00,43.99,44.02,43.97,44.0,84530,0
2015-02-03,21:55:00,44.0,44.02,43.94,43.95,117040,0
2015-02-03,22:00:00,43.95,43.95,43.9,43.93,696680,0
2015-02-04,15:35:00,43.83,43.84,43.68,43.75,14385,0
2015-02-04,15:40:00,43.71,43.94,43.71,43.9,15800,0
2015-02-04,15:45:00,43.94,44.03,43.83,43.93,13872,0
2015-02-04,15:50:00,43.94,43.98,43.83,43.88,15816,0
2015-02-04,15:55:00,43.89,43.93,43.78,43.87,14400,0
