Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:00:00,89.31,89.42,88.90,89.42,7200,0
2015-02-03,16:05:00,89.67,89.75,89.63,89.74,2700,0
2015-02-03,16:10:00,89.63,89.63,88.93,89.0,2500,0
2015-02-03,16:15:00,89.18,89.45,89.04,89.44,10349,0
2015-02-03,16:20:00,89.32,89.67,89.23,89.67,2700,0
2015-02-03,16:25:00,89.54,89.59,89.44,89.57,1300,0
2015-02-03,16:30:00,89.46,89.75,89.46,89.68,1300,0
2015-02-03,16:35:00,89.72,89.87,89.64,89.68,11186,0
2015-02-03,16:40:00,89.67,89.78,89.66,89.71,9310,0
2015-02-03,16:45:00,89.72,89.79,89.63,89.67,5100,0
2015-02-03,16:50:00,89.65,89.77,89.65,89.75,4300,0
2015-02-03,16:55:00,89.82,89.82,89.69,89.72,2900,0
2015-02-03,17:00:00,89.76,89.8,89.4,89.4,14900,0
2015-02-03,17:05:00,89.22,89.6,89.22,89.36,10080,0
2015-02-03,17:10:00,89.38,90.11,89.38,90.07,4100,0
2015-02-03,17:15:00,89.96,90.11,89.9,89.9,6600,0
2015-02-03,17:20:00,89.82,89.82,89.51,89.77,7840,0
2015-02-03,17:25:00,89.8,89.97,89.72,89.79,4321,0
2015-02-03,17:30:00,89.8,89.8,89.65,89.75,1500,0
2015-02-03,17:35:00,89.76,89.88,89.7,89.88,3200,0
2015-02-03,17:40:00,89.8,89.93,89.8,89.85,8100,0
2015-02-03,17:45:00,89.87,90.14,89.82,90.04,3600,0
2015-02-03,17:50:00,90.13,90.14,90.06,90.12,2800,0
2015-02-03,17:55:00,90.19,90.19,89.9,89.9,5700,0
2015-02-03,18:00:00,89.91,89.92,89.65,89.92,4100,0
2015-02-03,18:05:00,89.87,89.98,89.82,89.98,3892,0
2015-02-03,18:10:00,89.98,90.12,89.96,90.04,4100,0
2015-02-03,18:15:00,90.05,90.23,90.05,90.23,3501,0
2015-02-03,18:20:00,90.23,90.34,90.23,90.34,1300,0
2015-02-03,18:25:00,90.4,90.4,90.2,90.2,4112,0
2015-02-03,18:30:00,90.2,90.37,90.2,90.3,900,0
2015-02-03,18:35:00,90.25,90.25,90.11,90.11,3600,0
2015-02-03,18:40:00,90.21,90.38,90.15,90.15,3200,0
2015-02-03,18:45:00,90.18,90.29,90.14,90.29,3645,0
2015-02-03,18:50:00,90.29,90.33,90.26,90.3,1100,0
2015-02-03,18:55:00,90.3,90.49,90.25,90.49,6900,0
2015-02-03,19:00:00,90.46,90.46,90.36,90.36,1500,0
2015-02-03,19:05:00,90.36,90.45,90.33,90.45,2230,0
2015-02-03,19:10:00,90.42,90.43,90.33,90.33,600,0
2015-02-03,19:15:00,90.43,90.48,90.42,90.48,1200,0
2015-02-03,19:20:00,90.6,90.84,90.6,90.67,5000,0
2015-02-03,19:25:00,90.69,90.95,90.69,90.95,1500,0
2015-02-03,19:30:00,90.87,90.93,90.8,90.93,3100,0
2015-02-03,19:35:00,90.88,90.99,90.88,90.93,14947,0
2015-02-03,19:40:00,90.91,90.91,90.64,90.64,3318,0
2015-02-03,19:45:00,90.64,90.67,90.64,90.64,2750,0
2015-02-03,19:50:00,90.68,90.77,90.66,90.67,2300,0
2015-02-03,19:55:00,90.59,90.66,90.54,90.62,3800,0
2015-02-03,20:00:00,90.62,90.67,90.62,90.63,2100,0
2015-02-03,20:05:00,90.64,90.64,90.55,90.59,3000,0
2015-02-03,20:10:00,90.56,90.56,90.45,90.45,1200,0
2015-02-03,20:15:00,90.3,90.45,90.3,90.38,3900,0
2015-02-03,20:20:00,90.45,90.47,90.39,90.47,2000,0
2015-02-03,20:25:00,90.44,90.47,90.21,90.21,4400,0
2015-02-03,20:30:00,90.19,90.21,89.96,90.21,6780,0
2015-02-03,20:35:00,90.16,90.16,90.08,90.16,1800,0
2015-02-03,20:40:00,90.1,90.1,89.96,90.03,5600,0
2015-02-03,20:45:00,90.13,90.19,90.12,90.17,1700,0
2015-02-03,20:50:00,90.18,90.22,90.15,90.19,2500,0
2015-02-03,20:55:00,90.17,90.25,90.11,90.25,2700,0
2015-02-03,21:00:00,90.28,90.48,90.28,90.43,2128,0
2015-02-03,21:05:00,90.48,90.56,90.41,90.56,2200,0
2015-02-03,21:10:00,90.58,90.58,90.42,90.47,4214,0
2015-02-03,21:15:00,90.48,90.48,90.38,90.38,2200,0
2015-02-03,21:20:00,90.44,90.5,90.41,90.47,3400,0
2015-02-03,21:25:00,90.46,90.51,90.37,90.46,3800,0
2015-02-03,21:30:00,90.5,90.5,90.42,90.48,4900,0
2015-02-03,21:35:00,90.51,90.52,90.42,90.42,3680,0
2015-02-03,21:40:00,90.37,90.46,90.37,90.46,5000,0
2015-02-03,21:45:00,90.47,90.54,90.45,90.54,5200,0
2015-02-03,21:50:00,90.57,90.66,90.53,90.53,13508,0
2015-02-03,21:55:00,90.54,90.67,90.54,90.62,13415,0
2015-02-03,22:00:00,90.61,90.61,90.41,90.55,107610,0
2015-02-04,15:35:00,90.13,90.43,90.13,90.43,600,0
2015-02-04,15:40:00,90.3,90.45,90.27,90.27,2500,0
2015-02-04,15:45:00,90.25,90.75,90.25,90.73,3600,0
2015-02-04,15:50:00,90.59,90.74,90.34,90.68,2600,0
2015-02-04,15:55:00,90.46,90.77,90.38,90.64,1100,0
2015-02-04,16:00:00,90.77,90.88,90.54,90.88,12500,0
2015-02-04,16:05:00,90.82,90.94,90.69,90.71,5100,0
2015-02-04,16:10:00,90.74,90.79,90.5,90.59,4500,0
2015-02-04,16:15:00,90.56,90.69,90.53,90.55,6764,0
2015-02-04,16:20:00,90.64,90.8,90.58,90.71,6498,0
2015-02-04,16:25:00,90.79,90.82,90.67,90.69,3300,0
2015-02-04,16:30:00,90.79,90.84,90.54,90.81,6943,0
2015-02-04,16:35:00,90.73,90.81,90.58,90.81,2300,0
2015-02-04,16:40:00,90.87,90.87,90.47,90.62,4400,0
2015-02-04,16:45:00,90.65,90.69,90.59,90.66,3900,0
2015-02-04,16:50:00,90.65,90.72,90.46,90.51,3400,0
2015-02-04,16:55:00,90.48,90.51,90.25,90.25,1700,0
2015-02-04,17:00:00,90.38,90.53,90.38,90.46,2300,0
2015-02-04,17:05:00,90.39,90.49,90.31,90.45,6037,0
2015-02-04,17:15:00,90.35,90.43,90.32,90.42,6800,0
2015-02-04,17:20:00,90.48,90.49,90.4,90.42,2185,0
2015-02-04,17:25:00,90.39,90.45,90.36,90.36,1800,0
2015-02-04,17:30:00,90.49,90.67,90.49,90.64,1650,0
2015-02-04,17:35:00,90.61,90.65,90.61,90.64,4753,0
2015-02-04,17:40:00,90.64,90.64,90.6,90.62,1500,0
2015-02-04,17:45:00,90.56,90.6,90.56,90.6,1000,0
2015-02-04,17:50:00,90.51,90.64,90.51,90.63,4879,0
2015-02-04,17:55:00,90.62,90.62,90.59,90.61,1100,0
2015-02-04,18:00:00,90.53,90.6,90.49,90.6,2700,0
2015-02-04,18:05:00,90.59,90.59,90.49,90.57,2827,0
2015-02-04,18:10:00,90.61,90.61,90.61,90.61,900,0
2015-02-04,18:15:00,90.56,90.59,90.51,90.56,1800,0
2015-02-04,18:20:00,90.52,90.62,90.47,90.56,6427,0
2015-02-04,18:25:00,90.59,90.63,90.56,90.6,3200,0
2015-02-04,18:30:00,90.55,90.56,90.38,90.38,1800,0
2015-02-04,18:35:00,90.35,90.44,90.35,90.42,2400,0
2015-02-04,18:40:00,90.43,90.44,90.4,90.4,1300,0
2015-02-04,18:45:00,90.29,90.29,90.13,90.13,1950,0
2015-02-04,18:50:00,90.06,90.21,90.06,90.16,2100,0
2015-02-04,18:55:00,90.22,90.3,90.21,90.21,3200,0
2015-02-04,19:00:00,90.27,90.27,90.27,90.27,800,0
2015-02-04,19:05:00,90.2,90.26,90.19,90.26,1600,0
2015-02-04,19:10:00,90.24,90.24,90.12,90.17,3600,0
2015-02-04,19:15:00,90.18,90.22,90.12,90.14,4800,0
2015-02-04,19:20:00,90.12,90.22,90.12,90.21,2200,0
2015-02-04,19:25:00,90.17,90.17,90.17,90.17,300,0
2015-02-04,19:30:00,90.19,90.32,90.19,90.29,3900,0
2015-02-04,19:35:00,90.31,90.38,90.31,90.36,1600,0
2015-02-04,19:40:00,90.32,90.35,90.3,90.32,2200,0
2015-02-04,19:45:00,90.26,90.3,90.12,90.18,4000,0
2015-02-04,19:50:00,90.18,90.27,90.18,90.21,1500,0
2015-02-04,19:55:00,90.17,90.17,90.07,90.07,900,0
2015-02-04,20:00:00,90.04,90.04,89.99,89.99,1710,0
2015-02-04,20:05:00,90.0,90.19,90.0,90.16,3700,0
2015-02-04,20:10:00,90.16,90.16,90.01,90.01,5300,0
2015-02-04,20:15:00,89.96,90.05,89.93,90.03,5404,0
2015-02-04,20:20:00,90.02,90.13,90.02,90.12,4440,0
2015-02-04,20:25:00,90.12,90.21,90.0,90.0,4304,0
2015-02-04,20:30:00,90.06,90.12,90.06,90.06,3700,0
2015-02-04,20:35:00,90.0,90.0,89.92,89.92,2300,0
2015-02-04,20:40:00,89.97,90.08,89.97,90.06,5708,0
2015-02-04,20:45:00,90.05,90.11,90.03,90.07,3600,0
2015-02-04,20:50:00,90.11,90.11,90.02,90.11,4500,0
2015-02-04,20:55:00,90.1,90.11,89.99,89.99,4000,0
2015-02-04,21:00:00,90.04,90.04,89.94,89.96,2700,0
2015-02-04,21:05:00,89.97,90.0,89.92,90.0,8512,0
2015-02-04,21:10:00,90.05,90.13,90.01,90.11,11220,0
2015-02-04,21:15:00,90.1,90.23,90.1,90.23,3729,0
2015-02-04,21:20:00,90.26,90.29,90.18,90.19,3289,0
2015-02-04,21:25:00,90.18,90.21,90.1,90.1,8200,0
2015-02-04,21:30:00,90.08,90.13,90.02,90.02,5500,0
2015-02-04,21:35:00,90.09,90.24,90.09,90.11,7337,0
2015-02-04,21:40:00,90.11,90.21,89.88,89.88,14443,0
2015-02-04,21:45:00,89.88,89.91,89.74,89.78,4032,0
2015-02-04,21:50:00,89.86,89.88,89.65,89.72,8107,0
2015-02-04,21:55:00,89.7,89.76,89.63,89.69,9600,0
2015-02-04,22:00:00,89.68,89.76,89.63,89.71,127828,0
2015-02-05,15:35:00,89.84,90.35,89.84,90.35,4700,0
2015-02-05,15:40:00,90.37,90.42,90.22,90.33,3500,0
2015-02-05,15:45:00,90.19,90.26,90.17,90.26,2200,0
2015-02-05,15:50:00,90.49,90.49,90.2,90.34,7600,0
2015-02-05,15:55:00,90.34,90.69,90.34,90.69,1012,0
2015-02-05,16:00:00,90.6,90.63,90.57,90.6,2877,0
2015-02-05,16:05:00,90.67,90.76,90.54,90.54,9365,0
2015-02-05,16:10:00,90.79,90.87,90.78,90.87,2314,0
2015-02-05,16:15:00,90.78,90.78,90.57,90.76,5600,0
2015-02-05,16:20:00,90.8,91.0,90.77,90.99,4300,0
2015-02-05,16:25:00,91.0,91.06,90.84,90.84,2500,0
2015-02-05,16:30:00,90.95,90.96,90.95,90.96,400,0
2015-02-05,16:35:00,90.87,90.96,90.81,90.81,2800,0
2015-02-05,16:40:00,90.8,91.23,90.8,91.23,2900,0
2015-02-05,16:45:00,91.19,91.27,91.1,91.27,2800,0
2015-02-05,16:50:00,91.32,91.56,91.24,91.56,5400,0
2015-02-05,16:55:00,91.51,91.53,91.27,91.29,4100,0
2015-02-05,17:00:00,91.25,91.29,91.18,91.18,2300,0
2015-02-05,17:05:00,91.16,91.23,90.97,90.97,6900,0
2015-02-05,17:10:00,90.92,91.01,90.92,90.94,2200,0
2015-02-05,17:15:00,91.0,91.09,91.0,91.0,8015,0
2015-02-05,17:20:00,91.03,91.03,90.91,90.95,3000,0
2015-02-05,17:25:00,90.95,91.23,90.88,91.09,5896,0
2015-02-05,17:30:00,91.1,91.1,90.98,90.98,2300,0
2015-02-05,17:35:00,91.1,91.25,91.1,91.15,4000,0
2015-02-05,17:40:00,91.22,91.22,91.15,91.15,500,0
2015-02-05,17:45:00,91.22,91.22,91.07,91.15,4400,0
2015-02-05,17:50:00,91.21,91.27,91.15,91.27,2300,0
2015-02-05,17:55:00,91.27,91.44,91.24,91.35,3188,0
2015-02-05,18:00:00,91.32,91.54,91.31,91.54,3600,0
2015-02-05,18:05:00,91.36,91.46,91.36,91.45,2030,0
2015-02-05,18:10:00,91.45,91.52,91.45,91.45,2700,0
2015-02-05,18:15:00,91.45,91.52,91.43,91.44,7594,0
2015-02-05,18:20:00,91.44,91.5,91.37,91.37,2600,0
2015-02-05,18:25:00,91.38,91.4,91.37,91.4,900,0
2015-02-05,18:30:00,91.46,91.54,91.43,91.47,1900,0
2015-02-05,18:35:00,91.56,91.71,91.56,91.71,1600,0
2015-02-05,18:40:00,91.67,91.7,91.67,91.68,1600,0
2015-02-05,18:45:00,91.66,91.71,91.59,91.7,14106,0
2015-02-05,18:50:00,91.61,91.77,91.57,91.67,3700,0
2015-02-05,18:55:00,91.69,91.69,91.46,91.47,3300,0
2015-02-05,19:00:00,91.38,91.46,91.38,91.46,300,0
2015-02-05,19:05:00,91.55,91.61,91.51,91.61,5396,0
2015-02-05,19:10:00,91.66,91.71,91.66,91.71,700,0
2015-02-05,19:15:00,91.72,91.79,91.72,91.76,3200,0
2015-02-05,19:20:00,91.78,91.85,91.75,91.85,2605,0
2015-02-05,19:25:00,91.82,91.86,91.79,91.79,3400,0
2015-02-05,19:30:00,91.76,91.8,91.73,91.8,600,0
2015-02-05,19:35:00,91.79,91.8,91.74,91.74,1300,0
2015-02-05,19:40:00,91.74,91.75,91.53,91.57,15550,0
2015-02-05,19:45:00,91.6,91.61,91.47,91.61,2000,0
2015-02-05,19:50:00,91.64,91.7,91.64,91.7,1500,0
2015-02-05,19:55:00,91.69,91.69,91.48,91.48,6100,0
2015-02-05,20:00:00,91.5,91.65,91.46,91.54,3500,0
2015-02-05,20:05:00,91.57,91.61,91.43,91.51,2700,0
2015-02-05,20:10:00,91.42,91.56,91.38,91.49,6600,0
2015-02-05,20:15:00,91.5,91.69,91.5,91.61,2500,0
2015-02-05,20:20:00,91.64,91.64,91.37,91.38,3892,0
2015-02-05,20:25:00,91.34,91.48,91.34,91.4,4700,0
2015-02-05,20:30:00,91.37,91.37,91.13,91.26,2800,0
2015-02-05,20:35:00,91.21,91.3,91.21,91.26,2200,0
2015-02-05,20:40:00,91.3,91.3,91.21,91.25,2500,0
2015-02-05,20:45:00,91.28,91.3,91.23,91.3,1800,0
2015-02-05,20:50:00,91.31,91.4,91.29,91.39,4600,0
2015-02-05,20:55:00,91.36,91.38,91.32,91.35,3000,0
2015-02-05,21:00:00,91.36,91.39,91.28,91.33,4050,0
2015-02-05,21:05:00,91.38,91.38,91.25,91.3,3100,0
2015-02-05,21:10:00,91.36,91.39,91.34,91.35,3700,0
2015-02-05,21:15:00,91.33,91.35,91.28,91.35,4100,0
2015-02-05,21:20:00,91.38,91.41,91.27,91.29,5400,0
2015-02-05,21:25:00,91.29,91.33,91.19,91.19,10600,0
2015-02-05,21:30:00,91.2,91.32,91.2,91.27,6480,0
2015-02-05,21:35:00,91.26,91.4,91.26,91.27,5247,0
2015-02-05,21:40:00,91.26,91.56,91.26,91.56,7300,0
2015-02-05,21:45:00,91.59,91.68,91.51,91.68,7500,0
2015-02-05,21:50:00,91.69,91.79,91.66,91.74,11452,0
2015-02-05,21:55:00,91.75,91.83,91.62,91.78,19714,0
2015-02-05,22:00:00,91.77,91.77,91.39,91.45,74534,0
2015-02-06,15:35:00,91.43,91.43,91.43,91.43,8155,0
2015-02-06,15:40:00,91.24,91.69,91.24,91.41,6300,0
2015-02-06,15:45:00,91.52,91.87,91.45,91.75,7802,0
2015-02-06,15:50:00,91.71,92.17,91.71,91.92,4566,0
2015-02-06,15:55:00,91.93,92.18,91.81,92.18,7500,0
2015-02-06,16:00:00,92.19,92.2,91.81,91.89,7750,0
2015-02-06,16:05:00,91.95,92.13,91.85,92.1,3613,0
2015-02-06,16:10:00,92.06,92.07,91.81,91.95,2900,0
2015-02-06,16:15:00,91.95,92.02,91.91,91.92,2300,0
2015-02-06,16:20:00,92.01,92.05,91.92,92.05,1500,0
2015-02-06,16:25:00,92.05,92.07,91.79,91.88,5975,0
2015-02-06,16:30:00,91.85,91.92,91.75,91.78,3600,0
2015-02-06,16:35:00,91.76,91.8,91.58,91.58,2800,0
2015-02-06,16:40:00,91.57,91.6,91.45,91.52,7100,0
2015-02-06,16:45:00,91.54,91.54,91.43,91.45,2100,0
2015-02-06,16:50:00,91.49,91.67,91.49,91.6,2600,0
2015-02-06,16:55:00,91.55,91.55,91.2,91.27,6800,0
2015-02-06,17:00:00,91.25,91.29,91.25,91.29,300,0
2015-02-06,17:05:00,91.24,91.29,91.06,91.06,4360,0
2015-02-06,17:10:00,91.06,91.26,91.06,91.26,2505,0
2015-02-06,17:15:00,91.17,91.39,91.17,91.33,3200,0
2015-02-06,17:20:00,91.42,91.46,91.39,91.39,900,0
2015-02-06,17:25:00,91.44,91.53,91.4,91.51,2400,0
2015-02-06,17:30:00,91.58,91.68,91.54,91.55,2400,0
2015-02-06,17:35:00,91.67,91.67,91.54,91.58,2900,0
2015-02-06,17:40:00,91.53,91.53,91.27,91.27,3700,0
2015-02-06,17:45:00,91.2,91.24,91.02,91.12,4852,0
2015-02-06,17:50:00,91.1,91.13,90.92,91.06,9000,0
2015-02-06,17:55:00,91.14,91.14,91.03,91.05,4005,0
2015-02-06,18:00:00,91.04,91.4,91.04,91.4,8648,0
2015-02-06,18:05:00,91.4,91.4,91.28,91.36,6476,0
2015-02-06,18:10:00,91.37,91.44,91.37,91.44,1700,0
2015-02-06,18:15:00,91.45,91.54,91.38,91.47,4400,0
2015-02-06,18:20:00,91.47,91.48,91.41,91.41,2000,0
2015-02-06,18:25:00,91.42,91.43,91.28,91.28,3500,0
2015-02-06,18:30:00,91.29,91.35,91.27,91.29,1600,0
2015-02-06,18:35:00,91.3,91.34,91.3,91.3,1200,0
2015-02-06,18:40:00,91.34,91.43,91.34,91.36,2100,0
2015-02-06,18:45:00,91.35,91.35,91.12,91.12,1900,0
2015-02-06,18:50:00,90.99,91.15,90.99,91.12,3100,0
2015-02-06,18:55:00,91.12,91.13,91.05,91.13,2100,0
2015-02-06,19:00:00,91.17,91.28,91.17,91.27,1600,0
2015-02-06,19:05:00,91.34,91.37,91.3,91.35,3200,0
2015-02-06,19:10:00,91.25,91.25,91.07,91.07,2000,0
2015-02-06,19:15:00,91.13,91.17,91.13,91.17,2100,0
2015-02-06,19:20:00,91.12,91.12,90.78,90.79,6935,0
2015-02-06,19:25:00,90.78,90.8,90.62,90.62,3200,0
2015-02-06,19:30:00,90.59,90.62,90.48,90.55,4100,0
2015-02-06,19:35:00,90.62,90.63,90.62,90.62,1100,0
2015-02-06,19:40:00,90.7,90.7,90.54,90.54,8500,0
2015-02-06,19:45:00,90.52,90.8,90.49,90.79,3200,0
2015-02-06,19:50:00,90.74,90.74,90.74,90.74,500,0
2015-02-06,19:55:00,90.76,90.92,90.76,90.92,1900,0
2015-02-06,20:00:00,91.0,91.13,91.0,91.09,2800,0
2015-02-06,20:05:00,91.04,91.08,90.94,90.98,1900,0
2015-02-06,20:10:00,91.0,91.0,90.92,90.94,1600,0
2015-02-06,20:15:00,90.85,90.96,90.82,90.82,3300,0
2015-02-06,20:20:00,90.83,90.93,90.83,90.93,2200,0
2015-02-06,20:25:00,90.92,91.07,90.91,91.07,1700,0
2015-02-06,20:30:00,91.0,91.13,91.0,91.13,1620,0
2015-02-06,20:35:00,91.07,91.09,90.92,91.0,4150,0
2015-02-06,20:40:00,91.04,91.07,91.0,91.0,2800,0
2015-02-06,20:45:00,91.0,91.05,90.94,91.05,1200,0
2015-02-06,20:50:00,91.08,91.08,90.82,90.88,5145,0
2015-02-06,20:55:00,90.87,90.95,90.87,90.88,3550,0
2015-02-06,21:00:00,90.88,90.9,90.83,90.85,3000,0
2015-02-06,21:05:00,90.81,90.83,90.61,90.61,6310,0
2015-02-06,21:10:00,90.57,90.85,90.57,90.77,6860,0
2015-02-06,21:15:00,90.71,90.82,90.64,90.76,6300,0
2015-02-06,21:20:00,90.7,90.76,90.63,90.72,3200,0
2015-02-06,21:25:00,90.68,90.82,90.66,90.77,6603,0
2015-02-06,21:30:00,90.83,90.85,90.72,90.73,2665,0
2015-02-06,21:35:00,90.73,90.87,90.65,90.87,4200,0
2015-02-06,21:40:00,90.88,90.93,90.82,90.9,7449,0
2015-02-06,21:45:00,90.89,90.89,90.78,90.78,6400,0
2015-02-06,21:50:00,90.76,90.76,90.69,90.69,5400,0
2015-02-06,21:55:00,90.67,90.84,90.67,90.84,10465,0
2015-02-06,22:00:00,90.84,90.98,90.7,90.98,98779,0
2015-02-09,15:35:00,90.24,90.94,90.24,90.58,1560,0
2015-02-09,15:40:00,90.6,91.05,90.6,91.05,7200,0
2015-02-09,15:45:00,91.09,91.42,90.98,91.41,12999,0
2015-02-09,15:50:00,91.37,91.48,91.29,91.39,12403,0
2015-02-09,15:55:00,91.47,91.48,90.74,90.8,8130,0
2015-02-09,16:00:00,90.83,90.92,90.81,90.86,3220,0
2015-02-09,16:05:00,90.87,90.99,90.77,90.94,1285,0
2015-02-09,16:10:00,90.92,90.99,90.82,90.82,1500,0
2015-02-09,16:15:00,90.76,90.86,90.65,90.76,4680,0
2015-02-09,16:20:00,90.88,90.88,90.42,90.42,6961,0
2015-02-09,16:25:00,90.51,90.56,90.4,90.43,4562,0
2015-02-09,16:30:00,90.51,90.51,90.26,90.4,2500,0
2015-02-09,16:35:00,90.29,90.31,90.17,90.17,4200,0
2015-02-09,16:40:00,90.3,90.39,90.27,90.35,7600,0
2015-02-09,16:45:00,90.19,90.32,90.18,90.3,1244,0
2015-02-09,16:50:00,90.2,90.2,89.84,90.06,15600,0
2015-02-09,16:55:00,90.42,90.42,90.39,90.4,1000,0
2015-02-09,17:00:00,90.41,90.41,89.91,89.97,13140,0
2015-02-09,17:05:00,89.89,89.95,89.64,89.71,11000,0
2015-02-09,17:10:00,89.71,89.86,89.62,89.86,9122,0
2015-02-09,17:15:00,89.9,90.11,89.9,90.09,2312,0
2015-02-09,17:20:00,90.0,90.29,89.99,90.23,3600,0
2015-02-09,17:25:00,90.4,90.55,90.4,90.55,1700,0
2015-02-09,17:30:00,90.62,90.75,90.58,90.75,4100,0
2015-02-09,17:35:00,90.74,90.78,90.58,90.67,4055,0
2015-02-09,17:40:00,90.8,90.8,90.75,90.75,300,0
2015-02-09,17:45:00,90.84,90.84,90.44,90.44,12192,0
2015-02-09,17:50:00,90.41,90.42,90.24,90.24,5600,0
