Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,6.25,6.28,6.25,6.27,19205,0
2015-02-03,16:55:00,6.27,6.28,6.24,6.25,20973,0
2015-02-03,17:00:00,6.28,6.32,6.26,6.28,52259,0
2015-02-03,17:05:00,6.28,6.29,6.21,6.22,48989,0
2015-02-03,17:10:00,6.22,6.27,6.21,6.27,24774,0
2015-02-03,17:15:00,6.27,6.3,6.25,6.27,19949,0
2015-02-03,17:20:00,6.26,6.31,6.25,6.29,35164,0
2015-02-03,17:25:00,6.29,6.31,6.25,6.31,23591,0
2015-02-03,17:30:00,6.31,6.31,6.24,6.27,23962,0
2015-02-03,17:35:00,6.26,6.3,6.26,6.29,14150,0
2015-02-03,17:40:00,6.28,6.28,6.24,6.25,18600,0
2015-02-03,17:45:00,6.25,6.32,6.24,6.3,41224,0
2015-02-03,17:50:00,6.3,6.32,6.27,6.31,18750,0
2015-02-03,17:55:00,6.31,6.33,6.29,6.29,26200,0
2015-02-03,18:00:00,6.29,6.34,6.29,6.31,25250,0
2015-02-03,18:05:00,6.3,6.3,6.25,6.26,27430,0
2015-02-03,18:10:00,6.26,6.27,6.21,6.22,29399,0
2015-02-03,18:15:00,6.24,6.27,6.22,6.23,36811,0
2015-02-03,18:20:00,6.23,6.29,6.23,6.29,13900,0
2015-02-03,18:25:00,6.29,6.32,6.29,6.29,12750,0
2015-02-03,18:30:00,6.28,6.34,6.28,6.3,29192,0
2015-02-03,18:35:00,6.3,6.32,6.28,6.31,18752,0
2015-02-03,18:40:00,6.32,6.33,6.3,6.32,19540,0
2015-02-03,18:45:00,6.33,6.33,6.28,6.3,62159,0
2015-02-03,18:50:00,6.33,6.34,6.3,6.31,9000,0
2015-02-03,18:55:00,6.32,6.35,6.31,6.33,20495,0
2015-02-03,19:00:00,6.34,6.35,6.33,6.34,21968,0
2015-02-03,19:05:00,6.34,6.36,6.33,6.35,19899,0
2015-02-03,19:10:00,6.35,6.36,6.33,6.35,8181,0
2015-02-03,19:15:00,6.35,6.39,6.34,6.37,57213,0
2015-02-03,19:20:00,6.36,6.37,6.35,6.35,11279,0
2015-02-03,19:25:00,6.35,6.38,6.35,6.38,19439,0
2015-02-03,19:30:00,6.38,6.4,6.37,6.39,13998,0
2015-02-03,19:35:00,6.39,6.41,6.38,6.38,24164,0
2015-02-03,19:40:00,6.38,6.38,6.33,6.34,9933,0
2015-02-03,19:45:00,6.35,6.35,6.33,6.34,34869,0
2015-02-03,19:50:00,6.34,6.34,6.3,6.31,41359,0
2015-02-03,19:55:00,6.3,6.33,6.3,6.32,28700,0
2015-02-03,20:00:00,6.32,6.32,6.3,6.32,17077,0
2015-02-03,20:05:00,6.32,6.32,6.31,6.31,40765,0
2015-02-03,20:10:00,6.31,6.33,6.26,6.27,62592,0
2015-02-03,20:15:00,6.27,6.29,6.26,6.26,14106,0
2015-02-03,20:20:00,6.26,6.28,6.23,6.23,25487,0
2015-02-03,20:25:00,6.23,6.24,6.18,6.19,34491,0
2015-02-03,20:30:00,6.18,6.2,6.14,6.17,63302,0
2015-02-03,20:35:00,6.18,6.18,6.13,6.14,39173,0
2015-02-03,20:40:00,6.14,6.16,6.13,6.16,34312,0
2015-02-03,20:45:00,6.15,6.19,6.14,6.18,35863,0
2015-02-03,20:50:00,6.18,6.18,6.13,6.15,31947,0
2015-02-03,20:55:00,6.16,6.19,6.15,6.18,20477,0
2015-02-03,21:00:00,6.19,6.24,6.19,6.24,9800,0
2015-02-03,21:05:00,6.25,6.28,6.24,6.27,20455,0
2015-02-03,21:10:00,6.27,6.28,6.26,6.28,27788,0
2015-02-03,21:15:00,6.28,6.28,6.25,6.27,20008,0
2015-02-03,21:20:00,6.26,6.27,6.24,6.27,11261,0
2015-02-03,21:25:00,6.27,6.29,6.26,6.29,18300,0
2015-02-03,21:30:00,6.29,6.3,6.25,6.26,35375,0
2015-02-03,21:35:00,6.26,6.29,6.25,6.26,52172,0
2015-02-03,21:40:00,6.26,6.27,6.24,6.27,18900,0
2015-02-03,21:45:00,6.26,6.29,6.26,6.28,34358,0
2015-02-03,21:50:00,6.29,6.3,6.26,6.27,57944,0
2015-02-03,21:55:00,6.28,6.28,6.26,6.27,66712,0
2015-02-03,22:00:00,6.27,6.28,6.25,6.26,184313,0
2015-02-04,15:35:00,6.04,6.08,5.93,6.04,55284,0
2015-02-04,15:40:00,6.06,6.12,6.01,6.08,35550,0
2015-02-04,15:45:00,6.11,6.18,6.08,6.18,23847,0
2015-02-04,15:50:00,6.16,6.16,6.05,6.09,6959,0
2015-02-04,15:55:00,6.1,6.11,6.02,6.06,17550,0
2015-02-04,16:00:00,6.04,6.13,6.02,6.13,7601,0
2015-02-04,16:05:00,6.14,6.18,6.13,6.17,18492,0
2015-02-04,16:10:00,6.16,6.24,6.14,6.14,16387,0
2015-02-04,16:15:00,6.13,6.16,6.08,6.1,13884,0
2015-02-04,16:20:00,6.1,6.1,6.05,6.06,8150,0
2015-02-04,16:25:00,6.06,6.13,6.06,6.13,17250,0
2015-02-04,16:30:00,6.11,6.11,6.08,6.09,9900,0
2015-02-04,16:35:00,6.07,6.07,5.96,6.05,34000,0
2015-02-04,16:40:00,6.05,6.05,5.99,6.05,8062,0
2015-02-04,16:45:00,6.04,6.12,6.03,6.12,9500,0
2015-02-04,16:50:00,6.12,6.18,6.12,6.18,39528,0
2015-02-04,16:55:00,6.18,6.2,6.14,6.18,52078,0
2015-02-04,17:00:00,6.17,6.24,6.17,6.24,10500,0
2015-02-04,17:05:00,6.21,6.21,6.13,6.16,6980,0
2015-02-04,17:10:00,6.15,6.2,6.13,6.2,7896,0
2015-02-04,17:15:00,6.19,6.2,6.16,6.2,13458,0
2015-02-04,17:20:00,6.19,6.3,6.19,6.21,27273,0
2015-02-04,17:25:00,6.19,6.22,6.18,6.22,5350,0
2015-02-04,17:30:00,6.21,6.24,6.18,6.2,26124,0
2015-02-04,17:35:00,6.23,6.24,6.2,6.23,5500,0
2015-02-04,17:40:00,6.23,6.24,6.2,6.23,18350,0
2015-02-04,17:45:00,6.2,6.21,6.18,6.18,7400,0
2015-02-04,17:50:00,6.17,6.17,6.13,6.17,3550,0
2015-02-04,17:55:00,6.16,6.18,6.13,6.15,6850,0
2015-02-04,18:00:00,6.13,6.13,6.09,6.09,4300,0
2015-02-04,18:05:00,6.1,6.13,6.1,6.13,8887,0
2015-02-04,18:10:00,6.12,6.12,6.11,6.11,3900,0
2015-02-04,18:15:00,6.1,6.12,6.09,6.09,14860,0
2015-02-04,18:20:00,6.09,6.13,6.08,6.11,7728,0
2015-02-04,18:25:00,6.12,6.16,6.12,6.16,3100,0
2015-02-04,18:30:00,6.16,6.16,6.08,6.08,5600,0
2015-02-04,18:35:00,6.08,6.13,6.08,6.12,10008,0
2015-02-04,18:40:00,6.09,6.1,6.07,6.09,3704,0
2015-02-04,18:45:00,6.1,6.12,6.06,6.07,15276,0
2015-02-04,18:50:00,6.09,6.15,6.08,6.14,9715,0
2015-02-04,18:55:00,6.15,6.19,6.14,6.14,12600,0
2015-02-04,19:00:00,6.14,6.16,6.12,6.12,6600,0
2015-02-04,19:05:00,6.13,6.17,6.1,6.16,10800,0
2015-02-04,19:10:00,6.16,6.17,6.12,6.14,4189,0
2015-02-04,19:15:00,6.12,6.13,6.11,6.12,8700,0
2015-02-04,19:20:00,6.11,6.13,6.11,6.12,7489,0
2015-02-04,19:25:00,6.12,6.18,6.11,6.18,8350,0
2015-02-04,19:30:00,6.17,6.2,6.15,6.19,27425,0
2015-02-04,19:35:00,6.2,6.2,6.15,6.19,12765,0
2015-02-04,19:40:00,6.19,6.21,6.17,6.2,12332,0
2015-02-04,19:45:00,6.2,6.22,6.19,6.22,25058,0
2015-02-04,19:50:00,6.22,6.22,6.19,6.2,14950,0
2015-02-04,19:55:00,6.2,6.22,6.19,6.22,15803,0
2015-02-04,20:00:00,6.22,6.23,6.19,6.22,18667,0
2015-02-04,20:05:00,6.22,6.23,6.2,6.21,17650,0
2015-02-04,20:10:00,6.21,6.23,6.16,6.17,65850,0
2015-02-04,20:15:00,6.16,6.17,6.08,6.09,37235,0
2015-02-04,20:20:00,6.09,6.09,6.0,6.02,45858,0
2015-02-04,20:25:00,6.03,6.1,6.02,6.07,21280,0
2015-02-04,20:30:00,6.08,6.12,6.07,6.07,8067,0
2015-02-04,20:35:00,6.09,6.12,6.08,6.08,10100,0
2015-02-04,20:40:00,6.08,6.14,6.08,6.14,7571,0
2015-02-04,20:45:00,6.15,6.19,6.14,6.17,19250,0
2015-02-04,20:50:00,6.16,6.21,6.16,6.21,24066,0
2015-02-04,20:55:00,6.21,6.27,6.19,6.26,72925,0
2015-02-04,21:00:00,6.26,6.29,6.25,6.26,12200,0
2015-02-04,21:05:00,6.26,6.26,6.21,6.23,8650,0
2015-02-04,21:10:00,6.22,6.25,6.22,6.23,10100,0
2015-02-04,21:15:00,6.23,6.24,6.2,6.24,7500,0
2015-02-04,21:20:00,6.24,6.3,6.24,6.29,29546,0
2015-02-04,21:25:00,6.3,6.32,6.28,6.32,11870,0
2015-02-04,21:30:00,6.32,6.32,6.28,6.3,11588,0
2015-02-04,21:35:00,6.31,6.35,6.31,6.34,16159,0
2015-02-04,21:40:00,6.34,6.35,6.28,6.29,32972,0
2015-02-04,21:45:00,6.29,6.29,6.25,6.25,44586,0
2015-02-04,21:50:00,6.25,6.26,6.22,6.26,15918,0
2015-02-04,21:55:00,6.25,6.26,6.22,6.24,57307,0
2015-02-04,22:00:00,6.24,6.26,6.23,6.24,168920,0
2015-02-05,15:35:00,6.47,6.88,6.38,6.88,126965,0
2015-02-05,15:40:00,6.85,6.85,6.57,6.59,82294,0
2015-02-05,15:45:00,6.6,6.6,6.47,6.55,67099,0
2015-02-05,15:50:00,6.55,6.66,6.55,6.64,45470,0
2015-02-05,15:55:00,6.66,6.73,6.65,6.69,36718,0
2015-02-05,16:00:00,6.7,6.8,6.69,6.74,34134,0
2015-02-05,16:05:00,6.71,6.93,6.71,6.92,103842,0
2015-02-05,16:10:00,6.91,7.09,6.89,7.05,136456,0
2015-02-05,16:15:00,7.05,7.14,7.02,7.09,78933,0
2015-02-05,16:20:00,7.08,7.17,7.08,7.1,66850,0
2015-02-05,16:25:00,7.09,7.11,6.93,6.94,76956,0
2015-02-05,16:30:00,6.93,6.93,6.86,6.87,51630,0
2015-02-05,16:35:00,6.86,6.92,6.81,6.91,58940,0
2015-02-05,16:40:00,6.9,6.98,6.9,6.96,36161,0
2015-02-05,16:45:00,6.97,7.01,6.94,6.98,49640,0
2015-02-05,16:50:00,7.0,7.04,6.97,7.01,22057,0
2015-02-05,16:55:00,7.01,7.03,6.98,6.98,26578,0
2015-02-05,17:00:00,6.96,7.0,6.96,6.99,14185,0
2015-02-05,17:05:00,7.0,7.04,6.99,7.04,18030,0
2015-02-05,17:10:00,7.04,7.06,7.02,7.03,25997,0
2015-02-05,17:15:00,7.04,7.05,6.96,6.99,21467,0
2015-02-05,17:20:00,6.99,7.01,6.96,6.96,17350,0
2015-02-05,17:25:00,6.97,7.08,6.97,7.04,49052,0
2015-02-05,17:30:00,7.04,7.08,7.04,7.07,22132,0
2015-02-05,17:35:00,7.07,7.09,7.05,7.07,29000,0
2015-02-05,17:40:00,7.07,7.13,7.06,7.12,33809,0
2015-02-05,17:45:00,7.13,7.14,7.07,7.12,19118,0
2015-02-05,17:50:00,7.14,7.15,7.11,7.13,18204,0
2015-02-05,17:55:00,7.14,7.23,7.14,7.21,110755,0
2015-02-05,18:00:00,7.22,7.28,7.21,7.23,104426,0
2015-02-05,18:05:00,7.22,7.22,7.18,7.2,27568,0
2015-02-05,18:10:00,7.19,7.19,7.11,7.12,23735,0
2015-02-05,18:15:00,7.12,7.13,7.08,7.13,21900,0
2015-02-05,18:20:00,7.14,7.16,7.11,7.11,24848,0
2015-02-05,18:25:00,7.11,7.17,7.08,7.1,78511,0
2015-02-05,18:30:00,7.1,7.1,7.0,7.0,23162,0
2015-02-05,18:35:00,7.01,7.05,7.0,7.04,22615,0
2015-02-05,18:40:00,7.04,7.08,7.01,7.03,20557,0
2015-02-05,18:45:00,7.05,7.08,7.05,7.08,10600,0
2015-02-05,18:50:00,7.07,7.07,7.02,7.04,10900,0
2015-02-05,18:55:00,7.05,7.05,7.0,7.01,14310,0
2015-02-05,19:00:00,7.01,7.02,6.99,7.0,14142,0
2015-02-05,19:05:00,7.0,7.01,6.92,6.94,41272,0
2015-02-05,19:10:00,6.94,6.97,6.94,6.97,13148,0
2015-02-05,19:15:00,6.96,7.04,6.96,7.04,43725,0
2015-02-05,19:20:00,7.06,7.08,6.99,6.99,14600,0
2015-02-05,19:25:00,6.99,7.0,6.95,6.99,33000,0
2015-02-05,19:30:00,7.0,7.06,7.0,7.06,32500,0
2015-02-05,19:35:00,7.07,7.08,7.03,7.05,20500,0
2015-02-05,19:40:00,7.05,7.07,7.03,7.04,12241,0
2015-02-05,19:45:00,7.04,7.06,7.03,7.05,36790,0
2015-02-05,19:50:00,7.05,7.07,7.04,7.07,30400,0
2015-02-05,19:55:00,7.08,7.14,7.08,7.11,29991,0
2015-02-05,20:00:00,7.11,7.13,7.1,7.1,49060,0
2015-02-05,20:05:00,7.1,7.1,7.07,7.1,33610,0
2015-02-05,20:10:00,7.11,7.22,7.11,7.19,69281,0
2015-02-05,20:15:00,7.19,7.23,7.17,7.22,39231,0
2015-02-05,20:20:00,7.22,7.26,7.21,7.23,31510,0
2015-02-05,20:25:00,7.24,7.26,7.16,7.17,61654,0
2015-02-05,20:30:00,7.17,7.21,7.14,7.21,49180,0
2015-02-05,20:35:00,7.21,7.23,7.19,7.21,23280,0
2015-02-05,20:40:00,7.21,7.24,7.14,7.17,56887,0
2015-02-05,20:45:00,7.18,7.18,7.08,7.12,99840,0
2015-02-05,20:50:00,7.1,7.15,7.03,7.11,65248,0
2015-02-05,20:55:00,7.12,7.18,7.12,7.16,31770,0
2015-02-05,21:00:00,7.16,7.16,7.14,7.16,8597,0
2015-02-05,21:05:00,7.16,7.25,7.15,7.22,79543,0
2015-02-05,21:10:00,7.22,7.24,7.19,7.24,72137,0
2015-02-05,21:15:00,7.25,7.25,7.2,7.21,24608,0
2015-02-05,21:20:00,7.2,7.26,7.19,7.23,37316,0
2015-02-05,21:25:00,7.24,7.28,7.22,7.28,36761,0
2015-02-05,21:30:00,7.27,7.3,7.27,7.29,53437,0
