Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,5.32,5.33,5.28,5.30,50932,0
2015-02-03,16:55:00,5.29,5.3,5.27,5.3,39993,0
2015-02-03,17:00:00,5.3,5.31,5.28,5.28,64339,0
2015-02-03,17:05:00,5.27,5.27,5.19,5.19,50255,0
2015-02-03,17:10:00,5.18,5.22,5.14,5.22,98648,0
2015-02-03,17:15:00,5.22,5.28,5.22,5.22,34551,0
2015-02-03,17:20:00,5.22,5.27,5.2,5.27,85773,0
2015-02-03,17:25:00,5.28,5.29,5.22,5.24,68392,0
2015-02-03,17:30:00,5.24,5.24,5.15,5.17,108218,0
2015-02-03,17:35:00,5.18,5.2,5.14,5.2,87852,0
2015-02-03,17:40:00,5.2,5.2,5.08,5.09,71768,0
2015-02-03,17:45:00,5.09,5.21,5.09,5.17,89062,0
2015-02-03,17:50:00,5.18,5.24,5.17,5.24,33308,0
2015-02-03,17:55:00,5.24,5.3,5.23,5.29,91895,0
2015-02-03,18:00:00,5.29,5.34,5.27,5.31,78493,0
2015-02-03,18:05:00,5.3,5.3,5.24,5.25,45884,0
2015-02-03,18:10:00,5.25,5.27,5.2,5.22,24316,0
2015-02-03,18:15:00,5.21,5.26,5.19,5.24,39649,0
2015-02-03,18:20:00,5.22,5.23,5.19,5.21,62984,0
2015-02-03,18:25:00,5.22,5.25,5.19,5.2,137096,0
2015-02-03,18:30:00,5.2,5.22,5.2,5.21,39400,0
2015-02-03,18:35:00,5.22,5.24,5.2,5.24,35343,0
2015-02-03,18:40:00,5.23,5.25,5.2,5.24,84290,0
2015-02-03,18:45:00,5.23,5.32,5.23,5.3,119099,0
2015-02-03,18:50:00,5.32,5.39,5.25,5.29,118046,0
2015-02-03,18:55:00,5.29,5.33,5.24,5.31,74717,0
2015-02-03,19:00:00,5.32,5.38,5.29,5.3,52500,0
2015-02-03,19:05:00,5.3,5.34,5.29,5.33,51901,0
2015-02-03,19:10:00,5.31,5.34,5.31,5.32,40199,0
2015-02-03,19:15:00,5.32,5.4,5.31,5.37,54658,0
2015-02-03,19:20:00,5.37,5.38,5.35,5.36,51785,0
2015-02-03,19:25:00,5.36,5.4,5.33,5.39,95476,0
2015-02-03,19:30:00,5.4,5.44,5.39,5.41,74036,0
2015-02-03,19:35:00,5.41,5.45,5.37,5.44,75275,0
2015-02-03,19:40:00,5.44,5.47,5.36,5.4,155512,0
2015-02-03,19:45:00,5.4,5.48,5.4,5.46,49683,0
2015-02-03,19:50:00,5.47,5.49,5.43,5.47,100291,0
2015-02-03,19:55:00,5.47,5.5,5.36,5.45,132650,0
2015-02-03,20:00:00,5.47,5.48,5.42,5.47,48150,0
2015-02-03,20:05:00,5.47,5.6,5.46,5.58,146204,0
2015-02-03,20:10:00,5.6,5.62,5.54,5.57,84000,0
2015-02-03,20:15:00,5.57,5.6,5.48,5.53,56820,0
2015-02-03,20:20:00,5.54,5.59,5.41,5.48,71809,0
2015-02-03,20:25:00,5.48,5.5,5.37,5.38,79313,0
2015-02-03,20:30:00,5.38,5.42,5.27,5.32,94558,0
2015-02-03,20:35:00,5.32,5.35,5.27,5.28,84600,0
2015-02-03,20:40:00,5.28,5.32,5.2,5.32,44723,0
2015-02-03,20:45:00,5.31,5.35,5.3,5.34,109084,0
2015-02-03,20:50:00,5.35,5.36,5.33,5.35,62564,0
