Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,19:20:00,15.11,15.11,15.09,15.09,2325,0
2015-01-08,19:25:00,15.09,15.1,15.09,15.1,231,0
2015-01-08,19:30:00,15.12,15.12,15.12,15.12,100,0
2015-01-08,19:45:00,15.11,15.11,15.11,15.11,620,0
2015-01-08,20:00:00,15.11,15.11,15.07,15.07,820,0
2015-01-08,20:50:00,15.11,15.11,15.11,15.11,620,0
2015-01-08,20:55:00,15.12,15.12,15.12,15.12,400,0
2015-01-08,21:10:00,15.09,15.09,15.09,15.09,400,0
2015-01-08,21:15:00,15.11,15.11,15.11,15.11,480,0
2015-01-08,21:20:00,15.11,15.11,15.09,15.11,1070,0
2015-01-08,21:35:00,15.11,15.11,15.09,15.09,300,0
2015-01-08,21:40:00,15.11,15.11,15.1,15.11,900,0
2015-01-08,21:45:00,15.11,15.12,15.11,15.12,400,0
2015-01-08,21:50:00,15.12,15.12,15.12,15.12,600,0
2015-01-08,21:55:00,15.13,15.15,15.13,15.15,1100,0
2015-01-08,22:00:00,15.15,15.17,15.11,15.16,3946,0
2015-01-09,15:40:00,15.13,15.13,15.07,15.08,4122,0
2015-01-09,15:45:00,15.07,15.09,15.05,15.05,1320,0
2015-01-09,15:50:00,15.05,15.05,15.03,15.03,400,0
2015-01-09,15:55:00,15.03,15.03,15.03,15.03,2700,0
2015-01-09,16:00:00,15.07,15.07,15.02,15.02,500,0
2015-01-09,16:05:00,15.02,15.04,15.02,15.04,600,0
2015-01-09,16:10:00,15.02,15.03,15.02,15.02,400,0
2015-01-09,16:15:00,15.02,15.03,15.02,15.03,834,0
2015-01-09,16:20:00,15.04,15.05,15.03,15.04,3764,0
2015-01-09,16:25:00,15.02,15.02,15.02,15.02,100,0
2015-01-09,16:30:00,15.02,15.02,15.02,15.02,200,0
2015-01-09,16:35:00,15.03,15.03,14.98,15.01,866,0
2015-01-09,16:40:00,14.99,14.99,14.99,14.99,300,0
2015-01-09,16:45:00,14.98,14.98,14.96,14.96,300,0
2015-01-09,16:50:00,14.98,14.98,14.95,14.95,625,0
2015-01-09,16:55:00,14.96,14.96,14.96,14.96,200,0
2015-01-09,17:00:00,14.98,14.98,14.96,14.96,300,0
2015-01-09,17:05:00,14.96,14.96,14.95,14.95,600,0
2015-01-09,17:10:00,14.96,14.96,14.95,14.95,700,0
2015-01-09,17:15:00,14.95,14.95,14.94,14.94,1100,0
2015-01-09,17:20:00,14.92,14.92,14.92,14.92,100,0
2015-01-09,17:25:00,14.92,14.92,14.92,14.92,300,0
2015-01-09,17:30:00,14.92,14.92,14.92,14.92,200,0
2015-01-09,17:35:00,14.93,14.93,14.93,14.93,200,0
2015-01-09,17:40:00,14.93,14.95,14.93,14.95,2420,0
2015-01-09,17:50:00,14.97,15.01,14.97,15.01,400,0
2015-01-09,17:55:00,14.96,14.96,14.96,14.96,200,0
2015-01-09,18:00:00,14.96,14.96,14.96,14.96,200,0
2015-01-09,18:05:00,14.96,14.96,14.96,14.96,200,0
2015-01-09,18:10:00,14.96,14.97,14.96,14.97,600,0
2015-01-09,18:20:00,14.98,14.98,14.98,14.98,824,0
2015-01-09,18:30:00,14.97,14.97,14.97,14.97,100,0
2015-01-09,18:35:00,14.97,14.97,14.97,14.97,200,0
2015-01-09,18:40:00,14.96,14.96,14.96,14.96,200,0
2015-01-09,18:45:00,14.96,14.96,14.96,14.96,300,0
2015-01-09,18:50:00,14.96,14.97,14.96,14.97,500,0
2015-01-09,18:55:00,14.97,14.97,14.96,14.96,500,0
2015-01-09,19:20:00,14.98,14.98,14.98,14.98,690,0
2015-01-09,19:25:00,14.98,14.98,14.97,14.97,251,0
2015-01-09,19:45:00,14.99,14.99,14.99,14.99,130,0
2015-01-09,19:55:00,14.99,14.99,14.99,14.99,300,0
2015-01-09,20:25:00,14.98,14.98,14.98,14.98,200,0
2015-01-09,20:40:00,14.98,14.99,14.98,14.99,200,0
2015-01-09,21:10:00,15.02,15.02,15.02,15.02,300,0
2015-01-09,21:15:00,15.03,15.03,15.03,15.03,330,0
2015-01-09,22:00:00,14.98,15.01,14.98,15.01,500,0
2015-01-12,15:35:00,14.81,14.81,14.81,14.81,100,0
2015-01-12,15:40:00,14.84,14.86,14.83,14.83,3910,0
2015-01-12,15:45:00,14.82,14.85,14.76,14.84,3700,0
2015-01-12,15:50:00,14.83,14.83,14.8,14.8,900,0
2015-01-12,15:55:00,14.8,14.82,14.79,14.8,2117,0
2015-01-12,16:00:00,14.8,14.8,14.78,14.78,400,0
2015-01-12,16:05:00,14.78,14.78,14.78,14.78,400,0
2015-01-12,16:10:00,14.78,14.8,14.78,14.8,900,0
2015-01-12,16:15:00,14.8,14.81,14.8,14.8,504,0
2015-01-12,16:20:00,14.81,14.84,14.81,14.84,1200,0
2015-01-12,16:25:00,14.83,14.84,14.83,14.83,1600,0
2015-01-12,16:30:00,14.83,14.83,14.83,14.83,100,0
2015-01-12,16:35:00,14.83,14.84,14.83,14.84,2100,0
2015-01-12,16:40:00,14.84,14.84,14.84,14.84,400,0
2015-01-12,16:50:00,14.84,14.85,14.84,14.85,300,0
2015-01-12,16:55:00,14.85,14.86,14.85,14.86,6025,0
2015-01-12,17:00:00,14.86,14.86,14.85,14.85,380,0
2015-01-12,17:05:00,14.86,14.93,14.86,14.93,600,0
2015-01-12,17:10:00,14.95,14.95,14.93,14.95,1617,0
2015-01-12,17:15:00,14.94,14.94,14.89,14.91,811,0
2015-01-12,17:20:00,14.91,14.91,14.91,14.91,300,0
2015-01-12,17:30:00,14.89,14.89,14.89,14.89,200,0
2015-01-12,17:35:00,14.88,14.88,14.88,14.88,100,0
2015-01-12,17:45:00,14.89,14.93,14.89,14.93,200,0
2015-01-12,17:55:00,14.86,14.86,14.86,14.86,100,0
2015-01-12,18:05:00,14.9,14.9,14.9,14.9,100,0
2015-01-12,18:10:00,14.92,14.94,14.88,14.88,2295,0
2015-01-12,18:15:00,14.87,14.87,14.87,14.87,100,0
2015-01-12,18:25:00,14.89,14.89,14.89,14.89,100,0
2015-01-12,18:30:00,14.88,14.88,14.88,14.88,2752,0
2015-01-12,19:00:00,14.89,14.89,14.89,14.89,1000,0
2015-01-12,19:05:00,14.89,14.92,14.86,14.92,2500,0
2015-01-12,19:30:00,14.86,14.86,14.86,14.86,1000,0
2015-01-12,19:55:00,14.87,14.88,14.87,14.88,923,0
2015-01-12,20:10:00,14.88,14.9,14.88,14.9,1039,0
2015-01-12,20:20:00,14.9,14.9,14.85,14.89,2227,0
2015-01-12,20:25:00,14.87,14.92,14.87,14.9,2175,0
2015-01-12,21:30:00,14.84,14.84,14.84,14.84,900,0
2015-01-12,21:40:00,14.86,14.86,14.86,14.86,390,0
2015-01-12,21:45:00,14.86,14.9,14.86,14.9,2066,0
2015-01-12,21:55:00,14.88,14.88,14.88,14.88,300,0
2015-01-12,22:00:00,14.91,14.91,14.86,14.9,700,0
2015-01-13,15:35:00,14.99,15.02,14.99,15.01,1100,0
2015-01-13,15:40:00,15.04,15.04,15.04,15.04,500,0
2015-01-13,15:45:00,15.05,15.05,15.04,15.04,700,0
2015-01-13,15:50:00,15.04,15.06,15.02,15.02,3350,0
2015-01-13,15:55:00,14.99,14.99,14.99,14.99,200,0
2015-01-13,16:00:00,15.0,15.0,15.0,15.0,400,0
2015-01-13,16:05:00,15.01,15.01,15.01,15.01,100,0
