Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:35:00,98.25,98.25,98.04,98.04,2600,0
2015-02-03,16:40:00,98.09,98.13,97.93,98.13,6402,0
2015-02-03,16:45:00,98.13,98.13,97.94,98.0,13326,0
2015-02-03,16:50:00,97.96,98.09,97.68,97.75,6083,0
2015-02-03,16:55:00,97.75,97.78,97.64,97.69,3000,0
2015-02-03,17:00:00,97.66,97.66,97.52,97.6,3753,0
2015-02-03,17:05:00,97.74,98.13,97.74,98.13,7144,0
2015-02-03,17:10:00,98.07,98.44,98.05,98.44,4300,0
2015-02-03,17:15:00,98.4,98.4,98.3,98.39,3800,0
2015-02-03,17:20:00,98.47,98.63,98.47,98.59,2600,0
2015-02-03,17:25:00,98.57,98.57,98.46,98.48,1905,0
2015-02-03,17:30:00,98.44,98.52,98.4,98.41,5600,0
2015-02-03,17:35:00,98.41,98.41,98.34,98.34,4200,0
2015-02-03,17:40:00,98.29,98.34,98.28,98.34,2600,0
2015-02-03,17:45:00,98.47,98.59,98.47,98.59,2300,0
2015-02-03,17:50:00,98.66,98.66,98.55,98.57,3700,0
2015-02-03,17:55:00,98.54,98.54,98.35,98.36,4163,0
2015-02-03,18:00:00,98.29,98.29,98.09,98.13,1000,0
2015-02-03,18:05:00,98.12,98.15,98.07,98.15,5400,0
2015-02-03,18:10:00,98.17,98.4,98.17,98.4,1800,0
2015-02-03,18:15:00,98.35,98.55,98.35,98.55,2200,0
2015-02-03,18:20:00,98.5,98.6,98.5,98.6,1600,0
2015-02-03,18:25:00,98.64,98.69,98.54,98.54,4100,0
2015-02-03,18:30:00,98.5,98.5,98.36,98.36,1200,0
2015-02-03,18:35:00,98.35,98.54,98.35,98.53,5500,0
2015-02-03,18:40:00,98.5,98.61,98.45,98.48,5600,0
2015-02-03,18:45:00,98.51,98.58,98.42,98.54,8047,0
2015-02-03,18:50:00,98.64,98.64,98.51,98.51,2800,0
2015-02-03,18:55:00,98.44,98.46,98.39,98.46,1500,0
2015-02-03,19:00:00,98.5,98.56,98.48,98.48,2492,0
2015-02-03,19:05:00,98.52,98.59,98.51,98.59,2810,0
2015-02-03,19:10:00,98.64,98.7,98.64,98.69,1200,0
2015-02-03,19:15:00,98.66,98.68,98.59,98.68,3300,0
2015-02-03,19:20:00,98.67,98.75,98.67,98.75,900,0
2015-02-03,19:25:00,98.78,98.94,98.78,98.92,3400,0
2015-02-03,19:30:00,98.92,98.92,98.85,98.86,1900,0
2015-02-03,19:35:00,98.84,98.98,98.84,98.98,1900,0
2015-02-03,19:40:00,99.08,99.27,99.07,99.13,10200,0
2015-02-03,19:45:00,99.09,99.09,99.03,99.03,2200,0
2015-02-03,19:50:00,99.13,99.17,99.12,99.12,1700,0
2015-02-03,19:55:00,99.07,99.23,99.07,99.23,9000,0
2015-02-03,20:00:00,99.24,99.31,99.24,99.25,5404,0
2015-02-03,20:05:00,99.25,99.27,99.13,99.13,3300,0
2015-02-03,20:10:00,99.11,99.11,98.86,98.86,5475,0
2015-02-03,20:15:00,98.87,98.87,98.77,98.77,1700,0
2015-02-03,20:20:00,98.79,98.88,98.79,98.8,3573,0
2015-02-03,20:25:00,98.77,98.89,98.74,98.89,2200,0
2015-02-03,20:30:00,98.83,98.83,98.69,98.7,4440,0
2015-02-03,20:35:00,98.75,98.87,98.75,98.87,3152,0
2015-02-03,20:40:00,98.84,98.89,98.81,98.86,3600,0
2015-02-03,20:45:00,98.97,98.97,98.9,98.9,1800,0
2015-02-03,20:50:00,98.88,98.94,98.85,98.94,5432,0
2015-02-03,20:55:00,98.92,98.94,98.89,98.93,3300,0
2015-02-03,21:00:00,98.98,99.06,98.96,99.02,7640,0
2015-02-03,21:05:00,99.05,99.05,98.97,99.0,4600,0
2015-02-03,21:10:00,99.07,99.07,98.94,99.02,5475,0
2015-02-03,21:15:00,99.01,99.03,98.95,99.03,4268,0
2015-02-03,21:20:00,99.1,99.1,98.97,98.97,3704,0
2015-02-03,21:25:00,98.98,99.11,98.98,99.11,2400,0
2015-02-03,21:30:00,99.13,99.2,99.09,99.2,4310,0
2015-02-03,21:35:00,99.23,99.23,99.15,99.15,4800,0
2015-02-03,21:40:00,99.1,99.22,99.1,99.22,4224,0
2015-02-03,21:45:00,99.19,99.3,99.18,99.25,9756,0
2015-02-03,21:50:00,99.27,99.31,99.26,99.28,8155,0
2015-02-03,21:55:00,99.29,99.41,99.27,99.41,15003,0
2015-02-03,22:00:00,99.41,99.44,99.28,99.37,89350,0
2015-02-04,15:35:00,98.32,98.76,98.32,98.56,21756,0
2015-02-04,15:40:00,98.98,98.98,98.74,98.74,1700,0
2015-02-04,15:45:00,98.74,98.8,98.35,98.49,6000,0
2015-02-04,15:50:00,98.35,98.56,98.27,98.54,5600,0
2015-02-04,15:55:00,98.55,98.62,98.41,98.59,12700,0
2015-02-04,16:00:00,98.7,99.0,98.67,98.98,6500,0
2015-02-04,16:05:00,98.98,99.03,98.82,98.92,11180,0
2015-02-04,16:10:00,98.91,98.91,98.73,98.73,1700,0
2015-02-04,16:15:00,98.75,98.86,98.67,98.75,6200,0
2015-02-04,16:20:00,98.72,98.72,98.6,98.71,4048,0
2015-02-04,16:25:00,98.75,98.82,98.71,98.71,2100,0
2015-02-04,16:30:00,98.74,98.93,98.71,98.93,5900,0
2015-02-04,16:35:00,99.04,99.35,99.01,99.02,8500,0
2015-02-04,16:40:00,98.98,99.0,98.92,98.96,2700,0
2015-02-04,16:45:00,99.21,99.6,99.21,99.55,2400,0
2015-02-04,16:50:00,99.48,99.54,99.39,99.5,2600,0
2015-02-04,16:55:00,99.55,99.55,99.44,99.51,1800,0
2015-02-04,17:00:00,99.5,99.53,99.45,99.49,2000,0
2015-02-04,17:05:00,99.44,99.52,99.34,99.52,3500,0
2015-02-04,17:10:00,99.5,99.68,99.5,99.62,7683,0
2015-02-04,17:15:00,99.59,99.6,99.45,99.56,4100,0
2015-02-04,17:20:00,99.51,99.57,99.4,99.52,3308,0
2015-02-04,17:25:00,99.58,99.6,99.52,99.6,3200,0
2015-02-04,17:30:00,99.67,99.77,99.67,99.7,1900,0
2015-02-04,17:35:00,99.7,99.75,99.7,99.71,1700,0
2015-02-04,17:40:00,99.8,99.82,99.73,99.82,2698,0
2015-02-04,17:45:00,99.82,99.82,99.77,99.8,2200,0
2015-02-04,17:50:00,99.71,99.77,99.71,99.73,3875,0
2015-02-04,17:55:00,99.72,99.74,99.67,99.67,1500,0
2015-02-04,18:00:00,99.74,99.81,99.72,99.75,2300,0
2015-02-04,18:05:00,99.84,99.87,99.8,99.85,2774,0
2015-02-04,18:10:00,99.81,99.85,99.8,99.85,1300,0
2015-02-04,18:15:00,99.88,99.88,99.84,99.88,600,0
2015-02-04,18:20:00,99.94,99.94,99.87,99.87,800,0
2015-02-04,18:25:00,99.87,99.87,99.76,99.76,1900,0
2015-02-04,18:30:00,99.83,99.87,99.74,99.74,2076,0
2015-02-04,18:35:00,99.71,99.94,99.7,99.94,4534,0
2015-02-04,18:40:00,99.96,100.1,99.96,100.09,7286,0
2015-02-04,18:45:00,100.06,100.14,100.02,100.06,2300,0
2015-02-04,18:50:00,100.04,100.04,100.04,100.04,300,0
2015-02-04,18:55:00,100.04,100.06,100.03,100.03,1400,0
2015-02-04,19:00:00,100.07,100.09,100.03,100.06,3800,0
2015-02-04,19:05:00,100.06,100.11,100.04,100.11,2200,0
2015-02-04,19:10:00,100.16,100.16,100.08,100.15,1966,0
2015-02-04,19:15:00,100.18,100.24,100.12,100.12,1900,0
2015-02-04,19:20:00,100.11,100.24,100.11,100.24,2300,0
2015-02-04,19:25:00,100.15,100.23,100.15,100.23,2170,0
2015-02-04,19:30:00,100.2,100.25,100.2,100.23,700,0
2015-02-04,19:35:00,100.28,100.43,100.28,100.41,5802,0
2015-02-04,19:40:00,100.37,100.46,100.34,100.45,7500,0
2015-02-04,19:45:00,100.47,100.51,100.39,100.45,18050,0
2015-02-04,19:50:00,100.42,100.47,100.28,100.28,12700,0
2015-02-04,19:55:00,100.25,100.34,100.16,100.24,8700,0
2015-02-04,20:00:00,100.23,100.23,100.16,100.19,2200,0
2015-02-04,20:05:00,100.19,100.29,100.19,100.29,3200,0
2015-02-04,20:10:00,100.37,100.37,100.15,100.15,2700,0
2015-02-04,20:15:00,100.14,100.14,99.96,99.96,7642,0
2015-02-04,20:20:00,99.96,99.97,99.93,99.93,2600,0
2015-02-04,20:25:00,99.93,100.04,99.93,100.04,2900,0
2015-02-04,20:30:00,100.14,100.14,100.08,100.08,1600,0
2015-02-04,20:35:00,100.09,100.14,99.94,99.94,4250,0
2015-02-04,20:40:00,100.0,100.0,99.96,99.96,1600,0
2015-02-04,20:45:00,99.96,99.96,99.87,99.95,900,0
2015-02-04,20:50:00,99.89,100.0,99.89,100.0,1400,0
2015-02-04,20:55:00,100.0,100.0,99.95,99.96,3200,0
2015-02-04,21:00:00,99.98,100.03,99.8,99.85,4754,0
2015-02-04,21:05:00,99.79,99.82,99.69,99.69,2400,0
2015-02-04,21:10:00,99.77,99.98,99.77,99.94,3500,0
2015-02-04,21:15:00,99.96,99.96,99.74,99.81,1500,0
2015-02-04,21:20:00,99.92,99.92,99.85,99.88,1400,0
2015-02-04,21:25:00,99.91,99.99,99.88,99.99,3024,0
