Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,20:00:00,27.98,28.00,27.91,28.00,12012,0
2015-02-02,20:05:00,28.0,28.08,28.0,28.08,1800,0
2015-02-02,20:10:00,28.18,28.18,28.13,28.13,1700,0
2015-02-02,20:15:00,28.11,28.13,28.11,28.13,1794,0
2015-02-02,20:20:00,28.08,28.13,28.08,28.12,900,0
2015-02-02,20:25:00,28.14,28.14,28.14,28.14,500,0
2015-02-02,20:30:00,28.06,28.12,28.03,28.03,1300,0
2015-02-02,20:35:00,28.09,28.09,27.99,28.0,1700,0
2015-02-02,20:40:00,28.02,28.02,27.89,27.89,2100,0
2015-02-02,20:45:00,27.91,27.92,27.89,27.91,900,0
2015-02-02,20:50:00,27.9,27.9,27.81,27.81,3000,0
2015-02-02,20:55:00,27.84,28.0,27.84,28.0,3100,0
2015-02-02,21:00:00,27.98,28.02,27.95,28.0,4500,0
2015-02-02,21:05:00,28.02,28.12,28.02,28.1,1800,0
2015-02-02,21:15:00,28.13,28.13,28.07,28.11,1200,0
2015-02-02,21:20:00,28.07,28.13,28.03,28.03,1970,0
2015-02-02,21:25:00,28.0,28.13,28.0,28.07,3900,0
2015-02-02,21:30:00,28.11,28.11,28.07,28.11,700,0
2015-02-02,21:35:00,28.01,28.04,27.93,27.94,7100,0
2015-02-02,21:40:00,27.96,28.04,27.96,28.04,3600,0
2015-02-02,21:45:00,28.06,28.13,28.05,28.13,4300,0
2015-02-02,21:50:00,28.06,28.24,28.06,28.1,9797,0
2015-02-02,21:55:00,28.07,28.13,28.07,28.13,3600,0
2015-02-02,22:00:00,28.13,28.28,28.08,28.26,38876,0
2015-02-03,15:35:00,28.31,28.57,28.31,28.56,4300,0
2015-02-03,15:40:00,28.4,28.53,28.39,28.53,1800,0
2015-02-03,15:45:00,28.38,28.48,28.3,28.3,700,0
2015-02-03,15:50:00,28.38,28.38,28.19,28.28,1200,0
2015-02-03,15:55:00,28.43,28.45,28.15,28.32,3390,0
2015-02-03,16:00:00,28.31,28.31,28.03,28.16,2225,0
2015-02-03,16:05:00,28.18,28.18,28.03,28.03,900,0
2015-02-03,16:10:00,28.11,28.18,27.93,28.08,1700,0
2015-02-03,16:15:00,27.99,28.05,27.92,28.03,1200,0
2015-02-03,16:20:00,28.05,28.12,27.9,28.0,1700,0
2015-02-03,16:25:00,27.91,27.98,27.9,27.9,2250,0
2015-02-03,16:30:00,27.9,28.13,27.9,28.11,6237,0
2015-02-03,16:35:00,28.12,28.12,27.81,27.82,2800,0
2015-02-03,16:40:00,27.81,28.1,27.75,27.97,9368,0
2015-02-03,16:45:00,28.05,28.05,27.75,27.75,2000,0
2015-02-03,16:50:00,27.74,27.74,27.54,27.54,1600,0
2015-02-03,16:55:00,27.52,27.66,27.46,27.63,3700,0
2015-02-03,17:00:00,27.67,27.8,27.58,27.74,2739,0
2015-02-03,17:05:00,27.74,27.77,27.62,27.62,600,0
2015-02-03,17:10:00,27.77,27.78,27.7,27.72,1000,0
2015-02-03,17:15:00,27.75,27.79,27.69,27.76,3200,0
2015-02-03,17:20:00,27.76,27.93,27.75,27.92,3300,0
2015-02-03,17:25:00,27.93,27.94,27.83,27.83,1400,0
2015-02-03,17:30:00,27.84,27.9,27.75,27.83,1400,0
2015-02-03,17:35:00,27.81,28.09,27.76,27.96,14059,0
2015-02-03,17:40:00,27.95,28.24,27.9,28.18,16898,0
2015-02-03,17:45:00,28.23,28.23,28.16,28.18,500,0
2015-02-03,17:50:00,28.14,28.14,28.06,28.14,400,0
2015-02-03,17:55:00,28.07,28.1,28.0,28.1,7200,0
2015-02-03,18:00:00,28.03,28.14,28.01,28.01,5600,0
2015-02-03,18:05:00,28.01,28.1,28.01,28.01,600,0
2015-02-03,18:10:00,28.03,28.03,28.02,28.02,700,0
2015-02-03,18:15:00,28.02,28.06,28.01,28.01,1000,0
2015-02-03,18:20:00,28.02,28.03,28.02,28.03,1100,0
2015-02-03,18:25:00,28.01,28.09,27.97,28.0,9307,0
2015-02-03,18:30:00,28.0,28.02,28.0,28.01,1400,0
2015-02-03,18:35:00,28.05,28.06,28.0,28.0,500,0
2015-02-03,18:40:00,28.0,28.02,27.95,27.99,6800,0
2015-02-03,18:45:00,28.0,28.05,28.0,28.05,1600,0
2015-02-03,18:50:00,28.05,28.12,28.01,28.03,2100,0
2015-02-03,18:55:00,27.99,27.99,27.95,27.96,1400,0
2015-02-03,19:00:00,28.0,28.03,27.92,27.99,2700,0
2015-02-03,19:05:00,27.9,28.01,27.9,28.0,2800,0
2015-02-03,19:10:00,28.01,28.02,27.98,28.01,5900,0
2015-02-03,19:15:00,27.96,28.01,27.95,28.01,3600,0
2015-02-03,19:20:00,28.0,28.02,27.99,28.0,6916,0
2015-02-03,19:25:00,27.98,27.98,27.96,27.98,6300,0
2015-02-03,19:30:00,27.95,27.97,27.93,27.93,1300,0
2015-02-03,19:35:00,27.93,28.04,27.93,28.0,8494,0
2015-02-03,19:40:00,28.02,28.07,28.0,28.07,2800,0
2015-02-03,19:45:00,28.07,28.07,28.01,28.04,1400,0
2015-02-03,19:50:00,28.04,28.08,28.01,28.05,1900,0
2015-02-03,19:55:00,28.09,28.16,28.09,28.09,1400,0
2015-02-03,20:00:00,28.09,28.11,28.03,28.03,3500,0
2015-02-03,20:05:00,28.04,28.17,28.04,28.17,3300,0
2015-02-03,20:10:00,28.11,28.12,28.05,28.12,1300,0
2015-02-03,20:15:00,28.04,28.1,27.95,28.0,4900,0
2015-02-03,20:20:00,28.0,28.11,28.0,28.0,3360,0
2015-02-03,20:25:00,28.03,28.12,28.0,28.04,5100,0
2015-02-03,20:30:00,28.03,28.08,28.0,28.0,4286,0
2015-02-03,20:35:00,28.05,28.05,28.05,28.05,400,0
2015-02-03,20:40:00,28.04,28.05,28.02,28.05,1700,0
2015-02-03,20:45:00,28.12,28.17,28.12,28.17,1300,0
2015-02-03,20:50:00,28.24,28.24,28.22,28.24,1100,0
2015-02-03,20:55:00,28.2,28.24,28.2,28.24,5200,0
2015-02-03,21:00:00,28.24,28.24,28.2,28.24,4662,0
2015-02-03,21:05:00,28.24,28.24,28.22,28.22,2700,0
2015-02-03,21:10:00,28.22,28.22,28.22,28.22,1000,0
2015-02-03,21:15:00,28.21,28.24,28.21,28.22,1106,0
2015-02-03,21:20:00,28.24,28.24,28.21,28.24,4976,0
2015-02-03,21:25:00,28.24,28.25,28.23,28.25,3100,0
2015-02-03,21:30:00,28.25,28.28,28.25,28.27,1412,0
2015-02-03,21:35:00,28.29,28.33,28.27,28.27,2400,0
2015-02-03,21:40:00,28.26,28.32,28.26,28.29,1500,0
2015-02-03,21:45:00,28.28,28.32,28.28,28.29,2600,0
2015-02-03,21:50:00,28.36,28.4,28.3,28.34,8884,0
2015-02-03,21:55:00,28.35,28.47,28.34,28.41,7164,0
2015-02-03,22:00:00,28.43,28.43,28.28,28.35,35255,0
2015-02-04,15:35:00,28.18,28.22,28.05,28.06,4000,0
2015-02-04,15:40:00,27.95,27.95,27.63,27.84,2000,0
2015-02-04,15:45:00,27.52,27.77,27.52,27.55,1600,0
2015-02-04,15:50:00,27.67,27.77,27.63,27.75,4053,0
2015-02-04,15:55:00,27.74,27.74,27.47,27.63,3700,0
2015-02-04,16:00:00,27.57,27.65,27.47,27.62,4400,0
2015-02-04,16:05:00,27.66,27.81,27.66,27.67,1600,0
2015-02-04,16:10:00,27.72,27.83,27.65,27.83,1100,0
2015-02-04,16:15:00,27.79,27.8,27.71,27.71,900,0
2015-02-04,16:20:00,27.69,27.77,27.6,27.62,7421,0
2015-02-04,16:25:00,27.63,28.01,27.61,27.84,25259,0
2015-02-04,16:30:00,27.86,27.97,27.86,27.97,3700,0
2015-02-04,16:35:00,27.87,27.92,27.84,27.86,3618,0
2015-02-04,16:40:00,27.82,27.82,27.67,27.7,2000,0
2015-02-04,16:45:00,27.7,27.73,27.67,27.73,1300,0
2015-02-04,16:50:00,27.73,27.73,27.53,27.53,2400,0
2015-02-04,16:55:00,27.58,27.58,27.47,27.49,1800,0
2015-02-04,17:00:00,27.5,27.5,27.47,27.47,1900,0
2015-02-04,17:05:00,27.47,27.83,27.4,27.82,12706,0
2015-02-04,17:10:00,27.82,27.82,27.82,27.82,500,0
2015-02-04,17:15:00,27.88,27.88,27.79,27.82,1496,0
2015-02-04,17:20:00,27.81,27.83,27.74,27.79,2100,0
2015-02-04,17:25:00,27.74,28.12,27.74,28.12,4336,0
2015-02-04,17:30:00,28.1,28.16,28.1,28.13,900,0
2015-02-04,17:35:00,28.17,28.28,28.15,28.26,3400,0
2015-02-04,17:40:00,28.28,28.28,28.28,28.28,400,0
2015-02-04,17:45:00,28.23,28.23,28.13,28.13,2000,0
2015-02-04,17:50:00,28.13,28.13,28.01,28.01,1600,0
