Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,66.85,66.88,66.63,66.75,16700,0
2015-02-03,16:55:00,66.671,66.771,66.501,66.611,16231,0
2015-02-03,17:00:00,66.651,66.791,66.521,66.621,25097,0
2015-02-03,17:05:00,66.591,66.781,66.151,66.151,41350,0
2015-02-03,17:10:00,66.081,66.211,65.971,66.101,21422,0
2015-02-03,17:15:00,66.101,66.211,65.841,65.901,28042,0
2015-02-03,17:20:00,65.921,66.221,65.891,66.211,25906,0
2015-02-03,17:25:00,66.231,66.411,66.101,66.341,13644,0
2015-02-03,17:30:00,66.341,66.411,66.191,66.201,14500,0
2015-02-03,17:35:00,66.221,66.381,66.221,66.291,24851,0
2015-02-03,17:40:00,66.171,66.251,65.951,66.171,36759,0
2015-02-03,17:45:00,66.121,66.621,66.091,66.421,37481,0
2015-02-03,17:50:00,66.341,66.421,66.101,66.251,11988,0
2015-02-03,17:55:00,66.381,66.531,66.361,66.361,23720,0
2015-02-03,18:00:00,66.341,66.431,66.311,66.311,26866,0
2015-02-03,18:05:00,66.301,66.311,65.971,65.971,15700,0
2015-02-03,18:10:00,65.931,65.951,65.641,65.751,20600,0
2015-02-03,18:15:00,65.701,65.901,65.581,65.661,21054,0
2015-02-03,18:20:00,65.691,65.871,65.651,65.771,21635,0
2015-02-03,18:25:00,65.861,65.881,65.541,65.541,11845,0
2015-02-03,18:30:00,65.561,65.661,65.541,65.581,12875,0
2015-02-03,18:35:00,65.631,65.721,65.531,65.691,21174,0
2015-02-03,18:40:00,65.691,65.841,65.661,65.821,14356,0
2015-02-03,18:45:00,65.851,65.991,65.751,65.991,17065,0
2015-02-03,18:50:00,66.001,66.161,65.931,66.081,21266,0
2015-02-03,18:55:00,66.141,66.381,66.021,66.361,19050,0
2015-02-03,19:00:00,66.371,66.561,66.371,66.381,19630,0
2015-02-03,19:05:00,66.421,66.721,66.351,66.641,22750,0
2015-02-03,19:10:00,66.681,66.851,66.621,66.821,10007,0
2015-02-03,19:15:00,66.871,67.121,66.831,67.091,14300,0
2015-02-03,19:20:00,67.061,67.111,66.961,66.981,11300,0
