Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-08,22:00:00,24.93,24.96,24.93,24.96,459,0
2014-09-09,16:10:00,25.163,25.251,25.163,25.251,512,0
2014-09-09,16:20:00,24.969,24.998,24.969,24.998,307,0
2014-09-09,16:25:00,25.017,25.017,25.017,25.017,102,0
2014-09-09,16:30:00,24.949,24.949,24.949,24.949,1648,0
2014-09-09,17:20:00,24.949,24.949,24.949,24.949,2472,0
2014-09-09,18:30:00,25.037,25.047,25.008,25.008,717,0
2014-09-09,19:15:00,25.037,25.037,25.037,25.037,206,0
2014-09-09,19:30:00,24.959,25.008,24.959,25.008,2501,0
2014-09-09,19:50:00,25.017,25.134,25.017,25.085,4817,0
2014-09-09,19:55:00,25.076,25.076,25.047,25.047,821,0
2014-09-09,20:55:00,25.076,25.076,25.076,25.076,512,0
2014-09-09,21:15:00,25.027,25.047,25.017,25.037,1025,0
2014-09-09,22:00:00,25.057,25.057,25.057,25.057,102,0
2014-09-10,15:35:00,25.064,25.064,25.064,25.064,812,0
2014-09-10,15:50:00,25.113,25.123,25.113,25.123,1911,0
2014-09-10,16:50:00,25.162,25.162,25.162,25.162,812,0
2014-09-10,17:30:00,25.162,25.162,25.162,25.162,1141,0
2014-09-10,18:25:00,25.152,25.152,25.152,25.152,101,0
2014-09-10,18:35:00,25.123,25.133,25.123,25.133,2209,0
2014-09-10,21:25:00,25.123,25.123,25.123,25.123,101,0
2014-09-10,21:30:00,25.123,25.123,25.123,25.123,812,0
2014-09-11,17:05:00,24.945,24.945,24.945,24.945,4363,0
2014-09-11,17:35:00,24.945,24.945,24.945,24.945,3044,0
2014-09-11,20:05:00,25.123,25.123,25.123,25.123,771,0
2014-09-11,20:20:00,25.133,25.133,25.133,25.133,2435,0
2014-09-11,20:50:00,25.123,25.123,25.123,25.123,2435,0
2014-09-12,16:05:00,25.251,25.251,25.251,25.251,203,0
2014-09-12,16:30:00,25.192,25.192,25.192,25.192,3482,0
2014-09-12,17:55:00,25.073,25.073,25.073,25.073,1218,0
2014-09-12,18:30:00,25.182,25.182,25.182,25.182,2131,0
2014-09-12,19:30:00,25.172,25.172,25.172,25.172,203,0
2014-09-12,19:45:00,25.172,25.172,25.172,25.172,710,0
2014-09-12,20:15:00,25.172,25.172,25.172,25.172,406,0
2014-09-12,20:30:00,25.133,25.133,25.073,25.113,2545,0
2014-09-12,20:35:00,25.073,25.083,25.073,25.073,1522,0
2014-09-15,15:35:00,25.202,25.202,25.202,25.202,2612,0
2014-09-15,17:10:00,25.103,25.103,25.103,25.103,329,0
2014-09-15,17:15:00,25.103,25.103,25.093,25.093,1739,0
2014-09-15,17:35:00,25.192,25.192,25.192,25.192,706,0
2014-09-15,18:10:00,25.142,25.142,25.113,25.113,416,0
2014-09-15,18:20:00,25.152,25.152,25.152,25.152,1197,0
2014-09-15,18:35:00,25.152,25.152,25.152,25.152,3044,0
2014-09-15,20:05:00,25.142,25.142,25.142,25.142,4375,0
