Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-12-05,19:50:00,21.29,21.29,21.29,21.29,110,0
2013-12-05,20:55:00,21.575,21.594,21.317,21.317,1362,0
2013-12-05,21:55:00,21.594,21.594,21.317,21.317,217,0
2013-12-05,22:00:00,21.594,21.594,21.594,21.594,110,0
2013-12-06,17:10:00,21.438,21.438,21.438,21.438,652,0
2013-12-06,18:00:00,21.612,21.64,21.612,21.64,11664,0
2013-12-06,18:05:00,21.649,21.649,21.64,21.64,545,0
2013-12-06,18:10:00,21.64,21.64,21.64,21.64,1274,0
2013-12-06,18:15:00,21.64,21.64,21.64,21.64,1197,0
2013-12-06,18:20:00,21.64,21.64,21.64,21.64,1565,0
2013-12-06,18:25:00,21.64,21.64,21.64,21.64,217,0
2013-12-06,19:15:00,21.64,21.64,21.64,21.64,110,0
2013-12-06,21:15:00,21.769,21.769,21.769,21.769,110,0
2013-12-09,17:00:00,22.013,22.013,21.657,21.657,1177,0
2013-12-09,17:05:00,21.621,21.621,21.621,21.621,320,0
2013-12-09,19:45:00,21.966,21.966,21.966,21.966,856,0
2013-12-09,20:05:00,21.714,21.714,21.714,21.714,320,0
2013-12-09,20:10:00,21.723,21.723,21.723,21.723,428,0
2013-12-09,21:40:00,21.742,22.013,21.742,22.013,1818,0
2013-12-09,21:45:00,22.013,22.022,21.733,21.733,1059,0
2013-12-09,22:00:00,21.966,21.966,21.966,21.966,108,0
2013-12-10,18:40:00,21.986,21.986,21.986,21.986,2484,0
2013-12-10,20:10:00,21.798,21.798,21.798,21.798,279,0
2013-12-10,20:15:00,21.751,21.751,21.751,21.751,320,0
2013-12-11,17:15:00,21.751,21.751,21.751,21.751,533,0
2013-12-11,17:40:00,21.845,21.845,21.845,21.845,242,0
2013-12-11,18:25:00,21.845,21.845,21.845,21.845,428,0
2013-12-11,21:15:00,21.845,21.845,21.751,21.751,2566,0
2013-12-11,21:25:00,21.751,21.751,21.751,21.751,213,0
2013-12-12,15:35:00,21.882,21.882,21.882,21.882,326,0
2013-12-12,15:45:00,21.536,21.536,21.386,21.386,641,0
2013-12-12,16:20:00,21.424,21.424,21.424,21.424,108,0
2013-12-12,16:50:00,21.826,21.826,21.826,21.826,108,0
2013-12-12,17:15:00,21.751,21.798,21.751,21.798,1365598,0
2013-12-12,19:40:00,21.751,21.751,21.517,21.517,641,0
2013-12-12,19:55:00,21.611,21.611,21.611,21.611,108,0
2013-12-12,20:10:00,21.629,21.629,21.629,21.629,329,0
2013-12-12,20:30:00,21.611,21.611,21.611,21.611,320,0
2013-12-12,21:20:00,21.611,21.611,21.611,21.611,108,0
2013-12-12,22:00:00,21.779,21.779,21.779,21.779,108,0
2013-12-13,15:35:00,21.714,21.714,21.714,21.714,3283,0
2013-12-13,21:50:00,21.657,21.657,21.657,21.657,114,0
2013-12-13,22:00:00,21.611,21.611,21.611,21.611,213,0
2013-12-16,17:55:00,21.611,21.611,21.611,21.611,1257,0
2013-12-16,19:55:00,21.649,21.649,21.649,21.649,213,0
2013-12-16,20:55:00,21.517,21.527,21.517,21.517,1851,0
2013-12-16,21:20:00,21.564,21.564,21.564,21.564,213,0
2013-12-16,21:30:00,21.583,21.583,21.564,21.564,623,0
2013-12-17,15:35:00,21.751,21.751,21.751,21.751,780,0
2013-12-17,16:35:00,21.695,21.695,21.695,21.695,133,0
2013-12-17,18:20:00,21.611,21.611,21.517,21.517,6842,0
2013-12-17,18:25:00,21.527,21.527,21.517,21.517,3635,0
2013-12-17,18:30:00,21.527,21.536,21.433,21.433,5766,0
2013-12-17,18:35:00,21.536,21.536,21.424,21.424,1497,0
2013-12-17,18:40:00,21.424,21.424,21.424,21.424,1069,0
2013-12-17,18:45:00,21.424,21.424,21.424,21.424,108,0
2013-12-17,19:10:00,21.667,21.667,21.471,21.471,213,0
2013-12-17,19:40:00,21.517,21.677,21.517,21.677,428,0
2013-12-17,20:05:00,21.657,21.657,21.657,21.657,428,0
2013-12-17,20:35:00,21.517,21.517,21.517,21.517,320,0
2013-12-17,21:55:00,21.517,21.517,21.517,21.517,108,0
2013-12-18,21:45:00,21.48,21.48,21.48,21.48,815,0
2013-12-18,21:50:00,21.471,21.471,21.471,21.471,108,0
2013-12-19,15:55:00,21.471,21.471,21.471,21.471,1925,0
2013-12-19,19:35:00,21.657,21.657,21.657,21.657,213,0
