Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,19:30:00,48.67,48.82,48.66,48.82,721,0
2015-02-02,19:35:00,48.805,48.911,48.562,48.63,6488,0
2015-02-02,19:40:00,48.61,48.795,48.552,48.571,7980,0
2015-02-02,19:45:00,48.533,48.601,48.358,48.358,6385,0
2015-02-02,19:50:00,48.319,48.756,48.309,48.62,4017,0
2015-02-02,19:55:00,48.436,48.552,48.329,48.358,2678,0
2015-02-02,20:00:00,48.552,48.552,48.27,48.28,4039,0
2015-02-02,20:05:00,48.29,48.552,48.212,48.27,18167,0
2015-02-02,20:10:00,48.358,48.504,48.251,48.504,803,0
2015-02-02,20:15:00,48.358,48.358,48.067,48.319,17497,0
2015-02-02,20:20:00,48.164,48.426,48.164,48.28,730,0
2015-02-02,20:25:00,48.193,48.193,48.067,48.086,3559,0
2015-02-02,20:30:00,48.125,48.125,48.067,48.067,5665,0
2015-02-02,20:35:00,48.261,48.261,48.232,48.232,721,0
2015-02-02,20:40:00,48.261,48.387,48.261,48.387,11433,0
2015-02-02,20:45:00,48.329,48.455,48.329,48.358,11157,0
2015-02-02,20:50:00,48.261,48.358,48.164,48.202,5699,0
2015-02-02,20:55:00,48.29,48.29,48.212,48.27,2575,0
2015-02-02,21:00:00,48.173,48.173,47.892,47.969,8358,0
2015-02-02,21:05:00,47.969,48.144,47.863,47.863,6396,0
2015-02-02,21:10:00,47.882,47.989,47.096,47.309,40895,0
2015-02-02,21:15:00,47.377,47.698,47.173,47.173,11429,0
2015-02-02,21:20:00,47.426,47.426,46.814,47.329,38018,0
2015-02-02,21:25:00,47.261,47.503,46.872,47.193,12843,0
2015-02-02,21:30:00,47.329,47.649,47.028,47.649,21195,0
2015-02-02,21:35:00,47.775,47.969,47.367,47.707,19240,0
2015-02-02,21:40:00,47.775,48.096,47.727,47.921,16840,0
2015-02-02,21:45:00,48.018,48.018,47.688,47.785,17346,0
2015-02-02,21:50:00,47.785,47.999,47.426,47.843,20307,0
2015-02-02,21:55:00,47.804,47.843,47.377,47.532,28961,0
2015-02-02,22:00:00,47.523,47.63,47.096,47.28,89396,0
2015-02-03,15:35:00,49.13,49.9,49.13,49.67,61718,0
2015-02-03,15:40:00,49.63,49.63,49.13,49.17,19402,0
2015-02-03,15:45:00,49.13,49.7,49.06,49.45,11432,0
2015-02-03,15:50:00,49.45,50.0,49.45,50.0,23204,0
2015-02-03,15:55:00,49.89,50.74,49.89,50.3,36192,0
2015-02-03,16:00:00,50.3,50.68,50.2,50.66,16503,0
2015-02-03,16:05:00,50.47,50.75,50.34,50.53,20283,0
2015-02-03,16:10:00,50.69,50.83,50.15,50.31,30488,0
2015-02-03,16:15:00,50.16,50.62,49.41,50.14,23729,0
2015-02-03,16:20:00,49.92,50.1,49.61,49.97,6060,0
2015-02-03,16:25:00,49.86,49.97,49.61,49.63,3540,0
2015-02-03,16:30:00,49.9,50.16,49.66,50.16,9196,0
2015-02-03,16:35:00,50.18,50.39,50.18,50.33,9042,0
2015-02-03,16:40:00,50.26,50.4,49.98,49.98,12833,0
2015-02-03,16:45:00,49.91,49.91,49.55,49.56,8610,0
2015-02-03,16:50:00,49.7,49.71,49.34,49.34,8580,0
2015-02-03,16:55:00,49.61,49.61,49.21,49.34,4500,0
2015-02-03,17:00:00,49.55,49.55,49.02,49.02,16000,0
2015-02-03,17:05:00,49.0,49.09,48.72,48.72,6107,0
2015-02-03,17:10:00,48.7,49.12,48.56,48.65,19560,0
2015-02-03,17:15:00,48.65,48.92,48.5,48.54,42736,0
2015-02-03,17:20:00,48.54,49.11,48.54,48.81,7425,0
2015-02-03,17:25:00,49.1,49.11,48.81,48.81,5200,0
2015-02-03,17:30:00,48.81,49.11,48.81,49.06,8590,0
2015-02-03,17:35:00,49.15,49.42,49.15,49.42,4800,0
2015-02-03,17:40:00,49.42,49.43,49.13,49.33,6900,0
2015-02-03,17:45:00,49.37,49.6,49.1,49.2,13137,0
2015-02-03,17:50:00,49.21,49.47,49.19,49.23,4800,0
2015-02-03,17:55:00,49.44,49.47,49.21,49.26,3332,0
2015-02-03,18:00:00,49.31,49.47,49.3,49.42,2900,0
2015-02-03,18:05:00,49.31,49.6,49.31,49.6,8984,0
2015-02-03,18:10:00,49.65,50.22,49.65,50.19,12352,0
2015-02-03,18:15:00,50.28,50.9,50.05,50.9,17167,0
2015-02-03,18:20:00,50.87,50.87,50.42,50.57,10430,0
2015-02-03,18:25:00,50.58,50.99,50.58,50.69,8245,0
2015-02-03,18:30:00,50.61,50.87,50.61,50.62,1700,0
2015-02-03,18:35:00,50.64,50.88,50.53,50.83,8578,0
2015-02-03,18:40:00,50.93,51.2,50.69,51.17,15330,0
2015-02-03,18:45:00,51.17,51.68,51.11,51.5,16793,0
2015-02-03,18:50:00,51.77,51.99,51.57,51.99,13626,0
2015-02-03,18:55:00,51.85,51.99,51.38,51.6,11417,0
2015-02-03,19:00:00,51.74,51.87,51.41,51.68,4750,0
2015-02-03,19:05:00,51.69,51.9,51.69,51.71,11863,0
2015-02-03,19:10:00,51.73,52.22,51.73,52.07,18170,0
2015-02-03,19:15:00,52.23,52.6,52.23,52.58,12402,0
2015-02-03,19:20:00,52.65,53.16,52.53,53.16,26489,0
2015-02-03,19:25:00,53.04,53.43,52.9,52.91,22923,0
2015-02-03,19:30:00,52.97,53.25,52.91,53.16,15299,0
2015-02-03,19:35:00,53.13,53.35,53.0,53.0,17507,0
2015-02-03,19:40:00,53.01,53.09,52.91,52.95,28258,0
2015-02-03,19:45:00,52.97,53.04,52.26,52.26,17994,0
2015-02-03,19:50:00,52.25,53.49,52.25,53.39,13888,0
2015-02-03,19:55:00,53.49,53.49,52.78,53.1,11706,0
2015-02-03,20:00:00,53.13,53.37,52.81,53.35,7200,0
2015-02-03,20:05:00,53.4,53.8,53.16,53.8,22439,0
2015-02-03,20:10:00,53.61,54.45,53.61,54.25,42687,0
2015-02-03,20:15:00,54.14,54.47,53.5,53.5,25125,0
2015-02-03,20:20:00,53.21,53.66,53.07,53.66,12510,0
2015-02-03,20:25:00,53.3,53.88,53.3,53.6,8277,0
2015-02-03,20:30:00,53.6,53.9,52.81,52.82,15825,0
2015-02-03,20:35:00,52.8,53.99,52.76,53.77,13804,0
2015-02-03,20:40:00,54.0,54.25,53.73,54.25,11886,0
2015-02-03,20:45:00,54.05,54.5,53.9,54.5,10869,0
2015-02-03,20:50:00,54.5,54.69,54.26,54.63,18247,0
2015-02-03,20:55:00,54.35,54.92,54.31,54.63,12768,0
2015-02-03,21:00:00,54.7,55.26,54.39,54.9,27122,0
2015-02-03,21:05:00,55.29,55.9,54.98,55.9,21135,0
2015-02-03,21:10:00,55.91,56.44,55.75,56.37,25666,0
2015-02-03,21:15:00,56.44,56.46,55.7,55.7,28777,0
2015-02-03,21:20:00,55.74,56.07,55.37,55.52,16924,0
2015-02-03,21:25:00,55.93,55.98,55.52,55.98,8565,0
2015-02-03,21:30:00,55.97,55.97,55.08,55.11,15570,0
2015-02-03,21:35:00,55.09,55.79,54.72,55.44,31894,0
2015-02-03,21:40:00,55.25,55.63,55.0,55.22,20614,0
2015-02-03,21:45:00,55.15,55.75,55.15,55.23,12272,0
2015-02-03,21:50:00,55.36,55.5,55.16,55.24,13726,0
2015-02-03,21:55:00,55.35,55.38,55.24,55.28,22399,0
2015-02-03,22:00:00,55.28,56.27,55.24,56.01,140380,0
2015-02-04,15:35:00,54.0,54.03,53.03,53.7,15032,0
2015-02-04,15:40:00,53.7,53.84,53.23,53.6,29485,0
2015-02-04,15:45:00,53.66,54.0,53.5,53.5,7333,0
2015-02-04,15:50:00,53.6,53.71,53.5,53.5,6357,0
2015-02-04,15:55:00,53.63,53.74,53.5,53.65,9291,0
2015-02-04,16:00:00,53.5,53.5,53.23,53.28,9905,0
2015-02-04,16:05:00,53.4,53.74,53.4,53.5,9700,0
2015-02-04,16:10:00,53.56,53.74,53.55,53.7,4251,0
2015-02-04,16:15:00,53.74,53.74,53.22,53.44,3323,0
2015-02-04,16:20:00,53.62,53.62,53.26,53.29,2659,0
2015-02-04,16:25:00,53.58,53.61,53.24,53.46,9500,0
2015-02-04,16:30:00,53.56,53.7,53.52,53.69,5085,0
2015-02-04,16:35:00,53.5,53.67,52.15,52.54,38529,0
2015-02-04,16:40:00,52.83,53.08,52.64,52.74,6126,0
2015-02-04,16:45:00,53.08,53.23,52.75,53.05,15299,0
2015-02-04,16:50:00,53.27,53.69,53.27,53.69,4800,0
2015-02-04,16:55:00,53.57,53.74,53.33,53.49,3016,0
2015-02-04,17:00:00,53.59,53.59,53.17,53.36,11675,0
2015-02-04,17:05:00,53.2,53.41,52.91,53.06,4410,0
2015-02-04,17:10:00,53.22,53.29,53.0,53.29,4052,0
2015-02-04,17:15:00,53.34,54.1,53.34,53.63,6408,0
2015-02-04,17:20:00,53.62,53.93,53.6,53.83,4470,0
2015-02-04,17:25:00,53.72,53.88,53.45,53.88,3175,0
2015-02-04,17:30:00,53.71,53.99,53.51,53.51,3372,0
2015-02-04,17:35:00,53.68,54.41,53.68,54.08,4000,0
2015-02-04,17:40:00,54.0,54.39,54.0,54.31,1600,0
2015-02-04,17:45:00,54.04,54.39,54.04,54.39,1700,0
2015-02-04,17:50:00,54.3,54.31,54.15,54.3,1450,0
2015-02-04,17:55:00,54.34,54.34,54.01,54.01,2410,0
2015-02-04,18:00:00,54.2,54.28,53.95,53.95,3452,0
2015-02-04,18:05:00,53.97,54.05,53.97,54.05,6900,0
2015-02-04,18:10:00,54.0,54.2,53.95,53.95,2900,0
2015-02-04,18:15:00,54.36,54.37,54.36,54.37,975,0
2015-02-04,18:20:00,54.3,54.39,54.2,54.39,9115,0
2015-02-04,18:25:00,54.32,54.55,54.29,54.29,3389,0
