Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,19:45:00,33.42,33.48,33.38,33.38,3700,0
2015-02-02,19:50:00,33.34,33.38,33.32,33.32,1917,0
2015-02-02,19:55:00,33.36,33.61,33.36,33.61,1794,0
2015-02-02,20:00:00,33.5,33.5,33.5,33.5,100,0
2015-02-02,20:05:00,33.5,33.5,33.46,33.48,2746,0
2015-02-02,20:10:00,33.47,33.49,33.41,33.49,1300,0
2015-02-02,20:15:00,33.39,33.44,33.35,33.36,2300,0
2015-02-02,20:20:00,33.46,33.46,33.34,33.34,1012,0
2015-02-02,20:25:00,33.37,33.39,33.37,33.39,1500,0
2015-02-02,20:35:00,33.47,33.47,33.35,33.42,1700,0
2015-02-02,20:40:00,33.36,33.41,33.31,33.34,3008,0
2015-02-02,20:45:00,33.4,33.45,33.4,33.45,1000,0
2015-02-02,20:50:00,33.38,33.46,33.38,33.43,800,0
2015-02-02,20:55:00,33.44,33.48,33.44,33.48,2890,0
2015-02-02,21:00:00,33.44,33.48,33.39,33.47,2198,0
2015-02-02,21:05:00,33.47,33.47,33.47,33.47,300,0
2015-02-02,21:10:00,33.48,33.53,33.45,33.53,7606,0
2015-02-02,21:15:00,33.59,33.59,33.47,33.52,17119,0
2015-02-02,21:20:00,33.52,33.61,33.52,33.61,2729,0
2015-02-02,21:25:00,33.6,33.64,33.58,33.61,2900,0
2015-02-02,21:30:00,33.6,33.64,33.6,33.64,1300,0
2015-02-02,21:35:00,33.69,33.73,33.69,33.7,2700,0
2015-02-02,21:40:00,33.63,33.67,33.56,33.67,4800,0
2015-02-02,21:45:00,33.77,33.84,33.62,33.75,6634,0
2015-02-02,21:50:00,33.76,33.76,33.55,33.65,13818,0
2015-02-02,21:55:00,33.64,33.68,33.5,33.5,7982,0
2015-02-02,22:00:00,33.52,33.64,33.48,33.49,26245,0
2015-02-03,15:35:00,33.64,33.92,33.64,33.85,1400,0
2015-02-03,15:40:00,33.93,34.0,33.91,34.0,6200,0
2015-02-03,15:50:00,34.04,34.16,34.01,34.05,1700,0
2015-02-03,15:55:00,34.02,34.02,34.02,34.02,300,0
2015-02-03,16:00:00,34.15,34.19,34.05,34.13,1500,0
2015-02-03,16:05:00,34.13,34.14,33.81,33.99,5044,0
2015-02-03,16:10:00,33.99,34.0,33.88,33.92,3000,0
2015-02-03,16:20:00,33.77,33.86,33.75,33.86,1000,0
2015-02-03,16:25:00,33.75,33.75,33.74,33.74,900,0
2015-02-03,16:30:00,33.72,33.81,33.72,33.8,1900,0
