Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,35.85,35.91,35.80,35.87,67923,0
2015-02-03,16:55:00,35.879,35.899,35.83,35.86,67503,0
2015-02-03,17:00:00,35.85,35.869,35.77,35.82,80525,0
2015-02-03,17:05:00,35.81,35.909,35.8,35.869,95743,0
2015-02-03,17:10:00,35.869,35.978,35.85,35.978,138443,0
2015-02-03,17:15:00,35.978,36.038,35.939,36.038,67005,0
2015-02-03,17:20:00,36.028,36.038,35.969,36.008,73780,0
2015-02-03,17:25:00,35.998,36.097,35.998,36.068,98108,0
2015-02-03,17:30:00,36.078,36.127,36.068,36.097,236886,0
2015-02-03,17:35:00,36.097,36.117,36.058,36.068,84514,0
2015-02-03,17:40:00,36.068,36.167,36.058,36.157,287789,0
2015-02-03,17:45:00,36.157,36.246,36.127,36.216,178999,0
2015-02-03,17:50:00,36.226,36.325,36.226,36.276,137820,0
2015-02-03,17:55:00,36.266,36.266,36.216,36.236,64597,0
2015-02-03,18:00:00,36.236,36.256,36.167,36.197,84880,0
2015-02-03,18:05:00,36.197,36.216,36.048,36.078,86769,0
2015-02-03,18:10:00,36.068,36.137,36.058,36.097,45206,0
2015-02-03,18:15:00,36.097,36.187,36.097,36.187,42642,0
2015-02-03,18:20:00,36.187,36.187,36.127,36.167,65136,0
2015-02-03,18:25:00,36.167,36.197,36.107,36.137,78562,0
2015-02-03,18:30:00,36.137,36.177,36.107,36.127,82145,0
2015-02-03,18:35:00,36.137,36.167,36.088,36.167,95148,0
2015-02-03,18:40:00,36.167,36.216,36.147,36.177,63450,0
2015-02-03,18:45:00,36.177,36.236,36.177,36.236,60682,0
2015-02-03,18:50:00,36.246,36.276,36.197,36.276,51835,0
2015-02-03,18:55:00,36.276,36.296,36.226,36.286,122442,0
2015-02-03,19:00:00,36.286,36.325,36.246,36.256,46856,0
2015-02-03,19:05:00,36.266,36.315,36.256,36.296,35332,0
2015-02-03,19:10:00,36.296,36.375,36.296,36.355,47391,0
2015-02-03,19:15:00,36.345,36.464,36.325,36.415,73130,0
2015-02-03,19:20:00,36.424,36.543,36.424,36.524,144222,0
2015-02-03,19:25:00,36.524,36.573,36.514,36.534,48717,0
2015-02-03,19:30:00,36.534,36.583,36.494,36.504,52329,0
2015-02-03,19:35:00,36.504,36.553,36.424,36.444,119535,0
2015-02-03,19:40:00,36.434,36.454,36.375,36.385,74539,0
2015-02-03,19:45:00,36.395,36.424,36.355,36.415,78717,0
2015-02-03,19:50:00,36.415,36.464,36.405,36.454,49132,0
2015-02-03,19:55:00,36.454,36.504,36.424,36.474,81034,0
2015-02-03,20:00:00,36.474,36.504,36.444,36.454,56578,0
2015-02-03,20:05:00,36.464,36.484,36.405,36.415,102239,0
2015-02-03,20:10:00,36.405,36.424,36.385,36.405,68407,0
2015-02-03,20:15:00,36.395,36.415,36.355,36.375,74366,0
2015-02-03,20:20:00,36.365,36.464,36.355,36.454,71772,0
2015-02-03,20:25:00,36.454,36.464,36.385,36.385,71662,0
2015-02-03,20:30:00,36.385,36.395,36.335,36.375,59855,0
2015-02-03,20:35:00,36.365,36.385,36.306,36.375,109487,0
2015-02-03,20:40:00,36.375,36.385,36.296,36.355,98474,0
2015-02-03,20:45:00,36.345,36.365,36.335,36.355,77693,0
2015-02-03,20:50:00,36.345,36.345,36.286,36.345,81555,0
2015-02-03,20:55:00,36.345,36.395,36.315,36.375,135123,0
2015-02-03,21:00:00,36.385,36.385,36.325,36.365,62408,0
2015-02-03,21:05:00,36.365,36.375,36.296,36.325,102909,0
2015-02-03,21:10:00,36.315,36.345,36.296,36.345,73824,0
2015-02-03,21:15:00,36.345,36.385,36.315,36.385,97942,0
2015-02-03,21:20:00,36.385,36.424,36.375,36.424,51054,0
2015-02-03,21:25:00,36.424,36.504,36.415,36.494,110171,0
2015-02-03,21:30:00,36.494,36.494,36.424,36.474,92887,0
