Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:30:00,2.69,2.70,2.68,2.68,14520,0
2015-02-03,16:35:00,2.68,2.68,2.63,2.65,48462,0
2015-02-03,16:40:00,2.64,2.66,2.62,2.65,33235,0
2015-02-03,16:45:00,2.64,2.66,2.64,2.66,7522,0
2015-02-03,16:50:00,2.66,2.66,2.64,2.64,15124,0
2015-02-03,16:55:00,2.65,2.65,2.61,2.63,59636,0
2015-02-03,17:00:00,2.62,2.63,2.62,2.63,12869,0
2015-02-03,17:05:00,2.62,2.62,2.6,2.6,43683,0
2015-02-03,17:10:00,2.61,2.61,2.58,2.59,51799,0
2015-02-03,17:15:00,2.6,2.6,2.58,2.6,16642,0
2015-02-03,17:20:00,2.6,2.61,2.59,2.61,55881,0
2015-02-03,17:25:00,2.61,2.62,2.59,2.62,26560,0
2015-02-03,17:30:00,2.62,2.66,2.61,2.65,39281,0
2015-02-03,17:35:00,2.65,2.65,2.63,2.63,14513,0
2015-02-03,17:40:00,2.64,2.64,2.61,2.61,46511,0
2015-02-03,17:45:00,2.62,2.64,2.61,2.61,18880,0
2015-02-03,17:50:00,2.61,2.61,2.6,2.6,9074,0
2015-02-03,17:55:00,2.61,2.62,2.6,2.6,12470,0
2015-02-03,18:00:00,2.6,2.63,2.6,2.62,21110,0
2015-02-03,18:05:00,2.62,2.63,2.6,2.62,43192,0
2015-02-03,18:10:00,2.61,2.61,2.6,2.61,8695,0
2015-02-03,18:15:00,2.61,2.61,2.6,2.6,20983,0
2015-02-03,18:20:00,2.6,2.6,2.59,2.59,15002,0
2015-02-03,18:25:00,2.6,2.61,2.6,2.6,26900,0
2015-02-03,18:30:00,2.59,2.6,2.58,2.59,43929,0
2015-02-03,18:35:00,2.59,2.59,2.59,2.59,11943,0
2015-02-03,18:40:00,2.59,2.6,2.59,2.6,5000,0
2015-02-03,18:45:00,2.6,2.61,2.59,2.6,7940,0
2015-02-03,18:50:00,2.59,2.61,2.59,2.6,17355,0
2015-02-03,18:55:00,2.59,2.61,2.59,2.61,13400,0
2015-02-03,19:00:00,2.61,2.63,2.61,2.62,20103,0
2015-02-03,19:05:00,2.62,2.63,2.62,2.62,33565,0
2015-02-03,19:10:00,2.62,2.63,2.62,2.62,6016,0
2015-02-03,19:15:00,2.62,2.65,2.62,2.64,38086,0
2015-02-03,19:20:00,2.65,2.66,2.64,2.65,33682,0
2015-02-03,19:25:00,2.66,2.66,2.65,2.66,3200,0
2015-02-03,19:30:00,2.66,2.68,2.65,2.67,82148,0
2015-02-03,19:35:00,2.67,2.7,2.66,2.7,71810,0
2015-02-03,19:40:00,2.7,2.7,2.67,2.68,42744,0
2015-02-03,19:45:00,2.68,2.72,2.68,2.71,39381,0
2015-02-03,19:50:00,2.71,2.72,2.7,2.7,12064,0
2015-02-03,19:55:00,2.7,2.71,2.7,2.71,2420,0
2015-02-03,20:00:00,2.71,2.71,2.69,2.71,17969,0
2015-02-03,20:05:00,2.71,2.73,2.7,2.72,17590,0
2015-02-03,20:10:00,2.72,2.72,2.71,2.71,12700,0
2015-02-03,20:15:00,2.71,2.71,2.69,2.71,27376,0
2015-02-03,20:20:00,2.71,2.72,2.71,2.72,4480,0
2015-02-03,20:25:00,2.71,2.72,2.7,2.7,10090,0
2015-02-03,20:30:00,2.7,2.7,2.69,2.69,18560,0
2015-02-03,20:40:00,2.7,2.7,2.67,2.69,6349,0
2015-02-03,20:45:00,2.69,2.69,2.69,2.69,5000,0
2015-02-03,20:50:00,2.68,2.68,2.66,2.66,5197,0
2015-02-03,20:55:00,2.66,2.66,2.65,2.65,6100,0
2015-02-03,21:00:00,2.65,2.65,2.65,2.65,8161,0
2015-02-03,21:05:00,2.65,2.66,2.65,2.65,3300,0
2015-02-03,21:10:00,2.65,2.65,2.63,2.63,19350,0
2015-02-03,21:15:00,2.64,2.64,2.62,2.62,19190,0
2015-02-03,21:20:00,2.63,2.63,2.62,2.62,19686,0
2015-02-03,21:25:00,2.62,2.63,2.62,2.62,7650,0
2015-02-03,21:30:00,2.62,2.62,2.6,2.6,35182,0
2015-02-03,21:35:00,2.6,2.61,2.6,2.61,34452,0
2015-02-03,21:40:00,2.6,2.61,2.6,2.6,21171,0
2015-02-03,21:45:00,2.6,2.61,2.6,2.61,6704,0
2015-02-03,21:50:00,2.61,2.61,2.6,2.61,68457,0
2015-02-03,21:55:00,2.61,2.62,2.6,2.61,83134,0
2015-02-03,22:00:00,2.61,2.61,2.59,2.61,160502,0
2015-02-04,15:35:00,2.63,2.67,2.59,2.61,170023,0
2015-02-04,15:40:00,2.61,2.63,2.6,2.62,29329,0
2015-02-04,15:45:00,2.62,2.65,2.61,2.62,50204,0
2015-02-04,15:50:00,2.62,2.62,2.58,2.6,23740,0
2015-02-04,15:55:00,2.6,2.6,2.58,2.58,1750,0
2015-02-04,16:00:00,2.58,2.61,2.58,2.6,90329,0
2015-02-04,16:05:00,2.6,2.6,2.58,2.58,13975,0
2015-02-04,16:10:00,2.59,2.62,2.58,2.61,52984,0
2015-02-04,16:15:00,2.61,2.62,2.6,2.62,21521,0
2015-02-04,16:20:00,2.62,2.62,2.6,2.61,28537,0
2015-02-04,16:25:00,2.6,2.6,2.59,2.59,14074,0
2015-02-04,16:30:00,2.59,2.6,2.58,2.58,18439,0
2015-02-04,16:35:00,2.58,2.59,2.53,2.55,138612,0
2015-02-04,16:40:00,2.54,2.55,2.51,2.55,64377,0
2015-02-04,16:45:00,2.55,2.57,2.55,2.57,10400,0
2015-02-04,16:50:00,2.57,2.57,2.56,2.56,4200,0
2015-02-04,16:55:00,2.56,2.57,2.56,2.56,1700,0
2015-02-04,17:00:00,2.56,2.56,2.55,2.55,3400,0
2015-02-04,17:05:00,2.56,2.58,2.56,2.58,6436,0
2015-02-04,17:10:00,2.57,2.59,2.56,2.58,28340,0
2015-02-04,17:15:00,2.57,2.58,2.56,2.58,9682,0
2015-02-04,17:20:00,2.59,2.6,2.58,2.59,23043,0
2015-02-04,17:25:00,2.59,2.61,2.58,2.58,10600,0
2015-02-04,17:30:00,2.58,2.6,2.58,2.6,12215,0
2015-02-04,17:35:00,2.59,2.6,2.59,2.59,10315,0
2015-02-04,17:40:00,2.6,2.6,2.59,2.6,10902,0
