Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:35:00,12.38,12.39,12.36,12.36,9585,0
2015-02-03,16:40:00,12.36,12.38,12.36,12.37,4600,0
2015-02-03,16:45:00,12.38,12.42,12.37,12.4,19860,0
2015-02-03,16:50:00,12.4,12.41,12.37,12.39,10850,0
2015-02-03,16:55:00,12.4,12.45,12.4,12.44,12100,0
2015-02-03,17:00:00,12.44,12.45,12.36,12.4,47828,0
2015-02-03,17:05:00,12.39,12.42,12.38,12.41,26809,0
2015-02-03,17:10:00,12.41,12.43,12.4,12.43,11507,0
2015-02-03,17:15:00,12.42,12.43,12.41,12.41,6300,0
2015-02-03,17:20:00,12.41,12.42,12.4,12.4,14037,0
2015-02-03,17:25:00,12.4,12.41,12.4,12.4,11198,0
2015-02-03,17:30:00,12.4,12.4,12.34,12.36,5700,0
2015-02-03,17:35:00,12.36,12.38,12.36,12.38,10100,0
2015-02-03,17:40:00,12.38,12.39,12.38,12.39,8274,0
2015-02-03,17:45:00,12.39,12.41,12.38,12.41,16462,0
2015-02-03,17:50:00,12.4,12.41,12.4,12.41,18533,0
2015-02-03,17:55:00,12.41,12.43,12.41,12.41,5400,0
2015-02-03,18:00:00,12.41,12.43,12.41,12.42,9800,0
2015-02-03,18:05:00,12.43,12.43,12.38,12.4,47273,0
2015-02-03,18:10:00,12.4,12.4,12.36,12.36,13053,0
2015-02-03,18:15:00,12.37,12.39,12.36,12.39,13444,0
2015-02-03,18:20:00,12.39,12.4,12.37,12.37,11690,0
2015-02-03,18:25:00,12.37,12.38,12.36,12.38,5090,0
2015-02-03,18:30:00,12.37,12.38,12.37,12.38,5826,0
2015-02-03,18:35:00,12.37,12.38,12.36,12.37,7670,0
2015-02-03,18:40:00,12.37,12.37,12.33,12.33,5637,0
2015-02-03,18:45:00,12.33,12.34,12.33,12.34,1915,0
2015-02-03,18:50:00,12.35,12.37,12.35,12.37,6570,0
2015-02-03,18:55:00,12.37,12.37,12.37,12.37,200,0
2015-02-03,19:00:00,12.36,12.37,12.34,12.34,9300,0
2015-02-03,19:05:00,12.34,12.34,12.31,12.34,10630,0
2015-02-03,19:10:00,12.34,12.37,12.34,12.37,8100,0
2015-02-03,19:15:00,12.37,12.4,12.36,12.4,48078,0
2015-02-03,19:20:00,12.4,12.43,12.4,12.42,29600,0
2015-02-03,19:25:00,12.42,12.45,12.42,12.45,32219,0
2015-02-03,19:30:00,12.45,12.47,12.45,12.46,11200,0
2015-02-03,19:35:00,12.45,12.46,12.44,12.45,8848,0
2015-02-03,19:40:00,12.45,12.47,12.44,12.46,80113,0
2015-02-03,19:45:00,12.46,12.47,12.45,12.45,14200,0
2015-02-03,19:50:00,12.45,12.46,12.45,12.46,13700,0
2015-02-03,19:55:00,12.45,12.46,12.45,12.46,5508,0
2015-02-03,20:00:00,12.46,12.47,12.45,12.46,2800,0
2015-02-03,20:05:00,12.47,12.49,12.47,12.48,3700,0
2015-02-03,20:10:00,12.47,12.47,12.45,12.45,7853,0
2015-02-03,20:15:00,12.44,12.44,12.43,12.43,1100,0
2015-02-03,20:20:00,12.43,12.43,12.43,12.43,800,0
2015-02-03,20:25:00,12.42,12.43,12.41,12.42,4993,0
2015-02-03,20:30:00,12.41,12.41,12.4,12.4,1092,0
2015-02-03,20:35:00,12.4,12.4,12.39,12.39,1400,0
2015-02-03,20:40:00,12.39,12.4,12.38,12.38,6139,0
2015-02-03,20:45:00,12.38,12.4,12.38,12.4,4100,0
2015-02-03,20:50:00,12.39,12.39,12.39,12.39,601,0
2015-02-03,20:55:00,12.38,12.4,12.38,12.4,7552,0
2015-02-03,21:00:00,12.39,12.4,12.39,12.39,6900,0
2015-02-03,21:05:00,12.4,12.41,12.38,12.39,11679,0
2015-02-03,21:10:00,12.4,12.41,12.37,12.38,56724,0
2015-02-03,21:15:00,12.38,12.38,12.36,12.38,10998,0
2015-02-03,21:20:00,12.38,12.38,12.36,12.36,12017,0
2015-02-03,21:25:00,12.37,12.39,12.37,12.38,20641,0
2015-02-03,21:30:00,12.38,12.38,12.36,12.38,8657,0
2015-02-03,21:35:00,12.37,12.38,12.35,12.36,23459,0
2015-02-03,21:40:00,12.36,12.37,12.35,12.37,8366,0
2015-02-03,21:45:00,12.37,12.38,12.37,12.37,14117,0
2015-02-03,21:50:00,12.36,12.37,12.34,12.37,63627,0
2015-02-03,21:55:00,12.37,12.37,12.32,12.33,68801,0
2015-02-03,22:00:00,12.33,12.35,12.32,12.35,98052,0
2015-02-04,15:35:00,12.34,12.4,12.31,12.4,60121,0
2015-02-04,15:40:00,12.39,12.41,12.37,12.41,38668,0
2015-02-04,15:45:00,12.41,12.44,12.38,12.43,42872,0
2015-02-04,15:50:00,12.43,12.44,12.41,12.42,29700,0
2015-02-04,15:55:00,12.42,12.43,12.36,12.38,31315,0
2015-02-04,16:00:00,12.39,12.43,12.39,12.41,18100,0
2015-02-04,16:05:00,12.41,12.47,12.4,12.46,13041,0
2015-02-04,16:10:00,12.46,12.49,12.44,12.48,12100,0
2015-02-04,16:15:00,12.46,12.47,12.41,12.42,21157,0
2015-02-04,16:20:00,12.43,12.46,12.42,12.46,18220,0
2015-02-04,16:25:00,12.46,12.47,12.43,12.45,62122,0
2015-02-04,16:30:00,12.44,12.46,12.44,12.44,26715,0
2015-02-04,16:35:00,12.44,12.45,12.42,12.45,24459,0
2015-02-04,16:40:00,12.45,12.49,12.42,12.49,21707,0
2015-02-04,16:45:00,12.48,12.5,12.45,12.48,61723,0
2015-02-04,16:50:00,12.48,12.48,12.46,12.47,54422,0
2015-02-04,16:55:00,12.47,12.49,12.46,12.46,36775,0
2015-02-04,17:00:00,12.46,12.48,12.44,12.48,15800,0
