Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,21:05:00,22.66,22.76,22.66,22.76,5000,0
2015-01-30,21:10:00,22.69,22.75,22.68,22.7,1810,0
2015-01-30,21:15:00,22.67,22.79,22.67,22.79,4655,0
2015-01-30,21:20:00,22.77,22.86,22.73,22.86,10135,0
2015-01-30,21:25:00,22.8,22.81,22.73,22.73,6600,0
2015-01-30,21:30:00,22.77,22.77,22.7,22.7,1700,0
2015-01-30,21:35:00,22.68,22.68,22.68,22.68,225,0
2015-01-30,21:40:00,22.74,22.85,22.7,22.79,3900,0
2015-01-30,21:50:00,22.76,22.76,22.73,22.73,1645,0
2015-01-30,21:55:00,22.69,22.7,22.68,22.7,4900,0
2015-01-30,22:00:00,22.71,22.76,22.68,22.76,19646,0
2015-02-02,15:35:00,22.64,22.85,22.64,22.65,9829,0
2015-02-02,15:40:00,22.7,22.7,22.7,22.7,500,0
2015-02-02,15:45:00,22.61,22.85,22.6,22.69,4750,0
2015-02-02,15:50:00,22.61,22.61,22.61,22.61,770,0
2015-02-02,15:55:00,22.63,22.63,22.59,22.59,1408,0
2015-02-02,16:00:00,22.59,22.63,22.59,22.63,2400,0
2015-02-02,16:05:00,22.62,22.62,22.51,22.51,9996,0
2015-02-02,16:10:00,22.53,22.59,22.44,22.44,14263,0
2015-02-02,16:15:00,22.36,22.51,22.36,22.51,1800,0
2015-02-02,16:20:00,22.55,22.55,22.55,22.55,400,0
2015-02-02,16:25:00,22.48,22.68,22.45,22.59,5276,0
2015-02-02,16:35:00,22.69,22.69,22.63,22.63,700,0
2015-02-02,16:40:00,22.64,22.75,22.61,22.72,4350,0
2015-02-02,16:55:00,22.67,22.7,22.67,22.7,4400,0
2015-02-02,17:00:00,22.58,22.58,22.58,22.58,780,0
2015-02-02,17:05:00,22.64,22.64,22.64,22.64,100,0
2015-02-02,17:10:00,22.64,22.65,22.64,22.65,300,0
2015-02-02,17:15:00,22.71,22.72,22.71,22.72,5650,0
2015-02-02,17:20:00,22.71,22.75,22.71,22.74,1900,0
2015-02-02,17:35:00,22.75,22.75,22.75,22.75,400,0
2015-02-02,17:40:00,22.75,22.81,22.75,22.81,2300,0
2015-02-02,17:45:00,22.74,22.79,22.74,22.79,450,0
2015-02-02,17:50:00,22.79,22.79,22.74,22.74,1365,0
2015-02-02,18:00:00,22.75,22.75,22.69,22.73,800,0
2015-02-02,18:05:00,22.7,22.73,22.7,22.73,300,0
2015-02-02,18:10:00,22.69,22.7,22.65,22.68,4447,0
2015-02-02,18:15:00,22.64,22.69,22.64,22.69,11800,0
2015-02-02,18:20:00,22.8,22.85,22.8,22.85,2700,0
2015-02-02,18:30:00,22.8,22.8,22.77,22.8,3700,0
2015-02-02,18:35:00,22.81,22.81,22.81,22.81,2100,0
2015-02-02,18:40:00,22.75,22.76,22.75,22.75,2010,0
2015-02-02,18:45:00,22.76,22.76,22.76,22.76,1000,0
2015-02-02,18:50:00,22.73,22.73,22.72,22.72,600,0
2015-02-02,18:55:00,22.68,22.75,22.68,22.75,1175,0
2015-02-02,19:00:00,22.68,22.73,22.68,22.73,300,0
2015-02-02,19:10:00,22.72,22.72,22.71,22.71,2950,0
2015-02-02,19:15:00,22.77,22.81,22.77,22.81,1500,0
2015-02-02,19:25:00,22.85,22.86,22.85,22.86,3485,0
2015-02-02,19:30:00,22.92,22.92,22.85,22.85,2050,0
2015-02-02,19:35:00,22.88,22.88,22.88,22.88,200,0
2015-02-02,19:40:00,22.72,22.75,22.72,22.75,3000,0
2015-02-02,19:45:00,22.74,22.74,22.7,22.7,330,0
2015-02-02,19:50:00,22.67,22.71,22.67,22.7,2553,0
