Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,22:00:00,13.27,13.30,13.27,13.28,13228,0
2015-02-03,15:35:00,13.35,13.41,13.35,13.41,11140,0
2015-02-03,15:40:00,13.44,13.5,13.44,13.5,2994,0
2015-02-03,15:45:00,13.5,13.51,13.49,13.51,1700,0
2015-02-03,15:50:00,13.52,13.52,13.46,13.5,860,0
2015-02-03,15:55:00,13.54,13.54,13.51,13.53,2400,0
2015-02-03,16:00:00,13.52,13.55,13.5,13.55,8194,0
2015-02-03,16:05:00,13.53,13.61,13.53,13.57,10617,0
2015-02-03,16:10:00,13.56,13.57,13.55,13.57,700,0
2015-02-03,16:15:00,13.57,13.58,13.57,13.57,3700,0
2015-02-03,16:25:00,13.59,13.61,13.59,13.6,700,0
2015-02-03,16:30:00,13.59,13.62,13.59,13.61,18700,0
2015-02-03,16:35:00,13.62,13.62,13.61,13.62,1700,0
2015-02-03,16:40:00,13.61,13.66,13.61,13.64,10788,0
2015-02-03,16:45:00,13.64,13.65,13.64,13.65,2400,0
2015-02-03,16:50:00,13.65,13.65,13.62,13.65,4700,0
2015-02-03,16:55:00,13.65,13.65,13.64,13.65,2099,0
2015-02-03,17:00:00,13.65,13.65,13.61,13.62,3501,0
2015-02-03,17:05:00,13.63,13.65,13.63,13.65,1600,0
2015-02-03,17:10:00,13.65,13.65,13.63,13.65,6799,0
2015-02-03,17:15:00,13.64,13.65,13.64,13.64,3000,0
2015-02-03,17:20:00,13.65,13.65,13.65,13.65,1300,0
2015-02-03,17:25:00,13.65,13.73,13.65,13.7,8651,0
2015-02-03,17:30:00,13.7,13.7,13.63,13.66,9722,0
2015-02-03,17:35:00,13.64,13.64,13.63,13.63,1234,0
2015-02-03,17:40:00,13.63,13.67,13.62,13.67,2194,0
2015-02-03,17:45:00,13.68,13.68,13.67,13.68,400,0
2015-02-03,17:50:00,13.69,13.7,13.68,13.69,3600,0
2015-02-03,17:55:00,13.7,13.7,13.7,13.7,100,0
2015-02-03,18:00:00,13.68,13.72,13.68,13.71,5898,0
2015-02-03,18:05:00,13.71,13.73,13.7,13.7,7658,0
2015-02-03,18:10:00,13.7,13.7,13.68,13.68,2500,0
2015-02-03,18:15:00,13.67,13.68,13.65,13.67,8828,0
2015-02-03,18:20:00,13.66,13.67,13.65,13.66,2200,0
2015-02-03,18:25:00,13.66,13.66,13.66,13.66,500,0
2015-02-03,18:30:00,13.66,13.66,13.65,13.65,1400,0
2015-02-03,18:35:00,13.65,13.68,13.65,13.68,2900,0
2015-02-03,18:40:00,13.67,13.67,13.65,13.66,1200,0
2015-02-03,18:45:00,13.66,13.68,13.65,13.65,4797,0
2015-02-03,18:50:00,13.66,13.68,13.65,13.65,4542,0
2015-02-03,18:55:00,13.66,13.66,13.64,13.65,1400,0
2015-02-03,19:00:00,13.66,13.68,13.66,13.68,600,0
2015-02-03,19:05:00,13.67,13.67,13.64,13.64,1400,0
2015-02-03,19:10:00,13.66,13.68,13.66,13.67,4150,0
2015-02-03,19:15:00,13.66,13.66,13.65,13.66,2706,0
2015-02-03,19:20:00,13.66,13.67,13.66,13.66,2201,0
2015-02-03,19:25:00,13.67,13.68,13.66,13.66,1402,0
