Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-12,16:30:00,6.13,6.13,6.13,6.13,1300,0
2014-12-12,16:45:00,6.13,6.13,6.13,6.13,100,0
2014-12-12,16:50:00,6.13,6.13,6.13,6.13,1100,0
2014-12-12,17:00:00,6.06,6.06,6.06,6.06,1900,0
2014-12-12,17:05:00,6.08,6.08,6.08,6.08,4552,0
2014-12-12,17:15:00,6.06,6.06,6.06,6.06,130,0
2014-12-12,17:20:00,6.12,6.12,6.12,6.12,1500,0
2014-12-12,17:25:00,6.03,6.03,6.03,6.03,3800,0
2014-12-12,17:45:00,6.0,6.0,6.0,6.0,857,0
2014-12-12,18:55:00,6.05,6.05,6.05,6.05,200,0
2014-12-12,19:30:00,6.07,6.09,6.01,6.08,7394,0
2014-12-12,20:05:00,6.12,6.12,6.01,6.01,1400,0
2014-12-12,21:05:00,6.07,6.07,6.07,6.07,524,0
2014-12-12,21:40:00,6.02,6.05,6.02,6.05,1100,0
2014-12-12,22:00:00,6.01,6.02,6.01,6.01,635,0
2014-12-15,15:45:00,6.0,6.01,5.99,5.99,4351,0
2014-12-15,16:10:00,5.98,6.03,5.96,6.03,5988,0
2014-12-15,16:40:00,6.0,6.0,6.0,6.0,200,0
2014-12-15,16:45:00,6.01,6.01,6.01,6.01,100,0
2014-12-15,16:50:00,6.0,6.0,6.0,6.0,100,0
2014-12-15,16:55:00,6.01,6.01,6.01,6.01,200,0
2014-12-15,18:00:00,6.01,6.01,6.01,6.01,200,0
2014-12-15,18:05:00,6.0,6.01,6.0,6.01,250,0
2014-12-15,18:15:00,6.02,6.02,6.02,6.02,124,0
2014-12-15,21:40:00,6.01,6.01,6.01,6.01,100,0
2014-12-15,21:45:00,6.01,6.04,6.0,6.0,3850,0
2014-12-16,15:35:00,5.99,5.99,5.99,5.99,200,0
2014-12-16,15:45:00,5.99,6.01,5.94,6.01,900,0
2014-12-16,15:50:00,5.97,5.97,5.93,5.93,877,0
2014-12-16,15:55:00,6.02,6.02,6.02,6.02,100,0
2014-12-16,16:00:00,6.01,6.01,6.01,6.01,145,0
2014-12-16,16:05:00,6.02,6.05,6.02,6.04,5000,0
2014-12-16,16:10:00,6.03,6.03,6.03,6.03,100,0
2014-12-16,16:25:00,6.05,6.06,6.05,6.06,5100,0
2014-12-16,16:45:00,6.06,6.06,6.06,6.06,2200,0
2014-12-16,17:10:00,6.06,6.06,6.06,6.06,100,0
2014-12-16,17:30:00,6.06,6.06,6.06,6.06,1258,0
