Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:25:00,39.98,40.05,39.95,40.05,1200,0
2015-02-03,16:30:00,40.09,40.11,40.06,40.11,5700,0
2015-02-03,16:35:00,40.1,40.1,39.96,39.96,2200,0
2015-02-03,16:40:00,39.98,39.98,39.92,39.92,4200,0
2015-02-03,16:45:00,39.9,39.92,39.89,39.92,1400,0
2015-02-03,16:50:00,39.92,39.97,39.91,39.97,600,0
2015-02-03,16:55:00,39.98,40.09,39.98,40.09,2300,0
2015-02-03,17:00:00,40.09,40.11,39.99,39.99,2500,0
2015-02-03,17:05:00,40.01,40.01,39.98,39.98,900,0
2015-02-03,17:10:00,39.99,40.19,39.97,40.17,3200,0
2015-02-03,17:15:00,40.16,40.22,40.12,40.18,3339,0
2015-02-03,17:20:00,40.18,40.19,40.17,40.19,1600,0
2015-02-03,17:25:00,40.14,40.14,40.14,40.14,500,0
2015-02-03,17:30:00,40.14,40.19,40.12,40.19,5293,0
2015-02-03,17:35:00,40.21,40.21,40.18,40.18,300,0
2015-02-03,17:40:00,40.15,40.16,40.13,40.16,1300,0
2015-02-03,17:45:00,40.15,40.16,40.15,40.15,1400,0
2015-02-03,17:50:00,40.1,40.1,40.1,40.1,200,0
2015-02-03,17:55:00,40.1,40.1,40.07,40.07,1500,0
2015-02-03,18:00:00,40.1,40.1,40.1,40.1,200,0
2015-02-03,18:05:00,40.11,40.11,40.08,40.1,1400,0
2015-02-03,18:10:00,40.12,40.14,40.1,40.13,1000,0
2015-02-03,18:15:00,40.13,40.17,40.12,40.17,1317,0
2015-02-03,18:20:00,40.16,40.17,40.14,40.14,4375,0
2015-02-03,18:25:00,40.12,40.13,40.09,40.09,1600,0
2015-02-03,18:30:00,40.1,40.14,40.1,40.14,1558,0
2015-02-03,18:35:00,40.13,40.14,40.13,40.14,200,0
2015-02-03,18:40:00,40.13,40.18,40.13,40.18,1100,0
2015-02-03,18:45:00,40.19,40.2,40.18,40.2,1300,0
2015-02-03,18:50:00,40.2,40.23,40.2,40.22,700,0
2015-02-03,18:55:00,40.23,40.25,40.19,40.19,1730,0
2015-02-03,19:00:00,40.25,40.26,40.21,40.21,1600,0
2015-02-03,19:05:00,40.22,40.23,40.21,40.23,1275,0
2015-02-03,19:10:00,40.25,40.25,40.25,40.25,300,0
2015-02-03,19:15:00,40.26,40.33,40.26,40.31,700,0
