Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-25,19:55:00,24.25,24.26,24.25,24.25,1848,0
2014-08-25,20:00:00,24.252,24.301,24.232,24.242,42609,0
2014-08-25,20:05:00,24.232,24.271,24.232,24.252,4415,0
2014-08-25,20:10:00,24.252,24.252,24.252,24.252,1027,0
2014-08-25,20:15:00,24.242,24.252,24.213,24.213,1335,0
2014-08-25,20:20:00,24.213,24.223,24.203,24.203,3388,0
2014-08-25,20:25:00,24.223,24.262,24.203,24.262,2361,0
2014-08-25,20:30:00,24.271,24.271,24.271,24.271,513,0
2014-08-25,20:35:00,24.252,24.262,24.232,24.232,2259,0
2014-08-25,20:40:00,24.242,24.242,24.213,24.213,411,0
2014-08-25,20:45:00,24.213,24.242,24.213,24.232,2053,0
2014-08-25,20:50:00,24.232,24.262,24.232,24.252,6879,0
2014-08-25,20:55:00,24.262,24.262,24.242,24.262,2156,0
2014-08-25,21:00:00,24.252,24.262,24.252,24.262,6910,0
2014-08-25,21:05:00,24.262,24.262,24.262,24.262,1232,0
2014-08-25,21:10:00,24.262,24.262,24.252,24.262,3197,0
2014-08-25,21:15:00,24.262,24.262,24.252,24.252,2097,0
2014-08-25,21:20:00,24.242,24.242,24.223,24.223,1232,0
2014-08-25,21:25:00,24.223,24.223,24.213,24.213,1643,0
2014-08-25,21:30:00,24.213,24.213,24.203,24.203,1437,0
2014-08-25,21:35:00,24.203,24.203,24.203,24.203,1129,0
2014-08-25,21:40:00,24.213,24.213,24.213,24.213,616,0
2014-08-25,21:55:00,24.213,24.223,24.213,24.223,1520,0
2014-08-25,22:00:00,24.203,24.213,24.203,24.203,13596,0
2014-08-26,15:50:00,24.252,24.252,24.203,24.203,616,0
2014-08-26,15:55:00,24.203,24.203,24.203,24.203,308,0
2014-08-26,16:00:00,24.203,24.203,24.203,24.203,616,0
2014-08-26,16:05:00,24.242,24.242,24.203,24.203,719,0
2014-08-26,16:10:00,24.252,24.252,24.252,24.252,2361,0
2014-08-26,16:15:00,24.252,24.252,24.252,24.252,616,0
2014-08-26,16:20:00,24.213,24.213,24.213,24.213,103,0
2014-08-26,16:25:00,24.213,24.252,24.213,24.252,1745,0
