Date,Time,Open,High,Low,Close,Volume,OpenInt
2010-11-09,17:50:00,47.98,47.99,47.98,47.99,575,0
2010-11-09,18:10:00,47.992,47.992,47.992,47.992,116,0
2010-11-09,18:15:00,47.992,47.992,47.992,47.992,116,0
2010-11-09,18:55:00,47.905,47.992,47.905,47.992,230,0
2010-11-09,19:05:00,47.932,47.932,47.932,47.932,230,0
2010-11-09,21:45:00,47.12,47.12,47.12,47.12,459,0
2010-11-09,21:50:00,47.381,47.381,47.381,47.381,116,0
2010-11-09,22:00:00,47.381,47.381,47.381,47.381,345,0
2010-11-12,16:15:00,47.381,47.381,47.355,47.355,916,0
2010-11-17,19:55:00,47.12,47.12,47.12,47.12,116,0
2010-11-17,21:30:00,47.992,47.992,47.992,47.992,230,0
2010-11-23,21:30:00,47.207,47.207,47.207,47.207,230,0
2010-11-26,16:15:00,47.992,47.992,47.992,47.992,803,0
2010-12-03,19:30:00,47.773,47.773,47.773,47.773,116,0
2010-12-03,19:40:00,47.773,47.773,47.773,47.773,345,0
2010-12-07,15:40:00,47.992,47.992,47.992,47.992,575,0
2010-12-07,15:45:00,47.992,47.992,47.992,47.992,230,0
2010-12-08,18:45:00,47.337,47.948,47.337,47.923,1305,0
2010-12-09,20:15:00,47.73,47.73,47.73,47.73,492,0
2010-12-10,22:00:00,47.992,47.992,47.992,47.992,459,0
2010-12-14,15:35:00,47.73,47.73,47.73,47.73,230,0
2010-12-14,15:45:00,47.555,47.555,47.555,47.555,459,0
2010-12-14,15:50:00,47.555,47.555,47.555,47.555,459,0
2010-12-15,17:30:00,48.429,48.429,48.429,48.429,492,0
2010-12-15,20:05:00,47.818,47.818,47.818,47.818,276,0
2010-12-16,20:35:00,46.814,46.814,46.814,46.814,230,0
2010-12-17,21:55:00,46.771,46.771,46.771,46.771,230,0
2010-12-20,17:10:00,47.992,47.992,47.992,47.992,141,0
2010-12-20,19:05:00,47.992,47.992,47.992,47.992,230,0
2010-12-20,20:10:00,47.992,47.992,47.992,47.992,325,0
2010-12-20,20:15:00,47.992,47.992,47.818,47.992,575,0
2010-12-21,21:45:00,47.12,47.12,47.12,47.12,459,0
2010-12-27,17:20:00,47.207,47.207,47.207,47.207,230,0
2010-12-28,16:45:00,47.294,47.294,47.207,47.207,345,0
2010-12-28,22:00:00,47.381,47.381,47.381,47.381,358,0
2010-12-29,18:50:00,47.555,47.555,47.555,47.555,230,0
2010-12-30,19:45:00,47.818,47.818,47.818,47.818,973,0
2010-12-31,20:20:00,47.818,47.818,47.818,47.818,803,0
2011-01-03,18:50:00,47.555,47.555,47.555,47.555,459,0
2011-01-04,18:50:00,46.264,46.264,46.264,46.264,116,0
2011-01-04,22:00:00,46.246,46.246,46.246,46.246,230,0
2011-01-10,21:00:00,47.181,47.181,47.181,47.181,230,0
2011-01-11,15:45:00,47.207,47.207,47.207,47.207,116,0
2011-01-11,18:50:00,47.207,47.207,47.207,47.207,230,0
2011-01-13,21:45:00,47.207,47.207,46.369,46.369,1582,0
2011-01-14,21:10:00,45.845,45.845,45.845,45.845,230,0
2011-01-19,22:00:00,45.811,45.811,45.811,45.811,230,0
2011-01-21,17:50:00,45.374,45.811,45.374,45.811,230,0
2011-01-21,21:25:00,45.811,45.811,45.811,45.811,230,0
2011-01-24,21:55:00,46.099,46.099,46.099,46.099,230,0
2011-01-25,16:20:00,45.811,45.811,45.811,45.811,116,0
2011-01-25,18:10:00,45.374,45.374,45.374,45.374,1036,0
2011-01-25,19:00:00,46.028,46.028,46.028,46.028,116,0
2011-01-25,20:05:00,45.374,45.374,45.374,45.374,390,0
2011-01-25,21:45:00,46.028,46.028,46.028,46.028,230,0
2011-01-26,21:50:00,46.465,46.465,46.465,46.465,230,0
2011-02-01,19:20:00,46.876,46.876,46.876,46.876,230,0
2011-02-04,20:35:00,46.028,46.028,46.028,46.028,230,0
2011-02-14,16:40:00,46.683,46.683,46.683,46.683,116,0
2011-02-15,20:35:00,46.989,46.989,46.246,46.246,230,0
2011-02-15,20:40:00,46.901,46.901,46.901,46.901,345,0
2011-02-22,21:35:00,46.683,46.683,46.683,46.683,230,0
2011-02-23,20:45:00,46.246,46.246,46.246,46.246,230,0
2011-02-25,18:00:00,46.823,46.823,46.823,46.823,116,0
2011-02-25,20:20:00,47.146,47.146,47.146,47.146,230,0
2011-02-28,18:10:00,47.207,47.207,47.207,47.207,563,0
2011-02-28,20:00:00,47.207,47.207,47.207,47.207,116,0
2011-02-28,20:25:00,47.337,47.337,47.337,47.337,199,0
2011-02-28,20:50:00,47.075,47.075,47.075,47.075,116,0
2011-03-01,19:30:00,47.555,47.678,47.555,47.678,426,0
2011-03-01,20:10:00,47.992,47.992,47.992,47.992,345,0
2011-03-01,21:50:00,47.992,48.21,47.992,48.21,575,0
2011-03-03,20:30:00,48.21,48.21,48.21,48.21,116,0
2011-03-07,21:10:00,48.429,48.429,48.429,48.429,230,0
2011-03-14,14:35:00,47.66,47.66,47.66,47.66,230,0
2011-03-15,16:05:00,47.635,47.635,47.635,47.635,575,0
2011-03-15,16:10:00,47.635,47.635,47.425,47.425,345,0
2011-03-15,19:15:00,47.434,47.434,47.425,47.425,459,0
2011-03-18,16:40:00,47.425,47.425,47.172,47.172,575,0
2011-03-18,20:05:00,47.12,47.12,47.12,47.12,345,0
2011-03-24,16:10:00,46.552,46.552,46.552,46.552,205,0
2011-04-11,15:35:00,46.814,46.814,46.814,46.814,116,0
2011-04-21,18:30:00,47.512,47.512,47.512,47.512,230,0
2011-04-25,15:35:00,47.984,47.984,47.984,47.984,116,0
2011-04-25,17:50:00,47.984,47.984,47.172,47.172,230,0
2011-04-25,19:05:00,47.172,47.172,47.172,47.172,116,0
2011-04-25,20:20:00,47.992,47.992,47.992,47.992,1146,0
2011-04-25,21:25:00,47.294,47.294,47.294,47.294,688,0
2011-04-27,16:25:00,46.814,46.814,46.814,46.814,230,0
2011-04-27,18:30:00,47.172,47.172,47.172,47.172,230,0
2011-04-29,16:35:00,46.597,46.597,46.552,46.552,345,0
2011-05-04,15:35:00,46.422,46.422,46.422,46.422,230,0
2011-05-04,16:55:00,46.465,46.465,46.465,46.465,230,0
2011-05-04,18:00:00,46.465,46.465,46.465,46.465,287,0
2011-05-04,21:05:00,46.989,47.644,46.989,47.451,575,0
2011-05-05,18:45:00,48.036,48.097,48.036,48.097,345,0
2011-05-05,22:00:00,48.079,48.079,48.079,48.079,314,0
2011-05-06,19:30:00,47.825,47.825,47.825,47.825,230,0
2011-05-12,22:00:00,48.28,48.28,48.28,48.28,459,0
2011-05-16,15:45:00,47.573,47.573,47.573,47.573,230,0
2011-05-19,20:35:00,47.12,47.12,47.12,47.12,429,0
2011-05-19,21:20:00,47.546,47.546,47.546,47.546,230,0
2011-05-27,20:55:00,47.984,47.984,47.984,47.984,230,0
2011-06-01,21:50:00,47.773,47.773,47.773,47.773,230,0
2011-06-03,20:55:00,47.773,47.773,47.773,47.773,345,0
2011-06-06,16:05:00,48.009,48.009,48.009,48.009,173,0
2011-06-06,19:00:00,48.489,48.489,48.489,48.489,116,0
2011-06-06,22:00:00,48.429,48.429,48.429,48.429,230,0
2011-06-08,15:35:00,48.402,48.402,48.402,48.402,230,0
2011-06-08,18:00:00,47.705,47.705,47.705,47.705,230,0
2011-06-09,19:00:00,47.555,47.555,47.425,47.425,230,0
2011-06-09,19:10:00,46.901,46.901,46.901,46.901,116,0
2011-06-09,20:15:00,46.901,46.901,46.901,46.901,803,0
2011-06-10,18:30:00,47.12,47.12,47.12,47.12,116,0
2011-06-13,17:45:00,46.352,46.413,46.352,46.413,764,0
