Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,24.06,24.12,24.05,24.06,6246,0
2015-02-03,16:55:00,24.08,24.11,23.96,24.05,10800,0
2015-02-03,17:00:00,24.09,24.23,24.06,24.11,8381,0
2015-02-03,17:05:00,24.11,24.14,23.93,23.94,16863,0
2015-02-03,17:10:00,23.95,24.08,23.95,24.07,7949,0
2015-02-03,17:15:00,24.06,24.12,23.96,23.98,10254,0
2015-02-03,17:20:00,24.0,24.19,23.97,24.17,12651,0
2015-02-03,17:25:00,24.16,24.3,24.06,24.28,30509,0
2015-02-03,17:30:00,24.29,24.32,24.1,24.15,9143,0
2015-02-03,17:35:00,24.12,24.2,24.11,24.17,5800,0
2015-02-03,17:40:00,24.13,24.13,23.85,23.85,8611,0
2015-02-03,17:45:00,23.83,24.04,23.82,23.97,13263,0
2015-02-03,17:50:00,23.95,24.02,23.85,24.02,17100,0
2015-02-03,17:55:00,23.99,24.05,23.92,23.92,4327,0
2015-02-03,18:00:00,23.93,23.96,23.9,23.9,2500,0
2015-02-03,18:05:00,23.87,23.9,23.74,23.76,12127,0
2015-02-03,18:10:00,23.79,23.8,23.66,23.71,5898,0
2015-02-03,18:15:00,23.69,23.79,23.65,23.72,7027,0
2015-02-03,18:20:00,23.72,23.75,23.65,23.72,8408,0
2015-02-03,18:25:00,23.73,23.77,23.59,23.61,5727,0
2015-02-03,18:30:00,23.6,23.66,23.53,23.58,12200,0
2015-02-03,18:35:00,23.57,23.63,23.53,23.63,6300,0
2015-02-03,18:40:00,23.62,23.76,23.6,23.75,7100,0
2015-02-03,18:45:00,23.8,23.84,23.76,23.84,11100,0
2015-02-03,18:50:00,23.88,23.98,23.83,23.83,8508,0
2015-02-03,18:55:00,23.85,24.0,23.83,23.98,9600,0
2015-02-03,19:00:00,23.97,24.05,23.91,23.91,20600,0
2015-02-03,19:05:00,23.92,24.1,23.88,24.1,13469,0
2015-02-03,19:10:00,24.06,24.1,24.03,24.1,6000,0
2015-02-03,19:15:00,24.09,24.17,24.08,24.1,14750,0
2015-02-03,19:20:00,24.07,24.13,24.06,24.11,6500,0
2015-02-03,19:25:00,24.11,24.14,24.04,24.12,10100,0
2015-02-03,19:30:00,24.13,24.15,24.09,24.11,7027,0
2015-02-03,19:35:00,24.14,24.14,24.04,24.04,9250,0
2015-02-03,19:40:00,24.07,24.08,23.93,23.94,6700,0
2015-02-03,19:45:00,23.94,24.12,23.93,24.12,10411,0
2015-02-03,19:50:00,24.07,24.12,24.03,24.09,3825,0
2015-02-03,19:55:00,24.05,24.05,23.95,24.0,7068,0
2015-02-03,20:00:00,24.0,24.01,23.93,24.0,5997,0
2015-02-03,20:05:00,24.03,24.12,24.02,24.12,7081,0
2015-02-03,20:10:00,24.09,24.12,23.93,23.98,9986,0
2015-02-03,20:15:00,24.03,24.07,23.96,24.02,40984,0
2015-02-03,20:20:00,24.01,24.11,23.98,24.03,14535,0
2015-02-03,20:25:00,24.04,24.04,23.95,24.01,24237,0
2015-02-03,20:30:00,24.01,24.1,24.0,24.1,21254,0
2015-02-03,20:35:00,24.12,24.14,23.94,23.95,22000,0
