Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-28,18:40:00,26.85,26.85,26.84,26.84,2300,0
2015-01-28,18:45:00,26.84,26.84,26.84,26.84,1687,0
2015-01-28,18:50:00,26.84,26.84,26.84,26.84,4197,0
2015-01-28,19:05:00,26.84,26.84,26.84,26.84,2672,0
2015-01-28,19:10:00,26.84,26.84,26.84,26.84,1080,0
2015-01-28,19:15:00,26.85,26.85,26.84,26.84,3679,0
2015-01-28,19:20:00,26.84,26.85,26.84,26.85,5809,0
2015-01-28,19:25:00,26.84,26.84,26.84,26.84,1176,0
2015-01-28,19:30:00,26.84,26.85,26.84,26.85,1100,0
2015-01-28,19:35:00,26.85,26.85,26.85,26.85,200,0
2015-01-28,19:50:00,26.84,26.84,26.84,26.84,500,0
2015-01-28,19:55:00,26.84,26.85,26.84,26.85,6589,0
2015-01-28,20:00:00,26.84,26.85,26.84,26.84,836,0
2015-01-28,20:05:00,26.85,26.85,26.84,26.85,8052,0
2015-01-28,20:20:00,26.84,26.85,26.84,26.84,860,0
2015-01-28,20:25:00,26.85,26.85,26.85,26.85,976,0
2015-01-28,20:30:00,26.84,26.85,26.84,26.85,1390,0
2015-01-28,20:35:00,26.85,26.85,26.85,26.85,1001,0
2015-01-28,20:40:00,26.84,26.84,26.83,26.83,5898,0
2015-01-28,20:45:00,26.84,26.84,26.84,26.84,266,0
2015-01-28,20:50:00,26.84,26.84,26.84,26.84,3370,0
2015-01-28,20:55:00,26.84,26.84,26.84,26.84,1002,0
2015-01-28,21:00:00,26.84,26.84,26.84,26.84,100,0
2015-01-28,21:05:00,26.84,26.84,26.84,26.84,1038,0
2015-01-28,21:15:00,26.84,26.84,26.84,26.84,3144,0
2015-01-28,21:20:00,26.84,26.85,26.84,26.84,7146,0
2015-01-28,21:25:00,26.83,26.83,26.83,26.83,600,0
2015-01-28,21:30:00,26.83,26.84,26.82,26.84,5501,0
2015-01-28,21:45:00,26.84,26.84,26.83,26.83,5547,0
2015-01-28,21:50:00,26.83,26.84,26.83,26.84,1347,0
2015-01-28,21:55:00,26.84,26.84,26.84,26.84,800,0
2015-01-28,22:00:00,26.83,26.9,26.83,26.85,11006,0
2015-01-29,15:35:00,26.87,26.88,26.85,26.85,10822,0
2015-01-29,15:40:00,26.86,26.86,26.85,26.85,2800,0
2015-01-29,15:45:00,26.85,26.86,26.85,26.85,1500,0
2015-01-29,16:00:00,26.86,26.86,26.86,26.86,2600,0
2015-01-29,16:05:00,26.85,26.85,26.83,26.83,3563,0
2015-01-29,16:10:00,26.83,26.83,26.83,26.83,900,0
2015-01-29,16:15:00,26.83,26.83,26.83,26.83,800,0
2015-01-29,16:25:00,26.82,26.82,26.81,26.81,1000,0
2015-01-29,16:30:00,26.81,26.81,26.78,26.78,3733,0
2015-01-29,16:35:00,26.79,26.8,26.79,26.8,3467,0
2015-01-29,16:40:00,26.81,26.81,26.8,26.8,734,0
2015-01-29,16:45:00,26.81,26.81,26.77,26.78,4200,0
2015-01-29,16:50:00,26.77,26.77,26.77,26.77,200,0
2015-01-29,16:55:00,26.77,26.77,26.75,26.75,5300,0
2015-01-29,17:05:00,26.76,26.76,26.75,26.76,1300,0
2015-01-29,17:10:00,26.75,26.76,26.75,26.76,800,0
2015-01-29,17:15:00,26.75,26.75,26.74,26.74,17840,0
2015-01-29,17:20:00,26.76,26.76,26.75,26.75,200,0
2015-01-29,17:25:00,26.76,26.76,26.75,26.76,2800,0
2015-01-29,17:30:00,26.76,26.76,26.75,26.76,1714,0
2015-01-29,17:35:00,26.75,26.76,26.75,26.76,1300,0
2015-01-29,17:40:00,26.76,26.77,26.76,26.77,800,0
2015-01-29,17:45:00,26.77,26.77,26.77,26.77,1100,0
2015-01-29,17:50:00,26.78,26.78,26.78,26.78,200,0
2015-01-29,17:55:00,26.78,26.78,26.78,26.78,875,0
2015-01-29,18:00:00,26.78,26.78,26.78,26.78,200,0
2015-01-29,18:05:00,26.79,26.79,26.79,26.79,8910,0
2015-01-29,18:15:00,26.79,26.81,26.79,26.81,458,0
2015-01-29,18:20:00,26.81,26.81,26.81,26.81,1100,0
2015-01-29,18:25:00,26.79,26.79,26.78,26.78,400,0
2015-01-29,18:30:00,26.79,26.79,26.78,26.78,500,0
2015-01-29,18:35:00,26.77,26.79,26.77,26.79,1600,0
2015-01-29,18:40:00,26.8,26.8,26.8,26.8,873,0
2015-01-29,18:50:00,26.8,26.81,26.8,26.8,1423,0
2015-01-29,19:10:00,26.81,26.81,26.81,26.81,2534,0
2015-01-29,19:15:00,26.81,26.82,26.81,26.82,1910,0
2015-01-29,19:20:00,26.81,26.82,26.8,26.82,16918,0
2015-01-29,19:25:00,26.81,26.81,26.81,26.81,915,0
2015-01-29,19:30:00,26.81,26.81,26.81,26.81,1305,0
2015-01-29,19:35:00,26.81,26.81,26.81,26.81,600,0
2015-01-29,19:40:00,26.81,26.81,26.8,26.8,3178,0
2015-01-29,19:45:00,26.81,26.81,26.8,26.81,2510,0
2015-01-29,19:50:00,26.81,26.82,26.81,26.82,3100,0
2015-01-29,19:55:00,26.83,26.84,26.83,26.84,325,0
2015-01-29,20:00:00,26.83,26.84,26.83,26.84,2477,0
2015-01-29,20:05:00,26.84,26.84,26.83,26.83,3070,0
2015-01-29,20:10:00,26.83,26.84,26.83,26.84,3460,0
2015-01-29,20:15:00,26.83,26.83,26.83,26.83,200,0
2015-01-29,20:20:00,26.84,26.84,26.84,26.84,600,0
2015-01-29,20:25:00,26.84,26.84,26.84,26.84,1300,0
2015-01-29,20:30:00,26.84,26.84,26.84,26.84,100,0
2015-01-29,20:35:00,26.84,26.84,26.84,26.84,891,0
2015-01-29,20:40:00,26.83,26.85,26.83,26.85,5703,0
2015-01-29,20:45:00,26.84,26.84,26.84,26.84,1230,0
2015-01-29,20:50:00,26.85,26.85,26.84,26.84,400,0
2015-01-29,20:55:00,26.85,26.85,26.85,26.85,1440,0
2015-01-29,21:00:00,26.85,26.85,26.83,26.83,5906,0
2015-01-29,21:05:00,26.83,26.83,26.83,26.83,448,0
2015-01-29,21:10:00,26.84,26.84,26.84,26.84,100,0
2015-01-29,21:15:00,26.84,26.85,26.83,26.83,3291,0
2015-01-29,21:20:00,26.85,26.85,26.85,26.85,1100,0
2015-01-29,21:25:00,26.85,26.86,26.85,26.86,2573,0
2015-01-29,21:30:00,26.86,26.86,26.86,26.86,200,0
2015-01-29,21:35:00,26.86,26.86,26.85,26.85,1061,0
2015-01-29,21:40:00,26.86,26.86,26.85,26.85,684,0
2015-01-29,21:45:00,26.85,26.85,26.85,26.85,5720,0
2015-01-29,21:50:00,26.85,26.85,26.85,26.85,200,0
2015-01-29,21:55:00,26.85,26.85,26.85,26.85,679,0
2015-01-29,22:00:00,26.86,26.86,26.85,26.85,2808,0
2015-01-30,15:35:00,26.8,26.8,26.79,26.8,72460,0
2015-01-30,15:40:00,26.8,26.83,26.76,26.83,15000,0
2015-01-30,15:45:00,26.83,26.83,26.83,26.83,2400,0
2015-01-30,15:50:00,26.84,26.85,26.84,26.85,2503,0
2015-01-30,15:55:00,26.85,26.85,26.85,26.85,758,0
