Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-01,15:40:00,25.40,25.40,25.40,25.40,3214,0
2014-12-01,15:55:00,25.32,25.32,25.32,25.32,200,0
2014-12-01,16:10:00,25.25,25.25,25.25,25.25,900,0
2014-12-01,16:55:00,25.25,25.25,25.25,25.25,100,0
2014-12-01,17:00:00,25.25,25.25,25.25,25.25,1498,0
2014-12-01,17:05:00,25.25,25.25,25.25,25.25,726,0
2014-12-01,17:40:00,25.27,25.27,25.25,25.25,3100,0
2014-12-01,17:50:00,25.27,25.27,25.27,25.27,625,0
2014-12-01,18:25:00,25.25,25.25,25.25,25.25,140,0
2014-12-01,18:30:00,25.24,25.24,25.24,25.24,1100,0
2014-12-01,18:40:00,25.22,25.22,25.22,25.22,900,0
2014-12-01,19:25:00,25.25,25.25,25.25,25.25,515,0
2014-12-01,19:45:00,25.22,25.22,25.22,25.22,220,0
2014-12-01,19:50:00,25.22,25.22,25.22,25.22,800,0
2014-12-01,21:10:00,25.23,25.23,25.23,25.23,116,0
2014-12-01,21:35:00,25.2,25.2,25.2,25.2,100,0
2014-12-01,21:55:00,25.17,25.17,25.17,25.17,100,0
2014-12-01,22:00:00,25.13,25.13,25.13,25.13,800,0
2014-12-02,15:35:00,25.07,25.07,25.07,25.07,450,0
2014-12-02,15:40:00,25.11,25.11,24.99,25.05,1472,0
2014-12-02,15:45:00,25.05,25.05,25.05,25.05,1000,0
2014-12-02,16:10:00,24.95,25.05,24.94,24.94,2900,0
2014-12-02,16:15:00,25.04,25.13,25.04,25.13,800,0
2014-12-02,16:20:00,25.09,25.09,25.09,25.09,500,0
2014-12-02,16:25:00,25.08,25.1,25.08,25.1,3200,0
2014-12-02,16:30:00,25.18,25.18,25.05,25.05,700,0
2014-12-02,17:45:00,25.05,25.05,25.05,25.05,750,0
2014-12-02,19:35:00,25.16,25.17,25.16,25.17,400,0
2014-12-02,21:00:00,25.16,25.16,25.16,25.16,800,0
2014-12-02,21:15:00,25.11,25.11,25.11,25.11,500,0
2014-12-02,21:20:00,25.17,25.17,25.08,25.08,2700,0
2014-12-02,21:40:00,25.15,25.15,25.15,25.15,554,0
2014-12-02,22:00:00,25.09,25.09,25.09,25.09,450,0
2014-12-03,16:45:00,25.14,25.14,25.14,25.14,410,0
2014-12-03,17:20:00,25.13,25.13,25.13,25.13,651,0
2014-12-03,18:00:00,25.1,25.1,25.1,25.1,200,0
2014-12-03,19:35:00,25.11,25.11,25.07,25.07,500,0
2014-12-03,19:45:00,25.06,25.06,25.06,25.06,600,0
2014-12-03,20:15:00,25.05,25.05,25.0,25.05,1900,0
2014-12-03,20:25:00,25.0,25.0,25.0,25.0,500,0
2014-12-03,20:30:00,25.1,25.11,25.1,25.11,1800,0
2014-12-03,21:05:00,25.05,25.05,25.05,25.05,668,0
2014-12-03,21:10:00,25.09,25.09,25.09,25.09,557,0
2014-12-03,21:30:00,25.08,25.08,25.08,25.08,100,0
2014-12-03,22:00:00,25.09,25.09,25.09,25.09,484,0
2014-12-04,15:45:00,25.2,25.2,25.19,25.19,700,0
2014-12-04,15:55:00,25.1,25.1,25.1,25.1,1100,0
2014-12-04,16:15:00,25.01,25.01,25.01,25.01,100,0
2014-12-04,16:20:00,25.1,25.1,25.1,25.1,200,0
2014-12-04,16:25:00,25.04,25.04,25.04,25.04,200,0
2014-12-04,16:35:00,25.04,25.04,25.04,25.04,400,0
2014-12-04,16:45:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,16:50:00,25.02,25.02,25.02,25.02,200,0
2014-12-04,17:00:00,25.0,25.0,25.0,25.0,100,0
2014-12-04,17:05:00,25.0,25.01,25.0,25.0,854,0
2014-12-04,17:10:00,25.0,25.01,25.0,25.01,3200,0
2014-12-04,17:20:00,25.01,25.01,25.01,25.01,1000,0
2014-12-04,17:25:00,25.0,25.08,25.0,25.08,553,0
2014-12-04,17:40:00,25.0,25.06,25.0,25.06,200,0
2014-12-04,17:45:00,25.0,25.0,25.0,25.0,100,0
2014-12-04,17:50:00,25.0,25.0,25.0,25.0,100,0
2014-12-04,18:00:00,25.0,25.0,25.0,25.0,100,0
2014-12-04,18:05:00,25.0,25.01,25.0,25.01,200,0
2014-12-04,18:10:00,25.0,25.0,25.0,25.0,239,0
2014-12-04,18:15:00,25.01,25.01,25.0,25.01,1700,0
2014-12-04,18:20:00,25.03,25.06,25.03,25.06,1100,0
2014-12-04,18:45:00,25.01,25.01,25.01,25.01,100,0
2014-12-04,18:50:00,25.01,25.01,25.01,25.01,300,0
2014-12-04,19:00:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,19:05:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,19:10:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,19:15:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,19:20:00,25.06,25.06,25.06,25.06,100,0
2014-12-04,19:25:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,19:30:00,25.02,25.08,25.02,25.08,1916,0
2014-12-04,19:35:00,25.08,25.08,25.08,25.08,100,0
2014-12-04,19:40:00,25.08,25.08,25.05,25.05,2108,0
2014-12-04,19:45:00,25.1,25.1,25.05,25.08,616,0
2014-12-04,19:50:00,25.05,25.05,25.05,25.05,100,0
2014-12-04,19:55:00,25.05,25.05,25.05,25.05,100,0
2014-12-04,20:00:00,25.05,25.05,25.05,25.05,300,0
2014-12-04,20:15:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,20:20:00,25.03,25.03,25.03,25.03,100,0
2014-12-04,20:25:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,20:35:00,25.02,25.02,25.02,25.02,100,0
2014-12-04,20:40:00,25.02,25.02,25.01,25.01,1408,0
2014-12-04,20:45:00,25.01,25.01,25.01,25.01,100,0
2014-12-04,20:50:00,25.01,25.01,25.01,25.01,100,0
2014-12-04,21:00:00,25.01,25.01,25.01,25.01,100,0
2014-12-04,21:05:00,25.0,25.01,25.0,25.01,5400,0
2014-12-04,21:10:00,25.01,25.02,25.0,25.02,2785,0
2014-12-04,21:15:00,25.02,25.05,25.02,25.05,700,0
2014-12-04,21:30:00,25.02,25.02,25.02,25.02,1090,0
2014-12-04,21:45:00,25.03,25.04,25.02,25.02,1961,0
2014-12-04,22:00:00,25.01,25.01,25.01,25.01,2248,0
2014-12-05,16:00:00,25.04,25.06,25.04,25.06,200,0
2014-12-05,16:50:00,25.03,25.03,25.03,25.03,190,0
2014-12-05,17:00:00,25.02,25.02,25.01,25.01,800,0
2014-12-05,18:35:00,25.06,25.06,25.06,25.06,100,0
2014-12-05,18:45:00,25.08,25.08,25.08,25.08,200,0
2014-12-05,18:55:00,25.06,25.06,25.05,25.05,300,0
2014-12-05,19:20:00,25.05,25.05,25.05,25.05,300,0
2014-12-05,19:30:00,25.02,25.02,25.02,25.02,750,0
2014-12-05,19:45:00,25.02,25.02,25.02,25.02,200,0
2014-12-05,19:50:00,25.02,25.02,25.02,25.02,200,0
2014-12-05,20:05:00,25.03,25.03,25.03,25.03,1633,0
2014-12-05,20:15:00,25.03,25.03,25.03,25.03,200,0
2014-12-05,20:50:00,25.02,25.02,25.02,25.02,387,0
2014-12-05,20:55:00,25.03,25.03,25.03,25.03,2000,0
2014-12-05,21:30:00,25.02,25.02,25.02,25.02,141,0
2014-12-05,21:55:00,25.02,25.02,25.02,25.02,200,0
2014-12-08,16:00:00,25.02,25.03,25.02,25.03,500,0
2014-12-08,16:10:00,25.07,25.08,25.07,25.08,1300,0
2014-12-08,19:05:00,25.09,25.1,25.09,25.1,7794,0
2014-12-08,20:20:00,25.08,25.08,25.08,25.08,800,0
2014-12-08,20:30:00,25.05,25.05,25.02,25.02,460,0
2014-12-08,20:45:00,25.02,25.04,25.02,25.04,2000,0
2014-12-08,20:50:00,25.08,25.08,25.02,25.02,900,0
2014-12-09,15:35:00,25.06,25.06,25.06,25.06,107,0
2014-12-09,15:55:00,25.02,25.02,25.02,25.02,100,0
2014-12-09,16:05:00,25.05,25.05,25.05,25.05,750,0
2014-12-09,16:15:00,25.02,25.02,25.02,25.02,100,0
2014-12-09,16:30:00,25.01,25.01,25.01,25.01,100,0
2014-12-09,16:35:00,25.08,25.08,25.01,25.01,249,0
2014-12-09,16:45:00,25.07,25.08,25.07,25.08,200,0
2014-12-09,16:55:00,25.03,25.03,25.03,25.03,400,0
2014-12-09,17:00:00,25.02,25.03,25.02,25.03,200,0
2014-12-09,17:15:00,25.01,25.01,25.01,25.01,399,0
2014-12-09,17:30:00,25.01,25.01,25.01,25.01,100,0
2014-12-09,17:55:00,25.02,25.02,25.02,25.02,100,0
2014-12-09,18:15:00,25.05,25.05,25.05,25.05,100,0
2014-12-09,18:20:00,25.01,25.01,25.01,25.01,100,0
2014-12-09,18:45:00,25.02,25.02,25.02,25.02,100,0
2014-12-09,19:15:00,25.02,25.02,25.02,25.02,100,0
2014-12-09,19:35:00,25.07,25.07,25.07,25.07,200,0
2014-12-09,19:40:00,25.04,25.04,25.04,25.04,100,0
2014-12-09,19:55:00,25.09,25.09,25.09,25.09,395,0
2014-12-09,20:05:00,25.08,25.08,25.04,25.04,1054,0
