Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-03,16:35:00,110.13,110.13,110.13,110.13,800,0
2014-04-03,19:40:00,110.0,110.0,110.0,110.0,300,0
2014-04-03,19:50:00,109.88,109.88,109.88,109.88,100,0
2014-04-03,20:10:00,109.93,109.93,109.93,109.93,500,0
2014-04-03,20:15:00,109.82,109.82,109.82,109.82,100,0
2014-04-03,20:20:00,109.69,109.69,109.69,109.69,100,0
2014-04-04,16:45:00,110.5,110.5,110.5,110.5,600,0
2014-04-04,17:50:00,110.0,110.0,110.0,110.0,100,0
2014-04-04,19:20:00,109.0,109.0,109.0,109.0,200,0
2014-04-04,20:05:00,109.39,109.91,109.3,109.83,1200,0
2014-04-04,20:10:00,109.62,109.62,109.62,109.62,200,0
2014-04-04,20:15:00,109.12,109.12,109.12,109.12,200,0
2014-04-04,20:30:00,109.12,109.12,109.12,109.12,300,0
2014-04-04,20:40:00,109.12,109.12,109.12,109.12,400,0
2014-04-04,20:45:00,109.12,109.12,109.12,109.12,500,0
2014-04-04,20:50:00,109.12,109.12,109.12,109.12,200,0
2014-04-04,21:00:00,109.12,109.12,109.12,109.12,400,0
2014-04-04,21:10:00,109.12,109.12,109.12,109.12,100,0
2014-04-04,21:20:00,109.12,109.12,109.12,109.12,100,0
2014-04-07,16:25:00,108.0,108.0,108.0,108.0,800,0
2014-04-07,16:50:00,107.6,107.6,107.6,107.6,896,0
2014-04-07,18:00:00,107.25,107.25,107.25,107.25,200,0
2014-04-07,18:05:00,107.25,107.25,107.25,107.25,300,0
2014-04-07,18:10:00,107.25,107.25,107.25,107.25,700,0
2014-04-07,19:55:00,107.09,107.09,107.09,107.09,200,0
2014-04-08,16:25:00,106.0,106.0,106.0,106.0,300,0
2014-04-08,16:30:00,106.0,106.0,106.0,106.0,500,0
2014-04-08,20:05:00,106.38,106.38,106.38,106.38,100,0
2014-04-08,20:10:00,106.1,106.1,106.1,106.1,198,0
2014-04-08,20:20:00,105.87,105.87,105.87,105.87,100,0
2014-04-08,20:25:00,106.02,106.02,105.18,105.94,1800,0
2014-04-08,21:50:00,105.57,105.57,105.57,105.57,206,0
2014-04-09,17:30:00,106.3,106.3,106.3,106.3,300,0
2014-04-09,18:10:00,106.0,106.0,105.6,105.6,1100,0
2014-04-09,19:20:00,106.5,106.5,106.5,106.5,300,0
2014-04-09,22:00:00,106.52,106.52,106.52,106.52,100,0
2014-04-10,19:25:00,106.5,106.5,106.5,106.5,400,0
2014-04-10,20:30:00,106.26,106.26,106.26,106.26,100,0
2014-04-10,20:55:00,106.0,106.5,106.0,106.19,1200,0
2014-04-10,21:05:00,106.0,106.0,106.0,106.0,406,0
2014-04-11,15:35:00,104.2,104.2,104.2,104.2,200,0
2014-04-11,15:40:00,105.59,105.59,105.59,105.59,652,0
2014-04-11,18:25:00,105.39,105.39,105.38,105.39,1440,0
2014-04-11,18:30:00,105.53,105.53,105.53,105.53,100,0
2014-04-11,19:00:00,105.62,105.62,105.62,105.62,100,0
2014-04-11,19:10:00,104.25,105.4,104.25,105.4,500,0
2014-04-11,19:30:00,105.32,105.32,105.32,105.32,300,0
2014-04-11,19:45:00,105.34,105.61,105.29,105.34,700,0
2014-04-11,19:55:00,104.25,104.25,104.25,104.25,200,0
2014-04-11,20:00:00,104.41,104.41,104.25,104.25,900,0
2014-04-11,20:15:00,105.71,105.71,105.71,105.71,200,0
2014-04-11,20:30:00,105.6,105.6,105.6,105.6,100,0
2014-04-11,21:25:00,105.17,105.63,105.17,105.63,600,0
2014-04-11,21:40:00,104.5,104.53,104.5,104.5,1100,0
2014-04-11,21:50:00,105.52,105.52,104.55,104.55,1000,0
2014-04-11,21:55:00,105.57,105.57,105.57,105.57,100,0
2014-04-14,16:00:00,105.88,105.89,105.88,105.89,700,0
2014-04-14,17:15:00,105.75,105.75,105.75,105.75,300,0
2014-04-14,17:50:00,105.93,105.96,105.92,105.93,4103,0
2014-04-14,18:25:00,105.2,105.2,105.2,105.2,400,0
2014-04-14,19:15:00,105.65,105.75,105.64,105.75,700,0
2014-04-14,19:35:00,105.58,105.58,104.95,104.95,700,0
2014-04-14,20:40:00,105.76,105.76,105.75,105.75,2600,0
