Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:45:00,44.76,44.79,44.61,44.63,21578,0
2015-02-03,16:50:00,44.63,44.7,44.6,44.7,34600,0
2015-02-03,16:55:00,44.7,44.77,44.68,44.77,3125,0
2015-02-03,17:00:00,44.79,44.8,44.65,44.65,8982,0
2015-02-03,17:05:00,44.66,44.69,44.63,44.63,10575,0
2015-02-03,17:10:00,44.63,44.73,44.63,44.73,6888,0
2015-02-03,17:15:00,44.7,44.75,44.67,44.74,12800,0
2015-02-03,17:20:00,44.73,44.76,44.67,44.76,1600,0
2015-02-03,17:25:00,44.77,44.8,44.75,44.8,4269,0
2015-02-03,17:30:00,44.8,44.82,44.71,44.75,5564,0
2015-02-03,17:35:00,44.73,44.74,44.71,44.71,2850,0
2015-02-03,17:40:00,44.69,44.73,44.67,44.73,4500,0
2015-02-03,17:45:00,44.71,44.78,44.69,44.77,8150,0
2015-02-03,17:50:00,44.76,44.76,44.7,44.75,3900,0
2015-02-03,17:55:00,44.75,44.75,44.63,44.63,5292,0
2015-02-03,18:00:00,44.62,44.62,44.56,44.58,4100,0
2015-02-03,18:05:00,44.59,44.59,44.5,44.54,5923,0
2015-02-03,18:10:00,44.55,44.63,44.54,44.63,5360,0
2015-02-03,18:15:00,44.65,44.72,44.63,44.72,4300,0
2015-02-03,18:20:00,44.71,44.71,44.66,44.66,4800,0
2015-02-03,18:25:00,44.68,44.72,44.68,44.69,3300,0
2015-02-03,18:30:00,44.67,44.7,44.65,44.7,2300,0
2015-02-03,18:35:00,44.69,44.69,44.6,44.63,4000,0
2015-02-03,18:40:00,44.63,44.65,44.59,44.61,3100,0
2015-02-03,18:45:00,44.63,44.71,44.63,44.71,1700,0
2015-02-03,18:50:00,44.73,44.74,44.64,44.68,3966,0
2015-02-03,18:55:00,44.67,44.7,44.62,44.7,6232,0
2015-02-03,19:00:00,44.73,44.74,44.69,44.71,4500,0
2015-02-03,19:05:00,44.71,44.71,44.68,44.69,5000,0
2015-02-03,19:10:00,44.67,44.78,44.67,44.78,6189,0
2015-02-03,19:15:00,44.77,44.84,44.72,44.83,3494,0
2015-02-03,19:20:00,44.78,44.82,44.78,44.8,1500,0
2015-02-03,19:25:00,44.79,44.84,44.79,44.82,7700,0
2015-02-03,19:30:00,44.83,44.85,44.81,44.81,5900,0
2015-02-03,19:35:00,44.81,44.82,44.77,44.79,5300,0
2015-02-03,19:40:00,44.79,44.81,44.78,44.78,4800,0
2015-02-03,19:45:00,44.79,44.81,44.75,44.8,6000,0
2015-02-03,19:50:00,44.83,44.85,44.8,44.81,4800,0
2015-02-03,19:55:00,44.8,44.84,44.79,44.83,4734,0
2015-02-03,20:00:00,44.83,44.94,44.82,44.93,9568,0
2015-02-03,20:05:00,44.94,44.96,44.93,44.94,7700,0
2015-02-03,20:10:00,44.93,44.95,44.89,44.89,8178,0
2015-02-03,20:15:00,44.91,44.94,44.89,44.92,4600,0
2015-02-03,20:20:00,44.89,44.94,44.88,44.88,6895,0
2015-02-03,20:25:00,44.89,44.9,44.84,44.84,9480,0
2015-02-03,20:30:00,44.82,44.85,44.74,44.79,31998,0
2015-02-03,20:35:00,44.8,44.85,44.79,44.85,4882,0
2015-02-03,20:40:00,44.86,44.86,44.82,44.86,6921,0
