Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,15:40:00,9.22,9.22,9.20,9.21,8661,0
2015-02-02,15:45:00,9.2046,9.2046,9.1648,9.1648,2783,0
2015-02-02,15:50:00,9.1648,9.1947,9.1648,9.1947,4818,0
2015-02-02,15:55:00,9.1947,9.1947,9.1847,9.1847,3374,0
2015-02-02,16:00:00,9.1648,9.1648,9.1648,9.1648,2099,0
2015-02-02,16:05:00,9.1648,9.1748,9.135,9.1549,44727,0
2015-02-02,16:10:00,9.1549,9.1648,9.135,9.1549,9229,0
2015-02-02,16:15:00,9.1549,9.1648,9.1549,9.1648,1943,0
2015-02-02,16:20:00,9.1748,9.1748,9.1748,9.1748,724,0
2015-02-02,16:25:00,9.1748,9.1847,9.1748,9.1847,3786,0
2015-02-02,16:30:00,9.1847,9.1847,9.1847,9.1847,300,0
2015-02-02,16:35:00,9.1847,9.1847,9.1748,9.1847,651,0
2015-02-02,16:40:00,9.1847,9.1847,9.1847,9.1847,400,0
2015-02-02,16:45:00,9.1847,9.1847,9.1748,9.1847,1304,0
2015-02-02,16:50:00,9.1847,9.1847,9.1748,9.1748,2108,0
2015-02-02,16:55:00,9.1847,9.1947,9.1847,9.1847,3519,0
2015-02-02,17:00:00,9.1947,9.1947,9.1847,9.1847,600,0
2015-02-02,17:05:00,9.1748,9.1847,9.1648,9.1847,11243,0
2015-02-02,17:10:00,9.1947,9.1947,9.1847,9.1847,1435,0
2015-02-02,17:15:00,9.1947,9.2046,9.1947,9.2046,8438,0
2015-02-02,17:20:00,9.2046,9.2046,9.1947,9.2046,12437,0
2015-02-02,17:25:00,9.2046,9.2046,9.1947,9.1947,5213,0
2015-02-02,17:30:00,9.1947,9.2146,9.1947,9.2046,5630,0
2015-02-02,17:35:00,9.2046,9.2146,9.1947,9.1947,7804,0
2015-02-02,17:40:00,9.1947,9.2046,9.1847,9.2046,14684,0
2015-02-02,17:45:00,9.2046,9.2046,9.1947,9.1947,3001,0
2015-02-02,17:50:00,9.1947,9.2146,9.1947,9.2146,8582,0
2015-02-02,17:55:00,9.2046,9.2046,9.1947,9.1947,1943,0
2015-02-02,18:00:00,9.1947,9.2046,9.1847,9.1947,2301,0
2015-02-02,18:05:00,9.1947,9.1947,9.1648,9.1648,2756,0
2015-02-02,18:10:00,9.1748,9.1748,9.1648,9.1748,1856,0
2015-02-02,18:15:00,9.1748,9.1748,9.1648,9.1748,4354,0
2015-02-02,18:20:00,9.1748,9.1748,9.1648,9.1748,2156,0
2015-02-02,18:25:00,9.1748,9.1748,9.1648,9.1648,2052,0
2015-02-02,18:30:00,9.1748,9.1748,9.1748,9.1748,1305,0
2015-02-02,18:35:00,9.1748,9.1748,9.1748,9.1748,2910,0
2015-02-02,18:40:00,9.1748,9.1847,9.1748,9.1847,1803,0
2015-02-02,18:45:00,9.1847,9.1847,9.1847,9.1847,900,0
2015-02-02,18:50:00,9.1847,9.1847,9.1748,9.1748,6137,0
2015-02-02,18:55:00,9.1648,9.1847,9.1648,9.1748,2305,0
2015-02-02,19:00:00,9.1847,9.1847,9.1748,9.1847,5035,0
2015-02-02,19:05:00,9.1847,9.1847,9.1748,9.1748,801,0
2015-02-02,19:10:00,9.1847,9.1847,9.1748,9.1847,1001,0
2015-02-02,19:15:00,9.1847,9.1947,9.1748,9.1947,3540,0
2015-02-02,19:20:00,9.1947,9.1947,9.1947,9.1947,1204,0
2015-02-02,19:25:00,9.1947,9.1947,9.1947,9.1947,709,0
2015-02-02,19:30:00,9.2046,9.2046,9.1947,9.2046,8869,0
2015-02-02,19:35:00,9.2046,9.2046,9.1947,9.2046,5162,0
2015-02-02,19:40:00,9.2046,9.2046,9.2046,9.2046,3422,0
2015-02-02,19:45:00,9.2046,9.2046,9.2046,9.2046,1205,0
2015-02-02,19:50:00,9.2046,9.2046,9.2046,9.2046,8562,0
2015-02-02,19:55:00,9.2046,9.2046,9.1947,9.2046,9143,0
2015-02-02,20:00:00,9.2046,9.2046,9.1947,9.1947,3460,0
2015-02-02,20:05:00,9.1847,9.1947,9.1847,9.1947,1173,0
2015-02-02,20:10:00,9.1947,9.1947,9.1947,9.1947,1603,0
2015-02-02,20:15:00,9.1947,9.1947,9.1847,9.1847,1991,0
2015-02-02,20:20:00,9.1947,9.1947,9.1947,9.1947,1999,0
2015-02-02,20:25:00,9.1947,9.2046,9.1947,9.2046,7725,0
2015-02-02,20:30:00,9.1947,9.2046,9.1947,9.2046,1193,0
2015-02-02,20:35:00,9.2046,9.2046,9.2046,9.2046,2149,0
2015-02-02,20:40:00,9.2046,9.2046,9.1947,9.2046,1254,0
2015-02-02,20:45:00,9.2046,9.2046,9.2046,9.2046,1003,0
