Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-08,21:25:00,15.68,15.73,15.67,15.69,9392,0
2014-08-08,21:30:00,15.687,15.746,15.667,15.667,8869,0
2014-08-08,21:35:00,15.717,15.756,15.667,15.687,7458,0
2014-08-11,16:00:00,15.766,15.766,15.766,15.766,706,0
2014-08-11,16:20:00,15.786,15.796,15.786,15.786,5644,0
2014-08-11,16:25:00,15.806,15.816,15.806,15.816,1713,0
2014-08-11,16:30:00,15.836,15.875,15.796,15.875,6853,0
2014-08-11,16:35:00,15.875,15.875,15.816,15.845,7774,0
2014-08-11,16:40:00,15.855,15.875,15.806,15.865,8466,0
2014-08-11,16:45:00,15.855,15.855,15.806,15.836,10482,0
2014-08-11,16:50:00,15.816,15.875,15.796,15.826,9920,0
2014-08-11,16:55:00,15.816,15.826,15.816,15.826,605,0
2014-08-11,17:10:00,15.845,15.845,15.845,15.845,101,0
2014-08-11,17:25:00,15.836,15.836,15.836,15.836,101,0
2014-08-11,18:10:00,15.836,15.836,15.836,15.836,251,0
2014-08-11,20:10:00,15.845,15.845,15.845,15.845,403,0
2014-08-11,20:40:00,15.855,15.855,15.855,15.855,101,0
2014-08-11,20:50:00,15.865,15.865,15.855,15.855,504,0
2014-08-11,21:05:00,15.845,15.845,15.845,15.845,202,0
2014-08-11,21:35:00,15.855,15.855,15.855,15.855,765,0
2014-08-11,21:40:00,15.865,15.875,15.865,15.875,2721,0
2014-08-11,21:45:00,15.875,15.925,15.855,15.895,13341,0
2014-08-11,21:50:00,15.875,15.905,15.865,15.885,10224,0
2014-08-11,21:55:00,15.865,15.865,15.845,15.855,5140,0
2014-08-11,22:00:00,15.855,15.885,15.855,15.885,806,0
2014-08-12,15:50:00,15.756,15.756,15.756,15.756,101,0
2014-08-12,16:00:00,15.855,15.855,15.855,15.855,101,0
2014-08-12,16:05:00,15.855,15.865,15.855,15.865,302,0
2014-08-12,16:10:00,15.865,15.865,15.865,15.865,403,0
2014-08-12,16:15:00,15.865,15.865,15.865,15.865,500,0
2014-08-12,17:30:00,15.865,15.865,15.855,15.865,717,0
2014-08-12,19:55:00,15.865,15.875,15.865,15.875,706,0
2014-08-12,20:25:00,15.865,15.865,15.865,15.865,101,0
2014-08-12,20:50:00,15.875,15.895,15.875,15.895,1411,0
2014-08-12,20:55:00,15.915,15.915,15.865,15.865,504,0
2014-08-13,15:35:00,16.014,16.014,16.014,16.014,101,0
2014-08-13,17:45:00,16.004,16.004,16.004,16.004,202,0
2014-08-13,17:50:00,16.004,16.024,15.994,16.014,5248,0
2014-08-13,17:55:00,16.024,16.074,15.994,15.994,9226,0
2014-08-13,18:00:00,15.984,16.044,15.984,16.004,7257,0
2014-08-13,18:05:00,16.004,16.014,15.994,16.014,3936,0
2014-08-13,18:15:00,15.994,16.014,15.994,16.004,2989,0
2014-08-13,18:20:00,15.965,15.984,15.955,15.984,706,0
2014-08-13,18:30:00,15.994,16.004,15.994,16.004,403,0
2014-08-13,18:45:00,16.004,16.004,16.004,16.004,403,0
2014-08-13,20:40:00,16.054,16.232,16.054,16.232,2016,0
2014-08-13,21:00:00,16.024,16.024,16.024,16.024,101,0
2014-08-14,15:45:00,16.054,16.054,16.054,16.054,101,0
2014-08-14,16:00:00,15.965,15.965,15.925,15.935,2016,0
2014-08-14,16:05:00,15.945,15.984,15.945,15.965,3817,0
2014-08-14,16:30:00,16.044,16.044,16.004,16.004,2016,0
2014-08-14,16:35:00,16.044,16.044,16.044,16.044,706,0
2014-08-14,17:25:00,16.034,16.034,16.034,16.034,271,0
2014-08-14,17:30:00,16.044,16.103,16.034,16.103,4797,0
2014-08-14,17:55:00,16.084,16.123,16.084,16.123,1209,0
2014-08-14,18:05:00,16.113,16.113,16.113,16.113,121,0
2014-08-14,20:05:00,16.103,16.103,16.103,16.103,202,0
2014-08-14,21:00:00,16.113,16.113,16.113,16.113,101,0
2014-08-14,21:20:00,16.123,16.123,16.123,16.123,202,0
2014-08-14,21:30:00,16.054,16.094,16.054,16.094,504,0
2014-08-14,22:00:00,16.113,16.113,16.103,16.103,403,0
2014-08-15,15:35:00,16.312,16.629,16.312,16.629,1469,0
