Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,20:25:00,19.14,19.14,19.06,19.06,1314,0
2015-01-15,20:35:00,19.139,19.139,19.139,19.139,826,0
2015-01-15,20:45:00,19.069,19.119,18.98,19.079,5932,0
2015-01-15,21:10:00,19,19.049,18.99,19.049,1752,0
2015-01-15,21:25:00,19.039,19.039,19.039,19.039,151,0
2015-01-15,21:40:00,18.98,18.98,18.98,18.98,1483,0
2015-01-15,22:00:00,18.99,19,18.9,19,1829,0
2015-01-16,15:40:00,19.149,19.149,19.149,19.149,403,0
2015-01-16,15:45:00,19.149,19.149,19.039,19.039,1410,0
2015-01-16,15:50:00,19.129,19.129,19.059,19.059,1208,0
2015-01-16,15:55:00,19.109,19.109,19.089,19.089,201,0
2015-01-16,16:00:00,19.109,19.109,19.109,19.109,101,0
2015-01-16,16:10:00,19.109,19.109,19.109,19.109,101,0
2015-01-16,16:20:00,19.049,19.049,19,19,1108,0
2015-01-16,16:25:00,19,19,19,19,403,0
2015-01-16,16:30:00,18.94,19.009,18.94,18.94,4430,0
2015-01-16,16:35:00,18.97,19.049,18.97,19,7501,0
2015-01-16,16:40:00,18.94,19.029,18.94,19.029,906,0
2015-01-16,16:45:00,18.97,19.039,18.97,19.019,1510,0
2015-01-16,16:50:00,18.99,19.029,18.96,18.96,906,0
2015-01-16,16:55:00,18.95,19,18.92,18.98,16815,0
2015-01-16,17:00:00,18.94,18.99,18.93,18.93,5789,0
2015-01-16,17:10:00,18.99,18.99,18.96,18.96,1108,0
2015-01-16,17:20:00,18.99,18.99,18.99,18.99,101,0
2015-01-16,17:25:00,18.99,18.99,18.99,18.99,302,0
2015-01-16,17:45:00,18.97,18.99,18.97,18.99,3524,0
2015-01-16,17:50:00,19.019,19.019,19.019,19.019,101,0
2015-01-16,17:55:00,18.95,18.95,18.94,18.95,403,0
2015-01-16,18:00:00,19,19.109,18.94,19.109,6878,0
2015-01-16,18:05:00,19.119,19.119,19.019,19.049,7463,0
2015-01-16,18:30:00,18.96,18.96,18.95,18.95,1510,0
2015-01-16,18:55:00,19.049,19.049,19.049,19.049,1108,0
2015-01-16,19:00:00,19.049,19.109,19,19.109,3153,0
2015-01-16,19:05:00,19.119,19.119,19.059,19.069,2983,0
2015-01-16,19:10:00,19.168,19.168,19.168,19.168,503,0
2015-01-16,19:15:00,19.129,19.129,19.079,19.079,1722,0
2015-01-16,19:20:00,19.079,19.079,19.079,19.079,101,0
2015-01-16,19:25:00,19.079,19.079,19.079,19.079,739,0
2015-01-16,19:30:00,19.109,19.109,19.109,19.109,503,0
2015-01-16,19:50:00,19.158,19.158,19.158,19.158,1007,0
2015-01-16,20:20:00,19.109,19.109,19.109,19.109,1089,0
2015-01-16,20:30:00,19.079,19.119,19.049,19.119,4833,0
2015-01-16,20:35:00,19.079,19.158,19.039,19.119,1812,0
2015-01-16,20:40:00,19.039,19.099,19.039,19.099,201,0
2015-01-16,21:05:00,19.109,19.168,19.029,19.119,4330,0
2015-01-16,21:10:00,19.139,19.139,19.049,19.049,3927,0
2015-01-16,21:15:00,19.089,19.158,19.079,19.158,1913,0
2015-01-16,21:20:00,19.079,19.158,19.079,19.099,4732,0
2015-01-16,21:25:00,19.059,19.158,19.059,19.099,3423,0
2015-01-16,21:30:00,19.069,19.139,19.059,19.069,2517,0
2015-01-16,21:35:00,19.059,19.059,19.049,19.059,705,0
2015-01-16,22:00:00,19.099,19.099,19.069,19.069,1293,0
2015-01-20,15:40:00,19.168,19.188,19.119,19.188,3061,0
2015-01-20,15:50:00,19.119,19.178,19.089,19.099,2416,0
2015-01-20,15:55:00,19.089,19.178,19.089,19.149,7494,0
2015-01-20,16:00:00,19.109,19.178,19.069,19.139,3625,0
2015-01-20,16:05:00,19.139,19.139,19.139,19.139,302,0
2015-01-20,16:10:00,19.109,19.139,19.099,19.139,705,0
2015-01-20,16:25:00,19.119,19.188,19.109,19.119,1019,0
2015-01-20,16:30:00,19.149,19.188,19.149,19.188,403,0
2015-01-20,16:55:00,19.188,19.188,19.188,19.188,101,0
2015-01-20,17:00:00,19.119,19.119,19.119,19.119,111,0
2015-01-20,17:05:00,19.168,19.168,19.168,19.168,403,0
2015-01-20,17:15:00,19.168,19.168,19.168,19.168,201,0
2015-01-20,17:20:00,19.149,19.149,19.149,19.149,2014,0
2015-01-20,17:35:00,19.168,19.168,19.168,19.168,503,0
2015-01-20,17:45:00,19.119,19.119,19.119,19.119,352,0
2015-01-20,17:50:00,19.168,19.168,19.168,19.168,101,0
2015-01-20,17:55:00,19.069,19.168,19.069,19.069,755,0
2015-01-20,18:00:00,19.069,19.119,19.069,19.119,2824,0
2015-01-20,18:10:00,19.079,19.079,19.079,19.079,302,0
2015-01-20,18:15:00,19.089,19.178,19.089,19.178,816,0
2015-01-20,18:30:00,19.208,19.208,19.208,19.208,503,0
2015-01-20,18:40:00,19.139,19.139,19.139,19.139,3021,0
2015-01-20,18:55:00,19.168,19.228,19.168,19.228,723,0
2015-01-20,19:25:00,19.228,19.357,19.228,19.248,12484,0
2015-01-20,19:30:00,19.208,19.248,19.178,19.248,4634,0
2015-01-20,19:35:00,19.218,19.218,19.218,19.218,428,0
2015-01-20,19:40:00,19.228,19.268,19.178,19.268,1007,0
2015-01-20,19:45:00,19.268,19.347,19.268,19.347,2014,0
2015-01-20,20:05:00,19.218,19.218,19.218,19.218,101,0
2015-01-20,20:15:00,19.228,19.228,19.228,19.228,503,0
2015-01-20,20:25:00,19.198,19.198,19.188,19.188,503,0
2015-01-20,20:45:00,19.238,19.238,19.238,19.238,101,0
2015-01-20,20:50:00,19.218,19.218,19.218,19.218,101,0
2015-01-20,21:10:00,19.228,19.228,19.228,19.228,1032,0
2015-01-20,21:35:00,19.248,19.248,19.248,19.248,5346,0
2015-01-20,22:00:00,19.198,19.198,19.188,19.198,805,0
2015-01-21,15:35:00,19.139,19.238,19.139,19.178,2192,0
2015-01-21,15:40:00,19.208,19.317,19.188,19.297,4512,0
2015-01-21,15:45:00,19.228,19.297,19.228,19.268,2316,0
2015-01-21,16:20:00,19.357,19.357,19.357,19.357,101,0
2015-01-21,16:25:00,19.278,19.307,19.278,19.307,403,0
2015-01-21,16:30:00,19.347,19.347,19.288,19.288,604,0
2015-01-21,16:35:00,19.347,19.347,19.347,19.347,252,0
2015-01-21,16:40:00,19.327,19.327,19.327,19.327,252,0
2015-01-21,16:55:00,19.367,19.377,19.367,19.377,3826,0
2015-01-21,17:00:00,19.387,19.387,19.387,19.387,201,0
2015-01-21,17:05:00,19.357,19.357,19.357,19.357,101,0
2015-01-21,17:10:00,19.357,19.357,19.327,19.327,1208,0
2015-01-21,17:15:00,19.327,19.327,19.327,19.327,101,0
2015-01-21,17:25:00,19.337,19.337,19.337,19.337,503,0
