Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,17.80,17.81,17.77,17.81,27786,0
2015-02-03,16:55:00,17.81,17.81,17.77,17.8,17486,0
2015-02-03,17:00:00,17.79,17.82,17.71,17.71,20437,0
2015-02-03,17:05:00,17.71,17.73,17.67,17.69,33824,0
2015-02-03,17:10:00,17.67,17.69,17.64,17.67,23947,0
2015-02-03,17:15:00,17.66,17.7,17.65,17.67,41469,0
2015-02-03,17:20:00,17.67,17.74,17.66,17.72,19802,0
2015-02-03,17:25:00,17.71,17.79,17.7,17.78,24457,0
2015-02-03,17:30:00,17.78,17.82,17.75,17.78,31486,0
2015-02-03,17:35:00,17.77,17.86,17.76,17.84,27200,0
2015-02-03,17:40:00,17.83,17.83,17.75,17.75,31549,0
2015-02-03,17:45:00,17.74,17.84,17.73,17.8,42522,0
2015-02-03,17:50:00,17.8,17.8,17.73,17.77,35449,0
2015-02-03,17:55:00,17.76,17.77,17.71,17.72,28975,0
2015-02-03,18:00:00,17.72,17.74,17.71,17.73,29248,0
2015-02-03,18:05:00,17.72,17.73,17.68,17.7,25397,0
2015-02-03,18:10:00,17.7,17.71,17.65,17.67,30869,0
2015-02-03,18:15:00,17.67,17.68,17.65,17.66,28450,0
2015-02-03,18:20:00,17.66,17.66,17.62,17.64,27987,0
2015-02-03,18:25:00,17.64,17.68,17.63,17.63,28923,0
2015-02-03,18:30:00,17.64,17.69,17.63,17.68,24259,0
2015-02-03,18:35:00,17.68,17.68,17.64,17.66,17850,0
2015-02-03,18:40:00,17.66,17.67,17.63,17.66,18829,0
2015-02-03,18:45:00,17.66,17.7,17.64,17.68,24207,0
2015-02-03,18:50:00,17.69,17.71,17.66,17.7,21671,0
2015-02-03,18:55:00,17.71,17.78,17.68,17.77,32418,0
2015-02-03,19:00:00,17.77,17.81,17.77,17.78,24118,0
2015-02-03,19:05:00,17.76,17.82,17.76,17.82,21896,0
2015-02-03,19:10:00,17.82,17.82,17.78,17.78,18954,0
2015-02-03,19:15:00,17.77,17.86,17.76,17.85,16146,0
2015-02-03,19:20:00,17.85,17.88,17.83,17.88,18023,0
2015-02-03,19:25:00,17.87,17.98,17.87,17.98,36202,0
2015-02-03,19:30:00,17.99,18.02,17.94,17.99,55713,0
2015-02-03,19:35:00,17.99,18.01,17.99,17.99,32107,0
2015-02-03,19:40:00,17.99,17.99,17.89,17.9,22031,0
2015-02-03,19:45:00,17.88,17.92,17.88,17.9,15944,0
2015-02-03,19:50:00,17.89,17.94,17.89,17.93,18754,0
2015-02-03,19:55:00,17.92,17.95,17.9,17.94,20600,0
2015-02-03,20:00:00,17.93,17.95,17.9,17.95,15250,0
2015-02-03,20:05:00,17.94,18.0,17.94,17.98,22119,0
2015-02-03,20:10:00,17.99,18.02,17.99,18.02,29533,0
2015-02-03,20:15:00,18.01,18.02,17.98,17.98,20073,0
2015-02-03,20:20:00,17.98,17.99,17.92,17.93,21299,0
2015-02-03,20:25:00,17.92,17.95,17.92,17.92,34330,0
2015-02-03,20:30:00,17.91,17.93,17.88,17.91,28120,0
2015-02-03,20:35:00,17.92,17.94,17.88,17.88,29254,0
2015-02-03,20:40:00,17.87,17.91,17.83,17.91,33084,0
2015-02-03,20:45:00,17.91,17.92,17.89,17.91,11320,0
2015-02-03,20:50:00,17.91,17.93,17.86,17.86,35095,0
2015-02-03,20:55:00,17.86,17.93,17.86,17.92,55072,0
2015-02-03,21:00:00,17.93,17.99,17.91,17.98,40531,0
2015-02-03,21:05:00,17.98,18.0,17.95,18.0,62597,0
2015-02-03,21:10:00,18.0,18.0,17.95,18.0,48898,0
2015-02-03,21:15:00,18.0,18.0,17.9,17.94,41703,0
2015-02-03,21:20:00,17.94,17.94,17.9,17.9,16050,0
2015-02-03,21:25:00,17.9,17.95,17.9,17.95,38799,0
2015-02-03,21:30:00,17.95,17.95,17.88,17.91,53352,0
2015-02-03,21:35:00,17.92,17.94,17.88,17.88,41720,0
2015-02-03,21:40:00,17.88,17.95,17.88,17.94,63709,0
2015-02-03,21:45:00,17.94,17.96,17.91,17.95,31841,0
2015-02-03,21:50:00,17.96,18.02,17.96,18.02,52638,0
2015-02-03,21:55:00,18.02,18.02,18.01,18.02,52783,0
2015-02-03,22:00:00,18.02,18.05,17.98,18.01,672543,0
2015-02-04,15:35:00,17.73,17.86,17.68,17.69,8800,0
2015-02-04,15:40:00,17.68,17.73,17.65,17.73,7600,0
2015-02-04,15:45:00,17.73,17.78,17.66,17.77,8662,0
2015-02-04,15:50:00,17.78,17.79,17.63,17.67,12232,0
2015-02-04,15:55:00,17.69,17.75,17.6,17.68,9387,0
2015-02-04,16:00:00,17.69,17.73,17.64,17.72,5700,0
2015-02-04,16:05:00,17.72,17.76,17.62,17.67,106964,0
2015-02-04,16:10:00,17.67,17.69,17.55,17.56,55084,0
